date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,10.9688,11.0078,10.7109,10.8906,10.8045,3851200.0,0.0,1.0
1999-08-10,10.7969,10.8906,10.7813,10.8359,10.7503,7600000.0,0.0,1.0
1999-08-11,10.875,10.9063,10.7109,10.8828,10.7968,22321600.0,0.0,1.0
1999-08-12,10.8672,10.9297,10.5781,10.75,10.665,3567200.0,0.0,1.0
1999-08-13,10.875,11.2188,10.875,11.1172,11.0293,16993600.0,0.0,1.0
1999-08-16,11.2656,11.5313,11.2188,11.5,11.4091,8788800.0,0.0,1.0
1999-08-17,11.6094,12.0,11.5625,11.9922,11.8974,8701600.0,0.0,1.0
1999-08-18,11.9141,12.1172,11.8672,11.8984,11.8044,7116800.0,0.0,1.0
1999-08-19,11.7813,12.0,11.3125,11.9844,11.8896,20215200.0,0.0,1.0
1999-08-20,11.9922,12.3906,11.9922,12.375,12.2772,7283200.0,0.0,1.0
1999-08-23,12.4688,13.1563,12.4219,13.125,13.0213,13044000.0,0.0,1.0
1999-08-24,12.8555,13.1563,12.7031,12.8828,12.781,6102400.0,0.0,1.0
1999-08-25,12.9492,12.9531,12.4375,12.4922,12.3934,9248000.0,0.0,1.0
1999-08-26,12.4531,12.7813,12.2109,12.2344,12.1377,5470400.0,0.0,1.0
1999-08-27,12.375,12.4766,12.1094,12.3594,12.2617,6287200.0,0.0,1.0
1999-08-30,12.4063,12.7109,12.1406,12.1641,12.0679,4251200.0,0.0,1.0
1999-08-31,12.1719,12.5313,11.8594,12.4531,12.3547,5440000.0,0.0,1.0
1999-09-01,12.6328,12.6406,12.125,12.2969,12.1997,6166400.0,0.0,1.0
1999-09-02,12.2344,12.5,12.1406,12.3438,12.2462,2830400.0,0.0,1.0
1999-09-03,12.5938,13.1563,12.5469,13.125,13.0213,7052800.0,0.0,1.0
1999-09-07,13.0313,13.2109,12.9063,13.0781,12.9748,3740000.0,0.0,1.0
1999-09-08,13.0313,13.0469,12.6484,12.75,12.6492,6497600.0,0.0,1.0
1999-09-09,12.75,12.9375,12.5156,12.9375,12.8352,7180000.0,0.0,1.0
1999-09-10,13.0391,13.0781,12.7969,12.8984,12.7965,3905600.0,0.0,1.0
1999-09-13,12.75,12.8281,12.375,12.8047,12.7035,4894400.0,0.0,1.0
