date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-01-23,45.28,45.6,42.8,44.08,44.08,62300.0,0.0,0.0064
2014-01-24,44.0,44.16,41.76,42.4,42.4,38000.0,0.0,1.0
2014-01-27,42.4,43.328,38.72,41.52,41.52,10700.0,0.0,1.0
2014-01-28,41.36,43.2,40.0,41.52,41.52,16100.0,0.0,1.0
2014-01-29,40.88,42.32,40.0,40.72,40.72,4200.0,0.0,1.0
2014-01-30,42.4,42.4,40.32,41.52,41.52,1700.0,0.0,1.0
2014-01-31,41.52,41.6,39.12,39.92,39.92,8000.0,0.0,1.0
2014-02-03,39.28,41.36,39.04,40.72,40.72,9600.0,0.0,1.0
2014-02-04,40.08,41.2,40.0,41.2,41.2,1800.0,0.0,1.0
2014-02-05,41.2,41.2,40.64,41.12,41.12,1800.0,0.0,1.0
2014-02-06,40.72,40.72,36.4,38.8,38.8,5800.0,0.0,1.0
2014-02-07,38.48,39.44,38.4,38.816,38.816,1700.0,0.0,1.0
2014-02-10,38.8,39.8,38.8,38.8,38.8,200.0,0.0,1.0
2014-02-11,39.92,40.4,36.8,37.36,37.36,3200.0,0.0,1.0
2014-02-12,36.96,39.92,36.96,39.04,39.04,2400.0,0.0,1.0
2014-02-13,38.08,39.12,37.28,37.28,37.28,3100.0,0.0,1.0
2014-02-14,38.08,41.584,37.92,38.48,38.48,2400.0,0.0,1.0
2014-02-18,38.4,40.48,37.6,38.0,38.0,2500.0,0.0,1.0
2014-02-19,37.52,37.68,36.0,36.96,36.96,2600.0,0.0,1.0
2014-02-20,37.28,40.32,35.76,38.88,38.88,1300.0,0.0,1.0
2014-02-21,38.4,38.4,37.84,38.4,38.4,500.0,0.0,1.0
2014-02-24,38.4,39.92,38.08,38.8,38.8,2300.0,0.0,1.0
2014-02-25,38.4,38.4,37.2,38.0,38.0,2100.0,0.0,1.0
2014-02-26,36.88,37.92,36.0,37.04,37.04,2100.0,0.0,1.0
2014-02-27,38.0,40.4,38.0,40.0,40.0,6900.0,0.0,1.0
2014-02-28,39.2,43.2,37.6,39.76,39.76,7400.0,0.0,1.0
2014-03-03,39.04,40.64,38.96,40.4,40.4,2100.0,0.0,1.0
2014-03-04,39.36,42.0,39.04,41.12,41.12,8300.0,0.0,1.0
2014-03-05,41.52,41.6,40.0,40.72,40.72,8300.0,0.0,1.0
2014-03-06,40.72,41.12,40.0,40.96,40.96,2300.0,0.0,1.0
2014-03-07,40.08,41.52,40.08,41.2,41.2,2000.0,0.0,1.0
2014-03-10,41.2,42.0,40.48,40.72,40.72,3700.0,0.0,1.0
2014-03-11,40.8,41.92,38.8,39.92,39.92,5900.0,0.0,1.0
2014-03-12,40.32,42.56,38.4,40.32,40.32,11100.0,0.0,1.0
2014-03-13,40.56,41.2,38.48,39.6,39.6,2400.0,0.0,1.0
2014-03-14,39.6,39.84,37.208,38.48,38.48,8800.0,0.0,1.0
2014-03-17,38.08,40.0,36.56,37.44,37.44,6900.0,0.0,1.0
2014-03-18,38.0,40.64,38.0,40.56,40.56,3500.0,0.0,1.0
2014-03-19,39.2,40.0,38.8,39.6,39.6,1400.0,0.0,1.0
