date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-07-19,27.2,33.24,26.0,31.25,31.25,4438200.0,0.0,1.0
2018-07-20,30.29,37.0,30.25,35.05,35.05,697700.0,0.0,1.0
2018-07-23,35.05,38.53,34.0,36.29,36.29,1008700.0,0.0,1.0
2018-07-24,36.24,38.83,35.09,38.12,38.12,293800.0,0.0,1.0
2018-07-25,38.3,40.14,37.82,39.3,39.3,543600.0,0.0,1.0
2018-07-26,39.5,40.45,39.17,39.97,39.97,369600.0,0.0,1.0
2018-07-27,40.0,40.83,39.04,39.79,39.79,135100.0,0.0,1.0
2018-07-30,39.84,40.4,39.0,40.0,40.0,63700.0,0.0,1.0
2018-07-31,39.78,43.96,39.5,40.77,40.77,175100.0,0.0,1.0
2018-08-01,41.51,45.95,40.69,40.95,40.95,434800.0,0.0,1.0
2018-08-02,41.01,42.94,40.02,41.36,41.36,195000.0,0.0,1.0
2018-08-03,41.03,42.84,40.61,41.02,41.02,101600.0,0.0,1.0
2018-08-06,41.25,42.45,38.26,39.69,39.69,271600.0,0.0,1.0
2018-08-07,40.13,41.0,39.6,39.85,39.85,160500.0,0.0,1.0
2018-08-08,39.6,39.85,36.33,36.78,36.78,260300.0,0.0,1.0
2018-08-09,37.06,40.91,36.78,37.27,37.27,420500.0,0.0,1.0
2018-08-10,36.71,40.33,36.71,38.92,38.92,408000.0,0.0,1.0
2018-08-13,38.54,41.05,37.31,39.31,39.31,155600.0,0.0,1.0
2018-08-14,39.31,41.0,39.31,40.07,40.07,73900.0,0.0,1.0
2018-08-15,41.91,41.91,37.28,37.8,37.8,452400.0,0.0,1.0
2018-08-16,38.07,39.46,37.53,38.81,38.81,280900.0,0.0,1.0
2018-08-17,38.91,39.8,38.03,38.91,38.91,66700.0,0.0,1.0
2018-08-20,38.63,41.75,38.5,40.38,40.38,85500.0,0.0,1.0
2018-08-21,40.2,41.33,38.98,39.55,39.55,90200.0,0.0,1.0
2018-08-22,39.12,39.68,38.63,39.24,39.24,120200.0,0.0,1.0
2018-08-23,39.07,39.55,38.47,39.0,39.0,65100.0,0.0,1.0
2018-08-24,39.0,39.08,37.53,38.91,38.91,60800.0,0.0,1.0
2018-08-27,38.75,39.53,37.62,38.91,38.91,26200.0,0.0,1.0
2018-08-28,38.68,40.31,38.07,40.07,40.07,82000.0,0.0,1.0
2018-08-29,40.0,40.9,39.38,40.09,40.09,27500.0,0.0,1.0
2018-08-30,38.4,40.35,38.25,38.46,38.46,40100.0,0.0,1.0
2018-08-31,38.18,39.88,38.18,38.84,38.84,34500.0,0.0,1.0
2018-09-04,38.56,42.83,38.52,39.93,39.93,203400.0,0.0,1.0
2018-09-05,40.0,42.7,39.33,42.23,42.23,83300.0,0.0,1.0
2018-09-06,42.38,43.47,41.84,43.0,43.0,121500.0,0.0,1.0
2018-09-07,43.02,49.11,41.81,46.6,46.6,197800.0,0.0,1.0
2018-09-10,47.5,47.56,41.1,42.95,42.95,289700.0,0.0,1.0
2018-09-11,42.65,43.5,41.22,42.77,42.77,139300.0,0.0,1.0
2018-09-12,43.03,44.83,42.01,44.47,44.47,92800.0,0.0,1.0
2018-09-13,44.8,46.2,43.63,44.49,44.49,75100.0,0.0,1.0
2018-09-14,44.4,45.1,43.34,44.43,44.43,81000.0,0.0,1.0
2018-09-17,44.39,44.82,43.0,43.99,43.99,107800.0,0.0,1.0
2018-09-18,44.67,45.8,44.06,44.9,44.9,76500.0,0.0,1.0
2018-09-19,44.9,46.46,44.79,45.28,45.28,206400.0,0.0,1.0
2018-09-20,45.51,45.99,43.87,45.04,45.04,241400.0,0.0,1.0
2018-09-21,45.34,48.68,44.22,47.64,47.64,1365400.0,0.0,1.0
2018-09-24,47.13,47.82,46.11,46.73,46.73,174700.0,0.0,1.0
2018-09-25,47.04,47.59,46.33,46.54,46.54,126600.0,0.0,1.0
2018-09-26,46.85,47.09,46.05,46.21,46.21,69300.0,0.0,1.0
2018-09-27,46.41,46.8,44.67,45.57,45.57,99500.0,0.0,1.0
2018-09-28,45.38,45.88,44.48,44.99,44.99,115900.0,0.0,1.0
2018-10-01,45.21,45.4,40.0,41.32,41.32,333600.0,0.0,1.0
2018-10-02,41.35,42.65,41.3,42.25,42.25,159700.0,0.0,1.0
2018-10-03,42.52,42.52,37.32,38.49,38.49,192400.0,0.0,1.0
2018-10-04,38.38,38.97,29.34,31.59,31.59,572000.0,0.0,1.0
2018-10-05,31.77,33.65,30.01,33.35,33.35,307200.0,0.0,1.0
2018-10-08,32.02,33.49,30.47,32.17,32.17,347100.0,0.0,1.0
2018-10-09,31.93,36.0,31.93,35.28,35.28,353500.0,0.0,1.0
2018-10-10,35.5,36.33,33.4,34.07,34.07,179400.0,0.0,1.0
2018-10-11,33.78,35.04,30.42,34.27,34.27,138800.0,0.0,1.0
2018-10-12,34.51,34.8,33.03,33.63,33.63,99900.0,0.0,1.0
2018-10-15,33.62,34.14,31.64,33.85,33.85,41800.0,0.0,1.0
2018-10-16,34.18,38.95,33.5,37.4,37.4,177300.0,0.0,1.0
2018-10-17,37.18,40.96,36.84,40.1,40.1,119400.0,0.0,1.0
2018-10-18,39.88,43.47,38.68,42.46,42.46,147500.0,0.0,1.0
2018-10-19,42.32,43.47,40.53,43.11,43.11,144700.0,0.0,1.0
2018-10-22,43.32,45.38,41.53,44.54,44.54,157200.0,0.0,1.0
2018-10-23,43.6,47.28,43.19,46.19,46.19,119500.0,0.0,1.0
2018-10-24,46.11,46.43,42.69,43.99,43.99,95600.0,0.0,1.0
2018-10-25,44.38,48.38,41.54,48.36,48.36,272900.0,0.0,1.0
2018-10-26,47.66,47.91,45.42,46.79,46.79,111500.0,0.0,1.0
2018-10-29,47.0,47.58,44.53,46.01,46.01,109800.0,0.0,1.0
2018-10-30,46.42,47.14,44.25,47.13,47.13,164600.0,0.0,1.0
2018-10-31,47.48,51.75,44.05,48.35,48.35,123700.0,0.0,1.0
2018-11-01,48.97,50.2,45.98,50.11,50.11,102600.0,0.0,1.0
2018-11-02,50.52,52.59,49.98,51.85,51.85,69600.0,0.0,1.0
2018-11-05,52.11,53.8,50.55,53.24,53.24,118000.0,0.0,1.0
2018-11-06,53.24,55.55,52.86,55.0,55.0,193300.0,0.0,1.0
2018-11-07,55.0,57.95,54.88,57.3,57.3,159100.0,0.0,1.0
2018-11-08,57.01,58.52,55.98,57.33,57.33,65100.0,0.0,1.0
2018-11-09,56.27,56.47,50.02,53.17,53.17,225900.0,0.0,1.0
2018-11-12,52.85,56.47,52.0,55.83,55.83,142300.0,0.0,1.0
2018-11-13,55.87,58.91,55.78,56.97,56.97,98200.0,0.0,1.0
2018-11-14,57.46,61.21,52.66,54.08,54.08,121800.0,0.0,1.0
2018-11-15,53.72,57.56,53.6,55.92,55.92,281400.0,0.0,1.0
2018-11-16,55.88,59.76,54.24,58.99,58.99,169900.0,0.0,1.0
2018-11-19,59.22,59.38,53.37,55.32,55.32,119200.0,0.0,1.0
2018-11-20,54.1,55.63,52.61,54.13,54.13,138000.0,0.0,1.0
2018-11-21,54.74,57.07,52.38,53.04,53.04,74200.0,0.0,1.0
2018-11-23,52.37,56.88,52.0,55.74,55.74,83800.0,0.0,1.0
2018-11-26,56.38,56.38,53.3,55.91,55.91,170400.0,0.0,1.0
2018-11-27,55.79,56.26,53.73,54.59,54.59,81000.0,0.0,1.0
2018-11-28,54.57,60.49,54.42,59.03,59.03,96500.0,0.0,1.0
2018-11-29,59.09,62.0,58.54,61.38,61.38,97500.0,0.0,1.0
2018-11-30,61.19,61.24,57.0,58.91,58.91,194300.0,0.0,1.0
2018-12-03,60.51,61.24,58.25,59.91,59.91,91400.0,0.0,1.0
2018-12-04,59.68,62.32,58.99,59.17,59.17,103000.0,0.0,1.0
2018-12-06,57.38,61.4,57.01,60.76,60.76,133700.0,0.0,1.0
2018-12-07,61.06,63.04,60.65,62.63,62.63,122200.0,0.0,1.0
2018-12-10,62.72,63.7,60.83,62.65,62.65,104900.0,0.0,1.0
2018-12-11,63.77,65.48,61.32,61.51,61.51,101100.0,0.0,1.0
2018-12-12,62.26,64.43,60.26,61.76,61.76,87100.0,0.0,1.0
2018-12-13,62.22,62.22,59.0,59.94,59.94,139000.0,0.0,1.0
2018-12-14,59.65,61.4,59.09,60.7,60.7,119300.0,0.0,1.0
2018-12-17,60.35,61.48,55.4,56.66,56.66,148300.0,0.0,1.0
2018-12-18,56.98,60.49,53.63,55.82,55.82,188300.0,0.0,1.0
2018-12-19,55.78,57.5,44.99,47.17,47.17,390000.0,0.0,1.0
2018-12-20,46.67,50.76,44.65,50.24,50.24,549500.0,0.0,1.0
2018-12-21,49.86,56.07,43.0,47.77,47.77,1463500.0,0.0,1.0
2018-12-24,47.07,51.18,46.25,48.76,48.76,146800.0,0.0,1.0
2018-12-26,49.0,53.24,49.0,52.93,52.93,179000.0,0.0,1.0
2018-12-27,52.09,52.67,49.55,51.85,51.85,106400.0,0.0,1.0
2018-12-28,51.65,53.79,50.48,52.44,52.44,96100.0,0.0,1.0
2018-12-31,53.01,53.47,50.15,52.27,52.27,112300.0,0.0,1.0
2019-01-02,51.26,53.94,50.12,51.99,51.99,152000.0,0.0,1.0
2019-01-03,51.13,52.9,48.93,49.34,49.34,182700.0,0.0,1.0
2019-01-04,48.26,49.72,42.75,47.26,47.26,784600.0,0.0,1.0
2019-01-07,47.24,48.55,42.64,43.55,43.55,799900.0,0.0,1.0
2019-01-08,43.48,46.0,42.01,43.09,43.09,451200.0,0.0,1.0
2019-01-09,43.26,45.03,41.54,45.0,45.0,467100.0,0.0,1.0
2019-01-10,42.5,47.08,42.5,46.92,46.92,265200.0,0.0,1.0
2019-01-11,46.92,49.16,46.51,47.55,47.55,446200.0,0.0,1.0
2019-01-14,47.14,48.03,45.29,46.15,46.15,358000.0,0.0,1.0
2019-01-15,46.58,46.7,42.62,43.62,43.62,779300.0,0.0,1.0
2019-01-16,44.26,44.82,42.49,42.75,42.75,376700.0,0.0,1.0
2019-01-17,41.99,43.38,39.04,42.09,42.09,642100.0,0.0,1.0
2019-01-18,41.85,43.05,41.5,42.46,42.46,182400.0,0.0,1.0
2019-01-22,41.91,45.45,40.83,41.15,41.15,519000.0,0.0,1.0
2019-01-23,41.67,44.7,41.5,42.84,42.84,304800.0,0.0,1.0
2019-01-24,42.88,43.94,42.05,43.14,43.14,261100.0,0.0,1.0
2019-01-25,43.47,44.83,42.79,44.81,44.81,171800.0,0.0,1.0
2019-01-28,45.0,45.56,42.47,42.85,42.85,340800.0,0.0,1.0
2019-01-29,41.8,42.0,38.45,39.55,39.55,737900.0,0.0,1.0
2019-01-30,39.49,40.2,38.71,39.01,39.01,243300.0,0.0,1.0
2019-01-31,39.13,40.55,38.54,39.95,39.95,289800.0,0.0,1.0
2019-02-01,40.04,41.29,39.09,40.5,40.5,476100.0,0.0,1.0
