date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-10-11,22.0,25.99,21.67,25.0,25.0,8110200.0,0.0,1.0
2018-10-12,26.9,27.4,25.53,26.81,26.81,2197400.0,0.0,1.0
2018-10-15,27.46,27.72,25.55,26.96,26.96,1345600.0,0.0,1.0
2018-10-16,27.04,27.62,25.6,25.87,25.87,939100.0,0.0,1.0
2018-10-17,26.0,26.11,24.16,24.98,24.98,2139500.0,0.0,1.0
2018-10-18,24.66,25.23,23.7,23.8,23.8,1267800.0,0.0,1.0
2018-10-19,23.88,24.4,23.0,23.4,23.4,444500.0,0.0,1.0
2018-10-22,23.4,23.92,22.46,23.0,23.0,514100.0,0.0,1.0
2018-10-23,22.88,23.81,22.7,22.84,22.84,426800.0,0.0,1.0
2018-10-24,23.0,24.55,22.2,22.5,22.5,1742500.0,0.0,1.0
2018-10-25,22.4,23.49,22.23,22.56,22.56,1071400.0,0.0,1.0
2018-10-26,22.77,23.34,22.68,23.0,23.0,368300.0,0.0,1.0
2018-10-29,23.4,24.47,22.91,23.02,23.02,364200.0,0.0,1.0
2018-10-30,23.87,24.78,23.01,23.81,23.81,265500.0,0.0,1.0
2018-10-31,24.47,24.47,23.58,24.01,24.01,361800.0,0.0,1.0
2018-11-01,24.33,27.05,24.02,26.95,26.95,402200.0,0.0,1.0
2018-11-02,27.32,28.1,27.0,27.69,27.69,831400.0,0.0,1.0
2018-11-05,28.25,28.9,26.53,28.35,28.35,792900.0,0.0,1.0
2018-11-06,28.5,33.3,28.47,33.3,33.3,1040600.0,0.0,1.0
2018-11-07,33.32,35.55,31.42,32.68,32.68,1330000.0,0.0,1.0
2018-11-08,32.67,34.45,32.37,33.24,33.24,596100.0,0.0,1.0
2018-11-09,33.07,33.53,29.4,30.62,30.62,510300.0,0.0,1.0
2018-11-12,30.62,31.5,27.0,27.02,27.02,426600.0,0.0,1.0
2018-11-13,27.23,29.2,27.23,27.7,27.7,261800.0,0.0,1.0
2018-11-14,27.96,29.16,24.9,25.01,25.01,1082600.0,0.0,1.0
2018-11-15,25.0,27.44,24.85,26.93,26.93,375600.0,0.0,1.0
2018-11-16,26.66,28.5,26.66,27.98,27.98,463200.0,0.0,1.0
