date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-11-18,14.75,16.0,13.75,14.125,7.4111,10634700.0,0.0,1.0
1999-11-19,14.0625,14.25,13.9375,14.0625,7.3783,2522800.0,0.0,1.0
1999-11-22,14.125,14.25,13.875,14.0,7.3455,927200.0,0.0,1.0
1999-11-23,14.0,15.375,13.875,14.8125,7.7718,1601800.0,0.0,1.0
1999-11-24,14.9375,15.0,14.3125,14.375,7.5423,508400.0,0.0,1.0
1999-11-26,14.5,14.75,14.375,14.5625,7.6407,139900.0,0.0,1.0
1999-11-29,14.5,14.5,14.1875,14.25,7.4767,311200.0,0.0,1.0
1999-11-30,14.125,14.375,13.0,13.9375,7.3127,979300.0,0.0,1.0
1999-12-01,13.9375,13.9375,13.0625,13.25,6.952,283200.0,0.0,1.0
1999-12-02,13.1875,14.0,13.125,13.875,7.2799,379700.0,0.0,1.0
1999-12-03,14.0,14.375,13.625,13.625,7.1488,357800.0,0.0,1.0
1999-12-06,13.875,13.875,13.1875,13.25,6.952,205700.0,0.0,1.0
1999-12-07,13.25,13.875,12.125,13.5,7.0832,245100.0,0.0,1.0
1999-12-08,13.75,13.875,12.9375,13.375,7.0176,560200.0,0.0,1.0
1999-12-09,13.25,13.875,13.0,13.0,6.8209,357600.0,0.0,1.0
1999-12-10,13.0,13.5625,12.75,12.875,6.7553,311000.0,0.0,1.0
1999-12-13,13.0,13.125,12.5,12.9375,6.7881,361200.0,0.0,1.0
1999-12-14,12.75,13.0,12.0,12.125,6.3618,308600.0,0.0,1.0
1999-12-15,13.0,13.875,12.75,13.25,6.952,567000.0,0.0,1.0
1999-12-16,13.6875,13.875,13.0,13.25,6.952,399800.0,0.0,1.0
1999-12-17,13.4375,13.625,13.0,13.1875,6.9192,363200.0,0.0,1.0
1999-12-20,13.25,13.6875,13.125,13.5,7.0832,224000.0,0.0,1.0
1999-12-21,13.5625,13.625,13.125,13.375,7.0176,148900.0,0.0,1.0
1999-12-22,13.3438,13.5625,12.9375,12.9375,6.7881,155700.0,0.0,1.0
1999-12-23,13.0,13.25,12.75,12.8125,6.7225,89100.0,0.0,1.0
1999-12-27,12.8125,13.25,12.5,12.5,6.5585,109300.0,0.0,1.0
1999-12-28,12.5,12.75,12.3125,12.4375,6.5257,169300.0,0.0,1.0
1999-12-29,12.375,12.625,12.0,12.3125,6.4601,342000.0,0.0,1.0
1999-12-30,12.3125,12.75,12.3125,12.375,6.4929,175000.0,0.0,1.0
1999-12-31,12.375,12.75,12.375,12.375,6.4929,63500.0,0.0,1.0
2000-01-03,12.625,13.25,12.1875,13.25,6.952,117500.0,0.0,1.0
2000-01-04,13.3125,14.5,13.25,14.25,7.4767,618400.0,0.0,1.0
2000-01-05,14.0,15.0,13.75,14.5625,7.6407,382000.0,0.0,1.0
2000-01-06,14.625,15.125,14.3125,14.5,7.6079,304800.0,0.0,1.0
2000-01-07,14.3125,14.875,14.3125,14.375,7.5423,186800.0,0.0,1.0
2000-01-10,14.5625,16.125,14.375,14.875,7.8046,355000.0,0.0,1.0
2000-01-11,15.0,15.75,14.875,15.0,7.8702,197700.0,0.0,1.0
2000-01-12,15.0,15.375,14.875,15.125,7.9358,170000.0,0.0,1.0
2000-01-13,14.875,16.0,14.875,15.125,7.9358,208800.0,0.0,1.0
2000-01-14,15.4375,15.4375,14.875,15.0,7.8702,49400.0,0.0,1.0
2000-01-18,15.0,15.125,14.75,14.75,7.739,107300.0,0.0,1.0
2000-01-19,14.75,15.0,13.25,14.375,7.5423,109800.0,0.0,1.0
2000-01-20,14.0,14.1875,13.25,13.8125,7.2472,64400.0,0.0,1.0
2000-01-21,13.5625,13.875,12.75,13.125,6.8864,92900.0,0.0,1.0
2000-01-24,13.0,13.5625,12.875,13.5,7.0832,140300.0,0.0,1.0
2000-01-25,13.25,14.3125,13.25,14.0,7.3455,74000.0,0.0,1.0
2000-01-26,14.125,14.125,13.5,13.6875,7.1816,39600.0,0.0,1.0
2000-01-27,13.875,14.5,13.6875,14.0,7.3455,93000.0,0.0,1.0
2000-01-28,14.125,14.375,13.875,13.875,7.2799,57600.0,0.0,1.0
2000-01-31,13.875,15.25,13.8125,14.375,7.5423,222300.0,0.0,1.0
2000-02-01,14.4375,16.0,14.4375,15.625,8.1981,156800.0,0.0,1.0
2000-02-02,15.5,15.75,14.875,15.375,8.067,133200.0,0.0,1.0
2000-02-03,15.25,15.5625,14.875,15.0,7.8702,77900.0,0.0,1.0
2000-02-04,14.875,15.0,14.75,14.875,7.8046,113400.0,0.0,1.0
2000-02-07,15.0,15.5,14.875,15.0,7.8702,146000.0,0.0,1.0
2000-02-08,15.0,15.25,14.875,15.125,7.9358,193000.0,0.0,1.0
2000-02-09,15.3125,16.25,15.125,15.5,8.1326,363100.0,0.0,1.0
