date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,18.7969,19.7813,18.7344,19.4688,15.0023,34466400.0,0.0,1.0
1999-08-10,19.3125,19.8125,18.7969,19.2344,14.8217,34766400.0,0.0,1.0
1999-08-11,19.3125,19.4375,18.625,19.4375,14.9783,32304400.0,0.0,1.0
1999-08-12,19.1719,19.2031,18.1406,18.1563,13.9909,44460800.0,0.0,1.0
1999-08-13,18.6094,18.6719,17.2969,17.4375,13.4371,57047200.0,0.0,1.0
1999-08-16,17.9219,18.0703,17.5313,17.625,13.5816,32608400.0,0.0,1.0
1999-08-17,17.9219,17.9844,17.1719,17.9375,13.8224,34043200.0,0.0,1.0
1999-08-18,16.5313,16.8906,16.25,16.2656,12.5341,108390800.0,0.0,1.0
1999-08-19,16.3125,16.5781,15.8359,16.3281,12.5822,46208800.0,0.0,1.0
1999-08-20,16.4531,16.5,15.5625,15.9844,12.3173,33118400.0,0.0,1.0
1999-08-23,16.1875,16.9023,16.0938,16.7188,12.8832,35917600.0,0.0,1.0
1999-08-24,16.7031,17.75,16.6094,17.4375,13.4371,41284000.0,0.0,1.0
1999-08-25,17.8125,17.9375,16.8594,17.0469,13.1361,36747200.0,0.0,1.0
1999-08-26,17.0625,17.3438,16.8906,16.9219,13.0397,27696800.0,0.0,1.0
1999-08-27,17.25,17.4375,16.9531,17.2344,13.2806,20120400.0,0.0,1.0
1999-08-30,17.2188,17.625,17.1719,17.5,13.4852,22606400.0,0.0,1.0
1999-08-31,17.4063,17.8125,16.9375,17.7656,13.6899,24773600.0,0.0,1.0
1999-09-01,17.8125,18.7188,17.8125,18.5,14.2558,37402400.0,0.0,1.0
1999-09-02,18.125,18.7969,18.0625,18.6094,14.3401,30925200.0,0.0,1.0
1999-09-03,19.0469,19.375,18.9531,19.3438,14.906,24115600.0,0.0,1.0
1999-09-07,19.2188,19.75,19.2188,19.2969,14.8699,28539600.0,0.0,1.0
1999-09-08,19.4219,19.8438,19.0938,19.1563,14.7615,37070400.0,0.0,1.0
1999-09-09,19.1563,19.7813,19.0625,19.75,15.2191,29768000.0,0.0,1.0
1999-09-10,19.9688,20.0313,19.5313,19.6875,15.1709,22683200.0,0.0,1.0
1999-09-13,19.5,19.5156,18.8281,19.0,14.6411,21590800.0,0.0,1.0
1999-09-14,19.2188,20.5781,19.1563,20.3906,15.7127,53950000.0,0.0,1.0
1999-09-15,20.5938,20.5938,19.5156,19.5313,15.0505,40303200.0,0.0,1.0
1999-09-16,19.7813,20.5781,19.4219,20.3594,15.6886,40114000.0,0.0,1.0
1999-09-17,20.25,21.2344,20.1094,21.2031,16.3388,35688400.0,0.0,1.0
1999-09-20,21.0781,21.0938,20.5781,20.9531,16.1462,19530400.0,0.0,1.0
1999-09-21,20.6563,21.0781,20.125,20.3281,15.6646,26373200.0,0.0,1.0
1999-09-22,20.1875,20.9375,19.75,20.9219,16.1221,32493200.0,0.0,1.0
1999-09-23,21.1094,21.125,19.6406,19.7188,15.195,29518800.0,0.0,1.0
1999-09-24,19.5781,20.0,18.9844,19.7188,15.195,32190400.0,0.0,1.0
1999-09-27,19.875,20.7188,19.75,20.5938,15.8692,30348800.0,0.0,1.0
1999-09-28,20.3906,20.4375,19.9219,20.1719,15.5442,27136400.0,0.0,1.0
1999-09-29,20.125,20.7031,19.9063,19.9375,15.3635,29860400.0,0.0,1.0
1999-09-30,19.8125,19.9219,19.0625,19.4219,14.9662,36224800.0,0.0,1.0
1999-10-01,19.25,20.1875,19.1719,19.5469,15.0625,26764400.0,0.0,1.0
1999-10-04,19.75,20.5625,19.4688,20.5156,15.809,16786000.0,0.0,1.0
1999-10-05,20.4844,21.5625,20.4375,21.3906,16.4833,42129600.0,0.0,1.0
1999-10-06,21.4219,21.8125,20.875,21.6875,16.7121,27320000.0,0.0,1.0
1999-10-07,21.5,21.5625,20.5,20.6094,15.8813,25374800.0,0.0,1.0
1999-10-08,20.3281,20.8125,19.6875,20.5625,15.8452,39194000.0,0.0,1.0
1999-10-11,20.6875,20.9844,20.625,20.6875,15.9415,14386800.0,0.0,1.0
1999-10-12,21.25,21.5313,20.0625,20.3125,15.6525,40666400.0,0.0,1.0
1999-10-13,19.9844,20.5469,19.75,19.8906,15.3274,25250800.0,0.0,1.0
1999-10-14,20.0625,20.5313,19.6563,20.0703,15.4659,22446400.0,0.0,1.0
1999-10-15,19.875,20.4219,19.5625,19.9688,15.3876,30475600.0,0.0,1.0
1999-10-18,20.125,20.1563,18.875,19.4375,14.9783,31258400.0,0.0,1.0
1999-10-19,19.6094,19.7813,18.6094,18.6875,14.4003,37466400.0,0.0,1.0
1999-10-20,18.875,19.6875,18.3906,19.625,15.1227,30912000.0,0.0,1.0
1999-10-21,19.0625,19.9375,19.0469,19.7969,15.2552,23835600.0,0.0,1.0
1999-10-22,20.2188,20.5469,19.625,19.7031,15.1829,29499600.0,0.0,1.0
1999-10-25,19.7031,20.4844,19.5625,20.0781,15.4719,19144400.0,0.0,1.0
1999-10-26,20.2344,20.6563,19.5938,20.0313,15.4358,18144000.0,0.0,1.0
1999-10-27,19.875,20.0313,19.2969,19.8281,15.2793,21098800.0,0.0,1.0
1999-10-28,20.2813,20.9688,20.1875,20.9375,16.1341,24262800.0,0.0,1.0
1999-10-29,21.4375,22.5469,21.25,22.4531,17.3021,45226000.0,0.0,1.0
1999-11-01,22.3594,22.9688,21.875,21.9375,16.9047,24914000.0,0.0,1.0
1999-11-02,22.3281,23.2813,22.0156,22.7813,17.5549,30650400.0,0.0,1.0
1999-11-03,23.3125,23.6875,23.1563,23.6094,18.193,29480400.0,0.0,1.0
1999-11-04,23.5625,23.5938,22.75,23.1875,17.8679,25566800.0,0.0,1.0
1999-11-05,23.5313,24.5156,23.4688,24.5,18.8793,25885200.0,0.0,1.0
1999-11-08,24.25,24.5625,24.0156,24.2969,18.7228,14760000.0,0.0,1.0
1999-11-09,24.7813,25.0156,24.0,24.8594,19.1563,27162800.0,0.0,1.0
1999-11-10,24.8594,25.625,24.8438,25.4375,19.6018,33190400.0,0.0,1.0
1999-11-11,25.6875,27.1406,25.6875,27.125,20.9021,30762400.0,0.0,1.0
1999-11-12,26.9375,27.25,26.3438,27.25,20.9985,30448000.0,0.0,1.0
1999-11-15,27.2188,27.3125,26.0,26.3125,20.276,29528000.0,0.0,1.0
1999-11-16,26.2188,27.25,25.875,26.375,20.3242,32206400.0,0.0,1.0
1999-11-17,27.25,28.3125,26.5,27.5,21.1911,59614800.0,0.0,1.0
1999-11-18,27.0313,27.1563,26.25,26.75,20.6132,46173200.0,0.0,1.0
1999-11-19,26.8438,27.5781,26.5313,26.8125,20.6613,33620000.0,0.0,1.0
1999-11-22,26.8906,27.125,25.7188,25.8281,19.9028,33063200.0,0.0,1.0
1999-11-23,25.9375,26.4063,25.125,25.7188,19.8185,23247600.0,0.0,1.0
1999-11-24,25.6094,25.7188,25.0313,25.6094,19.7342,18517200.0,0.0,1.0
1999-11-26,25.6875,25.9688,25.4688,25.5,19.6499,9561200.0,0.0,1.0
1999-11-29,25.4375,25.8281,24.9531,25.3281,19.5175,22671200.0,0.0,1.0
1999-11-30,25.25,25.5,24.3438,24.3594,18.771,27904400.0,0.0,1.0
1999-12-01,24.6875,25.4063,24.5313,25.125,19.361,22408000.0,0.0,1.0
1999-12-02,25.1719,26.9688,25.1719,26.9375,20.7576,27059600.0,0.0,1.0
1999-12-03,27.4688,27.75,26.9063,27.5625,21.2393,31146800.0,0.0,1.0
1999-12-06,27.375,28.7656,26.9688,28.5781,22.0219,24638400.0,0.0,1.0
1999-12-07,28.375,28.3906,27.2188,27.8125,21.4319,24614800.0,0.0,1.0
1999-12-08,27.5781,28.7813,27.0781,28.7031,22.1182,34060000.0,0.0,1.0
1999-12-09,28.75,28.8438,27.5,28.1719,21.7088,24642400.0,0.0,1.0
1999-12-10,28.25,28.25,26.6563,27.3594,21.0827,23124800.0,0.0,1.0
1999-12-13,27.3125,27.9688,26.9375,27.0156,20.8179,16774400.0,0.0,1.0
1999-12-14,27.3594,27.3594,26.0938,26.1406,20.1436,33220800.0,0.0,1.0
1999-12-15,26.2344,26.5625,25.0,25.8125,19.8907,29711600.0,0.0,1.0
1999-12-16,26.1719,27.6719,26.1563,27.6406,21.2995,26748000.0,0.0,1.0
1999-12-17,28.7227,28.75,27.5781,27.6875,21.3356,22412400.0,0.0,1.0
1999-12-20,28.4375,29.6563,28.25,29.0781,22.4072,24344800.0,0.0,1.0
1999-12-21,28.8438,30.9688,28.6719,30.9063,23.8159,23091200.0,0.0,1.0
1999-12-22,30.5,30.7188,29.625,30.2344,23.2982,19009200.0,0.0,1.0
1999-12-23,30.3438,30.75,29.5,30.4063,23.4306,12173600.0,0.0,1.0
1999-12-27,30.4375,31.9375,30.0313,31.9219,24.5985,14067600.0,0.0,1.0
1999-12-28,31.75,31.875,30.6875,31.5156,24.2855,10220000.0,0.0,1.0
1999-12-29,31.1563,31.75,31.1563,31.5938,24.3457,6705200.0,0.0,1.0
1999-12-30,31.6563,31.6719,30.75,31.0938,23.9604,7153200.0,0.0,1.0
1999-12-31,31.1406,32.25,31.0313,31.6719,24.4059,6462800.0,0.0,1.0
2000-01-03,32.0938,32.0938,30.3438,31.625,24.3698,14356400.0,0.0,1.0
2000-01-04,30.4375,31.3125,30.0,30.0625,23.1657,22822400.0,0.0,1.0
2000-01-05,29.5156,30.0469,28.4063,28.9375,22.2988,27791200.0,0.0,1.0
2000-01-06,28.5625,29.7188,28.0625,28.9844,22.3349,22438000.0,0.0,1.0
2000-01-07,28.1875,29.2656,27.75,29.2344,22.5276,37732400.0,0.0,1.0
2000-01-10,29.7813,31.7969,29.625,31.5938,24.3457,30214400.0,0.0,1.0
2000-01-11,30.9375,32.4219,30.0469,30.2031,23.2741,27264000.0,0.0,1.0
2000-01-12,30.5,31.8125,29.4688,31.7656,24.4781,30550400.0,0.0,1.0
2000-01-13,30.9063,31.875,29.9063,31.125,23.9845,44196400.0,0.0,1.0
2000-01-14,32.4531,34.75,32.375,33.9063,26.1277,61415200.0,0.0,1.0
2000-01-18,33.4688,34.4375,33.0313,33.7813,26.0313,27733600.0,0.0,1.0
2000-01-19,33.875,35.8125,33.5625,35.5938,27.428,29092400.0,0.0,1.0
2000-01-20,35.9688,36.3438,34.6563,35.0,26.9705,28180000.0,0.0,1.0
2000-01-21,35.4063,35.6875,34.4531,35.3125,27.2113,30846000.0,0.0,1.0
2000-01-24,35.0781,36.6563,35.0625,35.125,27.0668,25352800.0,0.0,1.0
2000-01-25,35.3594,36.3281,33.8125,36.1094,27.8254,32854800.0,0.0,1.0
2000-01-26,36.0156,36.1094,33.5156,33.5781,25.8748,27227600.0,0.0,1.0
2000-01-27,34.2969,35.0781,33.3438,33.875,26.1036,26986000.0,0.0,1.0
2000-01-28,33.6563,34.5938,32.1406,32.4375,24.9959,31494800.0,0.0,1.0
2000-01-31,32.1719,34.3906,32.0625,34.3125,26.4407,30351200.0,0.0,1.0
2000-02-01,33.4375,35.3438,33.3125,35.125,27.0668,22794800.0,0.0,1.0
2000-02-02,35.0156,36.7813,34.9063,35.9531,27.705,27897200.0,0.0,1.0
2000-02-03,36.2344,37.5,36.2344,37.125,28.608,23597200.0,0.0,1.0
2000-02-04,37.4063,37.7188,36.2188,36.3438,28.006,18998000.0,0.0,1.0
2000-02-07,36.375,38.5469,36.0,38.4063,29.5953,21438000.0,0.0,1.0
2000-02-08,38.6875,40.375,38.125,40.2813,31.0401,37100400.0,0.0,1.0
2000-02-09,39.7969,42.1406,39.7813,40.9336,31.5428,37757200.0,0.0,1.0
2000-02-10,40.9375,43.6875,40.3125,43.6875,33.665,27658800.0,0.0,1.0
2000-02-11,43.2188,43.5781,40.875,41.25,31.7866,33136400.0,0.0,1.0
2000-02-14,41.9063,42.4063,39.9375,40.2656,31.0281,30705200.0,0.0,1.0
2000-02-15,40.9688,42.3125,39.9531,41.625,32.0756,41104800.0,0.0,1.0
2000-02-16,43.75,44.4375,42.875,43.3438,33.4001,50966000.0,0.0,1.0
2000-02-17,43.5156,47.2344,42.4688,47.0938,36.2898,47536400.0,0.0,1.0
2000-02-18,47.0781,47.4375,44.25,44.4375,34.2429,35272800.0,0.0,1.0
2000-02-22,44.0938,46.0,43.3594,44.6992,34.4446,30175600.0,0.0,1.0
2000-02-23,44.625,46.0625,44.4063,45.25,34.869,23998000.0,0.0,1.0
2000-02-24,45.0625,46.6875,44.6875,45.875,35.3506,27143200.0,0.0,1.0
2000-02-25,45.9219,46.3438,42.75,43.0781,33.1954,26224800.0,0.0,1.0
2000-02-28,43.4375,44.8125,41.7813,44.2188,34.0743,34048000.0,0.0,1.0
2000-02-29,45.0,46.125,44.9063,45.7344,35.2422,27234400.0,0.0,1.0
2000-03-01,45.875,46.375,45.3594,46.1563,35.5673,19686000.0,0.0,1.0
2000-03-02,45.8125,46.7188,45.0625,45.1289,34.7757,17372800.0,0.0,1.0
2000-03-03,46.0938,47.75,45.9688,47.6875,36.7473,23431200.0,0.0,1.0
2000-03-06,47.7969,48.3438,45.3906,46.0,35.4469,21448400.0,0.0,1.0
2000-03-07,46.5625,47.9219,45.875,46.0313,35.471,24902800.0,0.0,1.0
2000-03-08,46.3672,46.4375,43.2656,44.8438,34.5559,32934800.0,0.0,1.0
2000-03-09,44.625,47.625,43.5156,47.5781,36.663,22627200.0,0.0,1.0
2000-03-10,47.0273,49.2344,46.7344,48.2656,37.1928,24828800.0,0.0,1.0
2000-03-13,46.3711,47.75,46.125,46.9844,36.2055,27823600.0,0.0,1.0
2000-03-14,47.875,48.0625,44.6172,44.6875,34.4355,34925200.0,0.0,1.0
2000-03-15,44.7188,45.1875,42.125,42.7969,32.9786,50149200.0,0.0,1.0
2000-03-16,43.75,45.375,40.75,43.9688,33.8817,31674000.0,0.0,2.0
2000-03-17,45.0625,48.2813,44.9688,47.9297,36.9339,25240600.0,0.0,1.0
2000-03-20,47.5938,48.75,46.5625,47.0,36.2175,22011400.0,0.0,1.0
2000-03-21,47.2188,49.4375,46.0,49.0,37.7587,19909400.0,0.0,1.0
2000-03-22,48.9688,52.5625,48.5,52.375,40.3594,18566000.0,0.0,1.0
2000-03-23,52.125,54.625,51.0,51.2188,39.4684,19089600.0,0.0,1.0
2000-03-24,52.7188,55.0,51.75,53.4063,41.1541,21554800.0,0.0,1.0
2000-03-27,53.9688,55.0,52.75,54.2813,41.8283,14457400.0,0.0,1.0
2000-03-28,53.9375,54.125,50.5,51.0313,39.324,18758600.0,0.0,1.0
2000-03-29,51.3125,51.3438,48.0625,48.4063,37.3012,22673800.0,0.0,1.0
2000-03-30,47.3125,49.0,43.625,46.5,35.8322,28126400.0,0.0,1.0
2000-03-31,47.0,48.4688,44.0625,47.125,36.3138,34750400.0,0.0,1.0
2000-04-03,47.7813,48.375,43.5,44.625,34.3874,25758400.0,0.0,1.0
2000-04-04,46.6875,50.125,42.5,49.0625,37.8069,47590600.0,0.0,1.0
2000-04-05,48.125,55.125,48.0,52.0938,40.1427,43664400.0,0.0,1.0
2000-04-06,53.25,55.625,52.1875,53.3438,41.1059,27906400.0,0.0,1.0
2000-04-07,54.0,57.5,53.5625,57.4375,44.2605,24500600.0,0.0,1.0
2000-04-10,57.1875,57.3125,51.625,51.6875,39.8296,31959600.0,0.0,1.0
2000-04-11,50.875,55.625,49.8438,52.3125,40.3112,38127000.0,0.0,1.0
2000-04-12,53.5313,54.375,47.5625,48.7813,37.5901,38652400.0,0.0,1.0
2000-04-13,50.5,51.125,44.4688,44.5,34.2911,50301000.0,0.0,1.0
2000-04-14,44.1563,44.1563,39.0,40.1563,30.9438,56500800.0,0.0,1.0
2000-04-17,40.5625,48.3438,39.4688,48.3125,37.2289,42170400.0,0.0,1.0
2000-04-18,48.5,50.5625,47.5,50.5,38.9146,35026800.0,0.0,1.0
2000-04-19,50.9688,51.0,45.0625,45.75,35.2543,26403600.0,0.0,1.0
2000-04-20,46.8125,47.4688,45.3125,46.5625,35.8804,22046200.0,0.0,1.0
2000-04-24,44.125,46.0,42.5,45.625,35.158,27603800.0,0.0,1.0
2000-04-25,46.875,48.5313,46.1875,47.6563,36.7232,29233200.0,0.0,1.0
2000-04-26,47.9375,50.0,44.9063,45.2188,34.8449,28792400.0,0.0,1.0
2000-04-27,44.5625,51.125,44.3125,50.1563,38.6497,34258200.0,0.0,1.0
2000-04-28,51.4688,52.9688,50.25,50.9063,39.2276,28244800.0,0.0,1.0
2000-05-01,51.8438,52.375,49.1875,49.9688,38.5052,23929400.0,0.0,1.0
2000-05-02,49.5625,51.625,48.0,48.0625,37.0363,20796400.0,0.0,1.0
2000-05-03,47.75,48.25,45.0,47.25,36.4102,25262400.0,0.0,1.0
2000-05-04,48.375,49.4375,46.875,48.875,37.6624,30632800.0,0.0,1.0
2000-05-05,50.2813,51.4375,50.125,50.9375,39.2517,28783400.0,0.0,1.0
2000-05-08,50.2813,51.5,47.4688,47.8438,36.8677,30611800.0,0.0,1.0
2000-05-09,48.5313,48.8125,45.125,45.3125,34.9171,34374200.0,0.0,1.0
2000-05-10,44.9063,45.125,41.75,42.3125,32.6054,65727200.0,0.0,1.0
2000-05-11,41.5,43.375,39.9063,42.625,32.8462,79712400.0,0.0,1.0
2000-05-12,43.4063,44.75,41.875,42.2188,32.5332,28628000.0,0.0,1.0
2000-05-15,42.25,44.5,40.8125,44.5,34.2911,21820800.0,0.0,1.0
2000-05-16,45.9141,47.125,44.75,46.4688,35.8081,30442200.0,0.0,1.0
2000-05-17,45.4375,47.0,44.75,44.8125,34.5319,27816000.0,0.0,1.0
2000-05-18,45.2813,45.375,42.4063,42.5,32.7499,21185800.0,0.0,1.0
2000-05-19,42.25,42.75,39.625,40.0938,30.8957,36998000.0,0.0,1.0
2000-05-22,40.375,40.5,35.8125,39.6563,30.5585,49372200.0,0.0,1.0
2000-05-23,39.0625,40.1563,35.75,35.9375,27.6929,41466800.0,0.0,1.0
2000-05-24,36.0625,39.9688,34.4063,39.2188,30.2214,51908600.0,0.0,1.0
2000-05-25,39.625,42.0,37.5,38.3438,29.5471,41084600.0,0.0,1.0
2000-05-26,38.6172,39.5,36.4063,37.1563,28.6321,22055800.0,0.0,1.0
2000-05-30,38.875,42.5625,38.7188,42.4688,32.7258,28432400.0,0.0,1.0
2000-05-31,42.375,43.875,41.5313,41.75,32.1719,33103800.0,0.0,1.0
2000-06-01,43.0,44.625,42.75,43.875,33.8094,26072000.0,0.0,1.0
2000-06-02,47.375,47.75,46.1875,46.7813,36.049,28359600.0,0.0,1.0
