date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,17.0,17.0,17.0,17.0,7.9698,0.0,0.0,1.0
1999-08-10,17.0,17.0,16.5,16.5,7.7354,400.0,0.0,1.0
1999-08-11,16.5,16.5,16.5,16.5,7.7354,0.0,0.0,1.0
1999-08-12,17.0,17.0,17.0,17.0,7.9698,1000.0,0.0,1.0
1999-08-13,17.0,17.0,16.0,16.375,7.6768,7600.0,0.0,1.0
1999-08-16,16.125,17.0,16.125,17.0,7.9698,300.0,0.0,1.0
1999-08-17,17.0,17.0,17.0,17.0,7.9698,0.0,0.0,1.0
1999-08-18,17.0,17.0,17.0,17.0,7.9698,200.0,0.0,1.0
1999-08-19,16.0,16.0,16.0,16.0,7.501,200.0,0.0,1.0
1999-08-20,17.0,17.0,17.0,17.0,7.9698,200.0,0.0,1.0
1999-08-23,16.0,16.5,16.0,16.5,7.7354,600.0,0.0,1.0
1999-08-24,16.0,16.0,16.0,16.0,7.501,1200.0,0.0,1.0
1999-08-25,15.0,15.25,15.0,15.25,7.1494,600.0,0.0,1.0
1999-08-26,16.0,16.0,16.0,16.0,7.501,400.0,0.0,1.0
1999-08-27,16.0,16.5,15.75,16.5,7.7354,2900.0,0.0,1.0
1999-08-30,16.5,17.25,16.5,17.25,8.087,1300.0,0.0,1.0
1999-08-31,17.0,18.0,17.0,17.5,8.2042,6000.0,0.0,1.0
1999-09-01,17.5,17.5,17.5,17.5,8.2042,1500.0,0.0,1.0
1999-09-02,17.5,17.5,17.5,17.5,8.2042,0.0,0.0,1.0
1999-09-03,16.5,16.5,16.5,16.5,7.7354,900.0,0.0,1.0
1999-09-07,16.5,16.5,16.5,16.5,7.7354,0.0,0.0,1.0
1999-09-08,16.3125,16.3125,16.3125,16.3125,7.7106,0.0,0.135,1.0
1999-09-09,16.3125,16.3125,16.3125,16.3125,7.7106,0.0,0.0,1.0
1999-09-10,16.0,16.0,16.0,16.0,7.5629,700.0,0.0,1.0
1999-09-13,16.0,16.0,16.0,16.0,7.5629,0.0,0.0,1.0
1999-09-14,16.5,16.75,16.5,16.75,7.9174,3200.0,0.0,1.0
1999-09-15,16.5,16.5,16.5,16.5,7.7992,200.0,0.0,1.0
1999-09-16,16.0,16.375,16.0,16.375,7.7401,1100.0,0.0,1.0
1999-09-17,16.375,16.375,16.0,16.0,7.5629,900.0,0.0,1.0
1999-09-20,15.0,15.5,15.0,15.5,7.3265,1000.0,0.0,1.0
1999-09-21,16.0,16.5,16.0,16.25,7.681,3800.0,0.0,1.0
1999-09-22,16.25,16.25,16.25,16.25,7.681,0.0,0.0,1.0
1999-09-23,16.25,16.25,15.25,15.25,7.2084,1000.0,0.0,1.0
1999-09-24,16.375,16.375,16.375,16.375,7.7401,200.0,0.0,1.0
1999-09-27,16.375,16.375,16.375,16.375,7.7401,100.0,0.0,1.0
1999-09-28,16.5,16.5,16.375,16.375,7.7401,4800.0,0.0,1.0
1999-09-29,16.5,24.0,16.5,19.25,9.0991,40500.0,0.0,1.0
1999-09-30,21.0,25.0,18.5,22.75,10.7535,87400.0,0.0,1.0
1999-10-01,22.0,22.0,20.0,20.0,9.4536,3600.0,0.0,1.0
1999-10-04,20.0,20.75,20.0,20.75,9.8081,5100.0,0.0,1.0
1999-10-05,20.75,21.0,19.5,20.25,9.5718,13400.0,0.0,1.0
1999-10-06,19.5,23.0,19.5,22.875,10.8126,16100.0,0.0,1.0
1999-10-07,22.0,22.0,19.75,21.5,10.1626,1600.0,0.0,1.0
1999-10-08,21.5,21.5,21.5,21.5,10.1626,200.0,0.0,1.0
1999-10-11,21.5,21.5,21.5,21.5,10.1626,900.0,0.0,1.0
1999-10-12,21.5,22.0,21.5,22.0,10.399,3600.0,0.0,1.0
1999-10-13,20.25,20.25,20.25,20.25,9.5718,400.0,0.0,1.0
1999-10-14,21.0,21.0,21.0,21.0,9.9263,1400.0,0.0,1.0
1999-10-15,20.0,20.625,20.0,20.25,9.5718,7100.0,0.0,1.0
1999-10-18,20.25,20.5,19.875,19.875,9.3945,1800.0,0.0,1.0
1999-10-19,19.875,19.875,19.875,19.875,9.3945,0.0,0.0,1.0
1999-10-20,20.0,20.0,20.0,20.0,9.4536,200.0,0.0,1.0
1999-10-21,20.4375,21.0,20.4375,21.0,9.9263,400.0,0.0,1.0
1999-10-22,21.125,21.125,21.0,21.0,9.9263,1700.0,0.0,1.0
1999-10-25,20.25,20.25,19.875,19.875,9.3945,17900.0,0.0,1.0
1999-10-26,20.125,20.125,19.875,19.875,9.3945,300.0,0.0,1.0
1999-10-27,19.875,19.875,19.875,19.875,9.3945,0.0,0.0,1.0
1999-10-28,19.875,19.875,19.875,19.875,9.3945,0.0,0.0,1.0
1999-10-29,19.875,20.625,19.875,20.625,9.749,1300.0,0.0,1.0
1999-11-01,19.375,19.375,19.375,19.375,9.1582,100.0,0.0,1.0
1999-11-02,20.25,20.25,20.25,20.25,9.5718,300.0,0.0,1.0
1999-11-03,20.25,20.25,20.25,20.25,9.5718,0.0,0.0,1.0
1999-11-04,20.25,20.25,20.25,20.25,9.5718,0.0,0.0,1.0
1999-11-05,21.0,21.0,20.625,20.625,9.749,200.0,0.0,1.0
1999-11-08,20.625,20.625,20.625,20.625,9.749,0.0,0.0,1.0
1999-11-09,20.625,20.625,20.625,20.625,9.749,0.0,0.0,1.0
1999-11-10,20.5,20.5,20.5,20.5,9.6899,2000.0,0.0,1.0
1999-11-11,20.5,20.5,20.5,20.5,9.6899,0.0,0.0,1.0
1999-11-12,21.125,21.125,19.0,19.0,8.9809,1100.0,0.0,1.0
1999-11-15,19.0,19.0,19.0,19.0,8.9809,0.0,0.0,1.0
1999-11-16,19.0,19.0,19.0,19.0,8.9809,0.0,0.0,1.0
1999-11-17,19.5,20.0,19.5,20.0,9.4536,600.0,0.0,1.0
1999-11-18,20.0,20.0,20.0,20.0,9.4536,0.0,0.0,1.0
1999-11-19,19.0,20.0,19.0,20.0,9.4536,1100.0,0.0,1.0
1999-11-22,20.0,20.0,20.0,20.0,9.4536,300.0,0.0,1.0
1999-11-23,21.0,21.0,21.0,21.0,9.9263,400.0,0.0,1.0
1999-11-24,21.0,21.0,20.0,20.0,9.4536,600.0,0.0,1.0
1999-11-26,20.0,20.0,20.0,20.0,9.4536,0.0,0.0,1.0
1999-11-29,20.0,20.0,20.0,20.0,9.4536,0.0,0.0,1.0
1999-11-30,20.25,22.0,20.25,22.0,10.399,8000.0,0.0,1.0
1999-12-01,20.0,20.0,20.0,20.0,9.512,200.0,0.135,1.0
1999-12-02,20.5,20.5,20.5,20.5,9.7498,1400.0,0.0,1.0
1999-12-03,21.75,21.75,21.0,21.0,9.9876,900.0,0.0,1.0
1999-12-06,20.875,21.0,20.875,21.0,9.9876,3000.0,0.0,1.0
1999-12-07,21.0,21.0,21.0,21.0,9.9876,2400.0,0.0,1.0
1999-12-08,20.875,21.0,20.875,21.0,9.9876,2600.0,0.0,1.0
1999-12-09,21.0,21.0,21.0,21.0,9.9876,0.0,0.0,1.0
1999-12-10,20.0,20.0,20.0,20.0,9.512,800.0,0.0,1.0
1999-12-13,20.0,20.0,20.0,20.0,9.512,0.0,0.0,1.0
1999-12-14,20.0,20.0,20.0,20.0,9.512,2700.0,0.0,1.0
1999-12-15,19.5,19.5,19.5,19.5,9.2742,2800.0,0.0,1.0
1999-12-16,19.5,20.0,19.0,20.0,9.512,6900.0,0.0,1.0
1999-12-17,20.0,20.0,20.0,20.0,9.512,0.0,0.0,1.0
1999-12-20,20.0,20.0,20.0,20.0,9.512,200.0,0.0,1.0
1999-12-21,20.0,20.0,20.0,20.0,9.512,0.0,0.0,1.0
1999-12-22,18.5,18.5,16.5,16.5,7.8474,1600.0,0.0,1.0
1999-12-23,18.5,18.5,18.5,18.5,8.7986,2000.0,0.0,1.0
1999-12-27,18.5,18.5,18.5,18.5,8.7986,0.0,0.0,1.0
1999-12-28,17.0,18.0,17.0,18.0,8.5608,2100.0,0.0,1.0
1999-12-29,18.0,18.0,18.0,18.0,8.5608,0.0,0.0,1.0
1999-12-30,18.0,18.5,18.0,18.5,8.7986,300.0,0.0,1.0
1999-12-31,18.5,18.5,18.5,18.5,8.7986,0.0,0.0,1.0
2000-01-03,18.5,18.5,18.5,18.5,8.7986,0.0,0.0,1.0
2000-01-04,16.75,17.5,16.75,16.75,7.9663,2100.0,0.0,1.0
2000-01-05,16.625,16.625,16.375,16.375,7.7879,2800.0,0.0,1.0
2000-01-06,16.0,16.125,14.5,15.5,7.3718,5600.0,0.0,1.0
2000-01-07,16.0,16.625,16.0,16.625,7.9068,1800.0,0.0,1.0
2000-01-10,16.0,16.0,15.5,15.5,7.3718,6700.0,0.0,1.0
2000-01-11,15.5,15.5,15.5,15.5,7.3718,4200.0,0.0,1.0
2000-01-12,15.875,15.875,15.875,15.875,7.5501,1100.0,0.0,1.0
2000-01-13,16.375,17.375,16.375,17.375,8.2635,1800.0,0.0,1.0
2000-01-14,17.625,17.75,17.625,17.625,8.3824,2000.0,0.0,1.0
2000-01-18,17.625,17.625,17.625,17.625,8.3824,400.0,0.0,1.0
2000-01-19,17.9375,17.9375,16.75,16.75,7.9663,2300.0,0.0,1.0
2000-01-20,16.625,17.75,16.625,17.75,8.4419,1300.0,0.0,1.0
2000-01-21,17.25,17.75,17.25,17.75,8.4419,7900.0,0.0,1.0
2000-01-24,18.0,18.0,17.625,17.625,8.3824,1000.0,0.0,1.0
2000-01-25,17.625,17.625,15.75,15.75,7.4907,3500.0,0.0,1.0
2000-01-26,17.9375,18.0,15.75,17.75,8.4419,4300.0,0.0,1.0
2000-01-27,17.0,17.0,17.0,17.0,8.0852,1800.0,0.0,1.0
2000-01-28,18.0,18.0,17.9375,18.0,8.5608,2200.0,0.0,1.0
2000-01-31,18.0,18.0,18.0,18.0,8.5608,100.0,0.0,1.0
2000-02-01,17.625,17.625,17.625,17.625,8.3824,2300.0,0.0,1.0
2000-02-02,17.75,17.75,17.75,17.75,8.4419,5000.0,0.0,1.0
2000-02-03,17.75,17.75,17.75,17.75,8.4419,0.0,0.0,1.0
2000-02-04,17.75,17.75,17.75,17.75,8.4419,0.0,0.0,1.0
2000-02-07,17.125,17.375,17.125,17.375,8.2635,400.0,0.0,1.0
2000-02-08,18.0,18.0,18.0,18.0,8.5608,600.0,0.0,1.0
2000-02-09,17.375,17.375,17.25,17.25,8.2041,4600.0,0.0,1.0
2000-02-10,17.125,17.125,16.875,16.875,8.0257,1900.0,0.0,1.0
2000-02-11,16.5,16.5,15.625,15.625,7.4312,1700.0,0.0,1.0
2000-02-14,16.5,16.5,16.25,16.25,7.7285,4400.0,0.0,1.0
2000-02-15,16.125,16.125,15.5625,16.0,7.6096,8200.0,0.0,1.0
2000-02-16,16.0,16.0,16.0,16.0,7.6096,0.0,0.0,1.0
2000-02-17,15.625,15.625,15.5625,15.5625,7.4015,3100.0,0.0,1.0
2000-02-18,15.5,15.5,15.0,15.0,7.134,1000.0,0.0,1.0
2000-02-22,14.875,14.875,14.875,14.875,7.0745,700.0,0.0,1.0
2000-02-23,14.875,14.875,14.875,14.875,7.0745,0.0,0.0,1.0
2000-02-24,14.875,14.875,14.875,14.875,7.0745,0.0,0.0,1.0
2000-02-25,14.875,14.875,14.875,14.875,7.0745,0.0,0.0,1.0
2000-02-28,17.125,17.25,17.0,17.0,8.0852,1100.0,0.0,1.0
2000-02-29,17.0,17.0,17.0,17.0,8.0852,0.0,0.0,1.0
2000-03-01,17.0,17.0,17.0,17.0,8.0852,0.0,0.0,1.0
2000-03-02,17.0,17.0,17.0,17.0,8.0852,0.0,0.0,1.0
2000-03-03,17.0,17.0,17.0,17.0,8.0852,0.0,0.0,1.0
2000-03-06,16.5,16.5,16.5,16.5,7.8474,500.0,0.0,1.0
2000-03-07,15.0,15.0,15.0,15.0,7.134,100.0,0.0,1.0
2000-03-08,15.0,15.0,15.0,15.0,7.1988,1200.0,0.135,1.0
2000-03-09,15.0,15.0,11.0,15.0,7.1988,5000.0,0.0,1.0
2000-03-10,15.0,15.0,15.0,15.0,7.1988,0.0,0.0,1.0
2000-03-13,15.0,15.0,15.0,15.0,7.1988,0.0,0.0,1.0
2000-03-14,15.0,15.125,15.0,15.125,7.2588,2000.0,0.0,1.0
