date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-03-06,9.7,9.7,9.7,9.7,9.7,475000.0,0.0,1.0
2019-03-07,9.7,9.7,9.7,9.7,9.7,0.0,0.0,1.0
2019-03-08,9.7,9.7,9.7,9.7,9.7,100.0,0.0,1.0
2019-03-11,9.7,9.7,9.7,9.7,9.7,0.0,0.0,1.0
2019-03-12,9.7,9.7,9.7,9.7,9.7,0.0,0.0,1.0
2019-03-13,9.7,9.7,9.7,9.7,9.7,0.0,0.0,1.0
2019-03-14,9.7,9.71,9.7,9.7,9.7,2000.0,0.0,1.0
2019-03-15,9.7,9.7,9.7,9.7,9.7,0.0,0.0,1.0
2019-03-18,9.7,9.7,9.7,9.7,9.7,0.0,0.0,1.0
2019-03-19,9.7,9.7,9.7,9.7,9.7,0.0,0.0,1.0
2019-03-20,9.76,9.76,9.736,9.736,9.736,104800.0,0.0,1.0
2019-03-21,9.73,9.73,9.73,9.73,9.73,200000.0,0.0,1.0
2019-03-22,9.73,9.73,9.73,9.73,9.73,0.0,0.0,1.0
2019-03-25,9.73,9.73,9.73,9.73,9.73,30000.0,0.0,1.0
2019-03-26,9.75,9.75,9.75,9.75,9.75,13100.0,0.0,1.0
2019-03-27,9.75,9.75,9.75,9.75,9.75,200.0,0.0,1.0
2019-03-28,9.75,9.75,9.75,9.75,9.75,0.0,0.0,1.0
2019-03-29,9.8,9.8,9.75,9.75,9.75,5200.0,0.0,1.0
2019-04-01,9.78,9.78,9.75,9.77,9.77,51400.0,0.0,1.0
2019-04-02,9.96,9.96,9.76,9.76,9.76,3300.0,0.0,1.0
2019-04-03,9.76,9.76,9.76,9.76,9.76,680000.0,0.0,1.0
2019-04-04,9.76,9.76,9.76,9.76,9.76,0.0,0.0,1.0
2019-04-05,9.74,9.76,9.74,9.74,9.74,10900.0,0.0,1.0
2019-04-08,9.74,9.75,9.74,9.75,9.75,25300.0,0.0,1.0
2019-04-09,9.75,9.75,9.75,9.75,9.75,0.0,0.0,1.0
2019-04-10,9.75,9.75,9.75,9.75,9.75,0.0,0.0,1.0
2019-04-11,9.755,9.81,9.75,9.77,9.77,165700.0,0.0,1.0
2019-04-12,9.77,9.77,9.77,9.77,9.77,0.0,0.0,1.0
2019-04-15,9.78,9.78,9.78,9.78,9.78,100.0,0.0,1.0
2019-04-16,9.8,9.8,9.8,9.8,9.8,400.0,0.0,1.0
2019-04-17,9.81,9.81,9.8,9.81,9.81,100500.0,0.0,1.0
2019-04-18,9.8,9.8,9.8,9.8,9.8,1000.0,0.0,1.0
2019-04-22,9.81,9.81,9.81,9.81,9.81,1200.0,0.0,1.0
