date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-05-14,8.4,9.5,7.95,9.4,9.4,1342600.0,0.0,1.0
2019-05-15,9.45,10.25,9.45,9.75,9.75,213900.0,0.0,1.0
2019-05-16,9.73,10.19,9.021,9.91,9.91,97800.0,0.0,1.0
2019-05-17,9.14,10.194,9.14,10.02,10.02,116900.0,0.0,1.0
2019-05-20,10.02,10.2,10.0,10.012,10.012,73000.0,0.0,1.0
2019-05-21,10.05,10.18,10.0,10.05,10.05,138100.0,0.0,1.0
2019-05-22,10.0,10.065,9.725,10.0,10.0,37200.0,0.0,1.0
2019-05-23,10.09,10.09,9.85,9.94,9.94,13700.0,0.0,1.0
2019-05-24,10.0,10.03,9.69,10.01,10.01,88700.0,0.0,1.0
2019-05-28,10.01,10.05,9.94,9.94,9.94,6400.0,0.0,1.0
2019-05-29,10.04,10.04,9.9,10.0,10.0,35300.0,0.0,1.0
2019-05-30,9.83,10.04,9.83,9.96,9.96,7300.0,0.0,1.0
2019-05-31,9.795,10.02,9.75,9.89,9.89,16900.0,0.0,1.0
2019-06-03,10.04,10.04,9.8,10.02,10.02,27500.0,0.0,1.0
2019-06-04,9.94,10.0,9.94,9.96,9.96,19400.0,0.0,1.0
2019-06-05,10.0,10.09,10.0,10.0,10.0,13300.0,0.0,1.0
2019-06-06,10.045,10.045,9.0,9.1,9.1,71500.0,0.0,1.0
2019-06-07,9.27,9.6,8.94,9.3,9.3,119700.0,0.0,1.0
2019-06-10,10.1,10.1,9.34,9.9,9.9,119300.0,0.0,1.0
2019-06-11,10.1,11.198,9.85,9.92,9.92,60100.0,0.0,1.0
2019-06-12,10.15,10.21,9.96,10.0,10.0,33100.0,0.0,1.0
2019-06-13,10.025,10.03,9.58,9.76,9.76,11200.0,0.0,1.0
2019-06-14,9.86,10.14,8.09,8.55,8.55,77700.0,0.0,1.0
2019-06-17,8.63,9.605,8.63,9.06,9.06,33800.0,0.0,1.0
2019-06-18,9.26,9.26,8.97,8.99,8.99,7500.0,0.0,1.0
2019-06-19,9.01,9.94,9.01,9.26,9.26,20100.0,0.0,1.0
2019-06-20,9.26,10.0,8.697,9.25,9.25,16300.0,0.0,1.0
2019-06-21,8.71,9.409,8.24,8.64,8.64,70600.0,0.0,1.0
2019-06-24,8.34,8.866,8.34,8.69,8.69,32600.0,0.0,1.0
2019-06-25,8.254,8.533,8.06,8.405,8.405,10500.0,0.0,1.0
2019-06-26,8.451,8.476,8.09,8.1,8.1,9400.0,0.0,1.0
2019-06-27,8.2,8.48,8.186,8.33,8.33,17100.0,0.0,1.0
2019-06-28,8.37,8.645,8.24,8.24,8.24,12600.0,0.0,1.0
2019-07-01,8.24,8.849,8.24,8.5,8.5,43700.0,0.0,1.0
2019-07-02,8.7,8.7,8.24,8.32,8.32,7800.0,0.0,1.0
2019-07-03,8.435,8.435,8.26,8.26,8.26,5400.0,0.0,1.0
2019-07-05,8.24,8.38,8.12,8.12,8.12,7400.0,0.0,1.0
2019-07-08,8.22,8.273,8.08,8.08,8.08,6300.0,0.0,1.0
2019-07-09,8.15,8.49,8.116,8.37,8.37,3000.0,0.0,1.0
2019-07-10,8.46,8.51,8.1,8.1,8.1,6200.0,0.0,1.0
2019-07-11,8.09,8.36,8.09,8.1,8.1,12100.0,0.0,1.0
2019-07-12,8.1,9.46,8.1,8.99,8.99,26500.0,0.0,1.0
2019-07-15,8.99,9.42,8.78,9.42,9.42,7200.0,0.0,1.0
2019-07-16,9.26,9.27,8.36,9.27,9.27,5800.0,0.0,1.0
2019-07-17,9.74,9.74,9.05,9.12,9.12,4700.0,0.0,1.0
2019-07-18,9.3,9.55,9.085,9.1,9.1,24600.0,0.0,1.0
2019-07-19,9.29,9.72,8.826,9.41,9.41,10500.0,0.0,1.0
2019-07-22,9.41,9.41,9.41,9.41,9.41,200.0,0.0,1.0
2019-07-23,9.131,9.58,9.0,9.58,9.58,3100.0,0.0,1.0
2019-07-24,9.012,9.52,9.012,9.07,9.07,2000.0,0.0,1.0
2019-07-25,9.08,9.39,9.0,9.0,9.0,5600.0,0.0,1.0
2019-07-26,9.3,9.5,8.56,8.75,8.75,43400.0,0.0,1.0
2019-07-29,8.535,9.3,8.535,8.92,8.92,3000.0,0.0,1.0
2019-07-30,8.73,9.55,8.635,8.635,8.635,1000.0,0.0,1.0
2019-07-31,9.26,9.54,9.09,9.09,9.09,5800.0,0.0,1.0
2019-08-01,9.18,9.32,8.543,8.91,8.91,13000.0,0.0,1.0
2019-08-02,8.96,9.09,8.96,9.08,9.08,2300.0,0.0,1.0
2019-08-05,9.02,9.48,8.525,8.92,8.92,11100.0,0.0,1.0
2019-08-06,9.24,9.25,8.62,9.25,9.25,11200.0,0.0,1.0
2019-08-07,9.14,9.25,9.0752,9.25,9.25,2506.0,0.0,1.0
