date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-17,4.5469,4.7656,4.4688,4.7031,0.9933,13010400.0,0.0,1.0
1999-08-18,4.7344,4.7344,4.6875,4.6875,0.99,427600.0,0.0,1.0
1999-08-19,4.75,4.75,4.6719,4.6875,0.99,185200.0,0.0,1.0
1999-08-20,4.6875,4.7188,4.6875,4.7188,0.9966,521200.0,0.0,1.0
1999-08-23,4.7188,4.7188,4.6563,4.6563,0.9834,470000.0,0.0,1.0
1999-08-24,4.6563,4.6875,4.625,4.625,0.9768,942000.0,0.0,1.0
1999-08-25,4.625,4.6406,4.375,4.4531,0.9405,635600.0,0.0,1.0
1999-08-26,4.4375,4.4531,4.4063,4.4375,0.9372,333600.0,0.0,1.0
1999-08-27,4.4063,4.4063,4.3125,4.3125,0.9108,330800.0,0.0,1.0
1999-08-30,4.3125,4.3281,4.1563,4.1563,0.8778,634400.0,0.0,1.0
1999-08-31,4.1563,4.2188,4.1563,4.1563,0.8778,282400.0,0.0,1.0
1999-09-01,4.2344,4.25,4.0,4.0,0.8448,584400.0,0.0,1.0
1999-09-02,4.0156,4.0156,3.8125,3.8594,0.8151,837200.0,0.0,1.0
1999-09-03,3.875,3.9531,3.8438,3.9531,0.8349,504000.0,0.0,1.0
1999-09-07,3.9688,3.9688,3.75,3.75,0.792,684400.0,0.0,1.0
1999-09-08,3.7813,3.9219,3.75,3.8906,0.8217,566400.0,0.0,1.0
1999-09-09,3.9688,3.9688,3.625,3.6875,0.7788,1126800.0,0.0,1.0
1999-09-10,3.7188,4.0,3.6563,3.9063,0.825,855200.0,0.0,1.0
1999-09-13,3.9375,4.0,3.75,3.75,0.792,858000.0,0.0,1.0
1999-09-14,3.7891,3.8281,3.6719,3.6875,0.7788,927600.0,0.0,1.0
1999-09-15,3.7188,3.75,3.625,3.6563,0.7722,954800.0,0.0,1.0
1999-09-16,3.625,3.7188,3.5625,3.6875,0.7788,636000.0,0.0,1.0
1999-09-17,3.7188,3.7656,3.6875,3.75,0.792,596000.0,0.0,1.0
1999-09-20,3.7344,3.7656,3.5938,3.5938,0.759,948800.0,0.0,1.0
1999-09-21,3.625,3.625,3.5,3.5156,0.7425,850000.0,0.0,1.0
1999-09-22,3.5313,3.5625,3.375,3.4688,0.7326,1877600.0,0.0,1.0
1999-09-23,3.4688,3.5,3.3828,3.4375,0.726,940000.0,0.0,1.0
1999-09-24,3.4219,3.5313,3.4063,3.5,0.7392,386400.0,0.0,1.0
1999-09-27,3.5313,3.5625,3.4375,3.5,0.7392,846400.0,0.0,1.0
1999-09-28,3.4688,3.5156,3.4219,3.5,0.7392,490400.0,0.0,1.0
1999-09-29,3.5,3.625,3.4688,3.5313,0.7458,861600.0,0.0,1.0
1999-09-30,3.5469,3.625,3.5,3.5938,0.759,465200.0,0.0,1.0
1999-10-01,3.5938,3.5938,3.4063,3.4063,0.7194,677200.0,0.0,1.0
1999-10-04,3.4063,3.4688,3.3125,3.3438,0.7062,462800.0,0.0,1.0
1999-10-05,3.375,3.5469,3.3438,3.4688,0.7326,589200.0,0.0,1.0
