date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-09-27,21.0,21.25,16.0,16.05,16.05,3424000.0,0.0,1.0
2018-09-28,15.98,16.99,15.94,16.87,16.87,315800.0,0.0,1.0
2018-10-01,16.88,17.24,16.0,16.01,16.01,78700.0,0.0,1.0
2018-10-02,16.0,16.11,14.0,14.81,14.81,524100.0,0.0,1.0
2018-10-03,15.25,15.65,14.81,15.65,15.65,87200.0,0.0,1.0
2018-10-04,15.54,15.85,15.0,15.4,15.4,136900.0,0.0,1.0
2018-10-05,15.5,15.9,15.0,15.01,15.01,117600.0,0.0,1.0
2018-10-08,15.21,15.3,14.5,14.87,14.87,125100.0,0.0,1.0
2018-10-09,14.75,15.4,14.75,14.79,14.79,27800.0,0.0,1.0
2018-10-10,14.86,15.33,14.39,14.44,14.44,122400.0,0.0,1.0
2018-10-11,14.46,14.6,13.7,13.7,13.7,110800.0,0.0,1.0
2018-10-12,13.87,14.75,13.75,14.45,14.45,123400.0,0.0,1.0
2018-10-15,14.45,15.51,14.45,15.0,15.0,120300.0,0.0,1.0
2018-10-16,14.96,15.74,14.95,15.45,15.45,118900.0,0.0,1.0
2018-10-17,15.26,15.85,15.26,15.75,15.75,89800.0,0.0,1.0
2018-10-18,15.58,15.72,15.25,15.45,15.45,115800.0,0.0,1.0
2018-10-19,15.42,16.0,15.38,15.56,15.56,153800.0,0.0,1.0
2018-10-22,15.4,15.4,14.6,14.79,14.79,124600.0,0.0,1.0
2018-10-23,14.5,14.99,13.88,14.29,14.29,162000.0,0.0,1.0
2018-10-24,14.14,15.4,14.13,14.93,14.93,231100.0,0.0,1.0
2018-10-25,15.01,16.87,15.01,16.11,16.11,96600.0,0.0,1.0
2018-10-26,15.82,16.64,15.24,16.05,16.05,54900.0,0.0,1.0
2018-10-29,16.02,17.02,16.02,16.89,16.89,19400.0,0.0,1.0
2018-10-30,17.0,17.39,16.58,16.77,16.77,35300.0,0.0,1.0
