date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,24.375,24.375,24.375,24.375,4.0315,0.0,0.0,1.0
1999-08-10,25.0,25.0,25.0,25.0,4.1349,1400.0,0.0,1.0
1999-08-11,25.0,25.0,25.0,25.0,4.1349,0.0,0.0,1.0
1999-08-12,24.625,24.625,24.625,24.625,4.0729,500.0,0.0,1.0
1999-08-13,24.625,24.625,24.625,24.625,4.0729,0.0,0.0,1.0
1999-08-16,24.625,24.625,24.625,24.625,4.0729,0.0,0.0,1.0
1999-08-17,24.625,24.625,24.625,24.625,4.0729,0.0,0.0,1.0
1999-08-18,24.25,24.25,24.25,24.25,4.0109,1100.0,0.0,1.0
1999-08-19,24.25,24.25,24.25,24.25,4.0109,0.0,0.0,1.0
1999-08-20,24.25,24.25,24.25,24.25,4.0109,0.0,0.0,1.0
1999-08-23,24.375,24.375,24.375,24.375,4.0315,500.0,0.0,1.0
1999-08-24,24.375,24.375,24.375,24.375,4.0315,0.0,0.0,1.0
1999-08-25,24.375,24.375,24.375,24.375,4.0315,0.0,0.0,1.0
1999-08-26,24.625,24.625,24.625,24.625,4.0729,1700.0,0.0,1.0
1999-08-27,24.5,24.5,24.5,24.5,4.0522,400.0,0.0,1.0
1999-08-30,24.5,24.5,24.5,24.5,4.0522,0.0,0.0,1.0
1999-08-31,24.5,24.5,24.5,24.5,4.0522,0.0,0.0,1.0
1999-09-01,24.5,24.5,24.5,24.5,4.0522,0.0,0.0,1.0
1999-09-02,24.0,24.0,23.875,23.875,3.9488,500.0,0.0,1.0
1999-09-03,23.875,23.875,23.875,23.875,3.9488,0.0,0.0,1.0
1999-09-07,23.75,24.25,23.75,23.75,3.9282,1000.0,0.0,1.0
1999-09-08,24.25,24.25,24.25,24.25,4.0109,1200.0,0.0,1.0
1999-09-09,24.0,24.0,23.75,23.75,3.9282,1500.0,0.0,1.0
1999-09-10,24.25,24.25,24.25,24.25,4.0109,1000.0,0.0,1.0
1999-09-13,23.5,23.75,23.5,23.75,3.9282,2500.0,0.0,1.0
1999-09-14,23.5,23.5,23.5,23.5,3.8868,500.0,0.0,1.0
1999-09-15,23.5,23.5,23.5,23.5,3.8868,0.0,0.0,1.0
1999-09-16,23.5,23.5,23.5,23.5,3.8868,0.0,0.0,1.0
