date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-05-03,5.0,5.1,4.275,4.95,4.95,86300.0,0.0,1.0
2019-05-06,5.0,5.0,3.89,4.7,4.7,19500.0,0.0,1.0
2019-05-07,4.545,4.545,4.4,4.4,4.4,9100.0,0.0,1.0
2019-05-08,4.37,4.53,4.15,4.53,4.53,2600.0,0.0,1.0
2019-05-09,4.548,4.55,4.095,4.5,4.5,8000.0,0.0,1.0
2019-05-10,4.5,4.54,4.17,4.46,4.46,3100.0,0.0,1.0
2019-05-13,4.55,4.55,4.378,4.38,4.38,5200.0,0.0,1.0
2019-05-14,4.36,4.39,4.25,4.3,4.3,3000.0,0.0,1.0
2019-05-15,4.13,4.27,3.9,4.27,4.27,1600.0,0.0,1.0
2019-05-16,4.44,4.44,4.3,4.327,4.327,2600.0,0.0,1.0
2019-05-17,4.44,4.44,4.2,4.4,4.4,4500.0,0.0,1.0
2019-05-20,4.4,4.4,3.93,4.3,4.3,6200.0,0.0,1.0
2019-05-21,4.2,4.3,4.0,4.0,4.0,2700.0,0.0,1.0
2019-05-22,4.077,4.27,3.75,4.08,4.08,11500.0,0.0,1.0
2019-05-23,4.05,4.05,3.65,3.97,3.97,3000.0,0.0,1.0
2019-05-24,3.72,4.0,3.72,4.0,4.0,4100.0,0.0,1.0
2019-05-28,3.78,4.0,3.427,3.982,3.982,4800.0,0.0,1.0
2019-05-29,4.06,4.06,3.52,3.9,3.9,5600.0,0.0,1.0
2019-05-30,3.61,4.24,3.61,4.23,4.23,5300.0,0.0,1.0
2019-05-31,4.082,4.082,3.661,3.99,3.99,4500.0,0.0,1.0
2019-06-03,4.0,4.0,3.6,3.8,3.8,16800.0,0.0,1.0
2019-06-04,3.9,3.9,3.5,3.6,3.6,16200.0,0.0,1.0
2019-06-05,3.6,3.77,3.59,3.65,3.65,17100.0,0.0,1.0
2019-06-06,3.7,4.0,3.64,3.895,3.895,18600.0,0.0,1.0
2019-06-07,3.51,3.982,3.45,3.71,3.71,15300.0,0.0,1.0
2019-06-10,3.7,3.8,3.41,3.703,3.703,16800.0,0.0,1.0
2019-06-11,3.63,3.74,3.26,3.38,3.38,20600.0,0.0,1.0
2019-06-12,3.39,3.72,3.35,3.48,3.48,20100.0,0.0,1.0
2019-06-13,3.7,3.7,3.26,3.46,3.46,20900.0,0.0,1.0
2019-06-14,3.458,3.608,3.41,3.5,3.5,18000.0,0.0,1.0
2019-06-17,3.411,3.49,3.3,3.31,3.31,17500.0,0.0,1.0
2019-06-18,3.35,3.483,3.3,3.483,3.483,22300.0,0.0,1.0
2019-06-19,3.349,3.675,3.33,3.51,3.51,35700.0,0.0,1.0
2019-06-20,3.34,3.5,3.22,3.396,3.396,21700.0,0.0,1.0
2019-06-21,3.39,3.39,3.35,3.37,3.37,23100.0,0.0,1.0
2019-06-24,3.38,3.56,3.34,3.49,3.49,47100.0,0.0,1.0
2019-06-25,3.39,3.5,3.164,3.42,3.42,56400.0,0.0,1.0
2019-06-26,3.32,3.48,3.21,3.45,3.45,41500.0,0.0,1.0
2019-06-27,3.36,3.465,3.31,3.35,3.35,37600.0,0.0,1.0
2019-06-28,3.32,3.46,3.285,3.363,3.363,58200.0,0.0,1.0
2019-07-01,3.21,3.48,3.2,3.25,3.25,43500.0,0.0,1.0
2019-07-02,3.26,3.46,3.099,3.18,3.18,49100.0,0.0,1.0
2019-07-03,3.166,3.35,3.0,3.1,3.1,30400.0,0.0,1.0
2019-07-05,2.48,3.4,2.48,2.93,2.93,28300.0,0.0,1.0
2019-07-08,2.9,3.46,2.76,3.06,3.06,40900.0,0.0,1.0
2019-07-09,3.18,3.3,2.784,3.082,3.082,38900.0,0.0,1.0
2019-07-10,3.0,3.39,2.85,3.1,3.1,40300.0,0.0,1.0
2019-07-11,3.49,4.79,2.965,3.13,3.13,385700.0,0.0,1.0
2019-07-12,3.1,3.31,2.8,3.02,3.02,38900.0,0.0,1.0
2019-07-15,3.05,3.33,2.75,2.98,2.98,51900.0,0.0,1.0
2019-07-16,3.13,3.33,2.9,3.05,3.05,63100.0,0.0,1.0
2019-07-17,3.13,3.29,3.0,3.0,3.0,23500.0,0.0,1.0
2019-07-18,2.915,3.266,2.9,3.06,3.06,44400.0,0.0,1.0
2019-07-19,3.25,3.37,3.01,3.13,3.13,61600.0,0.0,1.0
2019-07-22,3.05,3.35,2.96,3.21,3.21,57000.0,0.0,1.0
2019-07-23,3.5,3.8,3.03,3.3,3.3,31200.0,0.0,1.0
2019-07-24,3.4,3.7,3.05,3.12,3.12,36800.0,0.0,1.0
2019-07-25,3.13,3.407,3.06,3.395,3.395,31400.0,0.0,1.0
2019-07-26,3.52,3.52,3.136,3.302,3.302,52700.0,0.0,1.0
2019-07-29,3.2,3.57,3.09,3.3,3.3,72500.0,0.0,1.0
2019-07-30,3.32,3.57,3.15,3.464,3.464,53200.0,0.0,1.0
2019-07-31,3.38,3.4,3.22,3.29,3.29,32800.0,0.0,1.0
2019-08-01,3.35,3.48,3.0,3.02,3.02,75000.0,0.0,1.0
2019-08-02,2.81,3.28,2.81,3.2,3.2,35500.0,0.0,1.0
2019-08-05,2.95,3.44,2.95,3.15,3.15,50200.0,0.0,1.0
2019-08-06,3.12,3.25,3.0,3.16,3.16,42900.0,0.0,1.0
2019-08-07,3.25,3.27,3.1,3.19,3.19,45832.0,0.0,1.0
