date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,3.85,3.9,3.85,3.875,2.1273,5000.0,0.0,1.0
1999-08-10,3.85,3.85,3.725,3.725,2.045,35000.0,0.0,1.0
1999-08-11,3.725,3.725,3.725,3.725,2.045,500.0,0.0,1.0
1999-08-12,3.75,3.8,3.75,3.8,2.0861,2500.0,0.0,1.0
1999-08-13,3.75,3.85,3.75,3.85,2.1136,1500.0,0.0,1.0
1999-08-16,3.825,3.825,3.8,3.825,2.0999,6500.0,0.0,1.0
1999-08-17,3.9,3.9,3.9,3.9,2.141,200.0,0.0,1.0
1999-08-18,3.9,3.9,3.875,3.875,2.1273,1700.0,0.0,1.0
1999-08-19,3.85,3.85,3.775,3.775,2.0724,8200.0,0.0,1.0
1999-08-20,3.775,3.775,3.775,3.775,2.0724,0.0,0.0,1.0
1999-08-23,3.825,3.85,3.825,3.85,2.1136,3200.0,0.0,1.0
1999-08-24,3.8,3.9,3.8,3.85,2.1136,16500.0,0.0,1.0
1999-08-25,3.825,3.825,3.825,3.825,2.0999,500.0,0.0,1.0
1999-08-26,3.85,3.95,3.85,3.925,2.1548,5000.0,0.0,1.0
1999-08-27,3.85,3.95,3.85,3.95,2.1685,5700.0,0.0,1.0
1999-08-30,3.95,3.95,3.95,3.95,2.1685,2500.0,0.0,1.0
1999-08-31,3.95,3.95,3.95,3.95,2.1685,0.0,0.0,1.0
1999-09-01,3.95,3.95,3.95,3.95,2.1685,2000.0,0.0,1.0
1999-09-02,3.85,3.95,3.85,3.95,2.1685,7000.0,0.0,1.0
1999-09-03,4.0,4.0,4.0,4.0,2.1959,1000.0,0.0,1.0
1999-09-07,4.0,4.1,4.0,4.1,2.2508,7700.0,0.0,1.0
1999-09-08,4.05,4.15,4.0,4.15,2.2783,4200.0,0.0,1.0
1999-09-09,4.15,4.15,4.1,4.1,2.2508,2200.0,0.0,1.0
1999-09-10,4.2,4.25,4.2,4.25,2.3332,2500.0,0.0,1.0
1999-09-13,4.15,4.3,4.15,4.3,2.3606,7000.0,0.0,1.0
1999-09-14,4.2,4.2,4.1,4.2,2.3057,7500.0,0.0,1.0
1999-09-15,4.15,4.15,4.15,4.15,2.2783,700.0,0.0,1.0
1999-09-16,4.15,4.15,4.15,4.15,2.2783,0.0,0.0,1.0
1999-09-17,4.15,4.15,4.15,4.15,2.2783,0.0,0.0,1.0
1999-09-20,4.15,4.15,4.15,4.15,2.2783,500.0,0.0,1.0
1999-09-21,4.175,4.2,4.175,4.2,2.3057,82200.0,0.0,1.0
1999-09-22,4.15,4.15,4.1,4.1,2.2508,14500.0,0.0,1.0
1999-09-23,4.1,4.1,4.0,4.0,2.1959,3000.0,0.0,1.0
1999-09-24,4.0,4.0,4.0,4.0,2.1959,2200.0,0.0,1.0
1999-09-27,4.0,4.0,3.9,3.95,2.1685,6500.0,0.0,1.0
1999-09-28,3.825,3.825,3.825,3.825,2.1323,200.0,0.06,1.0
1999-09-29,3.825,3.825,3.825,3.825,2.1323,700.0,0.0,1.0
1999-09-30,3.8,3.9,3.8,3.9,2.1741,5500.0,0.0,1.0
1999-10-01,3.9,3.9,3.9,3.9,2.1741,500.0,0.0,1.0
1999-10-04,4.0,4.0,4.0,4.0,2.2298,500.0,0.0,1.0
1999-10-05,4.1,4.1,4.075,4.1,2.2856,5700.0,0.0,1.0
1999-10-06,4.2,4.2,4.0,4.05,2.2577,27700.0,0.0,1.0
1999-10-07,3.95,3.95,3.95,3.95,2.2019,700.0,0.0,1.0
1999-10-08,3.9,3.9,3.9,3.9,2.1741,2000.0,0.0,1.0
1999-10-11,3.85,3.85,3.85,3.85,2.1462,2700.0,0.0,1.0
1999-10-12,3.8,3.8,3.8,3.8,2.1183,66200.0,0.0,1.0
1999-10-13,3.775,3.775,3.65,3.775,2.1044,13500.0,0.0,1.0
1999-10-14,3.775,3.775,3.775,3.775,2.1044,700.0,0.0,1.0
1999-10-15,3.8,3.8,3.725,3.725,2.0765,1700.0,0.0,1.0
1999-10-18,3.65,3.65,3.65,3.65,2.0347,8200.0,0.0,1.0
1999-10-19,3.65,3.65,3.625,3.625,2.0208,69200.0,0.0,1.0
1999-10-20,3.625,3.625,3.6,3.625,2.0208,24000.0,0.0,1.0
1999-10-21,3.575,3.575,3.4,3.4,1.8953,27700.0,0.0,1.0
1999-10-22,3.35,3.35,3.25,3.25,1.8117,37700.0,0.0,1.0
1999-10-25,3.2,3.2,3.15,3.15,1.756,50700.0,0.0,1.0
1999-10-26,3.2,3.25,3.1,3.15,1.756,50200.0,0.0,1.0
1999-10-27,3.15,3.25,3.15,3.175,1.7699,3700.0,0.0,1.0
1999-10-28,3.25,3.35,3.25,3.3,1.8396,64500.0,0.0,1.0
1999-10-29,3.3,3.375,3.3,3.3,1.8396,13200.0,0.0,1.0
1999-11-01,3.325,3.325,3.225,3.275,1.8257,12000.0,0.0,1.0
1999-11-02,3.325,3.325,3.325,3.325,1.8535,700.0,0.0,1.0
1999-11-03,3.35,3.35,3.35,3.35,1.8675,200.0,0.0,1.0
1999-11-04,3.325,3.325,3.325,3.325,1.8535,3500.0,0.0,1.0
1999-11-05,3.325,3.35,3.325,3.325,1.8535,4000.0,0.0,1.0
1999-11-08,3.325,3.325,3.3,3.3,1.8396,5000.0,0.0,1.0
1999-11-09,3.35,3.35,3.3,3.3,1.8396,2500.0,0.0,1.0
1999-11-10,3.25,3.25,3.225,3.225,1.7978,9000.0,0.0,1.0
1999-11-11,3.225,3.4,3.225,3.375,1.8814,9200.0,0.0,1.0
1999-11-12,3.4,3.5,3.4,3.5,1.9511,7500.0,0.0,1.0
1999-11-15,3.45,3.45,3.45,3.45,1.9232,500.0,0.0,1.0
1999-11-16,3.5,3.65,3.5,3.65,2.0347,5000.0,0.0,1.0
1999-11-17,3.6,3.6,3.6,3.6,2.0068,4200.0,0.0,1.0
1999-11-18,3.6,3.6,3.6,3.6,2.0068,0.0,0.0,1.0
1999-11-19,3.6,3.6,3.575,3.575,1.9929,5200.0,0.0,1.0
1999-11-22,3.6,3.6,3.6,3.6,2.0068,5700.0,0.0,1.0
1999-11-23,3.6,3.6,3.5,3.5,1.9511,6200.0,0.0,1.0
1999-11-24,3.6,3.6,3.6,3.6,2.0068,1000.0,0.0,1.0
1999-11-26,3.6,3.6,3.6,3.6,2.0068,0.0,0.0,1.0
1999-11-29,3.575,3.6,3.5,3.5,1.9511,5700.0,0.0,1.0
1999-11-30,3.55,3.55,3.4,3.4,1.8953,23200.0,0.0,1.0
1999-12-01,3.4,3.65,3.4,3.65,2.0347,83500.0,0.0,1.0
