date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-12-06,0.7,0.7,0.7,0.7,0.7,2000.0,0.0,1.0
2016-12-09,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1.0
2016-12-12,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1.0
2016-12-14,2.01,2.01,0.65,0.71,0.71,900.0,0.0,1.0
2016-12-15,1.0,1.0,1.0,1.0,1.0,166.0,0.0,1.0
2016-12-16,1.99,1.99,1.9,1.99,1.99,200.0,0.0,1.0
2016-12-19,2.5,2.5,2.5,2.5,2.5,501.0,0.0,1.0
2016-12-20,2.5,2.5,2.5,2.5,2.5,100.0,0.0,1.0
2016-12-21,2.5,3.0,2.5,3.0,3.0,441.0,0.0,1.0
2016-12-22,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0
2016-12-23,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0
2016-12-27,3.0,3.0,2.79,2.79,2.79,2500.0,0.0,1.0
2016-12-28,2.79,2.79,2.79,2.79,2.79,0.0,0.0,1.0
2016-12-29,2.79,2.79,2.79,2.79,2.79,0.0,0.0,1.0
2016-12-30,2.79,2.79,2.79,2.79,2.79,0.0,0.0,1.0
2017-01-03,2.5,2.5,2.5,2.5,2.5,159.0,0.0,1.0
2017-01-04,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-05,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-06,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-09,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-10,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-11,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-12,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-13,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-17,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-18,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-19,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-20,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-23,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-24,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-25,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-26,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2017-01-27,5.0,5.0,5.0,5.0,5.0,100.0,0.0,1.0
2017-01-30,1.25,1.25,1.25,1.25,1.25,100.0,0.0,1.0
2017-01-31,1.25,1.25,1.25,1.25,1.25,0.0,0.0,1.0
2017-02-01,1.25,1.25,1.25,1.25,1.25,0.0,0.0,1.0
2017-02-02,1.25,1.25,1.25,1.25,1.25,0.0,0.0,1.0
2017-02-03,1.25,1.25,1.25,1.25,1.25,0.0,0.0,1.0
2017-02-06,1.25,1.25,1.25,1.25,1.25,0.0,0.0,1.0
2017-02-07,1.25,1.25,1.25,1.25,1.25,0.0,0.0,1.0
2017-02-08,1.25,1.25,1.25,1.25,1.25,0.0,0.0,1.0
2017-02-09,1.25,1.25,1.25,1.25,1.25,0.0,0.0,1.0
2017-02-10,1.25,1.25,1.25,1.25,1.25,0.0,0.0,1.0
2017-02-13,1.5,1.5,1.4,1.43,1.43,1141.0,0.0,1.0
2017-02-14,1.37,1.37,1.3,1.3,1.3,300.0,0.0,1.0
2017-02-15,1.3,1.3,1.3,1.3,1.3,0.0,0.0,1.0
2017-02-16,1.466,1.466,1.466,1.466,1.466,100.0,0.0,1.0
2017-02-17,1.466,1.466,1.466,1.466,1.466,0.0,0.0,1.0
2017-02-21,1.466,1.466,1.466,1.466,1.466,0.0,0.0,1.0
2017-02-22,1.466,1.466,1.466,1.466,1.466,0.0,0.0,1.0
2017-02-23,1.49,1.5,1.49,1.5,1.5,400.0,0.0,1.0
2017-02-24,1.2501,1.2501,1.25,1.25,1.25,600.0,0.0,1.0
2017-02-27,1.0,1.0,1.0,1.0,1.0,300.0,0.0,1.0
2017-02-28,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
2017-03-01,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
2017-03-06,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
2017-03-09,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-03-10,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-03-13,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-03-14,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-03-15,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-03-16,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-03-17,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-03-20,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-03-21,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-03-22,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-03-24,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-03-27,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-03-29,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-04-03,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-04-04,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-04-05,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-04-06,1.49,1.49,1.49,1.49,1.49,0.0,0.0,1.0
2017-04-10,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
2017-04-12,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
2017-04-17,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
2017-04-18,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
2017-04-19,0.75,0.75,0.75,0.75,0.75,300.0,0.0,1.0
2017-04-20,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-04-21,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-04-24,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-04-25,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-04-26,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-04-27,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-04-28,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-05-01,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-05-02,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-05-03,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-05-04,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-05-05,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-05-08,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-05-09,0.95,0.95,0.95,0.95,0.95,500.0,0.0,1.0
2017-05-10,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-05-11,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-05-12,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-05-15,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-05-16,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-05-17,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
2017-05-18,0.75,0.75,0.75,0.75,0.75,0.0,0.0,1.0
