date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-06-21,29.5,35.0,28.02,31.2,31.2,2783600.0,0.0,1.0
2018-06-22,31.25,32.49,27.05,30.74,30.74,475400.0,0.0,1.0
2018-06-25,29.64,32.0,29.5,30.48,30.48,229900.0,0.0,1.0
2018-06-26,30.56,31.8,29.6,30.83,30.83,277300.0,0.0,1.0
2018-06-27,30.44,31.0,30.02,30.54,30.54,171600.0,0.0,1.0
2018-06-28,30.5,30.98,27.02,28.08,28.08,188600.0,0.0,1.0
2018-06-29,27.81,28.67,27.49,28.56,28.56,259400.0,0.0,1.0
2018-07-02,28.61,29.46,26.51,27.35,27.35,96600.0,0.0,1.0
2018-07-03,27.15,27.73,26.51,26.95,26.95,79400.0,0.0,1.0
2018-07-05,27.01,28.93,27.01,27.48,27.48,110200.0,0.0,1.0
2018-07-06,27.59,30.12,27.18,28.35,28.35,50600.0,0.0,1.0
2018-07-09,28.74,29.45,27.34,27.99,27.99,37000.0,0.0,1.0
2018-07-10,27.97,29.62,26.81,28.62,28.62,63500.0,0.0,1.0
2018-07-11,28.04,28.91,26.54,28.02,28.02,184500.0,0.0,1.0
2018-07-12,28.38,29.62,27.3,29.62,29.62,60100.0,0.0,1.0
2018-07-13,29.4,30.8,27.88,28.1,28.1,266100.0,0.0,1.0
2018-07-16,28.48,30.3,28.0,29.07,29.07,189000.0,0.0,1.0
2018-07-17,28.9,29.71,28.0,29.02,29.02,36900.0,0.0,1.0
2018-07-18,29.83,35.1,29.58,33.91,33.91,117800.0,0.0,1.0
2018-07-19,34.49,35.96,32.42,34.5,34.5,385900.0,0.0,1.0
2018-07-20,35.26,38.79,34.27,37.55,37.55,249600.0,0.0,1.0
2018-07-23,36.56,39.2,36.56,38.31,38.31,258900.0,0.0,1.0
2018-07-24,37.9,41.23,37.9,38.79,38.79,125500.0,0.0,1.0
2018-07-25,39.04,40.78,34.5,39.01,39.01,150300.0,0.0,1.0
2018-07-26,38.71,40.0,33.01,33.35,33.35,40800.0,0.0,1.0
2018-07-27,33.35,34.06,28.41,31.53,31.53,98600.0,0.0,1.0
2018-07-30,31.68,33.27,31.68,32.08,32.08,25900.0,0.0,1.0
2018-07-31,32.0,32.0,30.1,32.0,32.0,35100.0,0.0,1.0
2018-08-01,32.07,33.38,30.16,31.83,31.83,25200.0,0.0,1.0
2018-08-02,31.49,33.0,31.49,32.65,32.65,45300.0,0.0,1.0
2018-08-03,32.64,35.03,32.61,34.92,34.92,20600.0,0.0,1.0
2018-08-06,35.56,38.44,35.0,36.91,36.91,36200.0,0.0,1.0
2018-08-07,37.15,37.92,35.85,37.35,37.35,12600.0,0.0,1.0
2018-08-08,37.34,39.4,36.83,38.97,38.97,20800.0,0.0,1.0
2018-08-09,37.49,44.01,37.49,38.06,38.06,38600.0,0.0,1.0
2018-08-10,37.7,41.21,37.7,40.97,40.97,21200.0,0.0,1.0
2018-08-13,40.82,41.5,39.24,41.38,41.38,14300.0,0.0,1.0
2018-08-14,41.38,42.5,39.4,41.16,41.16,33700.0,0.0,1.0
2018-08-15,40.55,41.84,39.5,40.75,40.75,33900.0,0.0,1.0
2018-08-16,41.04,41.49,39.93,40.66,40.66,156200.0,0.0,1.0
2018-08-17,40.59,41.49,38.2,40.0,40.0,69400.0,0.0,1.0
2018-08-20,40.99,40.99,37.68,38.67,38.67,51000.0,0.0,1.0
2018-08-21,38.86,40.0,38.03,38.98,38.98,61800.0,0.0,1.0
2018-08-22,40.0,40.0,38.26,38.99,38.99,41400.0,0.0,1.0
2018-08-23,39.08,39.49,37.55,38.68,38.68,26700.0,0.0,1.0
2018-08-24,38.56,41.49,38.03,39.31,39.31,25900.0,0.0,1.0
2018-08-27,39.4,39.87,37.4,37.73,37.73,23800.0,0.0,1.0
2018-08-28,37.04,38.0,35.81,36.69,36.69,29000.0,0.0,1.0
2018-08-29,36.43,38.74,35.32,35.6,35.6,27600.0,0.0,1.0
2018-08-30,35.6,36.0,34.26,34.75,34.75,28000.0,0.0,1.0
2018-08-31,33.74,35.5,33.74,34.35,34.35,16200.0,0.0,1.0
2018-09-04,34.38,35.25,32.02,32.65,32.65,114100.0,0.0,1.0
2018-09-05,32.48,34.2,31.31,31.79,31.79,103200.0,0.0,1.0
2018-09-06,32.8,35.25,31.51,32.65,32.65,76900.0,0.0,1.0
2018-09-07,32.64,33.99,32.07,33.24,33.24,186600.0,0.0,1.0
2018-09-10,33.17,34.35,32.23,33.02,33.02,148500.0,0.0,1.0
2018-09-11,32.96,38.17,32.96,35.44,35.44,239700.0,0.0,1.0
2018-09-12,35.32,37.64,35.1,36.84,36.84,62000.0,0.0,1.0
2018-09-13,37.04,37.2,35.17,36.73,36.73,81300.0,0.0,1.0
2018-09-14,37.03,40.95,36.25,39.63,39.63,79800.0,0.0,1.0
2018-09-17,40.12,42.35,38.02,41.31,41.31,123900.0,0.0,1.0
2018-09-18,41.25,41.82,38.5,41.5,41.5,220100.0,0.0,1.0
