date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-02-11,15.0,15.5,13.875,14.125,10.2033,7089100.0,0.0,1.0
2000-02-14,14.125,14.125,13.375,13.5,9.7518,846200.0,0.0,1.0
2000-02-15,13.5,13.5625,13.0,13.125,9.4809,602500.0,0.0,1.0
2000-02-16,13.125,14.0,13.125,13.3125,9.6164,182300.0,0.0,1.0
2000-02-17,13.3125,14.0,13.0,13.0,9.3906,300800.0,0.0,1.0
2000-02-18,13.0,13.125,11.9375,12.125,8.7586,272700.0,0.0,1.0
2000-02-22,12.125,12.25,11.75,11.875,8.578,451500.0,0.0,1.0
2000-02-23,11.875,13.0,11.875,12.8125,9.2552,181000.0,0.0,1.0
2000-02-24,12.875,13.5,12.5,12.625,9.1197,74400.0,0.0,1.0
2000-02-25,12.625,13.0625,12.25,13.0,9.3906,151400.0,0.0,1.0
2000-02-28,13.0,13.0,12.25,12.25,8.8489,162600.0,0.0,1.0
2000-02-29,12.25,12.4375,12.0,12.0,8.6683,152800.0,0.0,1.0
2000-03-01,12.75,12.75,11.875,12.0625,8.7134,112300.0,0.0,1.0
2000-03-02,12.0938,13.625,12.0,12.875,9.3003,120600.0,0.0,1.0
2000-03-03,13.375,13.375,12.25,12.4375,8.9843,73100.0,0.0,1.0
2000-03-06,12.25,13.25,12.25,13.1875,9.5261,59700.0,0.0,1.0
2000-03-07,13.0625,13.625,12.75,12.875,9.3003,64400.0,0.0,1.0
2000-03-08,13.625,13.625,12.125,12.5,9.0294,111900.0,0.0,1.0
2000-03-09,13.0,13.0,12.375,12.625,9.1197,30700.0,0.0,1.0
2000-03-10,12.375,12.5,12.25,12.25,8.8489,31200.0,0.0,1.0
2000-03-13,12.375,12.4375,12.0,12.1875,8.8037,37000.0,0.0,1.0
2000-03-14,12.25,12.5,11.75,12.125,8.7586,59200.0,0.0,1.0
2000-03-15,11.8125,12.125,11.5625,11.625,8.3974,153600.0,0.0,1.0
2000-03-16,11.625,11.875,11.0,11.0,7.9459,402800.0,0.0,1.0
2000-03-17,11.375,11.75,11.375,11.5,8.3071,346800.0,0.0,1.0
2000-03-20,11.4375,12.25,11.375,12.25,8.8489,43500.0,0.0,1.0
2000-03-21,12.125,12.3125,11.875,11.875,8.578,30600.0,0.0,1.0
