date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,5.4167,5.4167,5.4167,5.4167,4.2069,1900.0,0.0,1.0
1999-08-10,5.4167,5.4167,5.3333,5.3333,4.1422,3400.0,0.0,1.0
1999-08-11,5.6667,6.0,5.6667,6.0,4.66,2100.0,0.0,1.0
1999-08-12,5.4167,5.4167,5.4167,5.4167,4.2069,400.0,0.0,1.0
1999-08-13,5.9167,5.9167,5.9167,5.9167,4.5952,300.0,0.0,1.0
1999-08-16,6.0417,6.0417,5.8333,5.8333,4.5305,5400.0,0.0,1.0
1999-08-17,5.6667,5.6667,5.6667,5.6667,4.4011,400.0,0.0,1.0
1999-08-18,5.4167,5.75,5.4167,5.75,4.4658,1500.0,0.0,1.0
1999-08-19,5.4167,5.75,5.4167,5.75,4.4658,2200.0,0.0,1.0
1999-08-20,5.4167,5.4167,5.3333,5.4167,4.2069,1800.0,0.0,1.0
1999-08-23,5.3333,5.4167,5.25,5.4167,4.2069,3700.0,0.0,1.0
1999-08-24,5.3333,6.0417,5.3333,6.0,4.66,21400.0,0.0,1.0
1999-08-25,5.4792,5.75,5.4792,5.75,4.4658,44500.0,0.0,1.0
1999-08-26,5.6667,5.6667,5.5833,5.5833,4.3364,1000.0,0.0,1.0
1999-08-27,5.5833,5.5833,5.5833,5.5833,4.3364,0.0,0.0,1.0
1999-08-30,5.5833,5.5833,5.5833,5.5833,4.3364,0.0,0.0,1.0
1999-08-31,5.8333,5.875,5.7083,5.75,4.4658,17400.0,0.0,1.0
1999-09-01,5.7083,5.7917,5.5417,5.7917,4.4982,5500.0,0.0,1.0
1999-09-02,5.5417,5.5833,5.5417,5.5833,4.3364,1500.0,0.0,1.0
1999-09-03,5.625,5.625,5.625,5.625,4.3687,1200.0,0.0,1.0
1999-09-07,5.7917,5.7917,5.7917,5.7917,4.4982,400.0,0.0,1.0
1999-09-08,5.7917,5.7917,5.7917,5.7917,4.4982,0.0,0.0,1.0
1999-09-09,5.7917,5.7917,5.7917,5.7917,4.4982,0.0,0.0,1.0
1999-09-10,5.5,5.5417,5.5,5.5417,4.304,4200.0,0.0,1.0
1999-09-13,5.5833,5.5833,5.5833,5.5833,4.3364,1900.0,0.0,1.0
1999-09-14,5.5,5.5417,5.4167,5.4167,4.2069,2400.0,0.0,1.0
1999-09-15,5.4167,5.4167,5.4167,5.4167,4.2069,0.0,0.0,1.0
1999-09-16,5.6667,5.8333,5.625,5.625,4.3687,6900.0,0.0,1.0
1999-09-17,5.7083,5.7083,5.6667,5.6667,4.4011,1200.0,0.0,1.0
1999-09-20,5.6667,5.6667,5.6667,5.6667,4.4011,0.0,0.0,1.0
1999-09-21,5.5833,5.5833,5.5833,5.5833,4.3364,400.0,0.0,1.0
1999-09-22,5.5833,5.5833,5.5833,5.5833,4.3364,3300.0,0.0,1.0
1999-09-23,5.5833,5.5833,5.5833,5.5833,4.3364,1500.0,0.0,1.0
1999-09-24,5.4167,5.4167,5.25,5.25,4.0775,1500.0,0.0,1.0
1999-09-27,5.25,5.25,5.25,5.25,4.0775,0.0,0.0,1.0
1999-09-28,5.3333,5.3333,5.3333,5.3333,4.1422,1200.0,0.0,1.0
1999-09-29,5.3333,5.3333,5.1667,5.1667,4.0127,400.0,0.0,1.0
1999-09-30,5.1667,5.1667,5.1667,5.1667,4.0127,0.0,0.0,1.0
1999-10-01,5.1667,5.1667,5.1667,5.1667,4.0127,0.0,0.0,1.0
1999-10-04,5.3333,5.3333,5.3333,5.3333,4.1422,4500.0,0.0,1.0
1999-10-05,5.3333,5.5833,5.3333,5.5833,4.3364,16600.0,0.0,1.0
1999-10-06,5.5833,5.5833,5.5833,5.5833,4.3364,0.0,0.0,1.0
1999-10-07,5.4167,5.4167,5.0,5.0,3.8833,5500.0,0.0,1.0
1999-10-08,5.0,5.0,5.0,5.0,3.8833,0.0,0.0,1.0
1999-10-11,4.9583,5.25,4.9583,5.25,4.0775,300.0,0.0,1.0
1999-10-12,5.25,5.25,5.25,5.25,4.0775,0.0,0.0,1.0
1999-10-13,4.9167,5.3333,4.9167,5.25,4.0775,9400.0,0.0,1.0
1999-10-14,5.25,5.3333,5.25,5.3333,4.1422,3400.0,0.0,1.0
1999-10-15,5.3333,5.3333,5.3333,5.3333,4.1422,0.0,0.0,1.0
1999-10-18,5.2708,5.2708,4.9167,5.1667,4.0127,12400.0,0.0,1.0
1999-10-19,5.0833,5.0833,5.0833,5.0833,3.948,600.0,0.0,1.0
1999-10-20,5.25,5.25,4.9167,4.9167,3.8186,3300.0,0.0,1.0
1999-10-21,5.25,5.25,4.9167,4.9167,3.8186,4000.0,0.0,1.0
1999-10-22,4.8333,4.8333,4.5625,4.625,3.5921,830400.0,0.0,1.0
1999-10-25,4.75,5.1667,4.75,5.1667,4.0127,3600.0,0.0,1.0
1999-10-26,4.75,4.75,4.6667,4.6667,3.6244,700.0,0.0,1.0
1999-10-27,4.6042,4.625,4.6042,4.625,3.5921,1300.0,0.0,1.0
1999-10-28,4.625,4.625,4.625,4.625,3.5921,0.0,0.0,1.0
1999-10-29,4.5833,4.6667,4.5833,4.5833,3.5597,1900.0,0.0,1.0
1999-11-01,4.5833,4.6667,4.5833,4.6667,3.6244,47200.0,0.0,1.0
1999-11-02,4.5104,4.5104,4.5,4.5,3.495,5100.0,0.0,1.0
1999-11-03,4.625,4.625,4.5,4.5,3.495,1800.0,0.0,1.0
1999-11-04,4.75,4.8333,4.6667,4.8333,3.7539,2400.0,0.0,1.0
1999-11-05,4.8333,4.8333,4.5833,4.5833,3.5597,3600.0,0.0,1.0
1999-11-08,4.5833,4.6667,4.5833,4.6667,3.6244,1900.0,0.0,1.0
1999-11-09,4.5833,4.6667,4.5833,4.5833,3.5597,900.0,0.0,1.0
1999-11-10,4.5833,4.6667,4.5,4.6667,3.6244,27700.0,0.0,1.0
1999-11-11,4.6667,4.6667,4.625,4.625,3.5921,18000.0,0.0,1.0
1999-11-12,4.5,4.5,4.5,4.5,3.495,400.0,0.0,1.0
1999-11-15,4.5,4.6875,4.5,4.5521,3.5354,23100.0,0.0,1.0
1999-11-16,4.6875,4.6875,4.5,4.6354,3.6001,6000.0,0.0,1.0
1999-11-17,4.5,4.6667,4.5,4.5833,3.5597,6700.0,0.0,1.0
1999-11-18,4.5,4.5833,3.9167,4.0,3.1066,39600.0,0.0,1.0
1999-11-19,4.0833,4.25,4.0833,4.25,3.3008,6600.0,0.0,1.0
1999-11-22,4.25,4.25,4.25,4.25,3.3008,0.0,0.0,1.0
1999-11-23,4.0833,4.125,4.0,4.0,3.1066,4500.0,0.0,1.0
1999-11-24,4.0,4.0417,4.0,4.0417,3.139,4500.0,0.0,1.0
1999-11-26,4.0417,4.0417,4.0417,4.0417,3.139,0.0,0.0,1.0
1999-11-29,3.6667,4.0833,3.6667,4.0833,3.1714,374100.0,0.0,1.0
1999-11-30,4.125,4.5833,4.0625,4.0833,3.1714,8400.0,0.0,1.0
1999-12-01,4.0833,4.5833,4.0833,4.5,3.495,230800.0,0.0,1.0
1999-12-02,4.5833,4.5833,4.0833,4.0833,3.1714,6700.0,0.0,1.0
1999-12-03,4.0833,5.3333,4.0833,4.6667,3.6244,22200.0,0.0,1.0
1999-12-06,4.6667,4.7083,4.4167,4.4167,3.4302,4500.0,0.0,1.0
1999-12-07,4.4167,4.6667,4.4167,4.6667,3.6244,2500.0,0.0,1.0
1999-12-08,4.6042,4.75,4.6042,4.6667,3.6244,5200.0,0.0,1.0
1999-12-09,4.625,4.6667,4.625,4.625,3.5921,5500.0,0.0,1.0
1999-12-10,4.6667,4.6667,4.5833,4.6667,3.6244,4600.0,0.0,1.0
1999-12-13,4.6667,4.7083,4.6667,4.7083,3.6568,4500.0,0.0,1.0
1999-12-14,4.75,4.75,4.7083,4.7083,3.6568,3900.0,0.0,1.0
1999-12-15,4.6667,4.6667,4.6667,4.6667,3.6244,4000.0,0.0,1.0
1999-12-16,4.75,4.75,4.6667,4.6667,3.6244,8400.0,0.0,1.0
1999-12-17,4.6667,4.6667,4.6667,4.6667,3.6244,1300.0,0.0,1.0
1999-12-20,4.6667,4.6667,4.6667,4.6667,3.6244,5500.0,0.0,1.0
1999-12-21,4.6667,4.6667,4.25,4.25,3.3008,17200.0,0.0,1.0
1999-12-22,4.25,4.25,4.0833,4.1667,3.2361,7200.0,0.0,1.0
1999-12-23,4.0208,4.0417,3.9375,3.9375,3.0581,33700.0,0.0,1.0
1999-12-27,4.0,4.6667,4.0,4.1667,3.2361,19300.0,0.0,1.0
1999-12-28,4.1667,4.25,4.1667,4.1667,3.2361,10500.0,0.0,1.0
1999-12-29,4.25,4.2917,4.25,4.2917,3.3332,335200.0,0.0,1.0
1999-12-30,4.3333,4.6667,4.3333,4.5,3.495,20800.0,0.0,1.0
1999-12-31,4.4167,4.4167,4.4167,4.4167,3.4302,3900.0,0.0,1.0
2000-01-03,4.4479,4.4583,4.25,4.4583,3.4626,3600.0,0.0,1.0
2000-01-04,4.0833,4.4583,4.0833,4.1667,3.2361,6100.0,0.0,1.0
2000-01-05,4.1667,4.1667,4.1667,4.1667,3.2361,7200.0,0.0,1.0
2000-01-06,4.2083,4.2083,4.2083,4.2083,3.2684,2700.0,0.0,1.0
2000-01-07,4.3333,4.75,4.3333,4.75,3.6891,7500.0,0.0,1.0
2000-01-10,4.3333,4.3333,4.3333,4.3333,3.3655,600.0,0.0,1.0
2000-01-11,4.25,4.6667,4.25,4.25,3.3008,12600.0,0.0,1.0
2000-01-12,4.5,4.5,4.5,4.5,3.495,300.0,0.0,1.0
2000-01-13,4.375,4.5,4.375,4.4167,3.4302,23200.0,0.0,1.0
2000-01-14,4.5208,4.6667,4.375,4.375,3.3979,5400.0,0.0,1.0
2000-01-18,4.5208,4.5208,4.3333,4.375,3.3979,4900.0,0.0,1.0
2000-01-19,4.4375,4.75,4.4375,4.75,3.6891,18600.0,0.0,1.0
2000-01-20,4.8333,5.0,4.8333,5.0,3.8833,6700.0,0.0,1.0
2000-01-21,5.0,5.0,4.5417,4.5417,3.5273,1000.0,0.0,1.0
2000-01-24,4.9167,4.9167,4.5417,4.5417,3.5273,1200.0,0.0,1.0
2000-01-25,4.8333,4.8333,4.75,4.8333,3.7539,5200.0,0.0,1.0
2000-01-26,4.6875,4.6875,4.6875,4.6875,3.6406,300.0,0.0,1.0
2000-01-27,4.6667,4.8333,4.6667,4.8333,3.7539,6600.0,0.0,1.0
2000-01-28,4.6667,4.75,4.5,4.75,3.6891,2400.0,0.0,1.0
2000-01-31,4.4583,4.4583,4.4583,4.4583,3.4626,1000.0,0.0,1.0
2000-02-01,4.3333,4.4167,4.3333,4.375,3.3979,357600.0,0.0,1.0
2000-02-02,4.3333,4.3333,4.1667,4.1667,3.2361,3400.0,0.0,1.0
2000-02-03,4.1667,4.1667,4.1667,4.1667,3.2361,400.0,0.0,1.0
2000-02-04,4.1667,4.5,4.1667,4.5,3.495,2100.0,0.0,1.0
2000-02-07,4.1667,4.1667,4.1667,4.1667,3.2361,100.0,0.0,1.0
2000-02-08,4.1667,4.1667,4.1667,4.1667,3.2361,1000.0,0.0,1.0
2000-02-09,4.0,4.1667,4.0,4.1667,3.2361,5800.0,0.0,1.0
2000-02-10,4.1667,4.1667,4.1667,4.1667,3.2361,0.0,0.0,1.0
2000-02-11,4.5,4.5,4.5,4.5,3.495,600.0,0.0,1.0
2000-02-14,4.0833,4.5,4.0833,4.4167,3.4302,5500.0,0.0,1.0
2000-02-15,4.4167,4.4167,4.4167,4.4167,3.4302,0.0,0.0,1.0
2000-02-16,4.5,4.5,4.1667,4.25,3.3008,4600.0,0.0,1.0
2000-02-17,4.5,4.5,4.5,4.5,3.495,5800.0,0.0,1.0
2000-02-18,4.5,4.5,4.5,4.5,3.495,0.0,0.0,1.0
