date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-06-20,19.9,20.0,16.26,18.05,18.05,2506900.0,0.0,1.0
2019-06-21,17.25,18.0,17.0,17.07,17.07,206100.0,0.0,1.0
2019-06-24,17.22,18.23,16.92,17.525,17.525,280700.0,0.0,1.0
2019-06-25,17.51,18.1,17.01,18.1,18.1,55100.0,0.0,1.0
2019-06-26,18.08,18.528,17.06,18.26,18.26,79500.0,0.0,1.0
2019-06-27,18.22,18.67,17.65,18.48,18.48,72300.0,0.0,1.0
2019-06-28,18.5,19.9,18.0,18.84,18.84,26300.0,0.0,1.0
2019-07-01,18.52,19.2,17.11,17.3,17.3,87800.0,0.0,1.0
2019-07-02,17.12,18.0,14.26,14.93,14.93,101100.0,0.0,1.0
2019-07-03,14.9,16.32,14.9,16.32,16.32,27100.0,0.0,1.0
2019-07-05,16.49,16.85,15.42,16.22,16.22,31900.0,0.0,1.0
2019-07-08,16.07,17.9,16.045,16.73,16.73,166000.0,0.0,1.0
2019-07-09,16.62,20.0,16.41,19.05,19.05,286800.0,0.0,1.0
2019-07-10,19.1,20.0,16.44,16.44,16.44,119700.0,0.0,1.0
2019-07-11,16.97,18.0,16.285,16.74,16.74,61500.0,0.0,1.0
2019-07-12,16.87,17.105,15.71,16.63,16.63,57000.0,0.0,1.0
2019-07-15,16.6,17.61,16.31,16.45,16.45,120900.0,0.0,1.0
2019-07-16,16.46,17.38,15.48,15.48,15.48,102900.0,0.0,1.0
2019-07-17,15.43,16.38,15.04,15.84,15.84,118800.0,0.0,1.0
2019-07-18,15.84,16.855,15.45,16.0,16.0,99000.0,0.0,1.0
2019-07-19,16.01,16.3,15.55,16.01,16.01,44200.0,0.0,1.0
2019-07-22,15.85,16.27,15.61,15.93,15.93,21800.0,0.0,1.0
2019-07-23,15.79,16.7,15.426,15.69,15.69,68100.0,0.0,1.0
2019-07-24,15.507,15.822,15.44,15.53,15.53,19200.0,0.0,1.0
2019-07-25,15.36,15.91,15.0,15.02,15.02,52500.0,0.0,1.0
2019-07-26,14.92,15.9,13.35,13.73,13.73,91800.0,0.0,1.0
2019-07-29,13.85,14.27,12.76,13.43,13.43,35800.0,0.0,1.0
2019-07-30,13.1,13.81,12.94,13.56,13.56,45900.0,0.0,1.0
2019-07-31,13.12,14.12,12.65,12.65,12.65,85700.0,0.0,1.0
2019-08-01,12.6,13.51,12.6,12.8,12.8,37900.0,0.0,1.0
2019-08-02,12.91,13.47,11.9,12.43,12.43,46200.0,0.0,1.0
2019-08-05,12.38,12.465,11.02,11.12,11.12,34400.0,0.0,1.0
2019-08-06,11.25,12.665,10.66,11.68,11.68,73100.0,0.0,1.0
2019-08-07,11.48,11.76,10.45,10.75,10.75,41374.0,0.0,1.0
