date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-09-14,24.92,25.05,24.88,25.0,24.2419,412200.0,0.0,1.0
2018-09-17,25.0,25.05,24.95,25.0,24.2419,555800.0,0.0,1.0
2018-09-18,24.95,25.04,24.9,24.93,24.174,254900.0,0.0,1.0
2018-09-19,24.99,24.99,24.65,24.8,24.0479,144800.0,0.0,1.0
2018-09-20,24.84,25.0,24.8,24.85,24.0964,157500.0,0.0,1.0
2018-09-21,24.97,25.05,24.83,25.04,24.2806,105200.0,0.0,1.0
2018-09-24,25.05,25.05,24.92,25.01,24.2516,95200.0,0.0,1.0
2018-09-25,25.0,25.05,24.95,25.05,24.2903,183100.0,0.0,1.0
2018-09-26,25.09,25.09,24.95,25.07,24.3097,122300.0,0.0,1.0
2018-09-27,25.09,25.09,25.02,25.08,24.3194,119800.0,0.0,1.0
2018-09-28,25.1,25.16,25.08,25.14,24.3776,323500.0,0.0,1.0
2018-10-01,25.1,25.1,24.91,24.95,24.1934,98300.0,0.0,1.0
2018-10-02,25.0,25.06,24.98,25.03,24.271,99100.0,0.0,1.0
2018-10-03,25.05,25.05,24.85,24.89,24.1352,166200.0,0.0,1.0
2018-10-04,25.04,25.04,23.52,24.5,23.757,97300.0,0.0,1.0
2018-10-05,24.59,24.74,24.15,24.4,23.6601,57900.0,0.0,1.0
2018-10-08,23.8,24.46,23.8,24.28,23.5437,50400.0,0.0,1.0
2018-10-09,24.29,24.49,23.95,23.97,23.2431,75200.0,0.0,1.0
2018-10-10,24.26,24.26,23.8,24.16,23.4273,100500.0,0.0,1.0
2018-10-11,24.24,24.8,24.24,24.54,23.7958,49300.0,0.0,1.0
2018-10-12,24.33,24.76,24.14,24.6,23.854,46500.0,0.0,1.0
2018-10-15,24.75,24.75,24.36,24.37,23.631,188400.0,0.0,1.0
2018-10-16,24.55,24.9,24.35,24.51,23.7667,78500.0,0.0,1.0
