date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-03-18,24.75,24.75,24.75,24.75,24.37,1290500.0,0.0,1.0
2019-03-19,24.99,25.1,24.95,25.06,24.6752,1880800.0,0.0,1.0
2019-03-20,25.09,25.2,25.03,25.17,24.7836,1193000.0,0.0,1.0
2019-03-21,25.09,25.35,25.09,25.3,24.9116,952400.0,0.0,1.0
2019-03-22,25.21,25.45,25.2,25.25,24.8623,609800.0,0.0,1.0
2019-03-25,25.35,25.4,25.2,25.35,24.9608,386600.0,0.0,1.0
2019-03-26,25.35,25.49,25.3,25.45,25.0593,675600.0,0.0,1.0
2019-03-27,25.45,26.49,25.37,26.2,25.7977,1848200.0,0.0,1.0
2019-03-28,26.06,26.3,25.961,26.0,25.6008,316200.0,0.0,1.0
2019-03-29,26.05,26.15,25.7,25.7,25.3054,232600.0,0.0,1.0
2019-04-01,25.9,25.99,25.8,25.88,25.4827,83200.0,0.0,1.0
2019-04-02,25.957,26.09,25.77,25.9,25.5024,191100.0,0.0,1.0
2019-04-03,25.75,25.98,25.73,25.81,25.4137,269900.0,0.0,1.0
2019-04-04,25.82,26.05,25.78,25.78,25.3842,129700.0,0.0,1.0
2019-04-05,25.88,25.95,25.815,25.85,25.4531,185600.0,0.0,1.0
2019-04-08,25.91,25.95,25.81,25.95,25.5516,331400.0,0.0,1.0
2019-04-09,25.942,25.95,25.8,25.857,25.46,136000.0,0.0,1.0
2019-04-10,25.884,25.99,25.83,25.99,25.591,159800.0,0.0,1.0
2019-04-11,25.86,25.99,25.86,25.9,25.5024,214700.0,0.0,1.0
2019-04-12,25.93,26.12,25.85,26.09,25.6894,128000.0,0.0,1.0
2019-04-15,26.02,26.21,26.02,26.11,25.7091,98700.0,0.0,1.0
2019-04-16,26.19,26.23,26.02,26.05,25.65,198100.0,0.0,1.0
2019-04-17,26.1,26.18,26.02,26.16,25.7584,96100.0,0.0,1.0
2019-04-18,26.06,26.36,26.02,26.1,25.6993,258400.0,0.0,1.0
2019-04-22,26.14,26.16,26.015,26.11,25.7091,212100.0,0.0,1.0
2019-04-23,26.12,26.19,26.06,26.11,25.7091,44700.0,0.0,1.0
2019-04-24,26.135,26.16,26.08,26.104,25.7032,50900.0,0.0,1.0
2019-04-25,26.11,26.24,26.05,26.22,25.8174,87300.0,0.0,1.0
2019-04-26,26.21,26.5,26.19,26.5,26.0931,192300.0,0.0,1.0
2019-04-29,26.55,26.67,26.48,26.58,26.1719,188900.0,0.0,1.0
2019-04-30,26.59,26.75,26.41,26.41,26.0045,338800.0,0.0,1.0
2019-05-01,26.44,26.55,26.41,26.55,26.1424,237400.0,0.0,1.0
2019-05-02,26.44,26.57,26.44,26.52,26.1128,53500.0,0.0,1.0
2019-05-03,26.56,26.6,26.51,26.54,26.1325,38300.0,0.0,1.0
2019-05-06,26.5,26.63,26.42,26.57,26.1621,26200.0,0.0,1.0
2019-05-07,26.5,26.574,26.41,26.5,26.0931,34600.0,0.0,1.0
2019-05-08,26.474,26.5,26.4,26.469,26.0626,72500.0,0.0,1.0
