date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,2.0,2.25,2.0,2.0625,2.0625,9000.0,0.0,1.0
1999-08-10,2.1563,2.25,2.0625,2.0625,2.0625,16900.0,0.0,1.0
1999-08-11,2.1875,2.25,2.0,2.25,2.25,48500.0,0.0,1.0
1999-08-12,2.1563,2.1563,2.0625,2.0625,2.0625,3400.0,0.0,1.0
1999-08-13,2.0,2.125,2.0,2.0,2.0,16000.0,0.0,1.0
1999-08-16,2.0938,2.1875,2.0,2.0625,2.0625,19300.0,0.0,1.0
1999-08-17,2.0625,2.25,2.0625,2.1875,2.1875,1600.0,0.0,1.0
1999-08-18,2.0625,2.1875,2.0625,2.125,2.125,6200.0,0.0,1.0
1999-08-19,2.1875,2.1875,2.1563,2.1563,2.1563,1500.0,0.0,1.0
1999-08-20,2.25,2.25,2.1563,2.25,2.25,3100.0,0.0,1.0
1999-08-23,2.1563,2.1563,2.0625,2.0625,2.0625,3800.0,0.0,1.0
1999-08-24,2.125,2.1875,2.0,2.0,2.0,10300.0,0.0,1.0
1999-08-25,2.0,2.0625,2.0,2.0,2.0,13400.0,0.0,1.0
1999-08-26,2.0938,2.125,1.875,2.0,2.0,9500.0,0.0,1.0
1999-08-27,2.0625,2.25,2.0,2.25,2.25,15400.0,0.0,1.0
1999-08-30,2.25,2.25,2.25,2.25,2.25,3300.0,0.0,1.0
1999-08-31,2.25,2.2813,2.125,2.2813,2.2813,19000.0,0.0,1.0
1999-09-01,2.3125,2.5,2.3125,2.3125,2.3125,10400.0,0.0,1.0
1999-09-02,2.3125,2.6875,2.25,2.625,2.625,20200.0,0.0,1.0
1999-09-03,2.625,2.625,2.4375,2.5,2.5,17600.0,0.0,1.0
1999-09-07,2.1406,2.1406,2.0625,2.125,2.125,7500.0,0.0,1.0
1999-09-08,2.125,2.1875,2.125,2.1875,2.1875,1000.0,0.0,1.0
1999-09-09,2.125,2.25,2.0,2.0313,2.0313,50800.0,0.0,1.0
1999-09-10,2.125,2.125,2.0313,2.0313,2.0313,1100.0,0.0,1.0
1999-09-13,2.125,2.125,2.0313,2.0313,2.0313,5200.0,0.0,1.0
1999-09-14,2.0625,2.8125,2.0625,2.75,2.75,85100.0,0.0,1.0
1999-09-15,2.7813,3.0,2.5,2.875,2.875,109500.0,0.0,1.0
1999-09-16,2.9375,3.0,2.75,2.75,2.75,23000.0,0.0,1.0
1999-09-17,2.6875,3.5,2.6875,3.0,3.0,169700.0,0.0,1.0
1999-09-20,3.0938,3.5,3.0,3.25,3.25,90000.0,0.0,1.0
1999-09-21,3.4375,3.4375,3.0,3.0,3.0,47800.0,0.0,1.0
1999-09-22,3.25,3.25,3.0,3.125,3.125,42900.0,0.0,1.0
1999-09-23,3.125,3.125,3.0,3.0,3.0,11000.0,0.0,1.0
1999-09-24,3.1563,3.375,3.125,3.375,3.375,54200.0,0.0,1.0
1999-09-27,3.2813,3.2813,2.8125,3.0,3.0,58200.0,0.0,1.0
1999-09-28,3.1875,3.1875,2.75,2.75,2.75,18500.0,0.0,1.0
1999-09-29,2.75,2.75,2.6875,2.75,2.75,16600.0,0.0,1.0
1999-09-30,2.7813,2.9375,2.75,2.9375,2.9375,10400.0,0.0,1.0
1999-10-01,2.875,3.125,2.6875,3.0,3.0,12800.0,0.0,1.0
1999-10-04,3.0625,3.0625,3.0,3.0625,3.0625,16400.0,0.0,1.0
1999-10-05,3.0313,3.25,3.0,3.25,3.25,22400.0,0.0,1.0
1999-10-06,3.25,3.25,3.125,3.25,3.25,16800.0,0.0,1.0
1999-10-07,3.25,3.375,2.875,3.0625,3.0625,28800.0,0.0,1.0
1999-10-08,3.0,3.0,2.8125,3.0,3.0,14300.0,0.0,1.0
1999-10-11,3.0625,3.125,3.0,3.125,3.125,18400.0,0.0,1.0
1999-10-12,3.0625,3.125,3.0,3.125,3.125,15100.0,0.0,1.0
1999-10-13,3.0,3.0625,3.0,3.0625,3.0625,2800.0,0.0,1.0
1999-10-14,3.125,3.375,3.125,3.25,3.25,23000.0,0.0,1.0
1999-10-15,3.25,3.25,2.75,3.25,3.25,30100.0,0.0,1.0
1999-10-18,3.25,3.25,3.0,3.1875,3.1875,6800.0,0.0,1.0
1999-10-19,3.0,3.125,3.0,3.0625,3.0625,2300.0,0.0,1.0
1999-10-20,3.0625,3.1875,2.875,3.125,3.125,52500.0,0.0,1.0
1999-10-21,2.9688,3.125,2.9375,3.0938,3.0938,30700.0,0.0,1.0
1999-10-22,3.0625,3.125,3.0625,3.125,3.125,14500.0,0.0,1.0
1999-10-25,3.125,3.125,3.0938,3.125,3.125,28800.0,0.0,1.0
1999-10-26,3.125,3.125,3.0625,3.125,3.125,18100.0,0.0,1.0
1999-10-27,3.3438,3.5,3.25,3.4375,3.4375,32000.0,0.0,1.0
1999-10-28,3.4375,3.5,3.3125,3.375,3.375,14400.0,0.0,1.0
1999-10-29,3.5,3.75,3.375,3.5,3.5,74500.0,0.0,1.0
1999-11-01,3.625,3.625,3.375,3.5,3.5,38100.0,0.0,1.0
1999-11-02,3.375,3.5,3.25,3.5,3.5,10500.0,0.0,1.0
1999-11-03,3.5,3.625,3.0625,3.375,3.375,45300.0,0.0,1.0
1999-11-04,3.125,3.375,3.0313,3.25,3.25,8500.0,0.0,1.0
