date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,6.875,6.875,6.5625,6.7031,5.9557,11700.0,0.0,1.0
1999-08-10,6.6875,6.6875,6.6875,6.6875,5.9419,2000.0,0.0,1.0
1999-08-11,6.75,6.75,6.5625,6.5625,5.8308,3600.0,0.0,1.0
1999-08-12,6.5625,6.5625,6.4688,6.5313,5.803,14900.0,0.0,1.0
1999-08-13,6.5625,7.125,6.5625,7.125,6.3306,6000.0,0.0,1.0
1999-08-16,6.875,7.125,6.375,7.125,6.3306,33100.0,0.0,1.0
1999-08-17,6.625,6.625,6.1563,6.5,5.7753,65300.0,0.0,1.0
1999-08-18,6.5938,6.5938,6.4688,6.4688,5.7475,1800.0,0.0,1.0
1999-08-19,6.5,6.5,6.3125,6.4688,5.7475,3200.0,0.0,1.0
1999-08-20,6.5,6.5,6.5,6.5,5.7753,1100.0,0.0,1.0
1999-08-23,6.3125,6.75,6.3125,6.75,5.9974,2400.0,0.0,1.0
1999-08-24,6.6875,7.3125,6.6875,7.25,6.4416,53200.0,0.0,1.0
1999-08-25,7.3125,7.3125,7.0,7.0625,6.2751,42500.0,0.0,1.0
1999-08-26,7.3125,7.5,7.1875,7.5,6.6638,37700.0,0.0,1.0
1999-08-27,7.375,7.4375,7.25,7.3125,6.4972,12700.0,0.0,1.0
1999-08-30,7.3125,7.3125,7.25,7.3125,6.4972,10100.0,0.0,1.0
1999-08-31,7.1875,7.1875,7.1875,7.1875,6.3861,300.0,0.0,1.0
1999-09-01,7.125,7.25,7.0625,7.25,6.4416,6900.0,0.0,1.0
1999-09-02,7.0625,7.0625,7.0,7.0,6.2195,6300.0,0.0,1.0
1999-09-03,7.0,7.0,6.9688,6.9688,6.1918,2100.0,0.0,1.0
1999-09-07,6.9688,6.9688,6.9688,6.9688,6.1918,700.0,0.0,1.0
1999-09-08,7.0,7.25,6.9688,7.25,6.4416,14000.0,0.0,1.0
1999-09-09,6.9688,6.9688,6.9688,6.9688,6.1918,8200.0,0.0,1.0
1999-09-10,6.875,7.375,6.875,7.375,6.5527,12100.0,0.0,1.0
1999-09-13,7.2813,7.3125,7.0,7.25,6.4416,1900.0,0.0,1.0
1999-09-14,7.25,7.25,7.25,7.25,6.4416,0.0,0.0,1.0
1999-09-15,7.0,7.0,7.0,7.0,6.2195,600.0,0.0,1.0
1999-09-16,7.0,7.1875,7.0,7.1875,6.3861,2100.0,0.0,1.0
1999-09-17,7.0,7.5,7.0,7.375,6.5527,57100.0,0.0,1.0
1999-09-20,7.0,7.3125,6.625,7.3125,6.4972,7000.0,0.0,1.0
1999-09-21,7.0313,7.375,7.0313,7.375,6.5527,9500.0,0.0,1.0
1999-09-22,7.375,7.5,7.1875,7.5,6.6638,20500.0,0.0,1.0
1999-09-23,7.25,7.5,7.25,7.5,6.6638,2700.0,0.0,1.0
1999-09-24,7.375,7.4375,7.25,7.4375,6.6082,10400.0,0.0,1.0
1999-09-27,7.3438,7.4375,7.3125,7.4375,6.6082,2400.0,0.0,1.0
1999-09-28,7.1875,7.4375,7.1875,7.25,6.4416,18000.0,0.0,1.0
1999-09-29,7.125,7.25,7.0625,7.0625,6.2751,5000.0,0.0,1.0
1999-09-30,7.0313,7.625,7.0,7.625,6.7748,53900.0,0.0,1.0
1999-10-01,7.4375,7.4375,7.4375,7.4375,6.6082,2500.0,0.0,1.0
1999-10-04,7.375,7.375,7.0313,7.0313,6.2473,9100.0,0.0,1.0
