date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-06-30,24.95,25.09,24.9,25.039,22.4813,202700.0,0.0,1.0
2016-07-01,25.1,25.1,24.95,24.95,22.4014,145500.0,0.0,1.0
2016-07-05,25.0,25.02,24.96,25.0,22.4463,105600.0,0.0,1.0
2016-07-06,25.0,25.1,24.96,25.06,22.5001,241400.0,0.0,1.0
2016-07-07,25.1,25.15,24.98,25.06,22.5001,165300.0,0.0,1.0
2016-07-08,25.1,25.1,25.0,25.034,22.4768,80900.0,0.0,1.0
2016-07-11,25.02,25.05,24.97,25.04,22.4822,161800.0,0.0,1.0
2016-07-12,24.96,25.05,24.83,25.0,22.4463,180800.0,0.0,1.0
2016-07-13,25.05,25.07,24.92,25.02,22.4642,151400.0,0.0,1.0
2016-07-14,25.1,25.1,24.973,25.092,22.5289,97700.0,0.0,1.0
2016-07-15,25.15,25.15,24.95,25.1,22.5361,73200.0,0.0,1.0
2016-07-18,25.15,25.24,24.95,25.22,22.6438,137000.0,0.0,1.0
2016-07-19,25.22,25.29,25.18,25.23,22.6528,145300.0,0.0,1.0
2016-07-20,25.25,25.31,25.19,25.24,22.6618,137900.0,0.0,1.0
2016-07-21,25.2,25.5,25.2,25.39,22.7964,159400.0,0.0,1.0
2016-07-22,25.49,25.5,25.361,25.43,22.8324,113500.0,0.0,1.0
2016-07-25,25.49,25.49,25.4,25.43,22.8324,83000.0,0.0,1.0
2016-07-26,25.4,25.4,25.23,25.29,22.7067,103900.0,0.0,1.0
2016-07-27,25.19,25.4,25.19,25.34,22.7515,80900.0,0.0,1.0
2016-07-28,25.4,25.5,25.3,25.5,22.8952,85400.0,0.0,1.0
2016-07-29,25.5,25.69,25.35,25.6,22.985,69900.0,0.0,1.0
2016-08-01,25.57,25.95,25.52,25.681,23.0577,128300.0,0.0,1.0
2016-08-02,25.69,25.89,25.58,25.61,22.994,95600.0,0.0,1.0
2016-08-03,25.7,25.79,25.435,25.6,22.985,114800.0,0.0,1.0
2016-08-04,25.42,25.6,25.38,25.53,22.9221,57700.0,0.0,1.0
2016-08-05,25.54,25.67,25.51,25.66,23.0389,28400.0,0.0,1.0
2016-08-08,25.56,25.68,25.56,25.68,23.0568,60900.0,0.0,1.0
2016-08-09,25.68,25.75,25.571,25.6,22.985,68500.0,0.0,1.0
2016-08-10,25.62,25.63,25.57,25.61,22.994,45600.0,0.0,1.0
2016-08-11,25.56,25.6,25.31,25.36,22.7695,90200.0,0.0,1.0
2016-08-12,25.45,25.61,25.41,25.61,22.994,31500.0,0.0,1.0
2016-08-15,25.75,25.93,25.62,25.79,23.1556,109200.0,0.0,1.0
2016-08-16,25.75,25.84,25.64,25.84,23.2005,78900.0,0.0,1.0
2016-08-17,25.89,26.14,25.75,26.0,23.3441,85200.0,0.0,1.0
2016-08-18,26.0,26.0,25.64,25.924,23.2759,26100.0,0.0,1.0
2016-08-19,25.99,26.08,25.701,25.98,23.3262,33800.0,0.0,1.0
2016-08-22,25.98,25.98,25.741,25.915,23.2678,34600.0,0.0,1.0
2016-08-23,25.98,26.225,25.83,26.15,23.4788,51300.0,0.0,1.0
2016-08-24,26.26,26.47,25.89,25.97,23.3172,41500.0,0.0,1.0
2016-08-25,26.1,26.225,25.95,26.15,23.4788,54100.0,0.0,1.0
2016-08-26,26.21,26.21,26.02,26.04,23.38,20200.0,0.0,1.0
2016-08-29,26.1,26.1,25.99,26.044,23.3836,19700.0,0.0,1.0
2016-08-30,26.12,26.2,26.018,26.16,23.4878,22400.0,0.0,1.0
2016-08-31,26.16,26.24,26.06,26.23,23.5506,32600.0,0.0,1.0
2016-09-01,26.24,26.5,26.053,26.25,23.5686,48400.0,0.0,1.0
2016-09-02,26.085,26.44,26.021,26.44,23.7392,27800.0,0.0,1.0
2016-09-06,26.293,26.293,26.0,26.01,23.3531,45300.0,0.0,1.0
2016-09-07,26.09,26.1,26.0,26.07,23.407,50400.0,0.0,1.0
2016-09-08,26.24,26.24,26.0,26.044,23.3836,32100.0,0.0,1.0
