date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-07-20,19.0,19.0,15.05,15.13,15.13,2737400.0,0.0,1.0
2016-07-21,15.08,15.45,14.5,15.16,15.16,410700.0,0.0,1.0
2016-07-22,15.0,15.1,14.7,15.0,15.0,324200.0,0.0,1.0
2016-07-25,15.0,15.114,14.7,14.88,14.88,138300.0,0.0,1.0
2016-07-26,14.83,14.97,14.67,14.97,14.97,77000.0,0.0,1.0
2016-07-27,14.96,14.96,14.81,14.95,14.95,42000.0,0.0,1.0
2016-07-28,14.925,14.99,14.8,14.95,14.95,41200.0,0.0,1.0
2016-07-29,14.83,14.9,14.7,14.72,14.72,46500.0,0.0,1.0
2016-08-01,14.73,15.198,14.69,15.17,15.17,39200.0,0.0,1.0
2016-08-02,15.25,15.519,14.74,15.16,15.16,48200.0,0.0,1.0
2016-08-03,15.08,15.2,14.84,15.05,15.05,31200.0,0.0,1.0
2016-08-04,15.25,15.25,14.81,15.04,15.04,12400.0,0.0,1.0
2016-08-05,14.905,15.25,14.9,15.0,15.0,16600.0,0.0,1.0
2016-08-08,15.0,15.43,15.0,15.27,15.27,31000.0,0.0,1.0
2016-08-09,15.4,15.4,15.0,15.08,15.08,7800.0,0.0,1.0
2016-08-10,15.04,15.25,15.01,15.15,15.15,17700.0,0.0,1.0
2016-08-11,15.01,15.2,14.77,14.97,14.97,27700.0,0.0,1.0
2016-08-12,14.86,14.86,13.06,14.7,14.7,45700.0,0.0,1.0
2016-08-15,14.7,15.25,14.7,14.8,14.8,53300.0,0.0,1.0
2016-08-16,14.95,14.95,14.32,14.51,14.51,20800.0,0.0,1.0
2016-08-17,14.5,14.786,14.34,14.5,14.5,14300.0,0.0,1.0
2016-08-18,14.38,14.88,14.17,14.59,14.59,21500.0,0.0,1.0
2016-08-19,14.7,14.826,14.4,14.4,14.4,11500.0,0.0,1.0
2016-08-22,14.4,14.95,14.4,14.93,14.93,27600.0,0.0,1.0
2016-08-23,14.85,15.09,14.595,14.8,14.8,25700.0,0.0,1.0
2016-08-24,15.09,15.2,14.9,15.03,15.03,40000.0,0.0,1.0
2016-08-25,15.05,15.39,15.03,15.24,15.24,21600.0,0.0,1.0
2016-08-26,15.24,15.47,14.61,15.1,15.1,144800.0,0.0,1.0
2016-08-29,15.215,15.485,15.21,15.34,15.34,16100.0,0.0,1.0
2016-08-30,15.34,15.5,15.11,15.16,15.16,23200.0,0.0,1.0
2016-08-31,15.5,17.23,15.18,15.64,15.64,169500.0,0.0,1.0
2016-09-01,15.46,16.25,14.5,14.99,14.99,55200.0,0.0,1.0
2016-09-02,15.02,15.2,14.64,14.86,14.86,59300.0,0.0,1.0
2016-09-06,14.74,14.74,14.5,14.65,14.65,16800.0,0.0,1.0
2016-09-07,14.53,15.45,14.51,15.15,15.15,38700.0,0.0,1.0
2016-09-08,15.16,15.94,14.6,14.84,14.84,35400.0,0.0,1.0
2016-09-09,14.73,15.54,14.5,14.83,14.83,22800.0,0.0,1.0
2016-09-12,14.64,15.05,14.5,14.66,14.66,16900.0,0.0,1.0
2016-09-13,14.6,14.6,13.65,14.22,14.22,28300.0,0.0,1.0
2016-09-14,14.14,14.25,13.547,14.11,14.11,42700.0,0.0,1.0
2016-09-15,14.14,14.67,13.6,14.27,14.27,38900.0,0.0,1.0
2016-09-16,14.5,15.11,13.86,14.28,14.28,305500.0,0.0,1.0
2016-09-19,14.17,15.19,14.01,15.09,15.09,74900.0,0.0,1.0
2016-09-20,15.02,15.78,14.305,15.76,15.76,72600.0,0.0,1.0
2016-09-21,15.78,15.8,14.81,15.66,15.66,38800.0,0.0,1.0
2016-09-22,15.48,16.71,15.35,15.9,15.9,74200.0,0.0,1.0
2016-09-23,15.77,15.9,14.74,15.64,15.64,68300.0,0.0,1.0
2016-09-26,15.81,16.4,14.76,16.31,16.31,54100.0,0.0,1.0
2016-09-27,16.2,16.4,15.38,15.99,15.99,47700.0,0.0,1.0
2016-09-28,15.603,18.98,15.51,17.54,17.54,173500.0,0.0,1.0
2016-09-29,17.38,18.5,17.05,18.21,18.21,82200.0,0.0,1.0
2016-09-30,18.06,18.64,17.53,17.81,17.81,484700.0,0.0,1.0
2016-10-03,17.96,18.17,16.93,17.92,17.92,83000.0,0.0,1.0
2016-10-04,17.77,17.9,16.51,16.87,16.87,66300.0,0.0,1.0
2016-10-05,17.2,17.37,16.51,17.17,17.17,31300.0,0.0,1.0
2016-10-06,17.03,19.26,16.72,18.11,18.11,265400.0,0.0,1.0
2016-10-07,18.26,18.79,17.29,18.43,18.43,61200.0,0.0,1.0
2016-10-10,18.58,18.79,17.94,18.34,18.34,33900.0,0.0,1.0
2016-10-11,17.71,19.37,17.54,18.96,18.96,43900.0,0.0,1.0
2016-10-12,19.32,20.42,18.84,19.25,19.25,40000.0,0.0,1.0
2016-10-13,19.16,20.74,18.41,20.34,20.34,72700.0,0.0,1.0
2016-10-14,20.25,20.26,18.005,18.21,18.21,176200.0,0.0,1.0
2016-10-17,18.24,19.71,17.65,19.01,19.01,69200.0,0.0,1.0
2016-10-18,19.1,20.25,18.71,19.22,19.22,60900.0,0.0,1.0
2016-10-19,19.21,19.631,16.84,17.65,17.65,181700.0,0.0,1.0
2016-10-20,17.8,18.379,16.77,17.42,17.42,47200.0,0.0,1.0
2016-10-21,17.29,17.5,16.51,16.74,16.74,43300.0,0.0,1.0
2016-10-24,16.9,17.46,16.74,17.25,17.25,18100.0,0.0,1.0
2016-10-25,16.42,17.97,16.24,17.23,17.23,29600.0,0.0,1.0
2016-10-26,17.36,17.97,16.39,16.58,16.58,36600.0,0.0,1.0
2016-10-27,17.27,17.604,15.019,15.37,15.37,102200.0,0.0,1.0
2016-10-28,15.25,15.68,14.41,15.29,15.29,23800.0,0.0,1.0
2016-10-31,15.36,16.26,14.57,15.99,15.99,76800.0,0.0,1.0
2016-11-01,15.88,15.88,15.075,15.19,15.19,35200.0,0.0,1.0
2016-11-02,15.4,15.86,15.34,15.47,15.47,16200.0,0.0,1.0
2016-11-03,15.28,15.38,13.97,14.54,14.54,48500.0,0.0,1.0
2016-11-04,14.61,15.545,13.13,15.13,15.13,16800.0,0.0,1.0
2016-11-07,15.44,15.62,14.87,15.04,15.04,19600.0,0.0,1.0
2016-11-08,15.3,15.35,14.424,14.74,14.74,35200.0,0.0,1.0
2016-11-09,14.75,16.23,14.75,15.99,15.99,13400.0,0.0,1.0
2016-11-10,15.95,17.66,15.95,17.16,17.16,42200.0,0.0,1.0
2016-11-11,17.26,18.67,17.19,18.67,18.67,56100.0,0.0,1.0
2016-11-14,18.86,19.15,15.467,18.01,18.01,25600.0,0.0,1.0
2016-11-15,18.138,18.69,18.12,18.15,18.15,14200.0,0.0,1.0
2016-11-16,18.21,18.67,17.11,17.33,17.33,13200.0,0.0,1.0
2016-11-17,17.47,18.36,17.47,17.88,17.88,33700.0,0.0,1.0
2016-11-18,17.96,18.22,17.36,17.67,17.67,85500.0,0.0,1.0
2016-11-21,17.519,18.2,17.5,17.62,17.62,23500.0,0.0,1.0
2016-11-22,17.49,17.99,17.16,17.98,17.98,20700.0,0.0,1.0
2016-11-23,17.82,18.29,17.64,17.98,17.98,41200.0,0.0,1.0
2016-11-25,17.24,18.0,17.24,17.99,17.99,10900.0,0.0,1.0
2016-11-28,18.105,18.73,17.25,17.3,17.3,43100.0,0.0,1.0
2016-11-29,17.61,18.055,16.87,17.37,17.37,32600.0,0.0,1.0
2016-11-30,17.6,18.28,16.03,16.43,16.43,39400.0,0.0,1.0
2016-12-01,15.8,17.625,15.16,16.23,16.23,59700.0,0.0,1.0
2016-12-02,16.2,17.25,15.76,16.64,16.64,65000.0,0.0,1.0
2016-12-05,16.54,18.49,15.01,15.09,15.09,69400.0,0.0,1.0
2016-12-06,15.15,15.75,14.75,15.41,15.41,38900.0,0.0,1.0
2016-12-07,15.36,15.591,14.75,14.93,14.93,41700.0,0.0,1.0
2016-12-08,15.05,16.0,15.021,15.79,15.79,32800.0,0.0,1.0
2016-12-09,15.92,17.56,15.508,16.82,16.82,38300.0,0.0,1.0
2016-12-12,17.32,18.5,17.32,18.0,18.0,137400.0,0.0,1.0
2016-12-13,18.0,18.32,17.541,18.1,18.1,73200.0,0.0,1.0
2016-12-14,17.94,18.5,17.5,18.03,18.03,57800.0,0.0,1.0
2016-12-15,18.03,18.19,17.8,17.91,17.91,75900.0,0.0,1.0
2016-12-16,18.08,18.08,17.5,17.82,17.82,707400.0,0.0,1.0
2016-12-19,17.55,18.25,17.46,17.91,17.91,56600.0,0.0,1.0
2016-12-20,17.66,18.265,17.5,18.03,18.03,82200.0,0.0,1.0
2016-12-21,16.886,19.105,16.886,17.74,17.74,123800.0,0.0,1.0
2016-12-22,17.96,18.3,17.405,17.98,17.98,92100.0,0.0,1.0
2016-12-23,17.96,18.505,17.365,18.29,18.29,146100.0,0.0,1.0
2016-12-27,18.35,18.5,17.71,17.95,17.95,113400.0,0.0,1.0
2016-12-28,17.97,18.265,17.44,18.18,18.18,53400.0,0.0,1.0
2016-12-29,18.15,18.23,17.9,18.09,18.09,51300.0,0.0,1.0
2016-12-30,18.25,18.52,18.14,18.27,18.27,63900.0,0.0,1.0
2017-01-03,18.615,18.615,17.31,17.85,17.85,36300.0,0.0,1.0
2017-01-04,17.85,18.185,17.4,17.53,17.53,38500.0,0.0,1.0
2017-01-05,17.24,18.16,16.94,18.08,18.08,87900.0,0.0,1.0
2017-01-06,18.0,18.0,17.3,17.49,17.49,18900.0,0.0,1.0
2017-01-09,17.874,17.96,17.12,17.78,17.78,18100.0,0.0,1.0
2017-01-10,17.39,18.22,17.255,18.15,18.15,20500.0,0.0,1.0
2017-01-11,18.17,18.2,17.24,17.84,17.84,59200.0,0.0,1.0
2017-01-12,17.95,18.23,17.31,17.71,17.71,26800.0,0.0,1.0
2017-01-13,17.61,18.06,17.42,17.89,17.89,33600.0,0.0,1.0
2017-01-17,17.89,17.89,15.76,15.77,15.77,49900.0,0.0,1.0
2017-01-18,15.8,16.205,15.44,15.54,15.54,46200.0,0.0,1.0
2017-01-19,15.67,16.06,15.25,15.38,15.38,92200.0,0.0,1.0
2017-01-20,15.27,15.74,15.27,15.34,15.34,14600.0,0.0,1.0
2017-01-23,15.486,15.486,14.62,14.76,14.76,27200.0,0.0,1.0
