date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,141.25,141.875,140.9375,141.25,94.5014,12800.0,0.0,1.0
1999-08-10,140.9375,141.25,136.25,137.5,91.9925,36200.0,0.0,1.0
1999-08-11,137.5,138.75,137.5,138.125,92.4106,39800.0,0.0,1.0
1999-08-12,140.0,140.0,137.5,138.4375,92.6197,10300.0,0.0,1.0
1999-08-13,140.0,141.25,138.125,141.25,94.5014,8600.0,0.0,1.0
1999-08-16,139.6875,141.875,138.125,141.4063,94.6059,7700.0,0.0,1.0
1999-08-17,142.5,145.0,141.25,145.0,97.0102,21600.0,0.0,1.0
1999-08-18,143.4375,147.5,143.4375,146.5625,98.0556,22400.0,0.0,1.0
1999-08-19,147.1875,147.1875,144.0625,144.6875,96.8012,5300.0,0.0,1.0
1999-08-20,144.0625,144.375,143.125,143.75,96.1739,21900.0,0.0,1.0
1999-08-23,143.125,145.0,143.125,145.0,97.0102,4000.0,0.0,1.0
1999-08-24,143.125,144.0625,139.375,141.875,94.9195,17700.0,0.0,1.0
1999-08-25,141.875,143.125,135.625,141.875,94.9195,15800.0,0.0,1.0
1999-08-26,141.875,141.875,137.8125,138.125,92.4106,8700.0,0.0,1.0
1999-08-27,138.125,143.75,138.125,142.3438,95.2331,10400.0,0.0,1.0
1999-08-30,143.4375,143.4375,136.25,136.25,91.1562,9100.0,0.0,1.0
1999-08-31,136.25,140.0,135.9375,137.8125,92.2015,21800.0,0.0,1.0
1999-09-01,135.625,137.5,135.625,137.1875,91.7834,11300.0,0.0,1.0
1999-09-02,136.25,137.5,135.0,135.625,90.7381,14600.0,0.0,1.0
1999-09-03,136.25,139.375,136.25,138.4375,92.6197,9500.0,0.0,1.0
1999-09-07,136.25,138.125,131.875,135.0,90.3199,10300.0,0.0,1.0
1999-09-08,132.5,133.75,131.875,131.875,88.7551,10800.0,0.8,1.0
1999-09-09,133.4375,135.3125,132.5,135.0,90.8583,12900.0,0.0,1.0
1999-09-10,135.625,135.625,132.5,135.0,90.8583,7100.0,0.0,1.0
1999-09-13,134.375,135.0,132.5,133.75,90.017,4300.0,0.0,1.0
1999-09-14,135.0,135.0,133.125,133.125,89.5964,9600.0,0.0,1.0
1999-09-15,133.125,134.375,129.0625,129.0625,86.8622,18900.0,0.0,1.0
1999-09-16,130.9375,132.1875,130.9375,131.875,88.7551,16800.0,0.0,1.0
1999-09-17,131.875,131.875,130.0,130.625,87.9138,16800.0,0.0,1.0
1999-09-20,130.0,131.25,130.0,131.25,88.3345,16400.0,0.0,1.0
1999-09-21,131.25,135.625,130.625,134.375,90.4377,30300.0,0.0,1.0
1999-09-22,134.375,135.0,133.4375,133.4375,89.8067,24500.0,0.0,1.0
1999-09-23,133.9063,134.375,130.625,130.625,87.9138,11000.0,0.0,1.0
1999-09-24,130.625,131.875,130.0,131.875,88.7551,14000.0,0.0,1.0
1999-09-27,131.25,132.5,130.3125,130.625,87.9138,13900.0,0.0,1.0
1999-09-28,130.625,131.25,129.6875,131.25,88.3345,21900.0,0.0,1.0
1999-09-29,129.6875,134.375,129.6875,133.4375,89.8067,13700.0,0.0,1.0
1999-09-30,132.5,138.75,132.5,138.75,93.3821,37200.0,0.0,1.0
1999-10-01,136.875,138.75,133.4375,138.4375,93.1719,17100.0,0.0,1.0
1999-10-04,138.125,140.3125,138.125,139.375,93.8028,17500.0,0.0,1.0
