date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-08-28,21.0,21.16,20.41,20.8,19.4468,13771100.0,0.51,3.0
2018-08-29,20.8,20.93,20.57,20.64,19.2973,3663700.0,0.51,1.0
2018-08-30,20.35,20.58,20.08,20.25,19.226,5911600.0,0.51,1.0
2018-08-31,20.0,20.42,19.9,20.02,19.0077,10581800.0,0.51,1.0
2018-09-04,19.95,19.95,19.39,19.46,18.476,4864200.0,0.5301,1.0
2018-09-05,19.29,19.54,19.22,19.26,18.2861,7986600.0,0.5301,1.0
2018-09-06,19.2,19.48,19.2,19.45,18.4665,13394800.0,0.5301,1.0
2018-09-07,19.49,19.51,19.19,19.49,18.5045,7475500.0,0.6501,1.0
2018-09-10,19.72,19.78,19.39,19.64,18.6469,3825100.0,0.6501,1.0
2018-09-11,19.63,19.9,19.57,19.61,18.6184,5843800.0,0.6501,1.0
2018-09-12,19.64,19.8,19.56,19.75,18.7513,3338800.0,0.6501,1.0
2018-09-13,19.76,19.84,19.57,19.66,18.6659,4501100.0,0.72,1.0
2018-09-14,19.6,20.0,19.54,20.0,18.9887,4257800.0,0.72,1.0
2018-09-17,19.8,20.2,19.8,20.16,19.1406,3113300.0,0.72,1.0
2018-09-18,20.09,20.28,19.82,20.2,19.1786,1788100.0,0.72,1.0
2018-09-19,20.24,20.3,20.09,20.16,19.1406,1485600.0,0.9,1.0
2018-09-20,20.17,20.55,20.17,20.51,19.4729,3677500.0,0.3,1.0
2018-09-21,20.45,21.09,20.45,20.84,19.7862,5134400.0,0.3,1.0
2018-09-24,20.75,20.99,20.41,20.59,19.5489,1991100.0,0.3,1.0
2018-09-25,20.56,21.0,20.5,20.81,19.7577,2122700.0,0.36,1.0
2018-09-26,20.81,20.91,20.44,20.45,19.4159,2061800.0,0.36,1.0
2018-09-27,20.49,20.82,20.39,20.65,19.6058,1199400.0,0.36,1.0
2018-09-28,20.62,20.93,20.59,20.93,19.8717,2338600.0,0.36,1.0
2018-10-01,20.95,20.99,20.63,20.63,19.5868,1628500.0,0.41,1.0
2018-10-02,20.65,20.78,20.58,20.68,19.6343,2648700.0,0.41,1.0
2018-10-03,20.62,20.9,20.36,20.46,19.4254,2391900.0,0.41,1.0
2018-10-04,20.44,20.66,20.13,20.15,19.1311,2528800.0,0.41,1.0
2018-10-05,20.16,20.34,19.89,19.91,18.9032,1843600.0,0.45,1.0
2018-10-08,19.96,20.44,19.96,20.34,19.3115,1780700.0,0.45,1.0
