date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,3.25,3.25,3.25,3.25,2.5621,0.0,0.0,1.0
1999-08-10,3.25,3.25,3.25,3.25,2.5621,0.0,0.0,1.0
1999-08-11,3.25,3.25,3.25,3.25,2.5621,0.0,0.0,1.0
1999-08-12,3.25,3.25,3.25,3.25,2.5621,0.0,0.0,1.0
1999-08-13,3.25,3.25,3.25,3.25,2.5621,0.0,0.0,1.0
1999-08-16,3.25,3.25,3.25,3.25,2.5621,1000.0,0.0,1.0
1999-08-17,3.25,3.25,3.25,3.25,2.5621,0.0,0.0,1.0
1999-08-18,3.375,3.375,3.375,3.375,2.6607,1600.0,0.0,1.0
1999-08-19,3.375,3.375,3.375,3.375,2.6607,0.0,0.0,1.0
1999-08-20,3.375,3.375,3.375,3.375,2.6607,0.0,0.0,1.0
1999-08-23,3.5,3.5,3.5,3.5,2.7592,11800.0,0.0,1.0
1999-08-24,3.5,3.5,3.5,3.5,2.7592,1800.0,0.0,1.0
1999-08-25,3.5,3.5,3.5,3.5,2.7592,0.0,0.0,1.0
1999-08-26,3.5,3.5,3.5,3.5,2.7592,200.0,0.0,1.0
1999-08-27,3.5,3.5,3.5,3.5,2.7592,0.0,0.0,1.0
1999-08-30,3.5,3.5625,3.5,3.5625,2.8085,39000.0,0.0,1.0
1999-08-31,3.5625,3.5625,3.5625,3.5625,2.8085,0.0,0.0,1.0
1999-09-01,3.5625,3.5625,3.5625,3.5625,2.8085,0.0,0.0,1.0
1999-09-02,3.4375,3.5625,3.4375,3.5625,2.8085,1600.0,0.0,1.0
1999-09-03,3.5625,3.5625,3.5625,3.5625,2.8085,0.0,0.0,1.0
1999-09-07,3.625,3.625,3.625,3.625,2.8578,4000.0,0.0,1.0
1999-09-08,3.625,3.625,3.625,3.625,2.8578,1400.0,0.0,1.0
1999-09-09,3.625,3.625,3.625,3.625,2.8578,0.0,0.0,1.0
1999-09-10,3.8125,3.8125,3.8125,3.8125,3.0056,10000.0,0.0,1.0
1999-09-13,3.8125,3.8125,3.8125,3.8125,3.0056,0.0,0.0,1.0
1999-09-14,3.8125,3.8125,3.8125,3.8125,3.0056,0.0,0.0,1.0
1999-09-15,3.5625,3.5625,3.5625,3.5625,2.8085,1600.0,0.0,1.0
1999-09-16,3.5625,3.5625,3.5625,3.5625,2.8085,1000.0,0.0,1.0
1999-09-17,3.5,3.5625,3.5,3.5156,2.7715,26800.0,0.0,1.0
1999-09-20,3.5156,3.5156,3.5156,3.5156,2.7715,0.0,0.0,1.0
1999-09-21,3.375,3.375,3.375,3.375,2.6607,1000.0,0.0,1.0
1999-09-22,3.375,3.375,3.375,3.375,2.6607,0.0,0.0,1.0
1999-09-23,3.375,3.375,3.375,3.375,2.6607,0.0,0.0,1.0
1999-09-24,3.375,3.375,3.375,3.375,2.6607,0.0,0.0,1.0
