date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,29.7,29.9,29.5,29.8,27.2792,1956000.0,0.0,1.0
1999-08-10,29.7,29.8,28.4,28.8,26.3638,2104100.0,0.0,1.0
1999-08-11,29.5,31.0,28.9,31.0,28.3777,3487300.0,0.0,1.0
1999-08-12,30.9,30.9,29.4,29.4,26.9131,1336700.0,0.0,1.0
1999-08-13,30.0,30.2,29.8,30.1,27.5539,837300.0,0.0,1.0
1999-08-16,30.2,30.7,30.1,30.3,27.737,805600.0,0.0,1.0
1999-08-17,30.8,31.1,30.1,30.3,27.737,1106600.0,0.0,1.0
1999-08-18,30.3,30.4,29.7,29.9,27.3708,1221500.0,0.0,1.0
1999-08-19,29.6,29.7,29.2,29.5,27.0046,816200.0,0.0,1.0
1999-08-20,29.7,30.5,29.4,29.8,27.2792,1054200.0,0.0,1.0
1999-08-23,29.8,30.4,29.8,30.0,27.4623,1000600.0,0.0,1.0
1999-08-24,29.9,30.3,29.5,30.1,27.5539,1094600.0,0.0,1.0
1999-08-25,30.2,30.3,29.5,30.3,27.737,1128000.0,0.0,1.0
1999-08-26,29.7,30.3,29.6,29.8,27.2792,848100.0,0.0,1.0
1999-08-27,29.6,29.8,29.5,29.8,27.2792,522000.0,0.0,1.0
1999-08-30,29.7,29.8,28.8,29.0,26.5469,955600.0,0.0,1.0
1999-08-31,29.2,29.6,27.9,28.8,26.3638,2655400.0,0.0,1.0
1999-09-01,28.8,28.9,28.1,28.3,25.9061,1828600.0,0.0,1.0
1999-09-02,28.0,28.1,27.2,27.2,24.8992,2263000.0,0.0,1.0
1999-09-03,28.0,29.2,27.9,29.2,26.73,1740300.0,0.0,1.0
1999-09-07,29.5,29.6,29.0,29.6,27.0962,2205600.0,0.0,1.0
1999-09-08,29.1,29.5,28.8,29.0,26.5469,738800.0,0.0,1.0
1999-09-09,29.0,29.0,28.4,29.0,26.5469,921900.0,0.0,1.0
1999-09-10,28.8,28.9,28.1,28.1,25.723,1541100.0,0.0,1.0
1999-09-13,28.2,29.7,27.9,29.5,27.0046,2839200.0,0.0,1.0
1999-09-14,29.1,29.3,28.0,28.1,25.723,2654100.0,0.0,1.0
1999-09-15,28.5,28.7,28.0,28.0,25.6315,1798500.0,0.0,1.0
1999-09-16,28.0,28.2,27.2,27.8,25.4484,1234300.0,0.0,1.0
1999-09-17,28.9,30.6,28.6,30.6,28.0116,3616600.0,0.0,1.0
1999-09-20,30.1,30.6,29.7,30.3,27.737,1409500.0,0.0,1.0
1999-09-21,29.7,29.9,28.9,29.2,26.73,1046700.0,0.0,1.0
1999-09-22,29.3,29.3,28.1,29.1,26.6385,1932800.0,0.0,1.0
1999-09-23,28.8,29.1,27.8,28.1,25.723,1570100.0,0.0,1.0
1999-09-24,27.4,28.8,27.4,28.7,26.2723,1231200.0,0.0,1.0
1999-09-27,29.4,29.4,27.8,28.1,25.723,1465400.0,0.0,1.0
1999-09-28,27.9,28.0,27.2,27.5,25.1738,1121800.0,0.0,1.0
1999-09-29,27.9,28.3,27.6,27.8,25.4484,962600.0,0.0,1.0
1999-09-30,28.1,28.8,27.9,28.4,25.9977,1818000.0,0.0,1.0
1999-10-01,27.7,28.1,27.5,27.7,25.3569,1308300.0,0.0,1.0
1999-10-04,27.8,28.3,27.6,27.8,25.4484,995000.0,0.0,1.0
1999-10-05,27.6,28.5,27.5,27.9,25.54,1285400.0,0.0,1.0
1999-10-06,27.9,28.3,27.8,28.1,25.723,932500.0,0.0,1.0
1999-10-07,28.1,28.5,27.9,28.0,25.6315,1042300.0,0.0,1.0
1999-10-08,28.0,29.6,28.0,29.3,26.8215,1821000.0,0.0,1.0
1999-10-11,29.0,29.1,28.5,29.0,26.5469,799700.0,0.0,1.0
1999-10-12,28.8,29.6,28.4,29.3,26.8215,1640000.0,0.0,1.0
1999-10-13,29.1,29.1,28.0,28.0,25.6315,1097300.0,0.0,1.0
1999-10-14,28.0,28.4,27.4,27.7,25.3569,1584300.0,0.0,1.0
1999-10-15,26.8,27.2,24.8,25.5,23.343,5105100.0,0.0,1.0
1999-10-18,25.6,25.9,23.8,24.6,22.5191,4332900.0,0.0,1.0
1999-10-19,25.0,25.3,23.8,24.0,21.9699,3463800.0,0.0,1.0
1999-10-20,24.0,26.2,21.8,26.0,23.8007,8116200.0,0.0,1.0
1999-10-21,25.4,26.0,24.4,25.9,23.7091,2853700.0,0.0,1.0
1999-10-22,26.6,27.0,25.6,26.9,24.6246,1566400.0,0.0,1.0
1999-10-25,25.8,26.5,25.4,25.6,23.4345,1197400.0,0.0,1.0
1999-10-26,25.3,25.4,24.4,25.1,22.9768,1535000.0,0.0,1.0
1999-10-27,25.1,25.6,25.0,25.4,23.2514,919200.0,0.0,1.0
1999-10-28,26.1,27.1,25.7,26.4,24.1669,1526500.0,0.0,1.0
1999-10-29,26.6,27.0,26.4,26.4,24.1669,1484800.0,0.0,1.0
1999-11-01,26.7,26.9,26.3,26.4,24.1669,1327800.0,0.0,1.0
1999-11-02,26.5,26.6,25.4,25.5,23.343,1573600.0,0.0,1.0
1999-11-03,25.9,25.9,24.7,25.0,22.8853,1843100.0,0.0,1.0
1999-11-04,25.0,25.3,24.1,24.7,22.6107,2531500.0,0.0,1.0
1999-11-05,25.1,25.5,24.1,24.3,22.2445,1955300.0,0.0,1.0
1999-11-08,24.1,24.2,22.9,23.5,21.5122,3305100.0,0.0,1.0
1999-11-09,23.8,24.7,23.6,24.6,22.5191,1876500.0,0.0,1.0
1999-11-10,24.7,24.8,23.9,24.2,22.153,1511200.0,0.0,1.0
1999-11-11,24.1,24.6,23.6,24.0,21.9699,1332700.0,0.0,1.0
1999-11-12,24.0,24.2,23.7,24.1,22.0614,1921800.0,0.0,1.0
1999-11-15,24.0,24.3,23.6,23.8,21.7868,1934100.0,0.0,1.0
1999-11-16,24.1,24.2,23.4,23.7,21.6952,1809400.0,0.0,1.0
1999-11-17,23.8,24.0,23.3,23.3,21.3291,1856700.0,0.0,1.0
1999-11-18,23.5,24.5,23.3,24.3,22.2445,3274600.0,0.0,1.0
1999-11-19,24.7,26.4,24.1,26.1,23.8922,5482500.0,0.0,1.0
1999-11-22,26.4,27.0,25.6,26.3,24.0753,3670800.0,0.0,1.0
1999-11-23,26.3,26.6,25.5,25.6,23.4345,2987100.0,0.0,1.0
1999-11-24,25.9,26.3,25.6,26.2,23.9838,2182800.0,0.0,1.0
1999-11-26,26.2,26.8,26.0,26.4,24.1669,1071600.0,0.0,1.0
1999-11-29,26.2,26.3,25.6,25.8,23.6176,2043800.0,0.0,1.0
1999-11-30,26.0,27.4,26.0,26.5,24.2584,3550000.0,0.0,1.0
1999-12-01,26.5,27.5,26.4,26.8,24.533,1864700.0,0.0,1.0
1999-12-02,26.9,27.0,25.8,26.45,24.2126,1543600.0,0.0,1.0
1999-12-03,26.8,27.9,26.4,27.8,25.4484,3478800.0,0.0,1.0
1999-12-06,27.9,28.0,26.9,27.5,25.1738,2478800.0,0.0,1.0
1999-12-07,29.8,30.3,27.9,29.6,27.0962,9728100.0,0.0,1.0
1999-12-08,29.9,30.9,29.8,30.6,28.0116,6402600.0,0.0,1.0
1999-12-09,30.5,31.6,28.6,29.1,26.6385,4833600.0,0.0,1.0
1999-12-10,29.9,29.9,28.8,29.2,26.73,2184000.0,0.0,1.0
1999-12-13,29.4,29.4,27.9,28.525,26.1121,2650900.0,0.0,1.0
1999-12-14,27.5,27.8,26.5,26.7,24.4415,3629300.0,0.0,1.0
1999-12-15,26.3,26.8,25.7,26.3,24.0753,2729000.0,0.0,1.0
1999-12-16,32.4,36.8,31.6,36.8,33.6871,21842600.0,0.0,1.0
1999-12-17,36.2,40.0,33.5,40.0,36.6165,11985100.0,0.0,1.0
1999-12-20,39.0,40.3,37.8,38.8,35.5179,6572100.0,0.0,1.0
1999-12-21,38.0,39.2,38.0,38.3,35.0602,3378300.0,0.0,1.0
1999-12-22,38.4,39.3,38.0,38.9,35.6095,2745600.0,0.0,1.0
1999-12-23,39.0,39.7,37.7,39.0,35.701,3324600.0,0.0,1.0
1999-12-27,39.0,39.9,38.7,39.3,35.9757,2342300.0,0.0,1.0
1999-12-28,39.3,39.8,39.0,39.6,36.2503,2269900.0,0.0,1.0
1999-12-29,39.5,42.7,39.5,42.3,38.7219,4227400.0,0.0,1.0
1999-12-30,42.1,43.1,41.4,41.5,37.9896,2170900.0,0.0,1.0
1999-12-31,41.6,42.8,41.6,42.5,38.905,1294200.0,0.0,1.0
2000-01-03,41.1,42.1,38.8,38.9,35.6095,3517200.0,0.0,1.0
2000-01-04,37.4,39.1,37.0,37.2,34.0533,3705300.0,0.0,1.0
2000-01-05,36.8,37.2,35.6,36.6,33.504,2640600.0,0.0,1.0
2000-01-06,35.7,37.8,35.7,37.1,33.9618,2039300.0,0.0,1.0
2000-01-07,36.8,38.6,36.7,38.3,35.0602,2087100.0,0.0,1.0
2000-01-10,37.7,38.0,35.2,35.2,32.2225,2870400.0,0.0,1.0
2000-01-11,35.1,35.5,33.8,34.1,31.2155,2945300.0,0.0,1.0
2000-01-12,36.3,36.9,35.2,36.8,33.6871,3096700.0,0.0,1.0
2000-01-13,36.8,37.1,36.0,36.8,33.6871,1795000.0,0.0,1.0
2000-01-14,37.5,38.8,36.8,37.3,34.1448,3635700.0,0.0,1.0
2000-01-18,37.2,37.4,35.9,36.0,32.9548,2361100.0,0.0,1.0
2000-01-19,36.0,36.9,35.9,36.2,33.1379,2017800.0,0.0,1.0
2000-01-20,35.4,36.2,34.4,36.2,33.1379,2676100.0,0.0,1.0
2000-01-21,34.8,35.0,33.0,33.2,30.3916,2650300.0,0.0,1.0
2000-01-24,32.7,33.4,31.8,32.2,29.4762,2970500.0,0.0,1.0
2000-01-25,32.6,33.9,32.1,33.5,30.6663,2112400.0,0.0,1.0
2000-01-26,33.4,34.3,32.9,33.3,30.4832,2561800.0,0.0,1.0
2000-01-27,32.9,34.0,32.9,33.6,30.7578,2006100.0,0.0,1.0
2000-01-28,33.4,33.4,31.4,31.8,29.1101,2272000.0,0.0,1.0
2000-01-31,31.8,32.3,30.6,31.9,29.2016,2277300.0,0.0,1.0
2000-02-01,31.6,35.0,31.6,34.8,31.8563,4383500.0,0.0,1.0
2000-02-02,35.2,37.6,34.3,35.8,32.7717,5735500.0,0.0,1.0
2000-02-03,37.2,37.3,33.3,33.7,30.8494,6831100.0,0.0,1.0
2000-02-04,33.0,34.5,32.9,34.1,31.2155,4389000.0,0.0,1.0
2000-02-07,34.7,34.7,34.1,34.2,31.3071,2119700.0,0.0,1.0
2000-02-08,34.3,34.7,33.4,33.6,30.7578,3750100.0,0.0,1.0
2000-02-09,33.7,33.7,31.9,32.0,29.2932,2463700.0,0.0,1.0
2000-02-10,31.9,32.0,29.3,29.9,27.3708,6701100.0,0.0,1.0
2000-02-11,29.3,29.7,28.4,28.9,26.4554,6963700.0,0.0,1.0
2000-02-14,28.8,28.8,27.5,28.7,26.2723,5028800.0,0.0,1.0
2000-02-15,28.7,29.3,28.6,28.8,26.3638,3372100.0,0.0,1.0
2000-02-16,29.0,29.2,27.6,27.6,25.2653,3108300.0,0.0,1.0
2000-02-17,28.2,29.8,28.2,29.6,27.0962,3840800.0,0.0,1.0
2000-02-18,29.6,29.6,27.3,27.5,25.1738,4135400.0,0.0,1.0
2000-02-22,27.6,28.0,26.4,28.0,25.6315,3262000.0,0.0,1.0
2000-02-23,27.9,28.0,27.0,27.1,24.8076,1720500.0,0.0,1.0
2000-02-24,26.7,27.7,26.3,27.4,25.0823,2785200.0,0.0,1.0
2000-02-25,28.1,28.1,27.1,27.2,24.8992,1726600.0,0.0,1.0
2000-02-28,27.2,27.5,26.3,26.8,24.533,2825800.0,0.0,1.0
2000-02-29,27.5,28.9,26.9,28.5,26.0892,2530100.0,0.0,1.0
2000-03-01,28.5,28.5,27.5,27.8,25.4484,2525500.0,0.0,1.0
2000-03-02,27.8,27.9,26.9,27.4,25.0823,2016500.0,0.0,1.0
2000-03-03,27.6,28.3,27.3,28.1,25.723,2454300.0,0.0,1.0
2000-03-06,28.8,28.8,27.3,27.6,25.2653,1860400.0,0.0,1.0
2000-03-07,27.6,27.7,25.7,25.9,23.7091,3114900.0,0.0,1.0
2000-03-08,26.3,26.9,26.1,26.2,23.9838,2513400.0,0.0,1.0
2000-03-09,26.2,28.8,25.0,28.0,25.6315,5741300.0,0.0,1.0
2000-03-10,29.3,31.0,28.6,29.0,26.5469,9303600.0,0.0,1.0
2000-03-13,28.3,28.7,27.6,28.1,25.723,3929000.0,0.0,1.0
2000-03-14,28.8,29.3,27.7,28.2,25.8146,3553500.0,0.0,1.0
2000-03-15,28.1,28.3,27.5,27.5,25.1738,2299000.0,0.0,1.0
2000-03-16,27.6,27.9,26.9,27.6,25.2653,5324100.0,0.0,1.0
2000-03-17,27.3,28.5,27.0,27.1,24.8076,4248600.0,0.0,1.0
2000-03-20,27.2,27.8,27.0,27.7,25.3569,2476900.0,0.0,1.0
2000-03-21,28.0,28.8,27.8,28.8,26.3638,3260200.0,0.0,1.0
2000-03-22,28.7,29.1,27.3,28.2,25.8146,2644800.0,0.0,1.0
2000-03-23,28.0,28.3,27.7,28.2,25.8146,1333300.0,0.0,1.0
2000-03-24,28.0,28.9,27.9,28.3,25.9061,2387300.0,0.0,1.0
2000-03-27,29.1,29.6,28.8,29.6,27.0962,3995100.0,0.0,1.0
2000-03-28,29.2,31.2,29.2,30.3,27.737,6166900.0,0.0,1.0
2000-03-29,30.5,30.9,29.4,29.6,27.0962,3643200.0,0.0,1.0
2000-03-30,29.9,30.1,28.1,28.6,26.1808,2293700.0,0.0,1.0
2000-03-31,29.0,30.1,28.7,29.9,27.3708,3830100.0,0.0,1.0
2000-04-03,29.6,30.7,29.6,30.0,27.4623,2109500.0,0.0,1.0
2000-04-04,30.7,30.8,27.2,27.6,25.2653,3909000.0,0.0,1.0
2000-04-05,27.7,29.7,27.7,28.6,26.1808,3021900.0,0.0,1.0
2000-04-06,28.6,29.3,28.2,28.8,26.3638,2678500.0,0.0,1.0
2000-04-07,28.6,29.0,28.1,28.5,26.0892,1647300.0,0.0,1.0
2000-04-10,29.8,30.3,29.2,29.6,27.0962,3791500.0,0.0,1.0
2000-04-11,29.1,29.3,28.1,28.4,25.9977,2336400.0,0.0,1.0
2000-04-12,28.5,29.1,28.2,28.2,25.8146,2192100.0,0.0,1.0
2000-04-13,28.6,28.6,27.2,27.2,24.8992,2030300.0,0.0,1.0
2000-04-14,26.7,26.8,25.2,25.4,23.2514,3543600.0,0.0,1.0
2000-04-17,25.3,26.1,24.6,25.3,23.1599,3882100.0,0.0,1.0
2000-04-18,25.5,27.2,24.7,27.2,24.8992,3733000.0,0.0,1.0
2000-04-19,25.9,26.2,24.1,24.3,22.2445,4708200.0,0.0,1.0
2000-04-20,24.5,25.2,23.8,24.4,22.336,6010000.0,0.0,1.0
2000-04-24,24.0,24.6,23.2,24.0,21.9699,3040100.0,0.0,1.0
2000-04-25,24.5,25.4,24.4,25.2,23.0684,2142500.0,0.0,1.0
2000-04-26,25.5,25.8,24.5,24.5,22.4276,1987100.0,0.0,1.0
2000-04-27,23.6,24.4,23.5,24.2,22.153,3230500.0,0.0,1.0
2000-04-28,24.5,24.9,24.3,24.7,22.6107,2102500.0,0.0,1.0
2000-05-01,24.5,24.9,24.1,24.7,22.6107,1290300.0,0.0,1.0
2000-05-02,24.4,24.7,23.6,24.0,21.9699,6211900.0,0.0,1.0
2000-05-03,23.9,24.0,23.1,23.275,21.3062,2266400.0,0.0,1.0
2000-05-04,23.7,23.8,23.4,23.4,21.4206,1661500.0,0.0,1.0
2000-05-05,23.3,23.7,22.6,23.4,21.4206,2171000.0,0.0,1.0
2000-05-08,23.2,23.8,23.2,23.4,21.4206,1070800.0,0.0,1.0
2000-05-09,23.3,23.6,22.7,22.9,20.9629,1458800.0,0.0,1.0
2000-05-10,22.8,22.9,22.2,22.3,20.4137,1643300.0,0.0,1.0
2000-05-11,22.4,22.9,22.2,22.3,20.4137,1744500.0,0.0,1.0
2000-05-12,22.6,23.3,22.4,22.7,20.7798,1460800.0,0.0,1.0
2000-05-15,23.0,23.1,22.6,23.0,21.0545,1927100.0,0.0,1.0
2000-05-16,23.2,23.8,22.9,23.7,21.6952,1782600.0,0.0,1.0
2000-05-17,23.3,24.8,23.3,24.3,22.2445,3076500.0,0.0,1.0
2000-05-18,24.7,25.3,24.2,24.2,22.153,3159600.0,0.0,1.0
2000-05-19,24.1,25.1,24.0,24.2,22.153,3216500.0,0.0,1.0
2000-05-22,24.1,24.4,22.1,22.8,20.8714,2725300.0,0.0,1.0
2000-05-23,23.1,23.2,21.5,22.0,20.139,2716600.0,0.0,1.0
2000-05-24,21.6,21.7,20.5,21.6,19.7729,2719300.0,0.0,1.0
2000-05-25,21.7,23.1,21.4,21.7,19.8644,4159000.0,0.0,1.0
2000-05-26,21.7,22.0,20.8,20.9,19.1321,1779500.0,0.0,1.0
2000-05-30,21.5,21.5,20.6,21.1,19.3152,1718600.0,0.0,1.0
2000-05-31,20.8,21.3,20.6,21.2,19.4067,2635400.0,0.0,1.0
2000-06-01,21.4,21.4,20.7,21.0,19.2236,2720600.0,0.0,1.0
2000-06-02,21.2,21.7,21.0,21.4,19.5898,3386300.0,0.0,1.0
2000-06-05,21.1,21.3,20.2,20.3,18.5828,3695300.0,0.0,1.0
2000-06-06,20.4,21.0,20.1,20.8,19.0405,3319700.0,0.0,1.0
2000-06-07,20.8,21.0,20.0,20.2,18.4913,2576200.0,0.0,1.0
2000-06-08,20.2,20.6,19.8,20.2,18.4913,4640900.0,0.0,1.0
2000-06-09,20.4,21.2,20.2,20.3,18.5828,3746600.0,0.0,1.0
2000-06-12,20.7,20.7,19.6,19.8,18.1251,2140400.0,0.0,1.0
2000-06-13,19.3,20.2,18.95,19.45,17.8047,3218600.0,0.0,1.0
2000-06-14,19.8,20.1,19.1,19.9,18.2167,2766100.0,0.0,1.0
2000-06-15,21.4,22.0,21.0,21.6,19.7729,6696100.0,0.0,1.0
2000-06-16,21.8,21.9,20.85,21.6,19.7729,2902000.0,0.0,1.0
2000-06-19,21.1,21.5,20.5,21.4,19.5898,2045100.0,0.0,1.0
2000-06-20,20.9,21.2,20.4,20.7,18.949,1318000.0,0.0,1.0
2000-06-21,20.4,20.6,20.2,20.5,18.7659,1267100.0,0.0,1.0
2000-06-22,20.4,20.5,19.8,20.2,18.4913,2113600.0,0.0,1.0
2000-06-23,19.8,20.2,19.7,20.0,18.3082,1075900.0,0.0,1.0
2000-06-26,20.0,20.3,19.6,19.9,18.2167,1196000.0,0.0,1.0
2000-06-27,19.9,20.8,19.8,20.6,18.8575,2488100.0,0.0,1.0
2000-06-28,21.9,24.0,21.7,24.0,21.9699,10483600.0,0.0,1.0
2000-06-29,23.6,23.9,23.0,23.8,21.7868,7138900.0,0.0,1.0
2000-06-30,23.9,24.0,22.1,22.4,20.5052,3107000.0,0.0,1.0
2000-07-03,22.8,23.6,22.5,23.6,21.6037,1016000.0,0.0,1.0
2000-07-05,23.6,23.6,22.5,23.3,21.3291,2343300.0,0.0,1.0
2000-07-06,23.1,23.2,22.7,23.0,21.0545,1484400.0,0.0,1.0
2000-07-07,23.5,23.5,22.8,23.1,21.146,1706100.0,0.0,1.0
2000-07-10,23.2,23.7,22.4,22.7,20.7798,1340600.0,0.0,1.0
2000-07-11,22.4,22.6,22.0,22.3,20.4137,2392300.0,0.0,1.0
2000-07-12,22.0,23.0,21.7,22.3,20.4137,1925500.0,0.0,1.0
2000-07-13,22.1,22.7,22.1,22.6,20.6883,1417100.0,0.0,1.0
2000-07-14,22.4,23.4,22.3,23.2,21.2375,1674800.0,0.0,1.0
2000-07-17,23.2,23.6,22.8,23.5,21.5122,1950200.0,0.0,1.0
2000-07-18,22.9,23.4,22.0,22.0,20.139,2228800.0,0.0,1.0
2000-07-19,22.8,23.5,22.4,22.4,20.5052,2197700.0,0.0,1.0
2000-07-20,22.8,22.9,21.6,22.2,20.3221,4935900.0,0.0,1.0
2000-07-21,22.1,22.1,21.6,21.7,19.8644,2338700.0,0.0,1.0
2000-07-24,22.2,22.2,20.8,21.5,19.6813,3510500.0,0.0,1.0
2000-07-25,21.1,21.3,20.8,21.3,19.4983,1726900.0,0.0,1.0
2000-07-26,21.0,21.1,19.7,19.7,18.0336,4718000.0,0.0,1.0
2000-07-27,20.0,20.2,19.5,19.5,17.8505,4359600.0,0.0,1.0
2000-07-28,19.5,19.9,19.5,19.9,18.2167,3501100.0,0.0,1.0
2000-07-31,20.0,20.7,20.0,20.5,18.7659,3238600.0,0.0,1.0
