date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,140.625,140.625,140.625,140.625,110.2806,0.0,0.0,1.0
1999-08-10,138.75,138.75,138.75,138.75,108.8102,200.0,0.0,1.0
1999-08-11,135.0,135.0,133.125,133.125,104.3989,200.0,0.0,1.0
1999-08-12,131.25,131.25,131.25,131.25,102.9286,100.0,0.0,1.0
1999-08-13,129.375,129.375,129.375,129.375,101.4581,0.0,0.0,1.0
1999-08-16,129.375,129.375,129.375,129.375,101.4581,0.0,0.0,1.0
1999-08-17,129.375,129.375,127.5,127.5,99.9878,0.0,0.0,1.0
1999-08-18,127.5,127.5,127.5,127.5,99.9878,100.0,0.0,1.0
1999-08-19,128.4375,129.375,127.5,127.5,100.1409,300.0,0.195,1.0
1999-08-20,129.375,131.25,129.375,131.25,103.0862,0.0,0.0,1.0
1999-08-23,135.0,135.0,135.0,135.0,106.0315,0.0,0.0,1.0
1999-08-24,133.125,136.875,133.125,135.9375,106.7679,200.0,0.0,1.0
1999-08-25,135.9375,135.9375,135.9375,135.9375,106.7679,0.0,0.0,1.0
1999-08-26,136.875,142.5,136.875,138.75,108.9769,500.0,0.0,1.0
1999-08-27,138.75,142.5,138.75,142.5,111.9222,400.0,0.0,1.0
1999-08-30,138.75,138.75,138.75,138.75,108.9769,0.0,0.0,1.0
1999-08-31,135.0,144.375,135.0,144.375,113.3949,500.0,0.0,1.0
1999-09-01,140.625,140.625,136.875,136.875,107.5042,400.0,0.0,1.0
1999-09-02,136.875,136.875,136.875,136.875,107.5042,0.0,0.0,1.0
1999-09-03,136.875,136.875,136.875,136.875,107.5042,0.0,0.0,1.0
1999-09-07,138.75,138.75,138.75,138.75,108.9769,0.0,0.0,1.0
1999-09-08,136.875,137.8125,136.875,137.8125,108.2405,0.0,0.0,1.0
1999-09-09,135.0,135.0,134.0625,134.0625,105.2952,0.0,0.0,1.0
1999-09-10,133.125,133.125,133.125,133.125,104.5589,0.0,0.0,1.0
1999-09-13,133.125,133.125,133.125,133.125,104.5589,0.0,0.0,1.0
1999-09-14,135.0,135.0,135.0,135.0,106.0315,0.0,0.0,1.0
1999-09-15,135.0,135.0,135.0,135.0,106.0315,0.0,0.0,1.0
1999-09-16,133.125,133.125,131.25,133.125,104.5589,100.0,0.0,1.0
1999-09-17,131.25,131.25,129.375,129.375,101.6135,100.0,0.0,1.0
1999-09-20,129.375,129.375,129.375,129.375,101.6135,0.0,0.0,1.0
1999-09-21,127.5,127.5,125.625,125.625,98.6683,0.0,0.0,1.0
1999-09-22,123.75,123.75,123.75,123.75,97.1956,0.0,0.0,1.0
1999-09-23,123.75,123.75,121.875,121.875,95.7229,0.0,0.0,1.0
1999-09-24,120.0,120.0,120.0,120.0,94.2502,0.0,0.0,1.0
1999-09-27,120.0,120.0,120.0,120.0,94.2502,0.0,0.0,1.0
1999-09-28,120.0,120.0,120.0,120.0,94.2502,0.0,0.0,1.0
1999-09-29,118.125,118.125,114.375,114.375,89.8323,300.0,0.0,1.0
1999-09-30,114.375,135.0,114.375,135.0,106.0315,700.0,0.0,1.0
1999-10-01,131.25,133.125,129.375,129.375,101.6135,100.0,0.0,1.0
1999-10-04,131.25,131.25,131.25,131.25,103.0862,0.0,0.0,1.0
1999-10-05,131.25,131.25,127.5,129.375,101.6135,200.0,0.0,1.0
1999-10-06,127.5,127.5,127.5,127.5,100.1409,0.0,0.0,1.0
1999-10-07,125.625,125.625,125.625,125.625,98.6683,0.0,0.0,1.0
1999-10-08,125.625,125.625,125.625,125.625,98.6683,0.0,0.0,1.0
1999-10-11,125.625,125.625,125.625,125.625,98.6683,0.0,0.0,1.0
1999-10-12,125.625,125.625,125.625,125.625,98.6683,0.0,0.0,1.0
1999-10-13,123.75,123.75,123.75,123.75,97.1956,0.0,0.0,1.0
1999-10-14,121.875,121.875,121.875,121.875,95.7229,0.0,0.0,1.0
1999-10-15,121.875,121.875,118.125,118.125,92.7776,100.0,0.0,1.0
1999-10-18,116.25,116.25,112.5,116.25,91.3049,100.0,0.0,1.0
1999-10-19,116.25,116.25,116.25,116.25,91.3049,100.0,0.0,1.0
1999-10-20,114.375,114.375,112.5,112.5,88.3596,100.0,0.0,1.0
1999-10-21,112.5,112.5,106.875,106.875,83.9416,300.0,0.0,1.0
1999-10-22,105.0,105.0,105.0,105.0,82.469,0.0,0.0,1.0
1999-10-25,108.75,110.625,108.75,108.75,85.4143,300.0,0.0,1.0
1999-10-26,110.625,114.375,110.625,112.5,88.3596,200.0,0.0,1.0
1999-10-27,112.5,112.5,112.5,112.5,88.3596,0.0,0.0,1.0
1999-10-28,108.75,108.75,108.75,108.75,85.4143,200.0,0.0,1.0
1999-10-29,106.875,108.75,106.875,106.875,83.9416,100.0,0.0,1.0
1999-11-01,106.875,106.875,106.875,106.875,83.9416,0.0,0.0,1.0
1999-11-02,110.625,110.625,105.0,108.75,85.4143,200.0,0.0,1.0
1999-11-03,108.75,112.5,108.75,112.5,88.3596,500.0,0.0,1.0
1999-11-04,114.375,114.375,112.5,112.5,88.3596,100.0,0.0,1.0
1999-11-05,112.5,116.25,112.5,116.25,91.3049,100.0,0.0,1.0
1999-11-08,112.5,112.5,112.5,112.5,88.3596,0.0,0.0,1.0
1999-11-09,112.5,112.5,112.5,112.5,88.3596,0.0,0.0,1.0
1999-11-10,115.3125,116.25,115.3125,116.25,91.3049,100.0,0.0,1.0
1999-11-11,114.375,114.375,114.375,114.375,89.8323,0.0,0.0,1.0
1999-11-12,116.25,120.0,116.25,120.0,94.2502,100.0,0.0,1.0
1999-11-15,120.0,134.0625,120.0,134.0625,105.2952,400.0,0.0,1.0
1999-11-16,135.0,144.375,135.0,142.5,111.9222,1200.0,0.0,1.0
1999-11-17,144.375,150.0,142.5,150.0,117.8129,500.0,0.0,1.0
1999-11-18,150.0,155.625,150.0,155.625,122.2308,500.0,0.0,1.0
1999-11-19,155.625,161.25,153.75,161.25,126.6488,800.0,0.0,1.0
1999-11-22,159.375,161.25,157.5,157.5,123.7035,1800.0,0.0,1.0
1999-11-23,157.5,163.125,157.5,161.25,126.6488,1100.0,0.0,1.0
1999-11-24,159.375,163.125,159.375,161.25,126.6488,200.0,0.0,1.0
1999-11-26,161.25,161.25,161.25,161.25,126.6488,0.0,0.0,1.0
1999-11-29,165.0,165.0,165.0,165.0,129.5941,100.0,0.0,1.0
1999-11-30,163.125,163.125,161.25,161.25,126.6488,0.0,0.0,1.0
1999-12-01,159.375,159.375,156.5625,157.5,123.7035,700.0,0.0,1.0
1999-12-02,155.625,155.625,155.625,155.625,122.2308,0.0,0.0,1.0
1999-12-03,159.375,159.375,157.5,157.5,123.7035,100.0,0.0,1.0
1999-12-06,157.5,157.5,155.625,155.625,122.2308,200.0,0.0,1.0
1999-12-07,155.625,155.625,151.875,151.875,119.2855,200.0,0.0,1.0
1999-12-08,151.875,151.875,151.875,151.875,119.2855,0.0,0.0,1.0
1999-12-09,151.875,151.875,151.875,151.875,119.2855,0.0,0.0,1.0
1999-12-10,153.75,155.625,153.75,155.625,122.2308,0.0,0.0,1.0
1999-12-13,151.875,151.875,150.0,150.0,117.8129,100.0,0.0,1.0
1999-12-14,148.125,148.125,142.5,142.5,111.9222,300.0,0.0,1.0
1999-12-15,141.5625,141.5625,141.5625,141.5625,111.1859,0.0,0.0,1.0
1999-12-16,138.75,138.75,136.875,136.875,107.5042,100.0,0.0,1.0
1999-12-17,136.875,136.875,136.875,136.875,107.5042,0.0,0.0,1.0
1999-12-20,138.75,140.625,138.75,138.75,108.9769,100.0,0.0,1.0
1999-12-21,138.75,138.75,138.75,138.75,108.9769,0.0,0.0,1.0
1999-12-22,138.75,140.625,138.75,138.75,108.9769,300.0,0.0,1.0
1999-12-23,138.75,140.625,138.75,140.625,110.4495,0.0,0.0,1.0
1999-12-27,139.6875,140.625,138.75,140.625,110.4495,200.0,0.0,1.0
1999-12-28,140.625,142.5,140.625,142.5,111.9222,200.0,0.0,1.0
1999-12-29,146.25,148.125,144.375,144.375,113.3949,400.0,0.0,1.0
1999-12-30,146.25,150.0,144.375,150.0,117.8129,300.0,0.0,1.0
1999-12-31,151.875,166.875,151.875,166.875,131.0668,1100.0,0.0,1.0
2000-01-03,164.0625,165.0,161.25,163.125,128.1215,100.0,0.0,1.0
2000-01-04,161.25,161.25,158.4375,158.4375,124.4398,200.0,0.0,1.0
2000-01-05,158.4375,158.4375,155.625,157.5,123.7035,200.0,0.0,1.0
2000-01-06,159.375,159.375,155.625,159.375,125.1761,0.0,0.0,1.0
2000-01-07,155.625,159.375,153.75,153.75,120.7581,200.0,0.0,1.0
2000-01-10,153.75,153.75,151.875,153.75,120.7581,300.0,0.0,1.0
2000-01-11,153.75,157.5,153.75,155.625,122.2308,300.0,0.0,1.0
2000-01-12,159.375,159.375,159.375,159.375,125.1761,0.0,0.0,1.0
2000-01-13,163.125,180.0,163.125,180.0,141.3754,1300.0,0.0,1.0
2000-01-14,181.875,183.75,180.0,183.75,144.3207,300.0,0.0,1.0
2000-01-18,183.75,183.75,183.75,183.75,144.3207,0.0,0.0,1.0
2000-01-19,183.75,187.5,183.75,185.625,145.7934,1000.0,0.0,1.0
2000-01-20,185.625,187.5,183.75,183.75,144.3207,100.0,0.0,1.0
2000-01-21,185.625,185.625,185.625,185.625,145.7934,0.0,0.0,1.0
2000-01-24,180.9375,181.875,176.25,179.0625,140.6391,500.0,0.0,1.0
2000-01-25,180.0,180.0,176.25,176.25,138.4301,400.0,0.0,1.0
2000-01-26,179.0625,179.0625,176.25,178.125,139.9027,100.0,0.0,1.0
2000-01-27,180.0,181.875,180.0,181.875,142.8481,100.0,0.0,1.0
2000-01-28,182.8125,183.75,182.8125,183.75,144.3207,0.0,0.0,1.0
2000-01-31,186.5625,186.5625,185.625,185.625,145.7934,100.0,0.0,1.0
2000-02-01,185.625,185.625,181.875,181.875,142.8481,600.0,0.0,1.0
2000-02-02,183.75,183.75,183.75,183.75,144.3207,100.0,0.0,1.0
2000-02-03,187.5,187.5,185.625,185.625,145.7934,400.0,0.0,1.0
2000-02-04,185.625,187.5,185.625,185.625,145.7934,300.0,0.0,1.0
2000-02-07,187.5,191.25,187.5,191.25,150.2114,600.0,0.0,1.0
2000-02-08,191.25,193.125,190.3125,190.3125,149.475,300.0,0.0,1.0
2000-02-09,189.375,195.0,189.375,191.25,150.2114,100.0,0.0,1.0
2000-02-10,191.25,191.25,189.375,189.375,148.7387,100.0,0.0,1.0
2000-02-11,191.25,191.25,181.875,181.875,142.8481,0.0,0.0,1.0
2000-02-14,185.625,185.625,180.9375,183.75,144.3207,100.0,0.0,1.0
2000-02-15,181.875,181.875,180.9375,180.9375,142.1117,0.0,0.0,1.0
2000-02-16,178.125,180.0,172.5,180.0,141.3754,400.0,0.0,1.0
2000-02-17,178.125,180.0,178.125,179.0625,140.6391,200.0,0.0,1.0
2000-02-18,179.0625,179.0625,179.0625,179.0625,140.6391,0.0,0.0,1.0
2000-02-22,178.125,180.0,178.125,180.0,141.3754,2400.0,0.0,1.0
2000-02-23,180.0,181.875,180.0,180.0,141.9669,500.0,0.75,1.0
2000-02-24,180.0,202.5,178.125,195.0,153.7975,1800.0,0.0,1.0
2000-02-25,200.625,202.5,193.125,193.125,152.3187,300.0,0.0,1.0
2000-02-28,191.25,191.25,187.5,187.5,147.8822,200.0,0.0,1.0
2000-02-29,181.875,181.875,165.0,169.6875,133.8333,1200.0,0.0,1.0
2000-03-01,168.75,168.75,164.0625,164.0625,129.3969,100.0,0.0,1.0
2000-03-02,161.25,161.25,148.125,148.125,116.8269,700.0,0.0,1.0
2000-03-03,146.25,148.125,144.375,148.125,116.8269,100.0,0.0,1.0
2000-03-06,146.25,146.25,146.25,146.25,115.3481,0.0,0.0,1.0
2000-03-07,142.5,142.5,142.5,142.5,112.3904,100.0,0.0,1.0
