date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-06-16,24.9,25.0,24.78,24.96,18.2638,1206400.0,0.0,1.0
2014-06-17,24.85,25.1,24.65,25.1,18.3662,1296600.0,0.0,1.0
2014-06-18,24.9,25.04,24.8,24.85,18.1833,230300.0,0.0,1.0
2014-06-19,24.81,25.3,24.81,25.0,18.2931,342300.0,0.0,1.0
2014-06-20,24.95,25.1,24.95,25.1,18.3662,72100.0,0.0,1.0
2014-06-23,25.0,25.1,24.93,25.04,18.3223,213900.0,0.0,1.0
2014-06-24,24.9,25.1,24.9,25.0,18.2931,104100.0,0.0,1.0
2014-06-25,24.95,25.19,24.85,25.02,18.3077,254800.0,0.0,1.0
2014-06-26,25.04,25.08,24.85,24.85,18.1833,33700.0,0.0,1.0
2014-06-27,24.85,24.85,24.85,24.85,18.1833,0.0,0.0,1.0
2014-06-30,24.85,24.85,24.85,24.85,18.1833,0.0,0.0,1.0
2014-07-01,25.15,25.15,24.92,25.0,18.2931,50400.0,0.0,1.0
2014-07-02,25.05,25.05,24.94,25.03,18.315,30900.0,0.0,1.0
2014-07-03,24.94,25.0,24.9,25.0,18.2931,106200.0,0.0,1.0
2014-07-07,25.01,25.15,25.01,25.08,18.3516,152600.0,0.0,1.0
2014-07-08,25.08,25.12,25.05,25.08,18.3516,104700.0,0.0,1.0
2014-07-09,25.08,25.18,25.07,25.18,18.4248,93900.0,0.0,1.0
2014-07-10,25.15,25.2,25.1,25.15,18.4028,72800.0,0.0,1.0
2014-07-11,25.15,25.19,25.15,25.19,18.4321,49300.0,0.0,1.0
2014-07-14,25.2,25.2,25.14,25.19,18.4321,162600.0,0.0,1.0
2014-07-15,25.17,25.23,25.11,25.16,18.4101,113200.0,0.0,1.0
2014-07-16,25.2,25.25,25.15,25.2,18.4394,43100.0,0.0,1.0
2014-07-17,25.18,25.28,25.13,25.18,18.4248,86700.0,0.0,1.0
2014-07-18,25.2,25.22,25.1,25.15,18.4028,588800.0,0.0,1.0
2014-07-21,25.1,25.12,25.02,25.05,18.3297,21600.0,0.0,1.0
2014-07-22,25.05,25.63,24.95,25.04,18.3223,80200.0,0.0,1.0
2014-07-23,25.05,25.15,25.0,25.05,18.3297,44500.0,0.0,1.0
2014-07-24,25.08,25.08,25.0,25.05,18.3297,31700.0,0.0,1.0
2014-07-25,24.96,25.74,24.96,25.21,18.4467,70900.0,0.0,1.0
2014-07-28,25.19,25.19,25.06,25.07,18.3443,45500.0,0.0,1.0
2014-07-29,25.17,25.32,25.03,25.05,18.3297,101600.0,0.0,1.0
2014-07-30,25.1,25.1,24.95,25.0,18.2931,59500.0,0.0,1.0
2014-07-31,24.97,24.97,24.57,24.85,18.1833,47600.0,0.0,1.0
2014-08-01,24.8,24.87,24.61,24.85,18.1833,29900.0,0.0,1.0
2014-08-04,24.85,24.85,24.55,24.84,18.176,28700.0,0.0,1.0
2014-08-05,24.86,24.86,24.5,24.74,18.1028,73500.0,0.0,1.0
2014-08-06,24.73,24.84,24.6,24.84,18.176,15500.0,0.0,1.0
2014-08-07,24.85,24.86,24.65,24.85,18.1833,14500.0,0.0,1.0
2014-08-08,24.85,24.85,24.79,24.84,18.176,109300.0,0.0,1.0
2014-08-11,24.84,25.13,24.83,25.06,18.337,100300.0,0.0,1.0
2014-08-12,25.15,25.2,25.02,25.11,18.3736,82400.0,0.0,1.0
2014-08-13,25.0,25.04,24.9,24.98,18.4995,86000.0,0.3,1.0
2014-08-14,24.99,24.99,24.9,24.97,18.4921,77600.0,0.0,1.0
2014-08-15,24.99,25.0,24.95,24.95,18.4772,44400.0,0.0,1.0
2014-08-18,25.25,25.25,25.02,25.03,18.5365,36500.0,0.0,1.0
2014-08-19,25.0,25.12,25.0,25.03,18.5365,19200.0,0.0,1.0
2014-08-20,25.07,25.07,25.0,25.04,18.5439,35400.0,0.0,1.0
2014-08-21,25.07,25.23,25.05,25.1,18.5883,11400.0,0.0,1.0
2014-08-22,25.25,25.25,25.02,25.02,18.5291,10700.0,0.0,1.0
2014-08-25,25.1,25.1,24.92,24.94,18.4698,34200.0,0.0,1.0
2014-08-26,24.96,25.05,24.96,24.98,18.4995,28000.0,0.0,1.0
2014-08-27,24.91,25.0,24.91,24.98,18.4995,33500.0,0.0,1.0
2014-08-28,25.03,25.04,24.95,24.96,18.4846,31300.0,0.0,1.0
2014-08-29,25.02,25.08,24.98,25.01,18.5217,260700.0,0.0,1.0
2014-09-02,25.0,25.01,24.77,24.89,18.4328,93200.0,0.0,1.0
2014-09-03,24.84,24.9,24.8,24.82,18.381,46100.0,0.0,1.0
2014-09-04,25.0,25.0,24.62,24.65,18.2551,49000.0,0.0,1.0
2014-09-05,24.78,24.82,24.59,24.81,18.3736,27100.0,0.0,1.0
2014-09-08,24.89,24.89,24.63,24.69,18.2847,30500.0,0.0,1.0
2014-09-09,24.73,24.75,24.55,24.65,18.2551,39500.0,0.0,1.0
2014-09-10,24.77,24.8,24.45,24.8,18.3661,22000.0,0.0,1.0
2014-09-11,24.85,24.85,24.7,24.8,18.3661,15400.0,0.0,1.0
2014-09-12,24.77,24.77,24.4,24.71,18.2995,59300.0,0.0,1.0
2014-09-15,24.52,24.7,24.4,24.69,18.2847,17700.0,0.0,1.0
2014-09-16,24.69,24.72,24.51,24.6,18.218,20400.0,0.0,1.0
2014-09-17,24.68,24.88,24.55,24.7,18.2921,23900.0,0.0,1.0
2014-09-18,24.8,24.89,24.67,24.75,18.3291,51300.0,0.0,1.0
2014-09-19,24.89,24.89,24.61,24.89,18.4328,8400.0,0.0,1.0
2014-09-22,24.85,24.89,24.71,24.83,18.3884,33600.0,0.0,1.0
2014-09-23,24.85,24.86,24.6,24.72,18.3069,33400.0,0.0,1.0
2014-09-24,24.8,24.86,24.66,24.74,18.3217,9500.0,0.0,1.0
2014-09-25,24.74,24.88,24.7,24.86,18.4106,25900.0,0.0,1.0
2014-09-26,24.89,24.96,24.75,24.82,18.381,23200.0,0.0,1.0
2014-09-29,24.81,24.97,24.72,24.87,18.418,17200.0,0.0,1.0
