date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,15.68,16.0,15.52,15.68,10.5534,10000.0,0.0,1.0
1999-08-10,14.72,15.68,14.72,15.04,10.1227,1200.0,0.0,1.0
1999-08-11,15.04,15.68,15.04,15.68,10.5534,1000.0,0.0,1.0
1999-08-12,15.68,15.68,15.68,15.68,10.5534,0.0,0.0,1.0
1999-08-13,15.68,16.0,15.68,15.68,10.5534,1600.0,0.0,1.0
1999-08-16,15.68,15.68,15.68,15.68,10.5534,0.0,0.0,1.0
1999-08-17,15.36,15.36,15.04,15.04,10.1227,1600.0,0.0,1.0
1999-08-18,15.04,15.04,15.04,15.04,10.1227,0.0,0.0,1.0
1999-08-19,15.84,15.84,15.84,15.84,10.6611,200.0,0.0,1.0
1999-08-20,14.72,14.72,14.72,14.72,9.9073,200.0,0.0,1.0
1999-08-23,14.72,14.72,14.72,14.72,9.9073,0.0,0.0,1.0
1999-08-24,14.72,14.72,14.72,14.72,9.9073,0.0,0.0,1.0
1999-08-25,15.68,15.72,14.72,14.72,9.9073,4500.0,0.0,1.0
1999-08-26,14.72,14.72,14.72,14.72,9.9073,0.0,0.0,1.0
1999-08-27,15.16,15.68,14.64,15.36,10.338,1300.0,0.0,1.0
1999-08-30,14.4,15.36,14.4,15.36,10.338,800.0,0.0,1.0
1999-08-31,15.0,15.04,14.4,14.4,9.6919,3200.0,0.0,1.0
1999-09-01,14.72,14.72,14.72,14.72,9.9073,300.0,0.0,1.0
1999-09-02,14.72,14.72,14.72,14.72,9.9073,0.0,0.0,1.0
1999-09-03,15.36,15.36,15.36,15.36,10.338,100.0,0.0,1.0
1999-09-07,14.4,14.4,14.4,14.4,9.6919,600.0,0.0,1.0
1999-09-08,14.4,14.4,14.4,14.4,9.6919,1000.0,0.0,1.0
1999-09-09,14.56,14.56,14.08,14.12,9.5544,4000.0,0.0768,1.0
1999-09-10,14.12,14.12,14.12,14.12,9.5544,0.0,0.0,1.0
1999-09-13,14.04,14.04,14.0,14.04,9.5003,3100.0,0.0,1.0
1999-09-14,13.88,13.88,13.84,13.84,9.365,4600.0,0.0,1.0
1999-09-15,14.24,14.24,13.84,13.84,9.365,1800.0,0.0,1.0
1999-09-16,13.8,13.84,13.6,13.6,9.2026,3800.0,0.0,1.0
1999-09-17,13.92,14.08,13.92,13.92,9.4191,1600.0,0.0,1.0
1999-09-20,13.44,14.4,13.44,14.4,9.7439,700.0,0.0,1.0
1999-09-21,14.4,14.4,14.4,14.4,9.7439,0.0,0.0,1.0
1999-09-22,14.4,14.4,14.4,14.4,9.7439,0.0,0.0,1.0
1999-09-23,13.92,14.4,13.92,14.4,9.7439,1200.0,0.0,1.0
1999-09-24,14.4,15.2,14.4,14.4,9.7439,6800.0,0.0,1.0
1999-09-27,14.88,15.36,14.72,15.36,10.3935,2100.0,0.0,1.0
1999-09-28,15.04,15.32,14.72,15.32,10.3664,7200.0,0.0,1.0
1999-09-29,14.88,15.68,14.88,15.68,10.61,16600.0,0.0,1.0
1999-09-30,15.36,15.52,14.4,14.56,9.8521,59000.0,0.0,1.0
1999-10-01,14.56,15.52,14.56,15.52,10.5017,10100.0,0.0,1.0
1999-10-04,15.52,15.52,15.52,15.52,10.5017,5800.0,0.0,1.0
