date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-09-22,30.31,32.5,30.25,31.0,29.5573,6300.0,0.0,1.0
2014-09-23,31.41,32.0,31.1,31.35,29.891,40400.0,0.0,1.0
2014-09-24,32.0,33.59,31.75,32.98,31.4451,532400.0,0.0,1.0
2014-09-25,32.5,33.7,31.47,31.75,30.2724,693000.0,0.0,1.0
2014-09-26,32.0,34.355,31.12,31.12,29.6717,628300.0,0.0,1.0
2014-09-29,32.0,32.0,30.75,30.75,29.3189,1059300.0,0.0,1.0
2014-09-30,30.61,31.8,30.2,30.59,29.1663,36993900.0,0.0,1.0
2014-10-01,30.13,31.35,30.13,31.0,29.5573,9871200.0,0.0,1.0
2014-10-02,30.57,31.3,30.0,30.3,28.8898,9190500.0,0.0,1.0
2014-10-03,29.9,29.99,29.0,29.56,28.1843,5041300.0,0.0,1.0
2014-10-06,29.05,29.71,29.0,29.42,28.0508,5002600.0,0.0,1.0
2014-10-07,29.03,29.15,27.14,27.5,26.2202,6923200.0,0.0,1.0
2014-10-08,26.82,28.12,26.495,27.82,26.5253,9502200.0,0.0,1.0
2014-10-09,27.23,27.36,26.15,26.53,25.2953,7992100.0,0.0,1.0
2014-10-10,26.22,26.55,25.85,26.0,24.79,4866600.0,0.0,1.0
2014-10-13,25.85,27.79,25.81,26.175,24.9568,3644400.0,0.0,1.0
2014-10-14,26.25,26.32,25.82,25.98,24.7709,3675400.0,0.0,1.0
2014-10-15,25.59,25.99,25.05,25.51,24.3228,4842900.0,0.0,1.0
2014-10-16,25.01,25.86,25.0,25.22,24.0463,2888400.0,0.0,1.0
2014-10-17,25.2,26.95,25.2,26.67,25.4288,2877000.0,0.0,1.0
2014-10-20,26.27,27.26,26.08,27.2,25.9341,2651000.0,0.0,1.0
2014-10-21,27.3,28.1,26.85,28.03,26.7255,3339300.0,0.0,1.0
2014-10-22,28.19,28.37,27.55,28.12,26.8113,1746100.0,0.0,1.0
2014-10-23,27.75,29.9,26.44,29.09,27.7362,5925400.0,0.0,1.0
2014-10-24,28.99,29.62,28.93,29.37,28.0031,1319900.0,0.0,1.0
2014-10-27,29.0,30.1,28.55,29.79,28.4036,3807800.0,0.0,1.0
2014-10-28,31.5,33.34,31.0,33.02,31.4833,8609700.0,0.0,1.0
2014-10-29,32.99,33.1,32.045,32.36,30.854,3373400.0,0.0,1.0
2014-10-30,32.12,32.93,31.83,32.65,31.1305,1618800.0,0.0,1.0
2014-10-31,32.81,33.88,32.43,33.6,32.0363,2889000.0,0.0,1.0
2014-11-03,33.4,33.73,33.26,33.61,32.0458,2896400.0,0.0,1.0
2014-11-04,33.29,33.69,33.23,33.62,32.0553,1691800.0,0.0,1.0
2014-11-05,33.9,34.67,33.52,34.62,33.0088,3781300.0,0.0,1.0
2014-11-06,34.85,36.45,34.64,36.1,34.4199,3509600.0,0.0,1.0
2014-11-07,36.1,36.77,35.75,36.59,34.8871,1967400.0,0.0,1.0
2014-11-10,36.44,36.94,36.15,36.81,35.0969,1412100.0,0.0,1.0
2014-11-11,36.59,38.92,36.38,38.79,36.9847,3684900.0,0.0,1.0
2014-11-12,38.3,40.76,38.3,40.02,38.1575,3899900.0,0.0,1.0
2014-11-13,39.94,42.0,39.356,41.93,39.9786,2225000.0,0.0,1.0
2014-11-14,41.79,42.12,39.56,39.67,37.8238,2091600.0,0.0,1.0
2014-11-17,38.66,40.41,37.9,40.24,38.3673,1425300.0,0.0,1.0
2014-11-18,40.14,40.2,38.28,39.1,37.2803,1122400.0,0.0,1.0
2014-11-19,39.02,39.14,38.0,38.4,36.6129,727800.0,0.0,1.0
2014-11-20,37.99,38.45,37.82,38.14,36.365,1729900.0,0.0,1.0
2014-11-21,38.42,38.7,37.98,38.45,36.6605,2117000.0,0.0,1.0
2014-11-24,38.2,38.54,37.87,38.47,36.6796,1600800.0,0.0,1.0
2014-11-25,38.45,38.56,38.1,38.24,36.4603,1686600.0,0.0,1.0
2014-11-26,37.96,38.785,37.83,37.97,36.3168,745700.0,0.12,1.0
2014-11-28,37.5,38.52,37.5,38.07,36.4125,389400.0,0.0,1.0
2014-12-01,37.82,39.625,37.63,39.44,37.7228,1339800.0,0.0,1.0
2014-12-02,41.58,41.58,38.6,40.47,38.708,1530000.0,0.0,1.0
2014-12-03,40.25,41.16,40.1,40.56,38.7941,1747300.0,0.0,1.0
2014-12-04,40.35,41.01,40.07,40.89,39.1097,871900.0,0.0,1.0
2014-12-05,40.71,41.0,39.87,40.06,38.3159,941400.0,0.0,1.0
2014-12-08,39.84,40.99,39.44,40.34,38.5837,1343600.0,0.0,1.0
2014-12-09,39.2,40.93,39.2,40.78,39.0045,943100.0,0.0,1.0
2014-12-10,40.43,41.35,39.72,39.9,38.1628,1179700.0,0.0,1.0
2014-12-11,39.79,40.81,39.65,40.17,38.4211,1769700.0,0.0,1.0
2014-12-12,39.06,40.44,39.05,40.01,38.268,979800.0,0.0,1.0
2014-12-15,39.97,39.97,38.98,39.42,37.7037,849700.0,0.0,1.0
2014-12-16,38.93,39.83,38.72,38.77,37.082,1332800.0,0.0,1.0
2014-12-17,39.31,40.47,39.0,40.35,38.5932,942600.0,0.0,1.0
2014-12-18,40.75,40.77,39.57,40.71,38.9376,1063000.0,0.0,1.0
2014-12-19,40.5,40.91,39.6,40.29,38.5359,4073000.0,0.0,1.0
2014-12-22,40.18,40.25,39.335,39.8,38.0672,745800.0,0.0,1.0
2014-12-23,39.83,41.5,39.783,40.6,38.8323,969500.0,0.0,1.0
2014-12-24,40.73,41.34,40.72,41.25,39.454,203400.0,0.0,1.0
2014-12-26,41.38,43.16,41.21,41.29,39.4923,2465500.0,0.0,1.0
2014-12-29,41.04,41.2,40.41,40.98,39.1958,364500.0,0.0,1.0
2014-12-30,40.57,40.69,40.15,40.41,38.6506,500300.0,0.0,1.0
2014-12-31,40.22,40.97,40.06,40.76,38.9854,498800.0,0.0,1.0
2015-01-02,40.79,41.3,39.36,40.47,38.708,914900.0,0.0,1.0
2015-01-05,39.79,40.09,39.51,39.82,38.0863,1048100.0,0.0,1.0
2015-01-06,39.77,40.06,38.83,39.71,37.9811,1018700.0,0.0,1.0
2015-01-07,39.99,40.03,38.95,39.81,38.0767,792600.0,0.0,1.0
2015-01-08,40.0,41.5,39.945,40.86,39.081,868800.0,0.0,1.0
2015-01-09,40.75,41.64,40.44,41.29,39.4923,850500.0,0.0,1.0
2015-01-12,40.7,41.61,40.57,41.55,39.741,774400.0,0.0,1.0
2015-01-13,41.36,43.25,41.36,42.28,40.4392,1193500.0,0.0,1.0
2015-01-14,41.36,42.71,41.0,41.94,40.114,789700.0,0.0,1.0
2015-01-15,41.85,42.69,41.44,41.71,39.894,1250500.0,0.0,1.0
2015-01-16,41.6,42.26,41.56,42.09,40.2575,594800.0,0.0,1.0
2015-01-20,41.94,43.64,41.65,43.54,41.6443,723100.0,0.0,1.0
2015-01-21,43.17,43.66,42.68,43.57,41.673,1042000.0,0.0,1.0
2015-01-22,43.87,45.57,43.72,44.95,42.993,1845300.0,0.0,1.0
2015-01-23,44.98,45.87,44.85,44.98,43.0216,1222900.0,0.0,1.0
2015-01-26,45.03,47.22,44.98,46.52,44.4946,2811100.0,0.0,1.0
2015-01-27,45.88,46.64,45.45,46.2,44.1885,975000.0,0.0,1.0
2015-01-28,46.27,46.48,45.15,45.27,43.299,1818900.0,0.0,1.0
2015-01-29,45.25,45.72,45.115,45.65,43.6625,1131000.0,0.0,1.0
2015-01-30,44.34,45.57,43.57,45.16,43.1938,7143100.0,0.0,1.0
2015-02-02,45.23,45.99,44.42,45.44,43.4616,1089200.0,0.0,1.0
2015-02-03,45.52,45.56,44.65,45.14,43.1747,1608900.0,0.0,1.0
2015-02-04,44.6,45.52,44.14,44.99,43.0312,1365400.0,0.0,1.0
2015-02-05,44.52,48.18,44.35,47.36,45.298,2202800.0,0.0,1.0
2015-02-06,47.37,48.5,46.7,47.69,45.6137,1317000.0,0.0,1.0
2015-02-09,47.18,47.79,47.01,47.28,45.2215,513800.0,0.0,1.0
2015-02-10,47.28,47.549,46.4,47.06,45.0111,639400.0,0.0,1.0
2015-02-11,46.88,47.4,46.04,46.19,44.179,666700.0,0.0,1.0
2015-02-12,46.33,46.9,46.0,46.08,44.0738,617100.0,0.0,1.0
2015-02-13,46.08,47.11,45.84,47.0,44.9537,786700.0,0.0,1.0
2015-02-17,46.81,47.17,46.26,47.12,45.0685,886400.0,0.0,1.0
