date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-02-17,8.2251,8.684,8.2251,8.658,8.3903,19100.0,0.0,1.0
2017-02-21,8.6407,8.6407,8.3896,8.3896,8.1302,151300.0,0.0,1.0
2017-02-22,8.2346,8.2346,2.71,3.9913,3.8679,531300.0,0.0,1.0
2017-02-23,4.329,5.4978,4.1126,4.5801,4.4385,192900.0,0.0,1.0
2017-02-24,4.632,5.4978,4.3896,4.9437,4.7909,19100.0,0.0,1.0
2017-02-27,4.9351,4.9351,4.5065,4.8814,4.7305,16100.0,0.0,1.0
2017-02-28,4.9351,4.9784,4.5455,4.7619,4.6147,7600.0,0.0,1.0
2017-03-01,4.6649,5.0476,4.5455,5.039,4.8832,27400.0,0.0,1.0
2017-03-02,5.0476,5.2381,5.0303,5.1861,5.0258,14800.0,0.0,1.0
2017-03-03,4.7619,5.3247,4.7619,4.987,4.8328,1800.0,0.0,1.0
2017-03-06,4.9351,4.9437,4.329,4.7619,4.6147,15300.0,0.0,1.0
2017-03-07,4.7619,4.9351,4.7273,4.8485,4.6986,21100.0,0.0,1.0
2017-03-08,5.0407,5.2727,4.9697,5.0043,4.8496,13300.0,0.0,1.0
2017-03-09,5.1706,5.2381,5.168,5.2121,5.051,4000.0,0.0,1.0
2017-03-10,5.1342,5.4113,5.1221,5.4113,5.244,7700.0,0.0,1.0
2017-03-13,5.4113,5.4113,5.29,5.3853,5.2188,6300.0,0.0,1.0
2017-03-14,5.3853,5.3853,5.3853,5.3853,5.2188,0.0,0.0,1.0
2017-03-15,5.6017,5.619,5.3654,5.5931,5.4202,12100.0,0.0,1.0
2017-03-16,5.6537,6.0225,5.6537,5.7991,5.6198,2700.0,0.0,1.0
2017-03-17,5.703,5.703,5.6554,5.6554,5.4806,4800.0,0.0,1.0
2017-03-20,5.619,5.8874,4.9004,5.2727,5.1097,31200.0,0.0,1.0
2017-03-21,5.368,5.3766,5.368,5.3766,5.2104,900.0,0.0,1.0
2017-03-22,5.1247,5.6277,5.1247,5.6199,5.6199,11000.0,0.1662,1.0
2017-03-23,5.5584,5.6104,5.5411,5.5758,5.5758,5200.0,0.0,1.0
2017-03-24,5.329,5.7143,5.1602,5.1602,5.1602,20100.0,0.0,1.0
2017-03-27,5.5758,5.6883,5.2554,5.2554,5.2554,1400.0,0.0,1.0
2017-03-28,5.3853,5.3853,5.3853,5.3853,5.3853,1100.0,0.0,1.0
2017-03-29,5.1688,5.1688,5.1515,5.1515,5.1515,2700.0,0.0,1.0
2017-03-30,5.3394,5.342,5.2026,5.2788,5.2788,6100.0,0.0,1.0
