date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-04-28,11.74,13.36,11.52,13.29,13.29,1599800.0,0.0,1.0
2017-05-01,13.49,13.84,13.35,13.47,13.47,136700.0,0.0,1.0
2017-05-02,13.5,13.65,13.489,13.57,13.57,53100.0,0.0,1.0
2017-05-03,13.57,13.57,13.3,13.47,13.47,31400.0,0.0,1.0
2017-05-04,13.5,13.5,13.3,13.4,13.4,41800.0,0.0,1.0
2017-05-05,13.38,13.5,13.0,13.37,13.37,118500.0,0.0,1.0
2017-05-08,13.37,13.45,13.37,13.4,13.4,11600.0,0.0,1.0
2017-05-09,13.48,13.48,13.37,13.4,13.4,12400.0,0.0,1.0
2017-05-10,13.4,13.4,13.25,13.34,13.34,33800.0,0.0,1.0
2017-05-11,13.33,13.33,13.11,13.12,13.12,16000.0,0.0,1.0
2017-05-12,13.15,13.15,13.05,13.08,13.08,35700.0,0.0,1.0
2017-05-15,13.0,13.06,13.0,13.025,13.025,73400.0,0.0,1.0
2017-05-16,13.03,13.135,13.03,13.03,13.03,19400.0,0.0,1.0
2017-05-17,13.09,13.149,13.0,13.05,13.05,20100.0,0.0,1.0
2017-05-18,13.01,13.05,13.0,13.028,13.028,29600.0,0.0,1.0
2017-05-19,13.03,13.05,13.0,13.05,13.05,60100.0,0.0,1.0
2017-05-22,13.003,13.08,13.0,13.06,13.06,33800.0,0.0,1.0
2017-05-23,13.1,13.1,13.01,13.08,13.08,25600.0,0.0,1.0
2017-05-24,13.1,13.1,13.0,13.04,13.04,12700.0,0.0,1.0
2017-05-25,13.04,13.05,13.01,13.05,13.05,48700.0,0.0,1.0
2017-05-26,13.05,13.1,13.016,13.05,13.05,19400.0,0.0,1.0
2017-05-30,13.15,13.15,13.03,13.036,13.036,23500.0,0.0,1.0
2017-05-31,13.136,13.136,13.037,13.05,13.05,8700.0,0.0,1.0
2017-06-01,13.04,13.07,13.04,13.05,13.05,9800.0,0.0,1.0
2017-06-02,13.15,13.15,13.04,13.07,13.07,5400.0,0.0,1.0
2017-06-05,13.07,13.2,13.07,13.15,13.15,27000.0,0.0,1.0
2017-06-06,13.15,13.71,13.11,13.45,13.45,44200.0,0.0,1.0
2017-06-07,13.54,13.54,13.218,13.44,13.44,5800.0,0.0,1.0
2017-06-08,13.504,13.59,13.5,13.56,13.56,9500.0,0.0,1.0
2017-06-09,13.69,13.76,13.614,13.75,13.75,14600.0,0.0,1.0
2017-06-12,13.774,15.0,13.774,14.96,14.96,39800.0,0.0,1.0
2017-06-13,14.9,14.9,14.01,14.68,14.68,44400.0,0.0,1.0
2017-06-14,14.3,14.9,14.25,14.89,14.89,25400.0,0.0,1.0
2017-06-15,14.75,14.75,14.27,14.27,14.27,17200.0,0.0,1.0
2017-06-16,14.232,14.75,13.02,13.02,13.02,104900.0,0.0,1.0
2017-06-19,13.25,13.9,13.25,13.74,13.74,41300.0,0.0,1.0
2017-06-20,13.7,13.93,13.625,13.73,13.73,4500.0,0.0,1.0
2017-06-21,13.82,13.82,13.65,13.71,13.71,2100.0,0.0,1.0
2017-06-22,13.6,13.84,13.17,13.43,13.43,10700.0,0.0,1.0
2017-06-23,13.563,14.47,13.5,14.19,14.19,19200.0,0.0,1.0
2017-06-26,14.11,14.11,13.52,13.55,13.55,12200.0,0.0,1.0
2017-06-27,13.72,13.96,13.71,13.71,13.71,700.0,0.0,1.0
2017-06-28,13.462,13.87,13.462,13.47,13.47,2400.0,0.0,1.0
2017-06-29,13.47,13.47,13.47,13.47,13.47,0.0,0.0,1.0
2017-06-30,13.53,13.53,13.53,13.53,13.53,100.0,0.0,1.0
2017-07-03,14.0,14.0,13.64,13.64,13.64,2600.0,0.0,1.0
2017-07-05,13.73,13.762,13.6,13.61,13.61,4400.0,0.0,1.0
2017-07-06,13.96,13.96,13.65,13.75,13.75,3400.0,0.0,1.0
2017-07-07,13.79,13.98,13.79,13.98,13.98,400.0,0.0,1.0
2017-07-10,14.0,14.0,13.73,13.73,13.73,2900.0,0.0,1.0
2017-07-11,13.58,13.59,13.34,13.34,13.34,6500.0,0.0,1.0
2017-07-12,13.65,13.85,13.52,13.52,13.52,2000.0,0.0,1.0
2017-07-13,13.7,13.7,13.31,13.31,13.31,1200.0,0.0,1.0
2017-07-14,13.3,13.35,13.3,13.3,13.3,1900.0,0.0,1.0
2017-07-17,13.3,13.49,13.3,13.49,13.49,6900.0,0.0,1.0
2017-07-18,13.419,13.426,13.38,13.4,13.4,2300.0,0.0,1.0
2017-07-19,13.4,13.4,13.354,13.36,13.36,1900.0,0.0,1.0
2017-07-20,13.27,13.27,13.16,13.16,13.16,12600.0,0.0,1.0
2017-07-21,13.229,13.37,13.121,13.37,13.37,1700.0,0.0,1.0
2017-07-24,13.39,13.39,13.147,13.197,13.197,4900.0,0.0,1.0
2017-07-25,13.314,13.34,13.1,13.15,13.15,2200.0,0.0,1.0
2017-07-26,13.15,13.15,13.107,13.12,13.12,9200.0,0.0,1.0
2017-07-27,13.12,13.12,12.95,13.06,13.06,47100.0,0.0,1.0
2017-07-28,13.06,13.18,13.06,13.18,13.18,3300.0,0.0,1.0
2017-07-31,13.0,13.17,13.0,13.01,13.01,3000.0,0.0,1.0
2017-08-01,13.02,13.02,13.0,13.02,13.02,13000.0,0.0,1.0
2017-08-02,13.0,13.19,12.95,13.13,13.13,11500.0,0.0,1.0
2017-08-03,13.164,13.164,13.0,13.06,13.06,4800.0,0.0,1.0
2017-08-04,13.06,13.06,13.06,13.06,13.06,0.0,0.0,1.0
2017-08-07,13.1,13.112,13.1,13.1,13.1,1900.0,0.0,1.0
2017-08-08,13.13,13.19,13.1,13.15,13.15,2600.0,0.0,1.0
2017-08-09,13.18,13.18,13.0,13.1,13.1,5500.0,0.0,1.0
2017-08-10,13.09,13.09,12.85,12.851,12.851,7800.0,0.0,1.0
2017-08-11,12.981,12.981,12.9,12.95,12.95,5500.0,0.0,1.0
2017-08-14,12.99,12.99,12.9,12.9,12.9,5700.0,0.0,1.0
2017-08-15,12.88,12.889,12.75,12.75,12.75,9900.0,0.0,1.0
2017-08-16,12.83,12.84,12.75,12.79,12.79,15700.0,0.0,1.0
2017-08-17,12.79,12.79,12.51,12.625,12.625,8300.0,0.0,1.0
2017-08-18,12.671,12.73,12.62,12.67,12.67,5300.0,0.0,1.0
2017-08-21,12.54,12.8,12.54,12.8,12.8,13800.0,0.0,1.0
2017-08-22,12.8,12.8,12.671,12.797,12.797,4500.0,0.0,1.0
2017-08-23,12.961,12.98,12.8,12.98,12.98,3300.0,0.0,1.0
2017-08-24,12.881,12.98,12.809,12.96,12.96,3500.0,0.0,1.0
2017-08-25,12.809,12.871,12.8,12.86,12.86,4600.0,0.0,1.0
2017-08-28,12.81,12.899,12.81,12.86,12.86,2200.0,0.0,1.0
2017-08-29,12.79,12.79,12.55,12.58,12.58,11400.0,0.0,1.0
2017-08-30,12.59,12.59,12.5,12.54,12.54,17100.0,0.0,1.0
2017-08-31,12.558,12.58,12.5,12.5,12.5,12000.0,0.0,1.0
2017-09-01,12.52,12.58,12.33,12.35,12.35,19100.0,0.0,1.0
2017-09-05,12.4,12.48,12.33,12.367,12.367,6100.0,0.0,1.0
2017-09-06,12.4,12.4,12.33,12.36,12.36,5600.0,0.0,1.0
2017-09-07,12.36,12.39,12.05,12.1,12.1,5300.0,0.0,1.0
2017-09-08,12.05,12.58,12.0,12.56,12.56,64000.0,0.0,1.0
2017-09-11,12.58,12.58,12.56,12.58,12.58,15200.0,0.0,1.0
2017-09-12,12.58,12.88,12.57,12.78,12.78,17900.0,0.0,1.0
2017-09-13,13.33,13.33,12.951,13.12,13.12,1300.0,0.0,1.0
2017-09-14,13.36,13.36,13.12,13.17,13.17,900.0,0.0,1.0
2017-09-15,13.32,13.39,13.115,13.39,13.39,6100.0,0.0,1.0
2017-09-18,13.38,13.4,13.38,13.4,13.4,5100.0,0.0,1.0
2017-09-19,13.48,13.53,13.278,13.53,13.53,3600.0,0.0,1.0
2017-09-20,13.53,13.53,13.24,13.37,13.37,7000.0,0.0,1.0
2017-09-21,13.333,13.367,13.326,13.36,13.36,3300.0,0.0,1.0
2017-09-22,13.3,13.4,13.3,13.4,13.4,1700.0,0.0,1.0
2017-09-25,13.38,13.914,13.33,13.58,13.58,4100.0,0.0,1.0
2017-09-26,13.58,13.58,13.58,13.58,13.58,0.0,0.0,1.0
2017-09-27,13.68,13.68,13.6,13.64,13.64,3700.0,0.0,1.0
2017-09-28,13.6,13.6,13.448,13.448,13.448,300.0,0.0,1.0
2017-09-29,13.637,13.639,13.42,13.485,13.485,1900.0,0.0,1.0
2017-10-02,13.485,13.485,13.485,13.485,13.485,0.0,0.0,1.0
2017-10-03,13.368,13.43,13.3,13.33,13.33,1900.0,0.0,1.0
2017-10-04,13.3,13.4,13.3,13.31,13.31,4200.0,0.0,1.0
2017-10-05,13.32,13.32,13.09,13.09,13.09,9000.0,0.0,1.0
2017-10-06,13.09,13.195,12.92,13.03,13.03,30000.0,0.0,1.0
2017-10-09,13.056,13.098,13.056,13.098,13.098,2300.0,0.0,1.0
2017-10-10,13.175,13.175,12.75,12.96,12.96,9800.0,0.0,1.0
2017-10-11,12.86,12.95,12.817,12.95,12.95,12400.0,0.0,1.0
2017-10-12,12.95,13.191,12.95,13.08,13.08,3500.0,0.0,1.0
2017-10-13,13.1,13.1,13.042,13.042,13.042,500.0,0.0,1.0
2017-10-16,13.1,13.19,13.0,13.04,13.04,8600.0,0.0,1.0
2017-10-17,13.19,13.2,13.09,13.18,13.18,4800.0,0.0,1.0
2017-10-18,13.18,13.18,13.161,13.17,13.17,2500.0,0.0,1.0
2017-10-19,13.06,13.29,13.06,13.2,13.2,4800.0,0.0,1.0
2017-10-20,13.27,13.29,13.27,13.29,13.29,500.0,0.0,1.0
