date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-01-31,8.95,8.95,8.95,8.95,8.95,100.0,0.0,0.6667
2018-02-01,8.99,8.99,8.99,8.99,8.99,100.0,0.0,1.0
2018-02-02,8.99,8.99,8.99,8.99,8.99,0.0,0.0,1.0
2018-02-05,7.77,7.77,7.5,7.5,7.5,1700.0,0.0,1.0
2018-02-06,7.12,7.9,7.12,7.9,7.9,1200.0,0.0,1.0
2018-02-07,7.9,7.9,7.9,7.9,7.9,0.0,0.0,1.0
2018-02-08,7.9,7.9,7.9,7.9,7.9,0.0,0.0,1.0
2018-02-09,7.9,7.9,7.9,7.9,7.9,0.0,0.0,1.0
2018-02-12,7.9,7.9,7.9,7.9,7.9,0.0,0.0,1.0
2018-02-13,7.34,7.34,7.34,7.34,7.34,200.0,0.0,1.0
2018-02-14,6.61,6.8,6.61,6.8,6.8,200.0,0.0,1.0
2018-02-15,6.8,6.8,6.8,6.8,6.8,0.0,0.0,1.0
2018-02-16,6.8,6.8,6.8,6.8,6.8,0.0,0.0,1.0
2018-02-20,6.8,6.8,6.8,6.8,6.8,0.0,0.0,1.0
2018-02-21,6.7,6.7,6.7,6.7,6.7,600.0,0.0,1.0
2018-02-22,6.7,6.7,6.7,6.7,6.7,0.0,0.0,1.0
2018-02-23,7.0,7.0,7.0,7.0,7.0,100.0,0.0,1.0
2018-02-26,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
2018-02-27,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
2018-02-28,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
2018-03-01,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
2018-03-02,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
2018-03-05,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
2018-03-06,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
2018-03-07,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
2018-03-08,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
2018-03-09,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
2018-03-12,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
2018-03-13,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
2018-03-14,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
2018-03-15,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
2018-03-16,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
2018-03-19,6.9,6.9,6.9,6.9,6.9,200.0,0.0,1.0
2018-03-20,6.9,6.9,6.9,6.9,6.9,0.0,0.0,1.0
2018-03-21,6.9,6.9,6.9,6.9,6.9,0.0,0.0,1.0
2018-03-22,7.5,7.5,7.5,7.5,7.5,100.0,0.0,1.0
2018-03-23,7.5,7.5,7.5,7.5,7.5,0.0,0.0,1.0
2018-03-26,7.5,7.5,7.5,7.5,7.5,0.0,0.0,1.0
2018-03-27,7.5,7.5,7.5,7.5,7.5,0.0,0.0,1.0
2018-03-28,7.5,7.5,7.5,7.5,7.5,0.0,0.0,1.0
2018-03-29,7.5,7.5,7.5,7.5,7.5,0.0,0.0,1.0
2018-04-02,7.5,7.5,7.5,7.5,7.5,0.0,0.0,1.0
2018-04-03,7.5,7.5,7.5,7.5,7.5,0.0,0.0,1.0
2018-04-04,7.5,7.5,6.7,6.7,6.7,1300.0,0.0,1.0
2018-04-05,6.5,6.5,6.5,6.5,6.5,1000.0,0.0,1.0
2018-04-06,5.22,5.22,5.22,5.22,5.22,100.0,0.0,1.0
2018-04-09,6.26,6.278,6.15,6.15,6.15,1300.0,0.0,1.0
2018-04-10,6.0,6.0,5.4,5.4,5.4,2200.0,0.0,1.0
2018-04-11,5.4,5.4,5.4,5.4,5.4,0.0,0.0,1.0
2018-04-12,5.4,5.4,5.4,5.4,5.4,0.0,0.0,1.0
2018-04-13,5.75,6.0,5.75,6.0,6.0,300.0,0.0,1.0
2018-04-16,6.0,6.0,6.0,6.0,6.0,0.0,0.0,1.0
2018-04-17,6.0,6.0,6.0,6.0,6.0,0.0,0.0,1.0
2018-04-18,6.0,6.0,6.0,6.0,6.0,0.0,0.0,1.0
2018-04-19,6.0,6.0,6.0,6.0,6.0,0.0,0.0,1.0
2018-04-20,6.0,6.0,6.0,6.0,6.0,0.0,0.0,1.0
2018-04-23,5.58,5.58,5.58,5.58,5.58,400.0,0.0,1.0
2018-04-24,5.58,5.58,5.58,5.58,5.58,0.0,0.0,1.0
2018-04-25,5.54,5.54,5.54,5.54,5.54,1000.0,0.0,1.0
2018-04-26,5.54,5.54,5.54,5.54,5.54,0.0,0.0,1.0
2018-04-27,5.54,5.54,5.54,5.54,5.54,0.0,0.0,1.0
2018-04-30,5.54,5.54,5.54,5.54,5.54,0.0,0.0,1.0
2018-05-01,5.54,5.54,5.54,5.54,5.54,0.0,0.0,1.0
2018-05-02,5.54,5.54,5.54,5.54,5.54,0.0,0.0,1.0
2018-05-03,5.54,5.54,5.54,5.54,5.54,0.0,0.0,1.0
2018-05-04,5.7,5.7,5.7,5.7,5.7,1000.0,0.0,1.0
2018-05-07,5.7,5.72,5.3,5.674,5.674,2500.0,0.0,1.0
2018-05-08,5.674,5.674,5.674,5.674,5.674,0.0,0.0,1.0
2018-05-09,5.674,5.674,5.674,5.674,5.674,0.0,0.0,1.0
2018-05-10,5.6,5.6,5.6,5.6,5.6,2000.0,0.0,1.0
2018-05-11,4.7,5.6,4.7,5.6,5.6,2300.0,0.0,1.0
2018-05-14,5.6,5.6,5.6,5.6,5.6,0.0,0.0,1.0
2018-05-15,5.7,5.7,5.7,5.7,5.7,600.0,0.0,1.0
2018-05-16,5.7,5.7,5.7,5.7,5.7,0.0,0.0,1.0
2018-05-17,5.7,5.7,5.7,5.7,5.7,0.0,0.0,1.0
2018-05-18,5.7,5.7,5.7,5.7,5.7,0.0,0.0,1.0
2018-05-21,5.7,5.7,5.7,5.7,5.7,0.0,0.0,1.0
2018-05-22,5.8,5.8,5.8,5.8,5.8,500.0,0.0,1.0
2018-05-23,5.8,5.8,5.8,5.8,5.8,0.0,0.0,1.0
2018-05-24,5.65,5.69,5.4,5.69,5.69,400.0,0.0,1.0
2018-05-25,5.8,5.8,5.5,5.5,5.5,2900.0,0.0,1.0
2018-05-29,5.8,5.8,5.31,5.475,5.475,800.0,0.0,1.0
2018-05-30,5.475,5.475,5.475,5.475,5.475,0.0,0.0,1.0
2018-05-31,6.0,6.29,6.0,6.087,6.087,1500.0,0.0,1.0
2018-06-01,6.264,6.279,6.264,6.279,6.279,400.0,0.0,1.0
2018-06-04,6.51,7.4,6.01,6.5,6.5,16900.0,0.0,1.0
2018-06-05,6.25,6.725,6.25,6.4,6.4,6700.0,0.0,1.0
2018-06-06,6.3,6.35,6.038,6.06,6.06,9100.0,0.0,1.0
2018-06-07,6.38,6.48,6.01,6.48,6.48,8200.0,0.0,1.0
2018-06-08,6.48,6.48,6.48,6.48,6.48,0.0,0.0,1.0
2018-06-11,6.1,6.1,5.505,5.7,5.7,8300.0,0.0,1.0
2018-06-12,6.0,6.09,6.0,6.09,6.09,8700.0,0.0,1.0
