date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-04-16,15.14,15.26,15.0,15.035,15.035,355700.0,0.0,1.0
2019-04-17,15.19,15.19,14.759,14.8,14.8,1409800.0,0.0,1.0
2019-04-18,14.91,14.91,14.55,14.78,14.78,992900.0,0.0,1.0
2019-04-22,14.78,15.04,14.77,15.04,15.04,324100.0,0.0,1.0
2019-04-23,15.11,15.28,15.09,15.248,15.248,453000.0,0.0,1.0
2019-04-24,15.32,15.36,15.22,15.25,15.25,492200.0,0.0,1.0
2019-04-25,15.4,15.44,15.23,15.38,15.38,601200.0,0.0,1.0
2019-04-26,15.47,15.59,15.23,15.59,15.59,519300.0,0.0,1.0
2019-04-29,15.6,15.72,15.565,15.65,15.65,1074900.0,0.0,1.0
2019-04-30,15.65,15.737,15.51,15.63,15.63,561700.0,0.0,1.0
2019-05-01,15.74,15.74,15.44,15.44,15.44,82900.0,0.0,1.0
2019-05-02,15.53,15.65,15.36,15.51,15.51,308800.0,0.0,1.0
2019-05-03,15.66,15.789,15.58,15.77,15.77,180100.0,0.0,1.0
2019-05-06,15.53,15.76,15.409,15.759,15.759,153200.0,0.0,1.0
2019-05-07,15.71,15.71,15.2,15.4,15.4,557000.0,0.0,1.0
2019-05-08,15.26,15.32,15.15,15.26,15.26,414300.0,0.0,1.0
2019-05-09,15.19,15.28,14.85,15.249,15.249,355300.0,0.0,1.0
2019-05-10,15.3,15.49,15.01,15.46,15.46,319200.0,0.0,1.0
2019-05-13,15.25,15.25,14.68,14.7,14.7,506800.0,0.0,1.0
2019-05-14,14.85,15.1,14.83,15.01,15.01,170700.0,0.0,1.0
2019-05-15,15.04,15.355,14.97,15.31,15.31,1067300.0,0.0,1.0
2019-05-16,15.41,15.84,15.363,15.74,15.74,530500.0,0.0,1.0
2019-05-17,15.74,15.81,15.56,15.56,15.56,384300.0,0.0,1.0
2019-05-20,15.43,15.43,15.2,15.28,15.28,256500.0,0.0,1.0
2019-05-21,15.4,15.535,15.4,15.48,15.48,212800.0,0.0,1.0
2019-05-22,15.48,15.63,15.45,15.51,15.51,499500.0,0.0,1.0
2019-05-23,15.45,15.45,15.13,15.2,15.2,240200.0,0.0,1.0
2019-05-24,15.35,15.426,15.263,15.32,15.32,111400.0,0.0,1.0
2019-05-28,15.42,15.706,15.42,15.46,15.46,2526500.0,0.0,1.0
2019-05-29,15.44,15.44,15.1,15.17,15.17,3692100.0,0.0,1.0
2019-05-30,15.27,15.35,15.15,15.27,15.27,701500.0,0.0,1.0
2019-05-31,15.16,15.26,15.04,15.1,15.1,239600.0,0.0,1.0
2019-06-03,15.15,15.15,14.37,14.44,14.44,1811300.0,0.0,1.0
2019-06-04,14.62,14.93,14.45,14.93,14.93,802600.0,0.0,1.0
2019-06-05,15.07,15.25,14.93,15.21,15.21,161300.0,0.0,1.0
2019-06-06,15.22,15.42,15.135,15.34,15.34,1253700.0,0.0,1.0
2019-06-07,15.45,15.649,15.45,15.62,15.62,106400.0,0.0,1.0
2019-06-10,15.71,15.95,15.65,15.65,15.65,290500.0,0.0,1.0
2019-06-11,15.83,15.84,15.318,15.45,15.45,301100.0,0.0,1.0
2019-06-12,15.45,15.52,15.37,15.5,15.5,273500.0,0.0,1.0
2019-06-13,15.6,15.6,15.5,15.56,15.56,135100.0,0.0,1.0
2019-06-14,15.57,15.57,15.35,15.42,15.42,204500.0,0.0,1.0
2019-06-17,15.49,15.75,15.49,15.65,15.65,142400.0,0.0,1.0
2019-06-18,15.73,15.96,15.73,15.85,15.85,96100.0,0.0,1.0
2019-06-19,15.87,16.134,15.82,16.12,16.12,483600.0,0.0,1.0
2019-06-20,16.35,16.45,16.17,16.28,16.28,1101000.0,0.0,1.0
2019-06-21,16.28,16.28,16.08,16.1,16.1,954900.0,0.0,1.0
2019-06-24,16.18,16.18,15.85,15.85,15.85,293300.0,0.0,1.0
2019-06-25,15.9,15.9,15.44,15.44,15.44,664200.0,0.0,1.0
2019-06-26,15.59,15.73,15.46,15.499,15.499,68300.0,0.0,1.0
2019-06-27,15.56,15.8,15.49,15.8,15.8,77100.0,0.0,1.0
2019-06-28,15.8,15.895,15.67,15.83,15.83,90700.0,0.0,1.0
2019-07-01,16.08,16.2,15.915,16.01,16.01,207400.0,0.0,1.0
2019-07-02,16.04,16.22,16.02,16.215,16.215,756000.0,0.0,1.0
2019-07-03,16.22,16.4,16.22,16.38,16.38,200700.0,0.0,1.0
2019-07-05,16.38,16.45,16.15,16.43,16.43,591000.0,0.0,1.0
2019-07-08,16.35,16.43,16.27,16.41,16.41,417100.0,0.0,1.0
2019-07-09,16.35,16.59,16.35,16.57,16.57,234300.0,0.0,1.0
2019-07-10,16.64,16.81,16.64,16.7,16.7,334200.0,0.0,1.0
2019-07-11,16.71,16.77,16.6,16.69,16.69,435200.0,0.0,1.0
2019-07-12,16.72,16.747,16.529,16.71,16.71,337300.0,0.0,1.0
2019-07-15,16.72,16.8,16.65,16.78,16.78,236500.0,0.0,1.0
2019-07-16,16.8,16.81,16.56,16.58,16.58,369600.0,0.0,1.0
2019-07-17,16.58,16.77,16.58,16.67,16.67,289600.0,0.0,1.0
2019-07-18,16.6,16.64,16.46,16.61,16.61,217400.0,0.0,1.0
2019-07-19,16.7,16.8,16.45,16.45,16.45,204500.0,0.0,1.0
2019-07-22,16.49,16.65,16.49,16.57,16.57,174800.0,0.0,1.0
2019-07-23,16.69,16.69,16.35,16.44,16.44,253900.0,0.0,1.0
2019-07-24,16.46,16.7,16.43,16.65,16.65,382100.0,0.0,1.0
2019-07-25,16.7,16.75,16.551,16.65,16.65,318500.0,0.0,1.0
2019-07-26,16.7,16.95,16.7,16.88,16.88,169600.0,0.0,1.0
2019-07-29,16.94,16.96,16.264,16.49,16.49,307800.0,0.0,1.0
2019-07-30,16.48,16.56,16.35,16.53,16.53,615300.0,0.0,1.0
2019-07-31,16.51,16.51,15.96,16.15,16.15,286100.0,0.0,1.0
2019-08-01,16.23,16.489,16.12,16.17,16.17,283000.0,0.0,1.0
2019-08-02,16.17,16.17,15.78,15.92,15.92,263400.0,0.0,1.0
2019-08-05,15.61,15.61,15.01,15.22,15.22,366700.0,0.0,1.0
2019-08-06,15.3,15.53,15.2,15.3,15.3,310400.0,0.0,1.0
2019-08-07,15.26,15.46,15.1094,15.42,15.42,457117.0,0.0,1.0
2019-08-08,15.56,15.9152,15.54,15.9,15.9,117449.0,0.0,1.0
