date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,20.0625,20.4688,20.0625,20.25,18.481,8000.0,0.0,1.0
1999-08-10,21.0,21.375,20.625,21.375,19.5078,28000.0,0.0,1.0
1999-08-11,20.625,21.25,19.875,20.0,18.2529,72300.0,0.0,1.0
1999-08-12,20.375,20.4375,20.25,20.3125,18.5381,42100.0,0.0,1.0
1999-08-13,20.5,21.0,20.0,20.0,18.2529,32000.0,0.0,1.0
1999-08-16,20.0,20.375,20.0,20.0313,18.2814,98600.0,0.0,1.0
1999-08-17,19.875,20.125,19.875,20.0,18.2529,21600.0,0.0,1.0
1999-08-18,20.0,20.0625,19.875,20.0625,18.3099,23400.0,0.0,1.0
1999-08-19,19.75,19.875,19.5,19.75,18.0247,47000.0,0.0,1.0
1999-08-20,19.875,19.875,19.375,19.875,18.1388,18700.0,0.0,1.0
1999-08-23,19.8125,20.0625,18.75,19.0,17.3402,31600.0,0.0,1.0
1999-08-24,19.125,19.375,19.125,19.3125,17.6254,20100.0,0.0,1.0
1999-08-25,19.25,19.375,19.125,19.25,17.5684,75300.0,0.0,1.0
1999-08-26,19.0,19.25,19.0,19.25,17.5684,2500.0,0.0,1.0
1999-08-27,19.0,19.125,19.0,19.125,17.4543,13900.0,0.0,1.0
1999-08-30,19.0,19.25,18.25,18.25,16.6558,22600.0,0.0,1.0
1999-08-31,18.0,18.25,17.5,17.5,15.9713,14100.0,0.0,1.0
1999-09-01,17.8125,18.0,17.75,18.0,16.4276,13900.0,0.0,1.0
1999-09-02,18.0,18.0,17.5,17.875,16.3135,29700.0,0.0,1.0
1999-09-03,18.125,18.125,17.9375,18.0,16.4276,22200.0,0.0,1.0
1999-09-07,17.9375,18.0625,17.9375,18.0625,16.4846,9600.0,0.0,1.0
1999-09-08,17.875,18.0625,17.625,18.0,16.4276,15900.0,0.0,1.0
1999-09-09,18.0625,18.0625,17.75,17.75,16.1994,58300.0,0.0,1.0
1999-09-10,18.125,18.25,18.0,18.25,16.6558,30300.0,0.0,1.0
1999-09-13,18.25,18.25,18.1875,18.1875,16.5987,34900.0,0.0,1.0
1999-09-14,18.125,18.25,17.625,17.75,16.1994,174300.0,0.0,1.0
1999-09-15,18.125,18.125,17.9375,17.9375,16.3706,2300.0,0.0,1.0
1999-09-16,17.9375,18.0,17.25,17.25,15.7431,14900.0,0.0,1.0
1999-09-17,17.4375,17.8125,17.4375,17.8125,16.2565,5600.0,0.0,1.0
1999-09-20,17.75,17.75,17.3125,17.625,16.0854,9800.0,0.0,1.0
1999-09-21,17.75,17.75,17.75,17.75,16.264,100.0,0.07,1.0
1999-09-22,17.375,17.625,17.0625,17.375,15.9204,21200.0,0.0,1.0
1999-09-23,17.75,17.75,17.5,17.5,16.035,23100.0,0.0,1.0
1999-09-24,17.75,17.75,17.125,17.125,15.6913,23400.0,0.0,1.0
1999-09-27,17.125,17.6875,17.125,17.5,16.035,10100.0,0.0,1.0
1999-09-28,17.5,17.625,17.0,17.625,16.1495,8600.0,0.0,1.0
1999-09-29,17.3125,17.625,17.0,17.5,16.035,9400.0,0.0,1.0
1999-09-30,17.0,17.5,17.0,17.25,15.8059,17700.0,0.0,1.0
1999-10-01,17.625,17.625,17.125,17.4375,15.9777,11100.0,0.0,1.0
1999-10-04,17.125,17.5625,17.125,17.4375,15.9777,100100.0,0.0,1.0
1999-10-05,17.875,17.875,17.0,17.0,15.5768,28200.0,0.0,1.0
1999-10-06,17.0,17.25,17.0,17.25,15.8059,1200.0,0.0,1.0
1999-10-07,17.0,17.0,16.3125,16.3125,14.9469,23400.0,0.0,1.0
