date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,20.4167,20.9167,20.3333,20.5833,18.1242,57700.0,0.0,1.0
1999-08-10,20.6667,21.1667,20.0,21.1667,18.6378,179100.0,0.0,1.0
1999-08-11,21.1667,21.25,20.625,20.6667,18.1975,34300.0,0.0,1.0
1999-08-12,20.5833,21.0,20.4167,20.4167,17.9774,39400.0,0.0,1.0
1999-08-13,20.4167,20.5,20.3333,20.375,17.9407,212500.0,0.0,1.0
1999-08-16,20.375,20.4167,19.8333,20.0,17.6105,23500.0,0.0,1.0
1999-08-17,20.0208,20.0833,18.9167,19.6667,17.317,156600.0,0.0,1.0
1999-08-18,19.8333,19.8333,19.375,19.5,17.1702,105400.0,0.0,1.0
1999-08-19,19.5,19.5,18.875,19.0833,16.8034,116700.0,0.0,1.0
1999-08-20,19.1667,19.25,18.9167,18.9583,16.6933,60900.0,0.0,1.0
1999-08-23,19.0,19.0833,18.5833,18.75,16.5099,315600.0,0.0,1.0
1999-08-24,18.6667,18.7083,18.5,18.5417,16.3264,87000.0,0.0,1.0
1999-08-25,18.5625,18.5833,18.1667,18.25,16.0696,371500.0,0.0,1.0
1999-08-26,18.3333,18.6667,18.25,18.4167,16.2163,215700.0,0.0,1.0
1999-08-27,18.75,19.0833,18.5833,18.625,16.3998,309400.0,0.0,1.0
1999-08-30,18.5833,18.7917,18.4583,18.4583,16.253,59700.0,0.0,1.0
1999-08-31,18.5833,18.8333,18.5,18.6667,16.4365,72100.0,0.0,1.0
1999-09-01,18.6667,19.9167,18.6667,19.5417,17.2069,197500.0,0.0,1.0
1999-09-02,19.4167,19.6667,19.0417,19.2917,16.9868,180400.0,0.0,1.0
1999-09-03,19.375,19.4583,19.25,19.3333,17.0235,165400.0,0.0,1.0
1999-09-07,19.3333,19.4167,19.25,19.3333,17.0235,78100.0,0.0,1.0
1999-09-08,19.0833,19.1667,18.25,18.3333,16.143,63300.0,0.0,1.0
1999-09-09,18.25,18.3333,17.8333,17.8333,15.7027,171700.0,0.0,1.0
1999-09-10,18.0833,18.625,17.0,18.625,16.3998,159900.0,0.0,1.0
1999-09-13,18.5417,18.5833,18.4167,18.5,16.2897,45300.0,0.0,1.0
1999-09-14,18.4167,18.75,18.3333,18.6667,16.4365,328500.0,0.0,1.0
1999-09-15,18.75,18.875,18.5833,18.7083,16.4732,78300.0,0.0,1.0
1999-09-16,18.5833,18.9167,17.875,17.9167,15.7761,237700.0,0.0,1.0
1999-09-17,18.1042,18.125,17.0833,17.3333,15.2624,312600.0,0.0,1.0
1999-09-20,17.5833,18.0,16.9583,17.25,15.1891,470200.0,0.0,1.0
1999-09-21,17.4167,17.4167,16.3333,16.75,14.7488,199600.0,0.0,1.0
1999-09-22,17.0,17.0,16.75,16.8333,14.8222,539400.0,0.0,1.0
1999-09-23,16.9167,17.0,16.7083,16.7917,14.7855,152800.0,0.0,1.0
1999-09-24,16.8333,17.6667,16.8333,17.5,15.4092,239100.0,0.0,1.0
1999-09-27,17.4167,17.5417,17.25,17.2917,15.2258,216700.0,0.0,1.0
1999-09-28,17.3333,17.3958,17.25,17.375,15.2991,176500.0,0.0,1.0
1999-09-29,17.5,17.5,17.25,17.25,15.1891,25000.0,0.0,1.0
1999-09-30,17.3333,17.5833,16.3333,16.3333,14.3819,123700.0,0.0,1.0
1999-10-01,16.5,17.2083,16.5,17.0833,15.0423,211600.0,0.0,1.0
1999-10-04,17.1667,17.9167,17.0833,17.9167,15.7761,85800.0,0.0,1.0
1999-10-05,18.0,18.0833,17.8333,18.0,15.8495,96400.0,0.0,1.0
1999-10-06,18.0,18.4167,17.8333,18.4167,16.2163,110800.0,0.0,1.0
1999-10-07,18.25,18.3333,16.6667,17.125,15.079,319500.0,0.0,1.0
1999-10-08,17.3333,17.5,17.1667,17.4167,15.3358,227400.0,0.0,1.0
1999-10-11,17.5,17.5,16.7917,17.0,14.9689,76200.0,0.0,1.0
1999-10-12,16.9583,17.3333,16.9167,17.25,15.1891,124300.0,0.0,1.0
1999-10-13,17.4167,18.0833,17.3333,18.0,15.8495,165900.0,0.0,1.0
1999-10-14,17.9167,18.0,17.625,17.9167,15.7761,37300.0,0.0,1.0
1999-10-15,17.6667,18.0,16.7917,17.1667,15.1157,75900.0,0.0,1.0
1999-10-18,16.9167,17.0833,16.5,16.75,14.7488,59200.0,0.0,1.0
