date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,5.7589,5.7589,5.7589,5.7589,3.6293,0.0,0.0,1.0
1999-08-10,5.7589,5.7589,5.7589,5.7589,3.6293,0.0,0.0,1.0
1999-08-11,5.7589,5.7589,5.7589,5.7589,3.6293,6800.0,0.0,1.0
1999-08-12,5.7846,6.0674,5.7846,6.0674,3.8237,5600.0,0.0,1.0
1999-08-13,5.8618,5.8618,5.8618,5.8618,3.6941,200.0,0.0,1.0
1999-08-16,5.8618,5.8618,5.8618,5.8618,3.6941,0.0,0.0,1.0
1999-08-17,5.8618,5.8618,5.8618,5.8618,3.6941,0.0,0.0,1.0
1999-08-18,6.0674,6.1188,6.0674,6.1188,3.8561,8500.0,0.0,1.0
1999-08-19,6.1188,6.1188,6.1188,6.1188,3.8561,0.0,0.0,1.0
1999-08-20,5.9646,6.1703,5.9646,6.016,3.7913,7800.0,0.0,1.0
1999-08-23,6.016,6.016,5.8618,5.8618,3.6941,1400.0,0.0,1.0
1999-08-24,5.8103,6.0674,5.8103,6.0674,3.8237,1000.0,0.0,1.0
1999-08-25,5.8103,5.8103,5.8103,5.8103,3.6617,2200.0,0.0,1.0
1999-08-26,5.8103,6.0674,5.8103,6.0674,3.8237,2800.0,0.0,1.0
1999-08-27,5.7846,5.7846,5.7846,5.7846,3.6455,3200.0,0.0,1.0
1999-08-30,5.7846,5.7846,5.7846,5.7846,3.6455,0.0,0.0,1.0
1999-08-31,5.7846,5.7846,5.7846,5.7846,3.6455,0.0,0.0,1.0
1999-09-01,5.7846,5.7846,5.7846,5.7846,3.6455,0.0,0.0,1.0
1999-09-02,5.8103,5.8103,5.579,5.7589,3.6293,15400.0,0.0,1.0
1999-09-03,5.9646,5.9646,5.9646,5.9646,3.7589,5200.0,0.0,1.0
1999-09-07,5.7589,5.7589,5.6561,5.6561,3.5644,8000.0,0.0,1.0
1999-09-08,5.8103,5.9646,5.7589,5.7589,3.6293,2800.0,0.0,1.0
1999-09-09,6.016,6.0674,5.7589,5.7589,3.6293,8200.0,0.0,1.0
1999-09-10,5.7589,5.8618,5.7589,5.8618,3.6941,14400.0,0.0,1.0
1999-09-13,5.6561,5.9646,5.6561,5.9646,3.7589,8500.0,0.0,1.0
