date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,58.25,59.5,58.125,58.1875,42.0757,1600.0,0.0,1.0
1999-08-10,58.1875,58.9375,57.875,58.4688,42.2791,34300.0,0.0,1.0
1999-08-11,58.0625,60.0,58.0625,60.0,43.3863,2700.0,0.0,1.0
1999-08-12,58.0625,58.625,58.0625,58.5313,42.3243,4900.0,0.0,1.0
1999-08-13,58.0625,58.6875,58.0625,58.6875,42.4372,2200.0,0.0,1.0
1999-08-16,58.625,58.625,58.0625,58.625,42.392,3600.0,0.0,1.0
1999-08-17,58.1875,58.25,58.125,58.125,42.0305,800.0,0.0,1.0
1999-08-18,58.125,58.5,58.0,58.4375,42.439,4600.0,0.25,1.0
1999-08-19,57.375,58.375,57.375,57.875,42.0305,2100.0,0.0,1.0
1999-08-20,58.625,58.625,57.875,58.375,42.3936,1100.0,0.0,1.0
1999-08-23,58.2188,58.4375,58.0,58.0313,42.144,3000.0,0.0,1.0
1999-08-24,57.625,58.0,57.625,57.75,41.9397,1700.0,0.0,1.0
1999-08-25,57.9063,58.125,57.625,58.125,42.212,10000.0,0.0,1.0
1999-08-26,58.125,58.375,57.625,58.375,42.3936,4100.0,0.0,1.0
1999-08-27,57.625,58.5,57.5,58.4375,42.439,3900.0,0.0,1.0
1999-08-30,57.625,58.6875,57.625,58.6875,42.6206,2800.0,0.0,1.0
1999-08-31,57.625,58.625,57.625,57.625,41.8489,700.0,0.0,1.0
1999-09-01,57.625,58.25,57.625,58.25,42.3028,800.0,0.0,1.0
1999-09-02,58.25,58.25,57.625,57.625,41.8489,1200.0,0.0,1.0
1999-09-03,58.5,58.625,57.625,58.625,42.5752,3700.0,0.0,1.0
1999-09-07,58.4063,58.6875,57.9375,58.125,42.212,3000.0,0.0,1.0
1999-09-08,57.9375,58.125,57.875,57.875,42.0305,8400.0,0.0,1.0
1999-09-09,58.0938,58.875,57.625,58.375,42.3936,19100.0,0.0,1.0
1999-09-10,58.875,58.9375,58.125,58.9375,42.8021,11300.0,0.0,1.0
1999-09-13,58.5,59.0,58.5,59.0,42.8475,13700.0,0.0,1.0
1999-09-14,58.8125,59.125,58.375,58.7813,42.6886,7200.0,0.0,1.0
1999-09-15,58.0313,58.5,58.0,58.1875,42.2574,25000.0,0.0,1.0
1999-09-16,58.5,58.5,57.75,57.75,41.9397,1200.0,0.0,1.0
1999-09-17,57.5,59.0,57.5,59.0,42.8475,4900.0,0.0,1.0
1999-09-20,58.9063,58.9375,58.0,58.4688,42.4617,5100.0,0.0,1.0
1999-09-21,58.9375,58.9375,57.75,58.0,42.1213,5000.0,0.0,1.0
1999-09-22,58.3438,58.3438,56.75,56.75,41.2135,2600.0,0.0,1.0
1999-09-23,57.0625,57.875,56.25,56.25,40.8504,15800.0,0.0,1.0
1999-09-24,56.1875,56.625,55.75,56.125,40.7596,3800.0,0.0,1.0
1999-09-27,56.1875,58.0,55.75,58.0,42.1213,15300.0,0.0,1.0
1999-09-28,58.0625,58.0625,56.125,56.25,40.8504,8200.0,0.0,1.0
1999-09-29,56.25,57.25,56.25,56.5625,41.0773,4300.0,0.0,1.0
1999-09-30,56.5,56.5,56.0,56.0938,40.7369,2300.0,0.0,1.0
1999-10-01,56.9375,57.25,56.0,56.125,40.7596,1600.0,0.0,1.0
1999-10-04,55.75,56.4375,55.75,56.4375,40.9865,2600.0,0.0,1.0
1999-10-05,56.3125,56.9375,56.0,56.9375,41.3496,4600.0,0.0,1.0
1999-10-06,56.75,56.75,56.5,56.5,41.0319,2600.0,0.0,1.0
1999-10-07,56.4375,56.5,54.5,54.5,39.5795,7200.0,0.0,1.0
1999-10-08,55.9375,55.9375,54.5,54.625,39.6703,1700.0,0.0,1.0
1999-10-11,56.3438,56.375,55.125,55.125,40.0334,4600.0,0.0,1.0
1999-10-12,56.0,56.4375,55.625,56.0,40.6688,6600.0,0.0,1.0
1999-10-13,56.125,56.25,55.75,56.0,40.6688,7200.0,0.0,1.0
1999-10-14,55.75,56.0625,55.75,55.875,40.578,4000.0,0.0,1.0
1999-10-15,56.0,56.0,54.0,54.4063,39.5114,15600.0,0.0,1.0
1999-10-18,54.7813,55.75,54.5,55.0,39.9426,5900.0,0.0,1.0
1999-10-19,55.0,55.625,54.5625,55.3438,40.1922,2400.0,0.0,1.0
1999-10-20,55.8125,55.8125,55.0625,55.5,40.3057,2000.0,0.0,1.0
1999-10-21,55.2813,55.5,55.0625,55.0625,39.988,5900.0,0.0,1.0
1999-10-22,55.0625,55.5,55.0625,55.25,40.1241,20000.0,0.0,1.0
1999-10-25,55.2188,55.25,53.0,54.125,39.3071,7600.0,0.0,1.0
1999-10-26,53.25,55.5,52.875,53.0,38.4901,21000.0,0.0,1.0
1999-10-27,53.0,53.9375,53.0,53.5,38.8532,3300.0,0.0,1.0
1999-10-28,53.8125,53.8125,53.0,53.25,38.6717,4400.0,0.0,1.0
1999-10-29,53.375,53.375,52.5,52.625,38.2178,9100.0,0.0,1.0
1999-11-01,53.0938,53.125,52.0,52.0,37.7639,7300.0,0.0,1.0
1999-11-02,53.0625,53.0625,51.75,52.0,37.7639,5600.0,0.0,1.0
1999-11-03,52.0,52.0,50.625,52.0,37.7639,2700.0,0.0,1.0
1999-11-04,51.0,52.0,50.875,51.0,37.0377,2900.0,0.0,1.0
1999-11-05,51.3125,52.0,50.625,50.6875,36.8107,8200.0,0.0,1.0
1999-11-08,50.7188,51.0,50.625,50.625,36.7653,7300.0,0.0,1.0
1999-11-09,50.4688,50.75,50.0625,50.0625,36.3568,8800.0,0.0,1.0
1999-11-10,50.375,50.6875,50.0625,50.4688,36.6519,9400.0,0.0,1.0
1999-11-11,50.5,50.75,50.25,50.75,36.8561,2200.0,0.0,1.0
1999-11-12,50.5,50.75,50.0,50.0625,36.3568,6200.0,0.0,1.0
1999-11-15,50.0625,50.5625,50.0625,50.5,36.6746,4100.0,0.0,1.0
1999-11-16,50.2813,50.5,50.0625,50.125,36.4022,4900.0,0.0,1.0
1999-11-17,50.0625,50.125,49.5,49.75,36.311,15500.0,0.25,1.0
1999-11-18,49.375,50.0,47.75,48.375,35.3074,11800.0,0.0,1.0
