date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,5.5,5.5833,5.4583,5.4583,4.4537,83000.0,0.0,1.0
1999-08-10,5.4167,5.5,5.2083,5.2083,4.2497,241800.0,0.0,1.0
1999-08-11,5.25,5.3333,5.1667,5.2708,4.3007,60800.0,0.0,1.0
1999-08-12,5.3333,5.3333,5.1667,5.3333,4.3517,17000.0,0.0,1.0
1999-08-13,5.3333,5.5,5.2917,5.375,4.3857,56000.0,0.0,1.0
1999-08-16,5.3333,5.5,5.2708,5.2708,4.3007,38000.0,0.0,1.0
1999-08-17,5.2708,5.5,5.2708,5.5,4.4877,24600.0,0.0,1.0
1999-08-18,5.4792,5.4792,5.2708,5.3333,4.3517,56400.0,0.0,1.0
1999-08-19,5.3333,5.625,5.3333,5.625,4.5897,77400.0,0.0,1.0
1999-08-20,5.625,5.7917,5.4583,5.5833,4.5557,97200.0,0.0,1.0
1999-08-23,5.8125,5.8333,5.6667,5.7708,4.7087,92400.0,0.0,1.0
1999-08-24,5.6667,5.8125,5.6667,5.75,4.6917,213800.0,0.0,1.0
1999-08-25,5.75,5.75,5.6875,5.7083,4.6577,238800.0,0.0,1.0
1999-08-26,5.7292,5.7917,5.7083,5.75,4.6917,34800.0,0.0,1.0
1999-08-27,5.7083,5.8333,5.7083,5.8333,4.7597,72800.0,0.0,1.0
1999-08-30,5.8333,5.875,5.75,5.8333,4.7597,137000.0,0.0,1.0
1999-08-31,5.8333,6.0833,5.8333,5.9792,4.8786,206600.0,0.0,1.0
1999-09-01,5.9792,6.125,5.9792,6.125,4.9976,109800.0,0.0,1.0
1999-09-02,5.9375,6.3333,5.9167,6.3333,5.1676,198800.0,0.0,1.0
1999-09-03,6.3333,6.375,6.25,6.3333,5.1676,342800.0,0.0,1.0
1999-09-07,6.2708,6.375,6.2708,6.375,5.2016,28800.0,0.0,1.0
1999-09-08,6.3125,6.3958,6.25,6.3125,5.1506,409400.0,0.0,1.0
1999-09-09,6.3125,6.4167,6.25,6.3333,5.1676,241800.0,0.0,1.0
1999-09-10,6.3125,6.375,6.3125,6.375,5.2016,54600.0,0.0,1.0
1999-09-13,6.3854,6.4167,6.25,6.375,5.2016,81800.0,0.0,1.0
1999-09-14,6.25,6.3333,6.2083,6.3333,5.1676,223800.0,0.0,1.0
1999-09-15,6.3333,6.3542,6.2708,6.3333,5.1676,149000.0,0.0,1.0
1999-09-16,6.3125,6.3333,6.2917,6.3125,5.1506,44600.0,0.0,1.0
1999-09-17,6.2917,6.3333,6.2083,6.25,5.0996,348600.0,0.0,1.0
1999-09-20,6.2083,6.25,6.1667,6.2083,5.0656,130800.0,0.0,1.0
1999-09-21,6.2083,6.2083,5.875,5.875,4.7937,101600.0,0.0,1.0
1999-09-22,5.9167,5.9167,5.7917,5.7917,4.7257,49200.0,0.0,1.0
1999-09-23,5.8021,5.9167,5.75,5.9167,4.8277,49800.0,0.0,1.0
1999-09-24,5.75,5.8333,5.7083,5.7917,4.7257,29600.0,0.0,1.0
1999-09-27,5.7917,5.8333,5.6667,5.7292,4.6747,16800.0,0.0,1.0
1999-09-28,5.6667,5.8333,5.6667,5.8333,4.7597,66200.0,0.0,1.0
1999-09-29,5.8333,5.8333,5.0833,5.3333,4.3517,209400.0,0.0,1.0
1999-09-30,5.3333,5.5,4.625,4.75,3.8757,778800.0,0.0,1.0
1999-10-01,4.8229,5.4167,4.8229,5.375,4.3857,329400.0,0.0,1.0
1999-10-04,5.3958,5.4375,5.0833,5.1875,4.2327,167400.0,0.0,1.0
1999-10-05,5.2083,5.25,5.0,5.1667,4.2157,317000.0,0.0,1.0
1999-10-06,5.1667,5.2292,5.0,5.0417,4.1137,159800.0,0.0,1.0
1999-10-07,5.0417,5.2083,5.0417,5.0833,4.1477,31400.0,0.0,1.0
1999-10-08,5.0833,5.25,5.0833,5.2292,4.2667,73800.0,0.0,1.0
1999-10-11,5.3333,5.375,5.2708,5.375,4.3857,35600.0,0.0,1.0
1999-10-12,5.2917,5.6667,5.2917,5.6042,4.5727,71600.0,0.0,1.0
1999-10-13,5.5833,5.6667,5.5417,5.5833,4.5557,64200.0,0.0,1.0
1999-10-14,5.6667,5.7917,5.625,5.7708,4.7087,61200.0,0.0,1.0
1999-10-15,5.5833,5.7083,5.5417,5.5833,4.5557,83400.0,0.0,1.0
1999-10-18,5.6042,5.6667,5.5417,5.5833,4.5557,111200.0,0.0,1.0
