date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-01-18,21.0,22.1,20.66,21.2,16.7999,12735700.0,0.0,1.0
2013-01-22,21.0,22.15,20.53,22.12,17.529,1707500.0,0.0,1.0
2013-01-23,21.8,22.6,21.76,22.6,17.9094,1122600.0,0.0,1.0
2013-01-24,22.9,22.99,21.63,22.01,17.4418,470900.0,0.0,1.0
2013-01-25,22.04,22.5,21.75,21.86,17.323,344700.0,0.0,1.0
2013-01-28,22.16,22.16,21.27,21.5,17.0377,538800.0,0.0,1.0
2013-01-29,21.3,21.69,21.05,21.4,16.9584,577200.0,0.0,1.0
2013-01-30,21.61,21.99,20.89,21.08,16.7048,224200.0,0.0,1.0
2013-01-31,20.74,21.83,20.6,21.17,16.7762,524100.0,0.0,1.0
2013-02-01,21.12,21.85,21.12,21.69,17.1882,490300.0,0.0,1.0
2013-02-04,21.55,21.87,21.15,21.82,17.2913,217300.0,0.0,1.0
2013-02-05,21.79,22.59,21.54,22.24,17.6241,333800.0,0.0,1.0
2013-02-06,22.05,22.5,22.05,22.5,17.8301,276700.0,0.0,1.0
2013-02-07,22.52,22.52,22.04,22.19,17.5845,182100.0,0.0,1.0
2013-02-08,22.3,22.74,22.3,22.6,17.9094,175500.0,0.0,1.0
2013-02-11,22.75,23.0,22.55,22.67,17.9648,118400.0,0.0,1.0
2013-02-12,22.58,22.6,21.5,21.71,17.2041,344200.0,0.0,1.0
2013-02-13,21.85,22.12,21.35,21.58,17.1011,450900.0,0.0,1.0
2013-02-14,21.78,22.49,21.5,22.11,17.5211,308200.0,0.0,1.0
2013-02-15,21.97,22.77,21.88,22.39,17.743,1043300.0,0.0,1.0
2013-02-19,22.35,22.43,21.95,22.29,17.6637,856600.0,0.0,1.0
2013-02-20,22.17,22.17,21.85,22.01,17.4418,582600.0,0.0,1.0
2013-02-21,21.9,22.27,21.7,21.77,17.2516,526300.0,0.0,1.0
2013-02-22,21.8,22.27,21.8,21.93,17.3784,155800.0,0.0,1.0
2013-02-25,21.96,22.09,21.7,21.83,17.2992,336700.0,0.0,1.0
2013-02-26,21.84,21.86,21.03,21.73,17.2199,303600.0,0.0,1.0
2013-02-27,21.59,22.5,20.82,21.19,16.792,1042000.0,0.0,1.0
2013-02-28,21.08,21.58,21.03,21.31,16.8871,493200.0,0.0,1.0
2013-03-01,21.22,22.02,21.05,21.56,17.0852,497400.0,0.0,1.0
2013-03-04,21.56,22.19,21.43,22.11,17.5211,172700.0,0.0,1.0
2013-03-05,22.04,23.71,22.04,23.03,18.2501,336600.0,0.0,1.0
2013-03-06,23.0,23.24,22.85,23.0,18.2263,306900.0,0.0,1.0
2013-03-07,23.0,23.03,22.17,22.78,18.052,220500.0,0.0,1.0
2013-03-08,22.89,23.01,22.48,22.62,17.9252,137700.0,0.0,1.0
2013-03-11,22.52,22.55,21.86,22.3,17.6716,136800.0,0.0,1.0
2013-03-12,22.23,22.31,22.0,22.15,17.5528,82800.0,0.0,1.0
2013-03-13,22.35,22.44,21.87,21.94,17.3864,351400.0,0.0,1.0
2013-03-14,22.0,22.19,21.76,21.85,17.315,191300.0,0.0,1.0
2013-03-15,21.75,21.78,21.45,21.49,17.0298,295500.0,0.0,1.0
2013-03-18,21.45,21.79,21.31,21.74,17.2279,289600.0,0.0,1.0
2013-03-19,21.74,21.97,21.53,21.84,17.3071,144800.0,0.0,1.0
2013-03-20,21.9,22.4,21.73,22.07,17.4894,517100.0,0.0,1.0
2013-03-21,21.9,22.43,21.87,22.12,17.529,345700.0,0.0,1.0
2013-03-22,22.4,23.21,22.13,22.96,18.1947,345600.0,0.0,1.0
2013-03-25,22.96,23.09,22.71,22.88,18.1313,181900.0,0.0,1.0
2013-03-26,22.75,23.05,22.47,22.87,18.251,203600.0,0.16,1.0
2013-03-27,22.64,23.0,22.43,22.5,17.9557,216500.0,0.0,1.0
2013-03-28,22.59,22.92,22.3,22.84,18.227,2745200.0,0.0,1.0
2013-04-01,22.93,23.33,22.66,23.17,18.4904,439800.0,0.0,1.0
2013-04-02,23.38,24.49,23.15,23.63,18.8575,335300.0,0.0,1.0
2013-04-03,23.61,23.69,23.22,23.3,18.5941,98300.0,0.0,1.0
2013-04-04,23.48,23.59,23.32,23.5,18.7537,150400.0,0.0,1.0
2013-04-05,23.28,24.04,23.07,23.66,18.8814,236100.0,0.0,1.0
2013-04-08,23.81,23.81,23.35,23.42,18.6899,149800.0,0.0,1.0
2013-04-09,23.43,23.62,23.34,23.39,18.6659,68800.0,0.0,1.0
2013-04-10,23.39,23.95,23.26,23.73,18.9373,158700.0,0.0,1.0
2013-04-11,23.78,24.1,23.52,23.71,18.9213,84400.0,0.0,1.0
2013-04-12,23.61,24.1,23.61,23.93,19.0969,84800.0,0.0,1.0
2013-04-15,23.93,24.2,23.1,23.31,18.6021,149200.0,0.0,1.0
2013-04-16,23.37,24.13,23.37,23.88,19.057,301900.0,0.0,1.0
2013-04-17,23.83,24.0,23.2,23.58,18.8176,76600.0,0.0,1.0
2013-04-18,23.8,24.15,23.73,23.98,19.1368,209300.0,0.0,1.0
2013-04-19,24.01,24.13,23.7,23.93,19.0969,149300.0,0.0,1.0
2013-04-22,24.13,24.13,23.37,23.95,19.1128,166400.0,0.0,1.0
2013-04-23,24.05,24.19,23.53,24.08,19.2166,145100.0,0.0,1.0
2013-04-24,24.0,24.31,23.76,24.05,19.1926,118000.0,0.0,1.0
2013-04-25,24.1,24.29,23.54,23.65,18.8734,108000.0,0.0,1.0
2013-04-26,23.69,23.92,23.3,23.85,19.033,93400.0,0.0,1.0
2013-04-29,24.06,24.84,24.06,24.23,19.3363,248200.0,0.0,1.0
2013-04-30,24.27,24.41,23.74,23.99,19.1448,312200.0,0.0,1.0
2013-05-01,23.89,23.98,23.67,23.69,18.9053,185600.0,0.0,1.0
2013-05-02,23.87,24.36,23.68,24.1,19.2325,172000.0,0.0,1.0
2013-05-03,24.4,24.4,24.0,24.1,19.2325,256100.0,0.0,1.0
2013-05-06,24.2,24.23,23.76,23.82,19.0091,154100.0,0.0,1.0
2013-05-07,23.9,24.01,23.6,23.71,18.9213,208200.0,0.0,1.0
2013-05-08,23.71,23.79,23.4,23.65,18.8734,226200.0,0.0,1.0
2013-05-09,23.64,23.91,22.25,22.74,18.1472,575200.0,0.0,1.0
2013-05-10,22.74,23.05,22.52,22.66,18.0834,384900.0,0.0,1.0
2013-05-13,22.69,23.04,22.41,22.65,18.0754,269300.0,0.0,1.0
2013-05-14,22.65,22.74,22.0,22.39,17.8679,334900.0,0.0,1.0
2013-05-15,23.0,23.0,22.09,22.5,17.9557,391600.0,0.0,1.0
2013-05-16,22.84,22.84,22.28,22.41,17.8839,373200.0,0.0,1.0
2013-05-17,22.4,22.52,21.91,22.23,17.7402,462400.0,0.0,1.0
2013-05-20,22.45,22.47,21.96,22.06,17.6046,348100.0,0.0,1.0
2013-05-21,22.0,22.19,21.76,21.93,17.5008,297500.0,0.0,1.0
2013-05-22,21.91,22.13,21.29,21.43,17.1018,280900.0,0.0,1.0
2013-05-23,21.32,21.93,21.05,21.86,17.4449,263700.0,0.0,1.0
2013-05-24,21.69,22.03,21.69,21.9,17.4769,167900.0,0.0,1.0
2013-05-28,22.61,22.71,22.03,22.11,17.6445,857300.0,0.0,1.0
2013-05-29,22.09,22.44,21.55,21.87,17.4529,297200.0,0.0,1.0
2013-05-30,21.88,22.13,21.51,21.94,17.5088,112800.0,0.0,1.0
2013-05-31,21.75,22.01,21.49,21.68,17.3013,304700.0,0.0,1.0
2013-06-03,21.83,21.99,21.1,21.27,16.9741,221000.0,0.0,1.0
2013-06-04,21.25,21.25,20.32,20.78,16.5831,578900.0,0.0,1.0
2013-06-05,20.78,21.39,20.75,21.2,16.9182,460500.0,0.0,1.0
2013-06-06,21.54,21.54,20.8,21.36,17.0459,191900.0,0.0,1.0
2013-06-07,21.5,21.76,21.25,21.29,16.9901,142400.0,0.0,1.0
2013-06-10,21.72,21.95,21.46,21.73,17.3412,282100.0,0.0,1.0
2013-06-11,21.54,21.74,21.33,21.58,17.2215,130100.0,0.0,1.0
2013-06-12,21.8,21.93,21.09,21.1,16.8384,179500.0,0.0,1.0
2013-06-13,21.15,21.66,20.9,21.66,17.2853,163400.0,0.0,1.0
2013-06-14,21.69,21.73,21.26,21.3,16.9981,88700.0,0.0,1.0
2013-06-17,21.48,21.53,21.02,21.1,16.8384,105700.0,0.0,1.0
2013-06-18,21.2,21.4,21.07,21.1,16.8384,111900.0,0.0,1.0
2013-06-19,21.16,21.34,20.77,20.86,16.6469,95200.0,0.0,1.0
