date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,35.9688,36.0,35.5,35.8438,26.3071,4772200.0,0.0,1.0
1999-08-10,35.8125,36.375,35.75,36.0625,26.4677,6839200.0,0.0,1.0
1999-08-11,36.5,37.6875,36.25,37.625,27.6145,3248000.0,0.0,1.0
1999-08-12,38.0625,38.4375,37.3125,37.5,27.5227,6217600.0,0.0,1.0
1999-08-13,38.0625,38.125,37.3438,37.4063,27.4539,3092600.0,0.0,1.0
1999-08-16,37.5,38.0625,37.25,37.8438,27.775,2430800.0,0.0,1.0
1999-08-17,38.125,39.5,38.0,39.5,28.9906,4235600.0,0.0,1.0
1999-08-18,39.5,40.125,39.25,39.3438,28.8759,3983600.0,0.0,1.0
1999-08-19,39.25,39.25,38.3125,38.4063,28.1879,2032800.0,0.0,1.0
1999-08-20,38.5625,39.3125,38.3125,39.25,28.8071,2530800.0,0.0,1.0
1999-08-23,39.25,40.1875,39.125,40.0313,29.3805,1903600.0,0.0,1.0
1999-08-24,39.7813,40.8438,39.4375,40.7188,29.8851,2878400.0,0.0,1.0
1999-08-25,40.375,40.375,38.125,39.25,28.8071,6632000.0,0.0,1.0
1999-08-26,39.25,40.0,38.75,39.25,28.8071,3258600.0,0.0,1.0
1999-08-27,39.1875,39.375,38.125,38.5313,28.2796,2396600.0,0.0,1.0
1999-08-30,38.375,38.6875,37.8125,38.0313,27.9126,1961600.0,0.0,1.0
1999-08-31,37.9375,38.25,36.625,37.375,27.431,3982000.0,0.0,1.0
1999-09-01,37.4375,37.5,36.6875,36.9063,27.0869,4230800.0,0.0,1.0
1999-09-02,36.625,36.625,35.4688,36.0625,26.4677,6671800.0,0.0,1.0
1999-09-03,36.4375,37.0625,36.3125,37.0313,27.1787,4323600.0,0.0,1.0
1999-09-07,37.0,37.4688,36.25,36.3125,26.6512,2387400.0,0.0,1.0
1999-09-08,36.25,36.3125,35.5625,35.9688,26.3989,4148000.0,0.0,1.0
1999-09-09,36.0781,36.125,35.5,35.7813,26.2613,2886400.0,0.0,1.0
1999-09-10,36.0,36.0625,34.875,34.9375,25.642,9282600.0,0.0,1.0
1999-09-13,34.75,34.8125,34.25,34.4063,25.2521,5822800.0,0.0,1.0
1999-09-14,34.125,34.1563,32.6875,33.7813,24.7934,9291800.0,0.0,1.0
1999-09-15,34.2188,34.6875,33.5,33.5313,24.6099,7194800.0,0.0,1.0
1999-09-16,33.7188,34.0313,32.75,33.3438,24.4723,4296400.0,0.0,1.0
1999-09-17,33.4688,34.0,32.9688,33.75,24.7705,7142400.0,0.0,1.0
1999-09-20,33.5,33.625,32.875,33.0625,24.2659,5946800.0,0.0,1.0
1999-09-21,33.0,33.4375,32.875,33.375,24.4952,12887800.0,0.0,1.0
1999-09-22,33.4375,34.3438,32.875,34.2188,25.1145,7955800.0,0.0,1.0
1999-09-23,34.5,35.75,34.5,35.1563,25.8026,11141400.0,0.0,1.0
1999-09-24,35.0625,37.0,34.75,36.1563,26.5365,11556800.0,0.0,1.0
1999-09-27,36.5,36.8125,36.0625,36.2188,26.5824,3626400.0,0.0,1.0
1999-09-28,35.8438,36.7188,35.6563,36.2188,26.5824,3820000.0,0.0,1.0
1999-09-29,36.2188,36.375,35.1875,35.1875,25.8255,4991200.0,0.0,1.0
1999-09-30,35.4688,36.1563,34.9375,36.0,26.4218,5967800.0,0.0,1.0
1999-10-01,36.0,36.9063,35.25,36.5,26.7888,10459200.0,0.0,1.0
1999-10-04,36.625,38.625,36.5938,38.625,28.3484,9530200.0,0.0,1.0
1999-10-05,38.9375,40.2188,38.875,39.6563,29.1053,8899000.0,0.0,1.0
1999-10-06,39.5938,39.5938,38.9688,39.375,28.8989,7703600.0,0.0,1.0
1999-10-07,39.5625,40.3125,38.75,39.0625,28.6695,4167600.0,0.0,1.0
1999-10-08,39.0938,41.375,38.9375,41.2969,30.3094,5562200.0,0.0,1.0
1999-10-11,40.9688,42.1875,40.375,41.9688,30.8025,4517200.0,0.0,1.0
1999-10-12,41.9688,41.9688,39.6172,40.375,29.6328,4566600.0,0.0,1.0
1999-10-13,40.0,40.0625,38.125,38.5938,28.3255,6480400.0,0.0,1.0
1999-10-14,38.8438,39.6875,37.9375,39.4688,28.9677,4384000.0,0.0,1.0
1999-10-15,38.9375,38.9375,36.9063,37.25,27.3392,5915600.0,0.0,1.0
1999-10-18,37.5,37.5,36.5,36.9688,27.1328,3820800.0,0.0,1.0
1999-10-19,37.375,37.75,37.0938,37.1563,27.2704,4917600.0,0.0,1.0
1999-10-20,37.4375,37.9375,37.25,37.9375,27.8438,2938600.0,0.0,1.0
1999-10-21,37.6875,37.6875,36.6875,36.75,26.9723,5504200.0,0.0,1.0
1999-10-22,37.1875,37.8125,37.0,37.2813,27.3622,5250600.0,0.0,1.0
1999-10-25,37.25,37.25,36.5,37.0,27.1558,4052600.0,0.0,1.0
1999-10-26,37.2813,37.2813,35.9375,36.0,26.4218,7368000.0,0.0,1.0
1999-10-27,36.0781,36.0938,35.2813,36.0,26.4218,5450600.0,0.0,1.0
1999-10-28,36.4375,39.1875,36.3125,39.1563,28.7383,5336800.0,0.0,1.0
1999-10-29,39.5625,41.25,39.5,40.1563,29.4723,6750600.0,0.0,1.0
1999-11-01,40.0,40.6875,39.25,39.2813,28.8301,4382200.0,0.0,1.0
1999-11-02,39.75,40.9375,39.6875,40.2813,29.564,4100400.0,0.0,1.0
1999-11-03,40.4688,41.8125,40.375,40.6563,29.8392,4689600.0,0.0,1.0
1999-11-04,41.2813,41.9688,40.5625,40.6875,29.8622,6434800.0,0.0,1.0
1999-11-05,41.125,42.8125,41.125,42.75,31.3759,5181000.0,0.0,1.0
1999-11-08,42.25,43.25,41.8125,43.25,31.7429,3598400.0,0.0,1.0
1999-11-09,42.9688,42.9688,42.0625,42.625,31.2842,5175400.0,0.0,1.0
1999-11-10,42.5938,43.4375,41.5,42.5938,31.2612,4823600.0,0.0,1.0
1999-11-11,42.5938,44.75,42.5625,44.75,32.8438,6676200.0,0.0,1.0
1999-11-12,45.0,45.3125,44.375,44.4375,32.6144,7712000.0,0.0,1.0
1999-11-15,44.3438,44.5,43.375,43.625,32.0181,3316600.0,0.0,1.0
1999-11-16,43.875,44.0,43.1563,43.5313,31.9493,3390000.0,0.0,1.0
1999-11-17,43.4063,43.6875,42.625,43.0313,31.5823,3189000.0,0.0,1.0
1999-11-18,43.0313,43.0313,42.5,43.0,31.5594,2355200.0,0.0,1.0
1999-11-19,42.8125,42.8438,41.9063,42.6875,31.33,2506000.0,0.0,1.0
1999-11-22,42.7188,42.75,41.375,41.4063,30.3897,2785800.0,0.0,1.0
1999-11-23,41.6875,43.6875,41.625,42.8438,31.4447,5127200.0,0.0,1.0
1999-11-24,42.75,43.75,42.6563,43.5625,31.9722,2196000.0,0.0,1.0
1999-11-26,43.5625,44.4688,43.5,44.25,32.4768,1210200.0,0.0,1.0
1999-11-29,44.2813,46.25,44.25,46.1563,33.8759,5585400.0,0.0,1.0
1999-11-30,46.0625,46.375,45.6875,45.8438,33.6465,3812600.0,0.0,1.0
1999-12-01,45.7188,48.5938,45.3125,47.7188,35.0227,6191200.0,0.0,1.0
1999-12-02,47.1875,47.9375,44.0,47.8125,35.0915,10037600.0,0.0,1.0
