date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-12-15,25.2,25.4,25.19,25.3,22.6865,384600.0,0.0,1.0
2017-12-18,25.22,25.34,25.19,25.234,22.6273,298300.0,0.0,1.0
2017-12-19,25.2,25.25,25.09,25.11,22.5161,198200.0,0.0,1.0
2017-12-20,25.1,25.32,25.07,25.2,22.5968,251000.0,0.0,1.0
2017-12-21,25.18,25.34,25.12,25.31,22.6955,136600.0,0.0,1.0
2017-12-22,25.25,25.36,25.25,25.34,22.7224,62700.0,0.0,1.0
2017-12-26,25.34,25.5,25.3,25.5,22.8658,39500.0,0.0,1.0
2017-12-27,25.32,26.24,25.32,25.513,22.8775,63400.0,0.0,1.0
2017-12-28,25.62,25.74,25.54,25.699,23.0443,25600.0,0.0,1.0
2017-12-29,25.741,25.741,25.61,25.7,23.0452,19700.0,0.0,1.0
2018-01-02,25.8,25.8,25.43,25.49,22.8569,31800.0,0.0,1.0
2018-01-03,25.5,25.572,25.32,25.38,22.7582,41400.0,0.0,1.0
2018-01-04,25.45,25.45,25.334,25.39,22.7672,56600.0,0.0,1.0
2018-01-05,25.5,25.54,25.4,25.478,22.8461,27100.0,0.0,1.0
2018-01-08,25.48,25.5,25.31,25.35,22.7313,127400.0,0.0,1.0
2018-01-09,25.49,25.49,25.3,25.35,22.7313,168300.0,0.0,1.0
2018-01-10,25.45,25.45,25.05,25.34,22.7224,116300.0,0.0,1.0
2018-01-11,25.36,25.49,25.27,25.352,22.7331,131500.0,0.0,1.0
2018-01-12,25.49,25.49,25.185,25.25,22.6417,75700.0,0.0,1.0
2018-01-16,25.29,25.3,25.18,25.25,22.6417,59300.0,0.0,1.0
2018-01-17,25.24,25.34,25.18,25.28,22.6686,71900.0,0.0,1.0
2018-01-18,25.268,25.376,25.16,25.3,22.6865,40600.0,0.0,1.0
2018-01-19,25.3,25.35,25.21,25.214,22.6094,65000.0,0.0,1.0
2018-01-22,25.3,25.4,25.23,25.23,22.6237,30200.0,0.0,1.0
2018-01-23,25.33,25.33,25.21,25.28,22.6686,38200.0,0.0,1.0
2018-01-24,25.3,25.339,25.19,25.2,22.5968,36200.0,0.0,1.0
2018-01-25,25.269,25.28,25.15,25.208,22.604,51500.0,0.0,1.0
2018-01-26,25.245,25.268,25.13,25.2,22.5968,95200.0,0.0,1.0
2018-01-29,25.2,25.2,25.07,25.09,22.4982,77100.0,0.0,1.0
2018-01-30,25.18,25.278,25.05,25.1,22.5072,32100.0,0.0,1.0
2018-01-31,25.121,25.19,25.1,25.1,22.5072,9600.0,0.0,1.0
2018-02-01,25.15,25.15,25.06,25.12,22.5251,25500.0,0.0,1.0
2018-02-02,25.05,25.1,25.0,25.0,22.4175,28400.0,0.0,1.0
2018-02-05,24.76,25.15,24.76,25.092,22.5,23900.0,0.0,1.0
2018-02-06,25.066,25.15,24.82,25.14,22.543,21200.0,0.0,1.0
2018-02-07,25.14,25.23,25.13,25.201,22.5977,25500.0,0.0,1.0
2018-02-08,25.23,25.29,25.15,25.15,22.552,20200.0,0.0,1.0
2018-02-09,25.25,25.25,24.95,25.05,22.4623,21400.0,0.0,1.0
2018-02-12,25.195,25.24,24.976,25.0,22.4175,10000.0,0.0,1.0
2018-02-13,25.2,25.2,25.074,25.17,22.5699,15300.0,0.0,1.0
2018-02-14,25.21,25.34,25.151,25.255,22.6461,62900.0,0.0,1.0
2018-02-15,25.28,25.28,25.028,25.24,22.6327,25600.0,0.0,1.0
2018-02-16,25.16,25.535,25.16,25.4,22.7762,16600.0,0.0,1.0
2018-02-20,25.28,25.479,25.28,25.35,22.7313,11400.0,0.0,1.0
2018-02-21,25.36,25.425,25.29,25.419,22.7932,28300.0,0.0,1.0
2018-02-22,25.25,26.0,25.25,25.46,22.83,57200.0,0.0,1.0
2018-02-23,25.45,25.55,25.4,25.43,22.8031,17900.0,0.0,1.0
2018-02-26,25.594,25.65,25.42,25.608,22.9627,23800.0,0.0,1.0
2018-02-27,25.565,25.63,25.45,25.55,22.9107,13900.0,0.0,1.0
2018-02-28,25.26,25.26,25.09,25.26,23.065,40900.0,0.459,1.0
2018-03-01,25.249,25.259,25.14,25.259,23.0641,32700.0,0.0,1.0
2018-03-02,25.25,25.365,25.25,25.365,23.1609,10300.0,0.0,1.0
2018-03-05,25.319,25.37,25.18,25.3,23.1015,15900.0,0.0,1.0
2018-03-06,25.349,25.37,25.21,25.21,23.0193,24100.0,0.0,1.0
2018-03-07,25.277,25.34,25.193,25.22,23.0285,14100.0,0.0,1.0
2018-03-08,25.22,25.339,25.19,25.28,23.0832,11300.0,0.0,1.0
2018-03-09,25.27,25.28,25.01,25.1,22.9189,23400.0,0.0,1.0
2018-03-12,25.27,25.336,25.175,25.336,23.1344,20200.0,0.0,1.0
2018-03-13,25.36,25.36,25.317,25.349,23.1463,2800.0,0.0,1.0
2018-03-14,25.299,25.35,25.28,25.31,23.1106,7000.0,0.0,1.0
2018-03-15,25.307,25.36,25.28,25.36,23.1563,5900.0,0.0,1.0
2018-03-16,25.37,25.37,25.29,25.29,23.0924,7100.0,0.0,1.0
2018-03-19,25.29,25.309,25.058,25.22,23.0285,35400.0,0.0,1.0
2018-03-20,25.2,25.37,25.2,25.36,23.1563,5700.0,0.0,1.0
2018-03-21,25.294,25.349,25.225,25.25,23.0559,20600.0,0.0,1.0
2018-03-22,25.37,25.379,25.205,25.26,23.065,39000.0,0.0,1.0
2018-03-23,25.314,25.314,25.25,25.26,23.065,5300.0,0.0,1.0
2018-03-26,25.3,25.39,25.17,25.31,23.1106,24100.0,0.0,1.0
2018-03-27,25.38,25.406,25.258,25.39,23.1837,21900.0,0.0,1.0
2018-03-28,25.25,25.44,25.25,25.42,23.2111,8700.0,0.0,1.0
2018-03-29,25.44,25.45,25.18,25.19,23.0011,50400.0,0.0,1.0
2018-04-02,25.25,25.309,25.21,25.23,23.0376,17600.0,0.0,1.0
2018-04-03,25.37,25.37,25.17,25.17,22.9828,12700.0,0.0,1.0
2018-04-04,25.12,25.3,25.11,25.12,22.9372,25800.0,0.0,1.0
2018-04-05,25.19,25.234,25.141,25.2,23.0102,12400.0,0.0,1.0
2018-04-06,25.16,25.24,25.1,25.2,23.0102,17300.0,0.0,1.0
2018-04-09,25.2,25.216,25.11,25.11,22.928,8100.0,0.0,1.0
2018-04-10,25.171,25.32,25.132,25.32,23.1198,5500.0,0.0,1.0
2018-04-11,25.3,25.439,25.25,25.25,23.0559,32100.0,0.0,1.0
2018-04-12,25.3,25.3,25.13,25.16,22.9737,17900.0,0.0,1.0
2018-04-13,25.2,25.25,25.2,25.25,23.0559,18200.0,0.0,1.0
2018-04-16,25.25,25.32,25.25,25.27,23.0741,4600.0,0.0,1.0
2018-04-17,25.4,25.43,25.29,25.367,23.1627,11500.0,0.0,1.0
2018-04-18,25.389,25.393,25.312,25.384,23.1782,4300.0,0.0,1.0
2018-04-19,25.36,25.36,25.076,25.11,22.928,43600.0,0.0,1.0
2018-04-20,25.189,25.25,25.05,25.1,22.9189,10800.0,0.0,1.0
2018-04-23,25.1,25.239,25.05,25.05,22.8732,12200.0,0.0,1.0
2018-04-24,25.12,25.25,25.08,25.2,23.0102,15400.0,0.0,1.0
2018-04-25,25.07,25.35,25.07,25.35,23.1472,60800.0,0.0,1.0
2018-04-26,25.26,25.3,25.11,25.25,23.0559,15500.0,0.0,1.0
2018-04-27,25.3,25.349,25.25,25.312,23.1125,9000.0,0.0,1.0
2018-04-30,25.35,25.45,25.335,25.4,23.1928,9500.0,0.0,1.0
2018-05-01,25.4,25.583,25.4,25.455,23.243,15100.0,0.0,1.0
2018-05-02,25.526,25.603,25.16,25.19,23.0011,56600.0,0.0,1.0
2018-05-03,25.25,25.3,25.19,25.21,23.0193,37700.0,0.0,1.0
