date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,9.9804,9.9804,9.9804,9.9804,6.6772,1400.0,0.0,1.0
1999-08-10,9.9804,9.9804,9.9804,9.9804,6.6772,0.0,0.0,1.0
1999-08-11,10.0391,10.0979,9.9804,10.0979,6.7557,51000.0,0.0,1.0
1999-08-12,10.0979,10.0979,10.0979,10.0979,6.7557,0.0,0.0,1.0
1999-08-13,10.0979,10.0979,10.0979,10.0979,6.7557,0.0,0.0,1.0
1999-08-16,9.9804,9.9804,9.9804,9.9804,6.6772,200.0,0.0,1.0
1999-08-17,9.9804,9.9804,9.9804,9.9804,6.6772,0.0,0.0,1.0
1999-08-18,9.9804,9.9804,9.863,9.863,6.5986,2800.0,0.0,1.0
1999-08-19,9.8043,9.8043,9.8043,9.8043,6.5593,200.0,0.0,1.0
1999-08-20,9.8043,9.8043,9.8043,9.8043,6.5593,500.0,0.0,1.0
1999-08-23,9.8043,9.8043,9.8043,9.8043,6.5593,0.0,0.0,1.0
1999-08-24,9.7456,9.7456,9.6282,9.6282,6.4415,5400.0,0.0,1.0
1999-08-25,9.7456,9.9804,9.7456,9.9804,6.6772,6300.0,0.0,1.0
1999-08-26,9.7456,9.7456,9.7456,9.7456,6.5201,1800.0,0.0,1.0
1999-08-27,9.7456,9.7456,9.7456,9.7456,6.5201,0.0,0.0,1.0
1999-08-30,9.7456,9.7456,9.7456,9.7456,6.5201,9500.0,0.0,1.0
1999-08-31,9.7456,9.7456,9.7456,9.7456,6.5201,0.0,0.0,1.0
1999-09-01,9.7456,9.7456,9.7456,9.7456,6.5201,0.0,0.0,1.0
1999-09-02,9.7456,9.7456,9.7456,9.7456,6.5201,0.0,0.0,1.0
1999-09-03,9.6282,9.6282,8.454,9.0411,6.0487,546500.0,0.0,1.0
1999-09-07,9.2759,9.6282,9.1585,9.5108,6.3629,14200.0,0.0,1.0
1999-09-08,9.5108,9.863,9.5108,9.5695,6.4022,52500.0,0.0,1.0
1999-09-09,9.5695,9.5695,9.5695,9.5695,6.4022,0.0,0.0,1.0
1999-09-10,9.9217,10.3914,9.9217,9.9804,6.6772,112900.0,0.0,1.0
1999-09-13,9.9804,9.9804,9.9804,9.9804,6.6772,2100.0,0.0,1.0
1999-09-14,9.863,9.9217,9.6869,9.863,6.5986,38700.0,0.0,1.0
1999-09-15,9.863,9.863,9.6869,9.6869,6.4808,19400.0,0.0,1.0
1999-09-16,9.6869,9.6869,9.6282,9.6282,6.4415,24100.0,0.0,1.0
1999-09-17,9.7456,9.7456,9.7456,9.7456,6.5201,1000.0,0.0,1.0
1999-09-20,9.5108,9.5108,9.5108,9.5108,6.3629,1700.0,0.0,1.0
1999-09-21,9.5108,9.5108,9.5108,9.5108,6.3629,0.0,0.0,1.0
1999-09-22,9.5108,9.5108,9.5108,9.5108,6.3629,0.0,0.0,1.0
1999-09-23,9.5108,9.5108,9.5108,9.5108,6.3629,0.0,0.0,1.0
1999-09-24,9.5108,9.5108,9.5108,9.5108,6.3629,0.0,0.0,1.0
1999-09-27,9.7456,9.863,9.7456,9.863,6.5986,19100.0,0.0,1.0
1999-09-28,10.1566,10.3327,10.1566,10.2153,6.8343,10500.0,0.0,1.0
1999-09-29,10.2153,10.2153,10.2153,10.2153,6.8343,2100.0,0.0,1.0
