date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,4.75,4.8056,4.5,4.7222,4.7222,57800.0,0.0,1.0
1999-08-10,4.6667,4.75,4.6389,4.6667,4.6667,9200.0,0.0,1.0
1999-08-11,4.6667,4.6667,4.6667,4.6667,4.6667,0.0,0.0,1.0
1999-08-12,4.8333,4.9167,4.75,4.75,4.75,30800.0,0.0,1.0
1999-08-13,4.875,4.8889,4.8333,4.8333,4.8333,31800.0,0.0,1.0
1999-08-16,4.8056,4.8056,4.8056,4.8056,4.8056,9000.0,0.0,1.0
1999-08-17,4.8333,4.9167,4.8333,4.8333,4.8333,30600.0,0.0,1.0
1999-08-18,4.8611,4.8611,4.7222,4.7222,4.7222,64200.0,0.0,1.0
1999-08-19,4.7222,4.9444,4.7222,4.9444,4.9444,13800.0,0.0,1.0
1999-08-20,4.7778,4.7778,4.7222,4.75,4.75,19200.0,0.0,1.0
1999-08-23,4.7778,4.8056,4.75,4.8056,4.8056,42200.0,0.0,1.0
1999-08-24,4.75,4.8056,4.75,4.8056,4.8056,15600.0,0.0,1.0
1999-08-25,4.75,4.8056,4.7222,4.7222,4.7222,46800.0,0.0,1.0
1999-08-26,4.7222,4.7778,4.7222,4.75,4.75,82200.0,0.0,1.0
1999-08-27,4.75,4.7778,4.7222,4.7778,4.7778,70200.0,0.0,1.0
1999-08-30,4.75,4.7778,4.6944,4.6944,4.6944,34400.0,0.0,1.0
1999-08-31,4.6667,4.7222,4.5833,4.7083,4.7083,67800.0,0.0,1.0
1999-09-01,4.6806,4.6944,4.6806,4.6944,4.6944,6200.0,0.0,1.0
1999-09-02,4.5833,4.6111,4.5694,4.6111,4.6111,19800.0,0.0,1.0
1999-09-03,4.6389,5.0278,4.6389,4.8056,4.8056,144800.0,0.0,1.0
1999-09-07,4.75,4.8611,4.75,4.8611,4.8611,29600.0,0.0,1.0
1999-09-08,4.75,4.8611,4.75,4.8611,4.8611,13800.0,0.0,1.0
1999-09-09,4.8611,5.1111,4.8611,4.9444,4.9444,70200.0,0.0,1.0
1999-09-10,4.8056,4.9167,4.8056,4.9167,4.9167,48000.0,0.0,1.0
1999-09-13,4.9167,4.9167,4.9167,4.9167,4.9167,0.0,0.0,1.0
1999-09-14,4.8194,4.8194,4.7778,4.7778,4.7778,6200.0,0.0,1.0
1999-09-15,4.7778,4.875,4.7778,4.7778,4.7778,33200.0,0.0,1.0
1999-09-16,4.8264,4.8264,4.7778,4.8056,4.8056,14400.0,0.0,1.0
1999-09-17,4.7778,4.7778,4.7222,4.75,4.75,37200.0,0.0,1.0
1999-09-20,4.7222,4.7639,4.7222,4.75,4.75,26400.0,0.0,1.0
1999-09-21,4.7222,4.7361,4.7222,4.7222,4.7222,21800.0,0.0,1.0
1999-09-22,4.7847,4.7847,4.7222,4.7778,4.7778,30800.0,0.0,1.0
1999-09-23,4.8333,4.8472,4.8056,4.8472,4.8472,36000.0,0.0,1.0
1999-09-24,4.8056,4.8472,4.7222,4.7222,4.7222,31400.0,0.0,1.0
1999-09-27,4.8611,4.8889,4.8611,4.8889,4.8889,24600.0,0.0,1.0
1999-09-28,4.9167,4.9167,4.8333,4.8333,4.8333,85800.0,0.0,1.0
1999-09-29,4.8472,4.8472,4.8472,4.8472,4.8472,13400.0,0.0,1.0
1999-09-30,4.8611,4.8889,4.8611,4.8889,4.8889,41400.0,0.0,1.0
1999-10-01,4.8611,4.8611,4.8611,4.8611,4.8611,31400.0,0.0,1.0
1999-10-04,4.7778,4.8333,4.7778,4.8333,4.8333,2600.0,0.0,1.0
1999-10-05,4.7222,4.7778,4.7222,4.7778,4.7778,20600.0,0.0,1.0
1999-10-06,4.7222,4.75,4.6111,4.6111,4.6111,85400.0,0.0,1.0
1999-10-07,4.5556,4.5833,4.5278,4.5833,4.5833,111600.0,0.0,1.0
1999-10-08,4.5833,4.6111,4.5,4.6111,4.6111,12800.0,0.0,1.0
1999-10-11,4.7222,4.75,4.6667,4.6944,4.6944,48000.0,0.0,1.0
1999-10-12,4.6944,4.75,4.6944,4.75,4.75,11600.0,0.0,1.0
1999-10-13,4.7222,4.7222,4.6875,4.7083,4.7083,31800.0,0.0,1.0
1999-10-14,4.6944,4.8611,4.6944,4.8611,4.8611,7200.0,0.0,1.0
1999-10-15,4.6667,4.875,4.6667,4.875,4.875,27200.0,0.0,1.0
1999-10-18,4.8056,4.8333,4.8056,4.8333,4.8333,18200.0,0.0,1.0
1999-10-19,4.8333,4.8333,4.8333,4.8333,4.8333,0.0,0.0,1.0
1999-10-20,4.7639,4.8056,4.6667,4.75,4.75,35000.0,0.0,1.0
1999-10-21,4.6667,4.8889,4.5833,4.6944,4.6944,176600.0,0.0,1.0
1999-10-22,4.6111,4.9028,4.6111,4.8889,4.8889,103400.0,0.0,1.0
1999-10-25,4.8889,4.8889,4.8333,4.8333,4.8333,81000.0,0.0,1.0
1999-10-26,4.8333,4.8889,4.6944,4.6944,4.6944,48800.0,0.0,1.0
1999-10-27,4.7222,4.7778,4.7222,4.7778,4.7778,18200.0,0.0,1.0
1999-10-28,4.75,4.75,4.6944,4.6944,4.6944,221600.0,0.0,1.0
1999-10-29,4.7222,4.7778,4.6944,4.7778,4.7778,106200.0,0.0,1.0
1999-11-01,4.6944,4.8333,4.6944,4.6944,4.6944,1800.0,0.0,1.0
1999-11-02,4.7778,4.7778,4.6667,4.6667,4.6667,18200.0,0.0,1.0
1999-11-03,4.8333,4.8333,4.7639,4.7639,4.7639,19200.0,0.0,1.0
1999-11-04,4.7639,4.7778,4.6944,4.7639,4.7639,16200.0,0.0,1.0
1999-11-05,4.8056,4.8056,4.75,4.75,4.75,64200.0,0.0,1.0
1999-11-08,4.7361,4.7778,4.6389,4.6944,4.6944,112800.0,0.0,1.0
1999-11-09,4.6667,4.7083,4.5,4.6389,4.6389,241200.0,0.0,1.0
1999-11-10,4.6389,4.6389,4.5833,4.6389,4.6389,99800.0,0.0,1.0
1999-11-11,4.625,4.6389,4.6111,4.6111,4.6111,73800.0,0.0,1.0
1999-11-12,4.6389,4.6389,4.5,4.5,4.5,164000.0,0.0,1.0
1999-11-15,4.5556,4.6111,4.5278,4.5833,4.5833,31800.0,0.0,1.0
1999-11-16,4.4444,4.75,4.4444,4.6111,4.6111,41400.0,0.0,1.0
1999-11-17,4.5833,4.6528,3.7639,4.5278,4.5278,242400.0,0.0,1.0
1999-11-18,4.4444,4.7222,4.4444,4.5556,4.5556,138000.0,0.0,1.0
1999-11-19,4.5556,4.6389,4.5,4.6111,4.6111,72200.0,0.0,1.0
1999-11-22,4.6111,4.6389,4.6111,4.6389,4.6389,54000.0,0.0,1.0
1999-11-23,4.5417,4.6944,4.5,4.6944,4.6944,98000.0,0.0,1.0
1999-11-24,4.6944,4.6944,4.5,4.6111,4.6111,261000.0,0.0,1.0
1999-11-26,4.5139,4.6667,4.5139,4.5278,4.5278,48000.0,0.0,1.0
1999-11-29,4.5694,4.6806,4.5694,4.625,4.625,46800.0,0.0,1.0
1999-11-30,4.6389,4.6389,4.5833,4.6111,4.6111,201000.0,0.0,1.0
1999-12-01,4.625,4.8056,4.6111,4.7778,4.7778,104600.0,0.0,1.0
1999-12-02,4.7778,4.8056,4.6944,4.7222,4.7222,199800.0,0.0,1.0
1999-12-03,4.6944,4.9722,4.6389,4.7778,4.7778,120800.0,0.0,1.0
1999-12-06,4.8194,4.8194,4.6806,4.7778,4.7778,39000.0,0.0,1.0
1999-12-07,4.75,4.7917,4.75,4.7917,4.7917,38000.0,0.0,1.0
1999-12-08,4.7917,4.7917,4.7639,4.7639,4.7639,159600.0,0.0,1.0
1999-12-09,4.7222,4.75,4.7222,4.75,4.75,8000.0,0.0,1.0
1999-12-10,4.7639,4.7639,4.7222,4.7222,4.7222,13400.0,0.0,1.0
1999-12-13,4.8611,4.8611,4.7222,4.7917,4.7917,111000.0,0.0,1.0
1999-12-14,4.7778,4.7778,4.5833,4.6667,4.6667,123200.0,0.0,1.0
1999-12-15,4.6389,4.75,4.5833,4.5833,4.5833,100800.0,0.0,1.0
1999-12-16,4.75,4.75,4.5833,4.6667,4.6667,15200.0,0.0,1.0
1999-12-17,4.7083,4.7083,4.6667,4.6667,4.6667,72000.0,0.0,1.0
1999-12-20,4.75,4.75,4.6389,4.6667,4.6667,61400.0,0.0,1.0
1999-12-21,4.6667,4.7222,4.6528,4.6667,4.6667,62400.0,0.0,1.0
1999-12-22,4.6806,4.6944,4.5,4.5833,4.5833,176600.0,0.0,1.0
1999-12-23,4.5833,4.5972,4.5,4.5972,4.5972,57600.0,0.0,1.0
1999-12-27,4.6944,4.8333,4.6389,4.7222,4.7222,61200.0,0.0,1.0
1999-12-28,4.8889,5.3333,4.8056,5.0278,5.0278,101000.0,0.0,1.0
1999-12-29,5.0556,5.1111,4.9722,4.9722,4.9722,27200.0,0.0,1.0
1999-12-30,5.0972,5.0972,5.0556,5.0556,5.0556,14400.0,0.0,1.0
1999-12-31,5.1111,5.3333,5.0,5.2222,5.2222,57800.0,0.0,1.0
2000-01-03,5.2222,5.4444,5.1806,5.1944,5.1944,104400.0,0.0,1.0
2000-01-04,5.2361,5.4167,5.2361,5.4167,5.4167,42600.0,0.0,1.0
2000-01-05,5.2361,5.4167,5.2361,5.3333,5.3333,37200.0,0.0,1.0
2000-01-06,5.4167,5.4167,5.3333,5.375,5.375,23600.0,0.0,1.0
2000-01-07,5.3958,5.5,5.1667,5.4722,5.4722,80400.0,0.0,1.0
2000-01-10,5.3611,5.5139,5.2778,5.4722,5.4722,38000.0,0.0,1.0
2000-01-11,5.3333,5.5278,5.1389,5.3333,5.3333,43400.0,0.0,1.0
