date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-05-16,25.15,25.22,25.11,25.18,24.7117,1229200.0,0.0,1.0
2017-05-17,25.15,25.15,24.45,24.46,24.0051,43300.0,0.0,1.0
2017-05-18,24.51,24.55,24.475,24.51,24.0541,13400.0,0.0,1.0
2017-05-19,24.65,24.664,24.6,24.664,24.2053,1249700.0,0.0,1.0
2017-05-22,24.77,24.78,24.755,24.78,24.3191,10500.0,0.0,1.0
2017-05-23,24.77,24.907,24.77,24.9,24.4369,11100.0,0.0,1.0
2017-05-24,24.96,24.97,24.87,24.87,24.4074,11000.0,0.0,1.0
2017-05-25,25.0,25.0,24.78,24.89,24.4271,10300.0,0.0,1.0
2017-05-26,24.75,24.869,24.75,24.86,24.3976,11300.0,0.0,1.0
2017-05-30,24.8,24.8,24.7,24.707,24.2475,17700.0,0.0,1.0
2017-05-31,25.6,25.6,24.54,24.68,24.221,13200.0,0.0,1.0
2017-06-01,24.84,25.1,24.83,25.083,24.6165,57600.0,0.0,1.0
2017-06-02,25.26,25.534,25.23,25.36,24.8883,21700.0,0.0,1.0
2017-06-05,26.21,26.21,25.14,25.14,24.6724,17400.0,0.0,1.0
2017-06-06,24.99,25.102,24.95,25.02,24.5546,35100.0,0.0,1.0
2017-06-07,25.015,25.08,24.96,25.02,24.5546,16100.0,0.0,1.0
2017-06-08,25.072,25.566,25.072,25.488,25.0139,83400.0,0.0,1.0
2017-06-09,25.61,25.83,25.61,25.69,25.2122,33400.0,0.0,1.0
2017-06-12,25.8,25.95,25.627,25.63,25.1533,39900.0,0.0,1.0
2017-06-13,25.75,25.98,25.75,25.79,25.3103,24700.0,0.0,1.0
2017-06-14,26.02,26.02,25.56,25.62,25.1435,22900.0,0.0,1.0
2017-06-15,25.62,25.71,25.43,25.48,25.0061,14100.0,0.0,1.0
2017-06-16,25.33,25.41,25.22,25.32,24.8491,49300.0,0.0,1.0
2017-06-19,25.399,25.49,25.399,25.49,25.0159,13300.0,0.0,1.0
2017-06-20,25.33,25.37,25.2,25.235,24.7657,1282400.0,0.0,1.0
2017-06-21,25.18,25.31,24.9,25.0,24.535,45500.0,0.0,1.0
2017-06-22,24.992,25.21,24.72,25.01,24.5448,36400.0,0.0,1.0
2017-06-23,25.03,25.23,25.01,25.21,24.7411,48500.0,0.0,1.0
2017-06-26,25.31,25.4,25.15,25.38,24.908,15400.0,0.0,1.0
2017-06-27,25.47,25.5,25.17,25.17,24.7019,36700.0,0.0,1.0
2017-06-28,25.62,25.62,25.34,25.596,25.1199,48600.0,0.0,1.0
2017-06-29,25.83,25.83,25.198,25.474,25.0002,21500.0,0.0,1.0
