date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,16.9375,17.25,16.9375,17.1875,15.2912,98900.0,0.0,1.0
1999-08-10,17.0625,17.125,16.875,16.9375,15.0687,121500.0,0.0,1.0
1999-08-11,16.9375,17.0,16.75,16.875,15.0131,121800.0,0.0,1.0
1999-08-12,16.875,17.5625,16.875,17.5,15.5692,134800.0,0.0,1.0
1999-08-13,17.75,18.25,17.75,17.9375,15.9584,151600.0,0.0,1.0
1999-08-16,18.125,18.25,17.625,17.625,15.6804,22300.0,0.0,1.0
1999-08-17,17.375,17.75,17.25,17.6875,15.736,60500.0,0.0,1.0
1999-08-18,17.5625,18.0,17.5625,17.875,15.9028,36200.0,0.0,1.0
1999-08-19,17.875,17.875,17.5,17.5,15.5692,13900.0,0.0,1.0
1999-08-20,17.5,17.5,17.25,17.4375,15.5136,12600.0,0.0,1.0
1999-08-23,17.3125,17.8125,17.3125,17.6875,15.736,38000.0,0.0,1.0
1999-08-24,17.75,17.875,17.0,17.3125,15.4024,56200.0,0.0,1.0
1999-08-25,17.25,17.625,17.0625,17.3125,15.4024,99200.0,0.0,1.0
1999-08-26,17.4375,17.5,17.25,17.3125,15.4024,44200.0,0.0,1.0
1999-08-27,17.375,17.375,17.25,17.25,15.3468,7400.0,0.0,1.0
1999-08-30,17.3125,17.6875,17.25,17.5,15.5692,86400.0,0.0,1.0
1999-08-31,17.5,17.5625,16.75,16.75,14.9019,59500.0,0.0,1.0
1999-09-01,16.75,17.5,16.75,17.5,15.5692,35700.0,0.0,1.0
1999-09-02,17.375,17.5,17.0,17.5,15.5692,32500.0,0.0,1.0
1999-09-03,17.625,17.625,17.0625,17.375,15.458,23500.0,0.0,1.0
1999-09-07,17.5,17.75,17.0,17.0625,15.1799,20800.0,0.0,1.0
1999-09-08,17.0,17.1875,16.75,16.75,14.9019,34800.0,0.0,1.0
1999-09-09,16.875,17.1875,16.75,17.1875,15.2912,43400.0,0.0,1.0
1999-09-10,17.25,17.3125,16.6875,16.8125,14.9575,58500.0,0.0,1.0
1999-09-13,15.5,15.875,14.75,15.1875,13.5118,598800.0,0.0,1.0
1999-09-14,14.75,15.4375,14.75,15.0,13.345,283800.0,0.0,1.0
1999-09-15,15.1875,15.625,15.0,15.625,13.901,62100.0,0.0,1.0
1999-09-16,15.8125,15.8125,14.8125,14.9375,13.2894,134600.0,0.0,1.0
1999-09-17,14.8125,15.1875,14.625,14.75,13.1226,60800.0,0.0,1.0
1999-09-20,14.6875,14.6875,13.125,14.0,12.4553,135200.0,0.0,1.0
1999-09-21,14.0,14.25,14.0,14.0625,12.5109,53400.0,0.0,1.0
1999-09-22,14.4375,14.4375,14.0,14.1875,12.6221,21600.0,0.0,1.0
1999-09-23,14.0625,14.1875,14.0,14.0,12.4553,76800.0,0.0,1.0
1999-09-24,14.125,14.1875,13.5625,13.8125,12.2885,45800.0,0.0,1.0
1999-09-27,14.1875,14.75,14.1875,14.5625,12.9558,82300.0,0.0,1.0
1999-09-28,14.6875,14.875,14.5,14.625,13.0114,59000.0,0.0,1.0
1999-09-29,14.5625,15.3125,14.5625,14.8125,13.1782,126400.0,0.0,1.0
1999-09-30,14.8125,15.0,14.75,14.75,13.1226,48000.0,0.0,1.0
1999-10-01,15.0,15.125,14.75,14.75,13.1226,43900.0,0.0,1.0
1999-10-04,14.75,15.8125,14.75,15.0625,13.4006,71800.0,0.0,1.0
1999-10-05,15.0625,15.25,15.0,15.0625,13.4006,41500.0,0.0,1.0
1999-10-06,15.1875,15.375,15.0625,15.375,13.6786,22000.0,0.0,1.0
1999-10-07,15.375,15.375,14.6875,14.875,13.2338,29300.0,0.0,1.0
1999-10-08,14.875,15.25,14.875,15.0,13.345,45400.0,0.0,1.0
1999-10-11,15.0,15.375,15.0,15.3125,13.623,12100.0,0.0,1.0
1999-10-12,15.5,15.5,14.875,14.875,13.2338,99200.0,0.0,1.0
1999-10-13,14.875,15.125,14.0,14.25,12.6778,132400.0,0.0,1.0
1999-10-14,14.0,14.0625,13.5625,13.625,12.1217,95800.0,0.0,1.0
1999-10-15,13.75,14.25,13.5,14.0,12.4553,43300.0,0.0,1.0
1999-10-18,14.0,14.125,13.75,13.875,12.3441,46500.0,0.0,1.0
1999-10-19,13.875,14.0,13.75,13.8125,12.2885,22100.0,0.0,1.0
