date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,10.3,11.5,10.3,11.4,11.1079,33100.0,0.0,1.0
1999-08-10,11.35,11.9,11.35,11.55,11.2541,78100.0,0.0,1.0
1999-08-11,11.6,12.0,11.6,11.9,11.5951,32100.0,0.0,1.0
1999-08-12,11.95,12.3,11.85,12.2,11.8874,48300.0,0.0,1.0
1999-08-13,12.4,12.5,12.15,12.15,11.8387,57300.0,0.0,1.0
1999-08-16,12.15,12.3,11.75,11.8,11.4977,31600.0,0.0,1.0
1999-08-17,12.1,12.1,11.2,11.2,10.913,32700.0,0.0,1.0
1999-08-18,10.9,11.05,10.8,10.9,10.6207,34600.0,0.0,1.0
1999-08-19,10.95,11.2,10.6,11.2,10.913,28600.0,0.0,1.0
1999-08-20,11.1,11.1,10.4,10.5,10.231,59800.0,0.0,1.0
1999-08-23,10.65,10.8,10.4,10.4,10.1335,31600.0,0.0,1.0
1999-08-24,10.3,10.6,10.3,10.4,10.1335,34600.0,0.0,1.0
1999-08-25,10.5,10.6,10.4,10.6,10.3284,19200.0,0.0,1.0
1999-08-26,10.6,10.6,10.4,10.5,10.231,18600.0,0.0,1.0
1999-08-27,10.6,10.6,10.3,10.3,10.0361,7100.0,0.0,1.0
1999-08-30,10.2,10.4,10.2,10.2,9.9387,21200.0,0.0,1.0
1999-08-31,10.2,10.2,9.8,9.85,9.5976,15600.0,0.0,1.0
1999-09-01,9.875,10.7,9.85,10.5,10.231,25300.0,0.0,1.0
1999-09-02,10.3,10.8,9.5,10.8,10.5233,65500.0,0.0,1.0
1999-09-03,11.05,11.35,11.05,11.15,10.8643,73300.0,0.0,1.0
1999-09-07,11.15,11.15,10.9,10.95,10.6694,20000.0,0.0,1.0
1999-09-08,10.95,10.95,10.45,10.65,10.3771,43700.0,0.0,1.0
1999-09-09,10.5,10.55,9.6,9.8,9.5489,208200.0,0.0,1.0
1999-09-10,10.0,10.2,9.8,10.0,9.7438,52000.0,0.0,1.0
1999-09-13,10.0,10.0,9.8,10.0,9.7438,6700.0,0.0,1.0
1999-09-14,9.95,9.95,9.65,9.8,9.5489,20000.0,0.0,1.0
1999-09-15,9.65,9.7,9.55,9.55,9.3053,47100.0,0.0,1.0
1999-09-16,9.6,9.6,9.4,9.6,9.354,17500.0,0.0,1.0
1999-09-17,9.6,9.6,9.1,9.1,8.8668,47700.0,0.0,1.0
1999-09-20,9.2,9.3,9.05,9.05,8.8181,22500.0,0.0,1.0
1999-09-21,9.05,9.1,8.6,8.8,8.5745,45600.0,0.0,1.0
1999-09-22,8.7,8.8,8.4,8.8,8.5745,52700.0,0.0,1.0
1999-09-23,8.9,9.4,8.6,9.1,8.8668,26300.0,0.0,1.0
1999-09-24,8.9,9.2,8.7,8.9,8.672,20000.0,0.0,1.0
1999-09-27,9.2,9.2,8.65,8.7,8.4771,16000.0,0.0,1.0
1999-09-28,8.65,8.9,8.2,8.45,8.2335,23200.0,0.0,1.0
1999-09-29,8.3,8.6,8.3,8.3,8.0873,6500.0,0.0,1.0
1999-09-30,8.3,8.6,8.0,8.1,7.8925,44100.0,0.0,1.0
1999-10-01,8.0,8.3,8.0,8.2,7.9899,31500.0,0.0,1.0
1999-10-04,8.1,8.6,8.1,8.6,8.3796,23200.0,0.0,1.0
1999-10-05,8.6,8.8,8.6,8.7,8.4771,15600.0,0.0,1.0
1999-10-06,8.7,8.8,8.6,8.7,8.4771,9000.0,0.0,1.0
1999-10-07,8.0,8.2,7.4,7.55,7.3566,247100.0,0.0,1.0
1999-10-08,7.55,7.55,6.2,6.7,6.5283,321000.0,0.0,1.0
1999-10-11,6.5,7.7,6.15,7.5,7.3078,51500.0,0.0,1.0
1999-10-12,7.55,7.9,7.3,7.5,7.3078,41700.0,0.0,1.0
1999-10-13,7.6,7.9,7.4,7.7,7.5027,22100.0,0.0,1.0
1999-10-14,7.6,7.7,6.5,7.1,6.9181,78800.0,0.0,1.0
1999-10-15,7.1,7.2,6.4,6.7,6.5283,44100.0,0.0,1.0
1999-10-18,6.7,7.2,6.6,6.7,6.5283,20500.0,0.0,1.0
1999-10-19,6.75,7.0,6.6,7.0,6.8206,10700.0,0.0,1.0
1999-10-20,7.1,7.3,7.0,7.2,7.0155,8000.0,0.0,1.0
1999-10-21,7.0,7.3,6.7,7.1,6.9181,26600.0,0.0,1.0
1999-10-22,6.95,7.2,6.825,7.2,7.0155,13800.0,0.0,1.0
1999-10-25,7.05,7.05,6.55,6.7,6.5283,40600.0,0.0,1.0
1999-10-26,6.65,7.05,6.65,7.05,6.8694,24000.0,0.0,1.0
1999-10-27,7.0,7.4,6.9,7.3,7.113,29700.0,0.0,1.0
1999-10-28,7.3,7.6,7.3,7.5,7.3078,49000.0,0.0,1.0
1999-10-29,7.5,8.0,7.5,7.8,7.6001,88700.0,0.0,1.0
1999-11-01,7.9,8.0,7.8,7.9,7.6976,18500.0,0.0,1.0
