date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,19.6667,19.6667,19.1667,19.25,10.152,4500.0,0.0,1.0
1999-08-10,19.3333,19.3333,19.1667,19.1667,10.108,1500.0,0.0,1.0
1999-08-11,19.1667,19.1667,18.6667,18.8333,9.9322,9300.0,0.0,1.0
1999-08-12,20.0,20.0,18.6667,19.3333,10.1959,4000.0,0.0,1.0
1999-08-13,18.6667,19.3333,18.6667,19.3333,10.1959,3900.0,0.0,1.0
1999-08-16,18.6667,19.6667,18.6667,19.6667,10.3717,4300.0,0.0,1.0
1999-08-17,20.0,20.1667,19.4167,20.1667,10.6354,9900.0,0.0,1.0
1999-08-18,19.5,20.6667,19.5,20.3333,10.7233,15100.0,0.0,1.0
1999-08-19,21.3333,24.0,21.3333,22.5,11.866,93600.0,0.0,1.0
1999-08-20,23.0,23.0,22.3333,22.75,11.9978,24100.0,0.0,1.0
1999-08-23,22.6667,22.9167,22.3333,22.3333,11.7781,15700.0,0.0,1.0
1999-08-24,22.3333,22.8333,22.3333,22.8333,12.0418,16800.0,0.0,1.0
1999-08-25,22.8333,24.0,22.3333,24.0,12.657,20100.0,0.0,1.0
1999-08-26,24.0833,24.6667,22.3333,23.1667,12.2175,18400.0,0.0,1.0
1999-08-27,23.1667,23.1667,22.5833,22.5833,11.9099,3100.0,0.0,1.0
1999-08-30,22.8333,22.8333,22.1667,22.3333,11.8815,9300.0,0.1967,1.0
1999-08-31,22.0,22.4167,18.9583,19.6667,10.4628,65800.0,0.0,1.0
1999-09-01,19.3333,20.6667,19.0,20.3333,10.8175,28000.0,0.0,1.0
1999-09-02,20.5,20.6667,20.0,20.3333,10.8175,18600.0,0.0,1.0
1999-09-03,20.6667,20.75,20.0,20.3333,10.8175,32700.0,0.0,1.0
1999-09-07,20.3333,20.6667,20.3333,20.6667,10.9949,14800.0,0.0,1.0
1999-09-08,20.0,20.6667,20.0,20.3333,10.8175,19900.0,0.0,1.0
1999-09-09,20.0833,20.6667,20.0833,20.2083,10.751,6700.0,0.0,1.0
1999-09-10,20.1667,20.6667,20.1667,20.6667,10.9949,23800.0,0.0,1.0
1999-09-13,20.3333,21.0,20.1667,20.1667,10.7288,6100.0,0.0,1.0
1999-09-14,20.5,20.5,20.375,20.375,10.8397,3900.0,0.0,1.0
1999-09-15,20.3333,20.6667,20.1667,20.3333,10.8175,14500.0,0.0,1.0
1999-09-16,20.75,21.0,20.6667,20.8333,11.0835,19600.0,0.0,1.0
1999-09-17,20.6667,20.8333,20.6667,20.6667,10.9949,4800.0,0.0,1.0
1999-09-20,20.6667,21.0833,20.6667,21.0833,11.2165,8800.0,0.0,1.0
1999-09-21,21.0833,21.0833,20.3333,20.6667,10.9949,12700.0,0.0,1.0
1999-09-22,20.0833,20.0833,20.0,20.0,10.6402,4500.0,0.0,1.0
1999-09-23,20.5,20.5,20.0,20.0,10.6402,5100.0,0.0,1.0
1999-09-24,20.0,20.0,20.0,20.0,10.6402,700.0,0.0,1.0
1999-09-27,20.0,20.3333,19.5,19.6667,10.4628,17500.0,0.0,1.0
1999-09-28,19.75,19.75,19.6667,19.6667,10.4628,1500.0,0.0,1.0
1999-09-29,19.6667,19.75,19.6667,19.75,10.5072,2400.0,0.0,1.0
1999-09-30,19.6667,19.75,19.6667,19.6667,10.4628,2400.0,0.0,1.0
1999-10-01,19.6667,19.6667,19.5833,19.5833,10.4185,1500.0,0.0,1.0
1999-10-04,19.4167,19.5833,19.0,19.25,10.2412,7200.0,0.0,1.0
1999-10-05,19.25,19.5,19.0833,19.5,10.3742,7500.0,0.0,1.0
1999-10-06,19.5,19.5,19.3333,19.3333,10.2855,6300.0,0.0,1.0
1999-10-07,19.5,19.5,19.3333,19.3333,10.2855,13200.0,0.0,1.0
1999-10-08,19.5,19.5,18.75,18.75,9.9752,7600.0,0.0,1.0
1999-10-11,18.875,19.4167,18.75,18.8333,10.0195,9100.0,0.0,1.0
1999-10-12,19.3333,19.6667,18.6667,18.7083,9.953,9400.0,0.0,1.0
1999-10-13,19.0,19.5,19.0,19.3333,10.2855,3900.0,0.0,1.0
1999-10-14,19.5,20.6667,19.5,20.4167,10.8619,9600.0,0.0,1.0
1999-10-15,20.4167,20.4167,19.8333,19.8333,10.5515,3000.0,0.0,1.0
1999-10-18,20.0417,20.5,18.6667,19.0,10.1082,19200.0,0.0,1.0
1999-10-19,19.0833,20.0,18.9167,18.9167,10.0638,4200.0,0.0,1.0
1999-10-20,18.8333,19.4167,18.8333,19.4167,10.3298,4300.0,0.0,1.0
1999-10-21,19.4167,19.4167,18.9167,19.0,10.1082,4200.0,0.0,1.0
