date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-02-06,49.841,50.0,44.87,46.19,46.19,417700.0,0.0,1.0
2019-02-07,45.75,46.14,41.5,43.05,43.05,1754200.0,0.0,1.0
2019-02-08,42.96,43.83,39.85,41.01,41.01,20387300.0,0.0,1.0
2019-02-11,40.16,41.0,36.78,37.56,37.56,5954200.0,0.0,1.0
2019-02-12,37.61,38.02,36.12,36.82,36.82,3577200.0,0.0,1.0
2019-02-13,36.41,38.21,36.15,37.74,37.74,4082800.0,0.0,1.0
2019-02-14,37.15,37.59,36.0,36.56,36.56,4100100.0,0.0,1.0
2019-02-15,36.6,36.95,35.76,36.55,36.55,2833700.0,0.0,1.0
2019-02-19,36.14,39.52,36.09,39.35,39.35,3864700.0,0.0,1.0
2019-02-20,39.01,39.12,35.05,35.09,35.09,3173100.0,0.0,1.0
2019-02-21,34.68,35.82,34.255,35.45,35.45,2293100.0,0.0,1.0
2019-02-22,35.42,38.2,35.42,37.19,37.19,8125200.0,0.0,1.0
2019-02-25,37.22,39.65,37.01,39.11,39.11,1785800.0,0.0,1.0
2019-02-26,38.94,39.98,38.1,39.91,39.91,1358000.0,0.0,1.0
2019-02-27,39.16,39.82,37.38,37.47,37.47,1152400.0,0.0,1.0
2019-02-28,37.26,37.32,35.23,35.78,35.78,1852200.0,0.0,1.0
2019-03-01,36.09,36.52,35.67,36.23,36.23,1129000.0,0.0,1.0
2019-03-04,36.19,36.285,34.49,34.54,34.54,1080600.0,0.0,1.0
2019-03-05,34.44,35.45,34.0,35.1,35.1,1058200.0,0.0,1.0
2019-03-06,35.0,35.08,34.14,34.15,34.15,897600.0,0.0,1.0
2019-03-07,34.12,34.18,32.11,32.35,32.35,1429400.0,0.0,1.0
2019-03-08,32.0,33.55,32.0,33.41,33.41,872000.0,0.0,1.0
2019-03-11,33.46,34.07,33.125,34.01,34.01,818600.0,0.0,1.0
2019-03-12,34.07,34.85,33.79,33.97,33.97,672400.0,0.0,1.0
2019-03-13,34.1,35.015,34.0,34.81,34.81,1256500.0,0.0,1.0
2019-03-14,34.94,36.11,34.877,35.89,35.89,1305800.0,0.0,1.0
2019-03-15,35.83,36.077,33.81,34.46,34.46,1917200.0,0.0,1.0
2019-03-18,34.53,35.28,34.07,34.23,34.23,1091500.0,0.0,1.0
2019-03-19,34.23,34.97,34.07,34.77,34.77,605400.0,0.0,1.0
2019-03-20,35.0,35.3,34.38,35.06,35.06,844700.0,0.0,1.0
2019-03-21,34.84,36.92,34.34,36.06,36.06,633800.0,0.0,1.0
2019-03-22,35.71,36.61,34.71,34.78,34.78,720300.0,0.0,1.0
2019-03-25,34.69,34.75,32.67,33.57,33.57,1851600.0,0.0,1.0
2019-03-26,33.93,33.93,33.175,33.51,33.51,530400.0,0.0,1.0
2019-03-27,33.3,33.42,32.01,32.39,32.39,815600.0,0.0,1.0
2019-03-28,32.35,32.65,30.71,31.52,31.52,1744000.0,0.0,1.0
2019-03-29,32.06,32.14,31.33,31.85,31.85,1004500.0,0.0,1.0
2019-04-01,32.24,32.725,31.78,32.35,32.35,1054300.0,0.0,1.0
2019-04-02,32.4,33.23,32.12,32.45,32.45,983000.0,0.0,1.0
2019-04-03,32.5,32.56,31.725,32.23,32.23,702300.0,0.0,1.0
2019-04-04,32.26,32.6,32.03,32.23,32.23,413000.0,0.0,1.0
2019-04-05,32.46,33.46,32.444,33.15,33.15,1820200.0,0.0,1.0
2019-04-08,33.18,33.18,32.511,32.66,32.66,394900.0,0.0,1.0
2019-04-09,32.61,33.7,32.48,32.55,32.55,791000.0,0.0,1.0
2019-04-10,32.53,33.05,31.83,32.0,32.0,730800.0,0.0,1.0
2019-04-11,32.0,32.55,31.69,32.48,32.48,447900.0,0.0,1.0
2019-04-12,32.69,32.99,32.25,32.65,32.65,812300.0,0.0,1.0
2019-04-15,32.67,33.17,32.5,32.8,32.8,921200.0,0.0,1.0
2019-04-16,32.96,33.1,32.4,32.65,32.65,1114300.0,0.0,1.0
2019-04-17,32.73,33.12,32.24,32.96,32.96,910300.0,0.0,1.0
2019-04-18,32.82,33.61,32.26,32.65,32.65,720300.0,0.0,1.0
2019-04-22,32.53,32.92,32.33,32.49,32.49,287300.0,0.0,1.0
2019-04-23,32.41,33.085,32.41,33.04,33.04,449300.0,0.0,1.0
2019-04-24,32.99,33.395,32.79,32.83,32.83,489600.0,0.0,1.0
2019-04-25,32.82,33.34,32.7,32.99,32.99,550500.0,0.0,1.0
2019-04-26,33.04,33.32,32.76,32.98,32.98,603700.0,0.0,1.0
2019-04-29,32.8,33.0,32.67,32.96,32.96,421800.0,0.0,1.0
2019-04-30,33.04,33.1,32.67,32.87,32.87,1012500.0,0.0,1.0
2019-05-01,32.94,33.1,32.76,32.84,32.84,563100.0,0.0,1.0
2019-05-02,32.68,33.16,32.46,32.98,32.98,745100.0,0.0,1.0
2019-05-03,33.07,33.5,32.94,33.27,33.27,843000.0,0.0,1.0
2019-05-06,32.97,33.31,32.4,33.02,33.02,717500.0,0.0,1.0
2019-05-07,32.79,33.04,31.99,32.17,32.17,1442100.0,0.0,1.0
2019-05-08,31.45,31.75,29.83,30.53,30.53,2590800.0,0.0,1.0
2019-05-09,30.16,30.18,29.2,29.89,29.89,1783800.0,0.0,1.0
2019-05-10,29.69,29.83,28.19,28.37,28.37,2174700.0,0.0,1.0
2019-05-13,28.15,29.07,27.34,27.45,27.45,2396100.0,0.0,1.0
2019-05-14,27.55,29.5,27.025,29.16,29.16,2534200.0,0.0,1.0
2019-05-15,28.24,30.25,27.2,29.28,29.28,3724000.0,0.0,1.0
2019-05-16,29.5,30.58,27.61,28.32,28.32,2347600.0,0.0,1.0
2019-05-17,28.2,29.09,27.42,28.69,28.69,1946700.0,0.0,1.0
2019-05-20,28.01,28.84,27.445,28.12,28.12,1416000.0,0.0,1.0
2019-05-21,28.3,28.72,28.01,28.05,28.05,1022700.0,0.0,1.0
2019-05-22,28.02,28.58,27.22,27.35,27.35,1233700.0,0.0,1.0
2019-05-23,26.85,26.85,25.68,25.83,25.83,1419200.0,0.0,1.0
2019-05-24,25.5,26.48,24.83,26.13,26.13,2276300.0,0.0,1.0
2019-05-28,25.99,26.46,25.41,25.65,25.65,2303600.0,0.0,1.0
2019-05-29,25.56,26.09,25.1,25.99,25.99,3159800.0,0.0,1.0
2019-05-30,26.16,26.17,25.07,25.2,25.2,1294300.0,0.0,1.0
2019-05-31,25.05,25.05,24.32,24.66,24.66,1235800.0,0.0,1.0
2019-06-03,24.76,25.31,24.75,25.25,25.25,1322600.0,0.0,1.0
2019-06-04,25.49,26.09,25.375,26.08,26.08,955200.0,0.0,1.0
2019-06-05,26.17,26.4,25.63,25.81,25.81,686400.0,0.0,1.0
2019-06-06,25.69,25.98,25.305,25.63,25.63,589400.0,0.0,1.0
2019-06-07,25.68,26.22,25.24,25.8,25.8,435700.0,0.0,1.0
2019-06-10,26.02,26.58,25.24,25.51,25.51,2058400.0,0.0,1.0
2019-06-11,25.78,26.12,25.15,25.22,25.22,953900.0,0.0,1.0
2019-06-12,25.03,25.34,24.7,24.97,24.97,1283900.0,0.0,1.0
2019-06-13,24.94,25.37,24.7,25.23,25.23,818300.0,0.0,1.0
2019-06-14,25.27,25.45,24.88,25.01,25.01,682300.0,0.0,1.0
2019-06-17,24.93,25.0,24.31,24.44,24.44,1156200.0,0.0,1.0
2019-06-18,24.88,25.64,24.54,25.47,25.47,979700.0,0.0,1.0
2019-06-19,25.7,25.8,24.75,25.24,25.24,1504000.0,0.0,1.0
2019-06-20,25.47,25.66,24.7,24.74,24.74,1231500.0,0.0,1.0
2019-06-21,24.64,24.695,23.63,23.65,23.65,2295400.0,0.0,1.0
2019-06-24,23.66,23.895,22.997,23.55,23.55,1170300.0,0.0,1.0
2019-06-25,23.46,23.84,23.33,23.49,23.49,1315500.0,0.0,1.0
2019-06-26,23.59,23.715,22.495,22.88,22.88,1512300.0,0.0,1.0
2019-06-27,24.27,24.27,22.94,23.8,23.8,1379500.0,0.0,1.0
2019-06-28,23.79,24.57,23.79,24.46,24.46,3481200.0,0.0,1.0
2019-07-01,24.89,25.56,24.42,24.6,24.6,1184400.0,0.0,1.0
2019-07-02,24.6,24.9,24.29,24.68,24.68,912400.0,0.0,1.0
2019-07-03,24.7,25.28,24.24,24.73,24.73,4596500.0,0.0,1.0
2019-07-05,24.89,25.17,24.65,25.02,25.02,881300.0,0.0,1.0
2019-07-08,24.99,25.05,23.78,24.26,24.26,1121500.0,0.0,1.0
2019-07-09,24.08,24.289,23.64,23.99,23.99,974700.0,0.0,1.0
2019-07-10,24.03,24.47,23.79,24.26,24.26,761300.0,0.0,1.0
2019-07-11,24.37,25.145,24.37,25.02,25.02,1787700.0,0.0,1.0
2019-07-12,25.0,25.43,24.85,25.02,25.02,1738000.0,0.0,1.0
2019-07-15,25.06,25.73,24.67,25.57,25.57,1317200.0,0.0,1.0
2019-07-16,25.5,25.89,25.16,25.33,25.33,1186400.0,0.0,1.0
2019-07-17,25.33,25.74,24.74,24.95,24.95,1292800.0,0.0,1.0
2019-07-18,24.9,25.57,24.75,25.46,25.46,825800.0,0.0,1.0
2019-07-19,25.54,25.54,24.71,24.72,24.72,837400.0,0.0,1.0
2019-07-22,24.79,24.975,23.92,23.99,23.99,722900.0,0.0,1.0
2019-07-23,24.11,24.83,23.69,23.98,23.98,589900.0,0.0,1.0
2019-07-24,23.88,24.16,23.65,24.11,24.11,726500.0,0.0,1.0
2019-07-25,24.01,24.678,23.67,23.72,23.72,601700.0,0.0,1.0
2019-07-26,23.81,24.54,23.18,23.48,23.48,743000.0,0.0,1.0
2019-07-29,23.51,23.605,22.95,23.31,23.31,720500.0,0.0,1.0
2019-07-30,23.16,23.86,22.895,23.73,23.73,961000.0,0.0,1.0
2019-07-31,23.84,24.125,23.046,23.67,23.67,1408500.0,0.0,1.0
2019-08-01,23.7,24.0,23.54,23.89,23.89,1258800.0,0.0,1.0
2019-08-02,23.75,23.83,23.16,23.27,23.27,806200.0,0.0,1.0
2019-08-05,22.89,23.655,22.515,23.32,23.32,953700.0,0.0,1.0
2019-08-06,23.36,24.29,23.225,24.24,24.24,1144300.0,0.0,1.0
2019-08-07,23.92,24.38,23.37,23.41,23.41,1221000.0,0.0,1.0
2019-08-08,23.55,24.17,23.4001,23.98,23.98,824055.0,0.0,1.0
