date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,4.5381,4.7272,4.4976,4.5111,3.361,8376600.0,0.0,1.0
1999-08-10,4.5381,4.5786,4.4436,4.5381,3.3811,6573300.0,0.0,1.0
1999-08-11,4.5651,5.2944,4.5516,5.2269,3.8943,19346500.0,0.0,1.0
1999-08-12,5.2269,5.3485,5.0243,5.1324,3.8238,15213700.0,0.0,1.0
1999-08-13,5.0784,5.2269,4.8352,5.0108,3.7333,4785200.0,0.0,1.0
1999-08-16,4.9973,5.0378,4.9298,4.9973,3.7232,7110100.0,0.0,1.0
1999-08-17,4.9703,5.1594,4.8352,4.9568,3.693,9317900.0,0.0,1.0
1999-08-18,4.9568,5.0243,4.8217,4.9163,3.6628,8062900.0,0.0,1.0
1999-08-19,4.8758,5.308,4.8758,5.1864,3.8641,13807400.0,0.0,1.0
1999-08-20,5.1864,5.2134,5.0513,5.1999,3.8742,3659800.0,0.0,1.0
1999-08-23,5.2809,5.4835,5.1864,5.4295,4.0452,9658000.0,0.0,1.0
1999-08-24,5.4295,5.5106,5.3215,5.4295,4.0452,6565400.0,0.0,1.0
1999-08-25,5.389,5.389,5.0243,5.0648,3.7735,7111000.0,0.0,1.0
1999-08-26,5.1054,5.1189,4.8893,5.0513,3.7635,5127700.0,0.0,1.0
1999-08-27,5.0648,5.1189,4.8893,4.9703,3.7031,2944000.0,0.0,1.0
1999-08-30,4.9568,4.9568,4.7002,4.7812,3.5622,4288700.0,0.0,1.0
1999-08-31,4.7812,5.1594,4.5921,4.9973,3.7232,5203100.0,0.0,1.0
1999-09-01,5.0378,5.1864,4.9298,4.9298,3.6729,3591800.0,0.0,1.0
1999-09-02,4.8758,4.9838,4.7542,4.8758,3.6326,3870800.0,0.0,1.0
1999-09-03,5.1324,5.1864,4.9973,5.0648,3.7735,3973100.0,0.0,1.0
1999-09-07,5.0648,5.2674,4.9838,5.2404,3.9043,4482100.0,0.0,1.0
1999-09-08,5.1864,5.416,5.0648,5.2134,3.8842,10543700.0,0.0,1.0
1999-09-09,5.2404,5.416,5.1459,5.2539,3.9144,5627900.0,0.0,1.0
1999-09-10,5.308,5.416,5.0648,5.1324,3.8238,5315500.0,0.0,1.0
1999-09-13,5.0243,5.0378,4.6597,4.7002,3.5018,6506200.0,0.0,1.0
1999-09-14,4.7407,5.389,4.7002,5.1459,3.8339,16929600.0,0.0,1.0
1999-09-15,5.3755,5.3755,4.7542,4.8487,3.6125,12197500.0,0.0,1.0
1999-09-16,4.9703,5.362,4.8352,5.362,3.9949,21021700.0,0.0,1.0
1999-09-17,5.6456,6.1589,5.6186,6.1589,4.5886,33275700.0,0.0,1.0
1999-09-20,6.1183,6.2534,5.9563,6.0508,4.5081,10740800.0,0.0,1.0
1999-09-21,6.0238,6.0238,5.6456,5.7537,4.2867,7462200.0,0.0,1.0
1999-09-22,5.8347,6.1859,5.7537,6.1589,4.5886,8753800.0,0.0,1.0
1999-09-23,6.1724,6.2399,5.4565,5.6726,4.2263,6597800.0,0.0,1.0
1999-09-24,5.6861,5.7807,5.362,5.6996,4.2465,7754700.0,0.0,1.0
1999-09-27,5.9427,6.1048,5.6996,6.0913,4.5383,10421100.0,0.0,1.0
1999-09-28,6.0508,6.0508,5.5578,5.9427,4.4276,7850900.0,0.0,1.0
1999-09-29,5.8887,5.8887,5.5376,5.5646,4.1458,3195700.0,0.0,1.0
1999-09-30,5.7807,5.7807,4.6462,4.6462,3.4616,19226700.0,0.0,1.0
1999-10-01,5.1324,5.308,4.9028,5.0513,3.7635,22464500.0,0.0,1.0
1999-10-04,5.1729,5.2809,4.9838,5.2809,3.9345,9556200.0,0.0,1.0
1999-10-05,5.7267,6.0103,5.6321,5.9563,4.4377,17120300.0,0.0,1.0
1999-10-06,5.9563,5.9698,5.6726,5.9563,4.4377,8734300.0,0.0,1.0
1999-10-07,5.6186,5.6321,5.2404,5.4295,4.0452,15599200.0,0.0,1.0
1999-10-08,5.1324,5.3755,4.8217,5.1729,3.854,22718100.0,0.0,1.0
1999-10-11,5.5646,5.6051,5.443,5.5376,4.1257,8210500.0,0.0,1.0
1999-10-12,5.5916,5.7537,4.9703,5.1054,3.8037,9649600.0,0.0,1.0
1999-10-13,4.9838,5.2944,4.9298,5.0108,3.7333,9192000.0,0.0,1.0
1999-10-14,5.2269,5.2404,4.9973,5.0513,3.7635,4988400.0,0.0,1.0
1999-10-15,4.9703,5.4025,4.9163,5.2674,3.9245,7428900.0,0.0,1.0
1999-10-18,5.2674,5.4295,4.8352,5.2674,3.9245,11084600.0,0.0,1.0
1999-10-19,5.1999,5.497,4.7272,4.8487,3.6125,26041100.0,0.0,1.0
1999-10-20,4.9973,5.0919,4.7947,4.8893,3.6427,17846300.0,0.0,1.0
1999-10-21,4.7542,4.8622,4.6056,4.8622,3.6226,18701900.0,0.0,1.0
