date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,20.2089,20.2089,20.2089,20.2089,8.2633,0.0,0.0,1.0
1999-08-10,20.2089,20.2089,20.2089,20.2089,8.2633,0.0,0.0,1.0
1999-08-11,20.2089,20.2089,20.2089,20.2089,8.2633,0.0,0.0,1.0
1999-08-12,19.1207,19.1207,19.1207,19.1207,7.8183,400.0,0.0,1.0
1999-08-13,19.1207,19.1207,19.1207,19.1207,7.8183,100.0,0.0,1.0
1999-08-16,19.1207,19.1207,19.1207,19.1207,7.8183,600.0,0.0,1.0
1999-08-17,19.1207,19.1207,19.1207,19.1207,7.8183,600.0,0.0,1.0
1999-08-18,19.1207,19.1207,19.1207,19.1207,7.8183,100.0,0.0,1.0
1999-08-19,19.2762,19.2762,19.2762,19.2762,7.8819,600.0,0.0,1.0
1999-08-20,20.2089,20.3643,20.2089,20.3643,8.3269,300.0,0.0,1.0
1999-08-23,20.2089,20.2089,20.2089,20.2089,8.2633,300.0,0.0,1.0
1999-08-24,20.2089,20.2089,20.2089,20.2089,8.2633,0.0,0.0,1.0
1999-08-25,20.2089,20.2089,20.2089,20.2089,8.2633,0.0,0.0,1.0
1999-08-26,20.2089,20.2089,20.2089,20.2089,8.2633,0.0,0.0,1.0
1999-08-27,19.1207,19.898,19.1207,19.898,8.1362,700.0,0.0,1.0
1999-08-30,19.898,19.898,19.898,19.898,8.1362,0.0,0.0,1.0
1999-08-31,19.898,19.898,19.898,19.898,8.1362,0.0,0.0,1.0
1999-09-01,19.898,19.898,19.898,19.898,8.1362,0.0,0.0,1.0
1999-09-02,19.898,19.898,19.898,19.898,8.1362,0.0,0.0,1.0
1999-09-03,19.898,19.898,19.898,19.898,8.1362,0.0,0.0,1.0
1999-09-07,19.1984,19.1984,19.1984,19.1984,7.8501,2400.0,0.0,1.0
1999-09-08,19.5871,19.5871,19.5871,19.5871,8.009,700.0,0.0,1.0
1999-09-09,19.1207,19.1207,19.1207,19.1207,7.8183,300.0,0.0,1.0
1999-09-10,19.1207,19.1207,19.1207,19.1207,7.8183,0.0,0.0,1.0
1999-09-13,19.1207,19.1207,19.1207,19.1207,7.8183,100.0,0.0,1.0
1999-09-14,19.1207,19.1207,19.1207,19.1207,7.8183,700.0,0.0,1.0
1999-09-15,19.1207,19.1207,19.1207,19.1207,7.8183,0.0,0.0,1.0
1999-09-16,19.1207,19.1207,19.1207,19.1207,7.8183,0.0,0.0,1.0
1999-09-17,19.043,19.2762,18.8875,18.8875,7.723,2500.0,0.0,1.0
1999-09-20,18.8875,18.8875,18.8875,18.8875,7.723,0.0,0.0,1.0
1999-09-21,18.8875,18.8875,18.8875,18.8875,7.723,0.0,0.0,1.0
1999-09-22,18.8098,18.8098,18.8098,18.8098,7.6912,1500.0,0.0,1.0
1999-09-23,18.9653,19.2762,18.9653,19.2762,7.8819,9000.0,0.0,1.0
1999-09-24,19.2762,19.2762,19.2762,19.2762,7.8819,0.0,0.0,1.0
1999-09-27,18.8098,18.8098,18.8098,18.8098,7.6912,600.0,0.0,1.0
1999-09-28,18.8098,18.8098,18.8098,18.8098,7.6912,1500.0,0.0,1.0
1999-09-29,18.8098,18.8098,18.8098,18.8098,7.6912,0.0,0.0,1.0
1999-09-30,18.8098,18.8098,18.8098,18.8098,7.7822,0.0,0.2198,1.0
1999-10-01,18.8098,18.8098,18.8098,18.8098,7.7822,0.0,0.0,1.0
1999-10-04,18.8098,18.8098,18.8098,18.8098,7.7822,0.0,0.0,1.0
1999-10-05,18.8098,18.8098,18.8098,18.8098,7.7822,0.0,0.0,1.0
