date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2012-07-27,12.75,13.07,12.0,13.0,13.0,3205800.0,0.0,1.0
2012-07-30,13.0,13.2,13.0,13.07,13.07,371200.0,0.0,1.0
2012-07-31,13.08,13.32,12.85,13.0,13.0,307200.0,0.0,1.0
2012-08-01,13.1,13.1,12.75,13.01,13.01,69500.0,0.0,1.0
2012-08-02,12.94,13.24,12.33,12.8,12.8,114800.0,0.0,1.0
2012-08-03,12.99,13.06,12.69,13.0,13.0,47900.0,0.0,1.0
2012-08-06,14.85,14.85,12.96,13.01,13.01,90500.0,0.0,1.0
2012-08-07,13.08,13.22,12.76,13.1,13.1,42400.0,0.0,1.0
2012-08-08,13.08,13.88,12.93,12.96,12.96,52600.0,0.0,1.0
2012-08-09,12.94,12.94,12.65,12.7,12.7,24900.0,0.0,1.0
2012-08-10,12.89,12.89,12.4,12.44,12.44,65000.0,0.0,1.0
2012-08-13,12.43,12.49,12.03,12.31,12.31,92900.0,0.0,1.0
2012-08-14,12.28,12.63,12.17,12.3,12.3,50000.0,0.0,1.0
2012-08-15,12.3,12.42,12.05,12.14,12.14,26700.0,0.0,1.0
2012-08-16,12.39,12.39,12.01,12.2,12.2,46000.0,0.0,1.0
2012-08-17,12.03,12.4,11.73,12.16,12.16,140100.0,0.0,1.0
2012-08-20,12.11,12.8,12.0,12.65,12.65,36000.0,0.0,1.0
2012-08-21,12.6,12.99,12.26,12.56,12.56,152600.0,0.0,1.0
2012-08-22,12.55,12.85,12.55,12.79,12.79,61000.0,0.0,1.0
2012-08-23,12.75,12.79,12.62,12.75,12.75,48000.0,0.0,1.0
2012-08-24,12.75,12.8,12.7,12.73,12.73,28400.0,0.0,1.0
2012-08-27,12.8,13.25,12.75,13.0,13.0,212600.0,0.0,1.0
2012-08-28,13.7,13.95,13.02,13.26,13.26,247800.0,0.0,1.0
2012-08-29,13.28,13.47,13.1,13.4,13.4,281000.0,0.0,1.0
2012-08-30,13.37,14.78,13.26,14.68,14.68,74200.0,0.0,1.0
2012-08-31,14.79,14.84,14.34,14.84,14.84,7800.0,0.0,1.0
2012-09-04,14.87,14.9,14.02,14.42,14.42,53900.0,0.0,1.0
2012-09-05,14.5,14.5,13.58,14.33,14.33,15600.0,0.0,1.0
2012-09-06,14.31,14.82,14.15,14.82,14.82,41800.0,0.0,1.0
2012-09-07,14.71,15.0,14.71,14.99,14.99,53100.0,0.0,1.0
2012-09-10,14.86,14.86,13.87,14.29,14.29,50000.0,0.0,1.0
2012-09-11,14.29,15.21,14.29,14.77,14.77,34400.0,0.0,1.0
2012-09-12,14.67,14.76,14.19,14.38,14.38,53700.0,0.0,1.0
2012-09-13,14.4,14.95,14.4,14.75,14.75,21600.0,0.0,1.0
2012-09-14,14.83,14.95,14.24,14.89,14.89,20500.0,0.0,1.0
2012-09-17,14.79,15.46,14.0,14.39,14.39,53300.0,0.0,1.0
2012-09-18,14.52,15.16,14.26,14.92,14.92,34700.0,0.0,1.0
2012-09-19,14.91,15.0,14.69,14.74,14.74,20700.0,0.0,1.0
2012-09-20,14.71,14.87,14.65,14.77,14.77,11600.0,0.0,1.0
2012-09-21,14.78,14.97,14.3,14.42,14.42,42600.0,0.0,1.0
2012-09-24,14.49,14.49,14.0,14.26,14.26,27300.0,0.0,1.0
2012-09-25,14.4,15.14,14.38,15.0,15.0,65100.0,0.0,1.0
2012-09-26,14.93,14.96,14.6,14.84,14.84,25500.0,0.0,1.0
2012-09-27,14.85,15.59,14.32,15.19,15.19,113700.0,0.0,1.0
2012-09-28,15.12,15.57,14.29,14.9,14.9,856400.0,0.0,1.0
2012-10-01,14.9,15.35,14.48,15.09,15.09,37200.0,0.0,1.0
2012-10-02,15.1,15.41,14.51,15.3,15.3,89200.0,0.0,1.0
2012-10-03,15.32,15.75,15.0,15.52,15.52,31500.0,0.0,1.0
2012-10-04,15.74,16.7,15.61,16.39,16.39,88800.0,0.0,1.0
2012-10-05,16.66,16.74,15.87,15.91,15.91,85900.0,0.0,1.0
2012-10-08,16.09,16.09,14.25,15.72,15.72,58400.0,0.0,1.0
2012-10-09,15.99,16.16,15.26,15.53,15.53,66900.0,0.0,1.0
2012-10-10,15.58,15.58,14.76,14.95,14.95,26800.0,0.0,1.0
2012-10-11,15.0,15.09,14.51,14.74,14.74,20500.0,0.0,1.0
2012-10-12,14.92,15.44,14.65,14.7,14.7,77900.0,0.0,1.0
2012-10-15,14.7,15.4,14.7,15.0,15.0,85200.0,0.0,1.0
2012-10-16,15.19,16.7,15.19,16.41,16.41,419700.0,0.0,1.0
2012-10-17,16.69,16.84,15.4,15.58,15.58,172300.0,0.0,1.0
2012-10-18,15.63,16.04,15.23,15.9,15.9,106900.0,0.0,1.0
2012-10-19,15.66,15.76,15.08,15.74,15.74,79400.0,0.0,1.0
2012-10-22,15.85,15.9,15.4,15.75,15.75,100700.0,0.0,1.0
2012-10-23,15.6,15.93,15.3,15.57,15.57,59600.0,0.0,1.0
2012-10-24,15.56,15.88,14.99,15.81,15.81,111900.0,0.0,1.0
2012-10-25,15.94,15.94,14.92,15.23,15.23,86200.0,0.0,1.0
2012-10-26,15.18,15.55,15.18,15.23,15.23,43900.0,0.0,1.0
2012-10-31,15.29,15.29,14.47,14.8,14.8,62900.0,0.0,1.0
2012-11-01,14.74,14.87,14.46,14.68,14.68,99100.0,0.0,1.0
2012-11-02,14.75,14.91,13.83,14.46,14.46,54500.0,0.0,1.0
2012-11-05,14.5,15.47,14.41,15.3,15.3,169700.0,0.0,1.0
2012-11-06,15.19,15.46,15.0,15.21,15.21,126300.0,0.0,1.0
2012-11-07,15.1,15.4,14.68,15.0,15.0,32100.0,0.0,1.0
2012-11-08,14.86,15.26,14.64,14.9,14.9,25100.0,0.0,1.0
2012-11-09,14.9,15.08,14.04,14.1,14.1,34000.0,0.0,1.0
2012-11-12,14.15,14.26,13.31,13.51,13.51,88200.0,0.0,1.0
2012-11-13,13.4,13.7,12.94,13.16,13.16,73900.0,0.0,1.0
2012-11-14,13.2,13.87,13.19,13.28,13.28,104100.0,0.0,1.0
2012-11-15,13.32,13.32,12.8,12.96,12.96,48200.0,0.0,1.0
2012-11-16,12.91,14.74,12.67,14.44,14.44,166300.0,0.0,1.0
2012-11-19,14.58,15.48,13.85,14.16,14.16,167700.0,0.0,1.0
2012-11-20,14.05,14.18,13.17,13.65,13.65,75700.0,0.0,1.0
2012-11-21,13.67,14.09,13.57,13.72,13.72,21800.0,0.0,1.0
2012-11-23,13.71,14.18,13.15,13.97,13.97,17100.0,0.0,1.0
2012-11-26,13.99,14.19,13.82,13.91,13.91,25900.0,0.0,1.0
2012-11-27,13.98,14.94,13.92,14.65,14.65,66500.0,0.0,1.0
2012-11-28,14.5,15.19,14.02,14.29,14.29,60900.0,0.0,1.0
2012-11-29,14.39,14.79,14.17,14.41,14.41,33300.0,0.0,1.0
2012-11-30,14.53,15.41,13.93,14.81,14.81,79900.0,0.0,1.0
2012-12-03,14.87,15.4,14.52,14.64,14.64,48600.0,0.0,1.0
2012-12-04,14.4,15.15,14.38,14.56,14.56,45800.0,0.0,1.0
2012-12-05,14.61,14.94,14.32,14.71,14.71,25600.0,0.0,1.0
2012-12-06,14.57,14.7,14.33,14.59,14.59,8300.0,0.0,1.0
2012-12-07,14.61,14.9,14.4,14.59,14.59,12000.0,0.0,1.0
2012-12-10,14.68,14.68,14.01,14.52,14.52,9900.0,0.0,1.0
2012-12-11,14.51,14.85,14.36,14.85,14.85,15800.0,0.0,1.0
2012-12-12,14.85,14.85,14.16,14.25,14.25,35200.0,0.0,1.0
2012-12-13,14.1,14.15,13.95,14.13,14.13,17100.0,0.0,1.0
2012-12-14,14.13,14.31,14.07,14.2,14.2,6100.0,0.0,1.0
2012-12-17,14.29,14.81,14.2,14.72,14.72,18200.0,0.0,1.0
2012-12-18,14.7,14.94,14.54,14.93,14.93,16600.0,0.0,1.0
2012-12-19,14.92,14.92,14.49,14.55,14.55,18300.0,0.0,1.0
2012-12-20,14.83,15.37,14.33,15.25,15.25,51900.0,0.0,1.0
2012-12-21,15.19,15.87,14.81,15.86,15.86,68600.0,0.0,1.0
2012-12-24,15.83,15.83,14.72,15.33,15.33,10400.0,0.0,1.0
2012-12-26,14.74,15.47,14.74,15.47,15.47,30000.0,0.0,1.0
2012-12-27,15.44,15.75,15.13,15.45,15.45,8100.0,0.0,1.0
2012-12-28,15.39,15.88,14.0,15.5,15.5,16800.0,0.0,1.0
2012-12-31,15.52,15.6,14.77,15.59,15.59,10300.0,0.0,1.0
2013-01-02,15.87,16.42,15.32,16.3,16.3,43800.0,0.0,1.0
2013-01-03,15.51,16.5,15.5,16.35,16.35,19100.0,0.0,1.0
2013-01-04,16.45,16.45,15.94,16.2,16.2,42200.0,0.0,1.0
2013-01-07,16.1,16.36,15.52,15.65,15.65,23100.0,0.0,1.0
2013-01-08,15.88,15.99,15.69,15.76,15.76,14100.0,0.0,1.0
2013-01-09,15.7,15.7,14.84,14.98,14.98,59600.0,0.0,1.0
2013-01-10,14.96,15.07,14.53,14.64,14.64,67100.0,0.0,1.0
2013-01-11,14.68,14.68,14.22,14.34,14.34,9300.0,0.0,1.0
2013-01-14,14.44,14.56,13.9,14.11,14.11,73500.0,0.0,1.0
2013-01-15,14.08,14.49,13.75,14.13,14.13,57400.0,0.0,1.0
2013-01-16,14.18,14.96,14.11,14.55,14.55,224200.0,0.0,1.0
2013-01-17,14.38,14.38,13.75,14.25,14.25,95900.0,0.0,1.0
2013-01-18,14.18,14.72,14.17,14.63,14.63,50600.0,0.0,1.0
2013-01-22,14.55,14.83,14.4,14.65,14.65,35500.0,0.0,1.0
2013-01-23,14.13,15.17,14.13,15.07,15.07,45600.0,0.0,1.0
2013-01-24,15.05,15.97,15.02,15.83,15.83,17400.0,0.0,1.0
2013-01-25,15.85,16.26,15.78,15.97,15.97,16800.0,0.0,1.0
2013-01-28,16.05,16.05,15.26,15.79,15.79,68100.0,0.0,1.0
2013-01-29,15.68,15.7,15.25,15.49,15.49,19800.0,0.0,1.0
2013-01-30,15.5,15.5,15.02,15.31,15.31,22000.0,0.0,1.0
2013-01-31,15.25,15.84,14.58,15.81,15.81,75800.0,0.0,1.0
2013-02-01,15.78,15.78,15.5,15.61,15.61,52300.0,0.0,1.0
2013-02-04,15.57,15.75,15.28,15.29,15.29,38200.0,0.0,1.0
2013-02-05,15.28,15.66,14.92,15.4,15.4,30200.0,0.0,1.0
2013-02-06,15.35,15.81,15.25,15.76,15.76,24700.0,0.0,1.0
2013-02-07,15.71,16.02,15.33,15.89,15.89,6500.0,0.0,1.0
2013-02-08,15.94,16.08,15.7,15.75,15.75,6900.0,0.0,1.0
2013-02-11,15.79,16.05,15.63,15.67,15.67,6500.0,0.0,1.0
2013-02-12,15.67,16.03,15.67,15.97,15.97,4900.0,0.0,1.0
2013-02-13,15.91,17.48,15.9,17.12,17.12,95900.0,0.0,1.0
2013-02-14,17.09,17.33,16.91,16.99,16.99,10700.0,0.0,1.0
2013-02-15,17.04,17.05,16.6,16.6,16.6,15600.0,0.0,1.0
2013-02-19,16.68,17.56,16.6,17.55,17.55,23900.0,0.0,1.0
2013-02-20,17.51,18.39,17.0,17.63,17.63,75200.0,0.0,1.0
2013-02-21,17.48,19.0,16.45,18.28,18.28,72400.0,0.0,1.0
2013-02-22,18.37,18.37,17.66,17.88,17.88,10000.0,0.0,1.0
2013-02-25,17.83,18.84,17.78,18.13,18.13,31100.0,0.0,1.0
2013-02-26,18.2,18.79,17.74,18.0,18.0,138700.0,0.0,1.0
2013-02-27,18.0,18.34,17.55,17.86,17.86,21700.0,0.0,1.0
