date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2003-07-03,7.3575,7.5375,7.3406,7.5375,4.5725,2400.0,0.1001,1.0
2003-07-07,7.4756,7.5994,7.335,7.3688,4.4701,12400.0,0.1001,1.0
2003-07-08,7.4419,7.4419,7.2281,7.2337,4.3882,11300.0,0.1001,1.0
2003-07-09,7.3631,7.4081,7.2281,7.2956,4.4258,12500.0,0.1001,1.0
2003-07-10,7.335,7.4306,6.9919,6.9919,4.2415,10400.0,0.1001,1.0
2003-07-11,7.1438,7.3688,7.0425,7.0481,4.2756,6000.0,0.1001,1.0
2003-07-14,7.3069,7.65,7.245,7.425,4.5042,13300.0,0.1001,1.0
2003-07-15,7.425,7.425,7.3969,7.3969,4.4872,6000.0,0.11,1.0
2003-07-16,7.4756,7.4756,6.975,7.1719,4.3507,3800.0,0.0,1.0
2003-07-17,7.3238,7.515,7.2,7.2056,4.3712,5400.0,0.0,1.0
2003-07-18,7.6163,8.6344,7.6163,8.3531,5.0673,64500.0,0.0,1.0
2003-07-21,8.1844,8.4375,7.9931,7.9931,4.8489,19800.0,0.0,1.0
2003-07-22,8.5331,8.5331,8.1788,8.4206,5.1082,8200.0,0.0,1.0
2003-07-23,8.5444,8.7975,8.4263,8.7469,5.3061,9600.0,0.0,1.0
2003-07-24,8.7469,9.0,8.7469,8.9438,5.4256,11300.0,0.0,1.0
2003-07-25,8.8819,8.8988,8.2969,8.6119,5.2242,8000.0,0.0,1.0
2003-07-28,8.7413,8.8144,8.6569,8.775,5.3232,4400.0,0.0,1.0
2003-07-29,8.8988,9.0956,8.8988,9.0,5.4597,26900.0,0.0,1.0
2003-07-30,9.0,9.0,8.8875,9.0,5.4975,8100.0,0.0619,1.0
2003-07-31,8.9663,8.9888,8.6062,8.8763,5.4219,24500.0,0.0,1.0
2003-08-01,8.9269,9.0,8.8875,9.0,5.4975,6600.0,0.0,1.0
2003-08-04,8.9719,9.1406,8.6062,9.0,5.4975,39600.0,0.0,1.0
2003-08-05,9.09,9.0956,8.8819,8.8875,5.4288,7600.0,0.0,1.0
2003-08-06,8.8875,8.955,8.7244,8.7863,5.3669,2800.0,0.0,1.0
2003-08-07,8.8988,8.9494,8.775,8.8313,5.3944,8600.0,0.0,1.0
2003-08-08,8.8313,8.9438,8.7581,8.775,5.36,4200.0,0.0,1.0
2003-08-11,8.7975,8.8594,8.7806,8.8594,5.4116,2600.0,0.0,1.0
2003-08-12,8.8369,9.0056,8.8369,9.0056,5.5009,2800.0,0.0,1.0
2003-08-13,9.0,9.1406,9.0,9.1012,5.5593,4900.0,0.0,1.0
2003-08-14,9.1406,9.3431,9.1181,9.225,5.6349,25300.0,0.0,1.0
2003-08-15,9.1294,9.4556,9.1294,9.4556,5.7758,3800.0,0.0,1.0
2003-08-18,9.2587,9.5063,9.2587,9.5063,5.8067,23600.0,0.0,1.0
2003-08-19,9.2587,9.5569,9.2587,9.5063,5.8067,16600.0,0.0,1.0
2003-08-20,9.4444,9.4781,9.3713,9.3713,5.7242,3300.0,0.0,1.0
2003-08-21,9.4894,9.5344,9.3938,9.3938,5.738,16000.0,0.0,1.0
2003-08-22,9.5344,9.5344,9.0562,9.1687,5.6006,5400.0,0.0,1.0
2003-08-25,9.1969,9.5288,9.0,9.0844,5.549,6900.0,0.0,1.0
2003-08-26,9.2137,9.5119,9.0844,9.5119,5.8101,800.0,0.0,1.0
2003-08-27,9.1462,9.2813,9.1462,9.2813,5.6693,2600.0,0.0,1.0
2003-08-28,9.2813,9.54,9.1519,9.3094,5.6865,20900.0,0.0,1.0
2003-08-29,9.2419,9.3206,9.2419,9.3206,5.6933,11200.0,0.0,1.0
2003-09-02,9.2419,9.7031,9.2419,9.7031,5.927,18900.0,0.0,1.0
2003-09-03,9.5625,9.8775,9.5625,9.8212,5.9991,18600.0,0.0,1.0
2003-09-04,9.9844,10.1025,9.8775,9.8775,6.0335,4800.0,0.0,1.0
2003-09-05,9.8775,10.3387,9.8775,10.125,6.1847,8200.0,0.0,1.0
2003-09-08,10.3106,10.6763,9.9,10.6763,6.5214,16500.0,0.0,1.0
2003-09-09,10.5638,10.5638,10.5469,10.5469,6.4424,1600.0,0.0,1.0
2003-09-10,10.2656,10.6875,10.2656,10.5469,6.4424,9000.0,0.0,1.0
2003-09-11,10.5581,10.6875,10.5581,10.6875,6.5283,3300.0,0.0,1.0
2003-09-12,10.5244,10.5469,10.3219,10.5131,6.4217,6900.0,0.0,1.0
2003-09-15,10.305,10.485,9.7762,9.7762,5.9716,20000.0,0.0,1.0
2003-09-16,9.7762,10.2656,9.6694,10.2656,6.2706,16000.0,0.0,1.0
2003-09-17,10.1306,10.35,9.9056,10.125,6.1847,13800.0,0.0,1.0
2003-09-18,10.2206,10.5131,9.9506,9.9506,6.0781,9000.0,0.0,1.0
2003-09-19,10.0181,10.1587,10.0181,10.1587,6.2053,16100.0,0.0,1.0
2003-09-22,10.0181,10.1812,9.9281,10.1362,6.1915,9700.0,0.0,1.0
2003-09-23,10.0294,10.0294,9.8156,9.8156,5.9957,2600.0,0.0,1.0
2003-09-24,9.9169,10.0688,9.3431,9.4331,5.762,9800.0,0.0,1.0
2003-09-25,9.2587,9.2587,8.8875,8.8875,5.4288,9300.0,0.0,1.0
2003-09-26,8.8819,8.9325,8.7131,8.7131,5.3222,3700.0,0.0,1.0
2003-09-29,8.8875,8.9944,8.4656,8.6625,5.2913,16600.0,0.0,1.0
2003-09-30,8.6006,8.8088,8.415,8.6006,5.2535,26800.0,0.0,1.0
2003-10-01,8.6681,8.8313,8.5781,8.8313,5.3944,10800.0,0.0,1.0
2003-10-02,8.7975,9.0844,8.7188,9.0562,5.5318,2400.0,0.0,1.0
2003-10-03,8.8538,9.2419,8.8538,9.2419,5.6452,600.0,0.0,1.0
2003-10-06,9.0506,9.5569,9.045,9.5569,5.8376,1000.0,0.0,1.0
2003-10-07,9.6919,9.9788,9.675,9.9788,6.0953,3400.0,0.0,1.0
2003-10-08,9.9506,10.1531,9.6412,10.1531,6.2018,4800.0,0.0,1.0
2003-10-09,10.1644,10.5188,9.9,9.9563,6.0816,14500.0,0.0,1.0
2003-10-10,10.3275,10.3275,9.9619,10.3162,6.3015,6500.0,0.0,1.0
2003-10-13,10.3556,10.5469,10.3556,10.5469,6.4424,5800.0,0.0,1.0
2003-10-14,10.5413,10.5469,10.1306,10.5413,6.4389,4800.0,0.0,1.0
2003-10-15,10.5019,10.5469,10.4569,10.5469,6.4424,7600.0,0.0,1.0
2003-10-16,10.5019,10.5131,10.3556,10.4063,6.3565,12900.0,0.0,1.0
2003-10-17,10.4738,10.5469,9.9844,10.2262,6.2465,15600.0,0.0,1.0
2003-10-20,10.0238,10.3725,10.0238,10.1138,6.1778,18100.0,0.0,1.0
2003-10-21,10.0069,10.3275,10.0069,10.0519,6.14,6000.0,0.0,1.0
2003-10-22,10.1812,10.2712,9.7987,9.8156,5.9957,12000.0,0.0,1.0
2003-10-23,9.9394,10.1812,9.7875,10.1812,6.219,2100.0,0.0,1.0
2003-10-24,9.7987,10.1025,9.7987,10.0013,6.1091,2800.0,0.0,1.0
2003-10-27,10.0181,10.1194,10.0181,10.1194,6.1812,4000.0,0.0,1.0
2003-10-28,10.0181,10.5469,9.9056,10.5469,6.4424,5400.0,0.0,1.0
2003-10-29,10.5469,10.62,10.4625,10.4625,6.3908,14500.0,0.0,1.0
2003-10-30,10.5469,10.9688,10.44,10.6875,6.5283,6000.0,0.0,1.0
2003-10-31,11.1938,11.1938,9.8494,11.1881,6.8739,12400.0,0.0619,1.0
2003-11-03,10.8562,11.1656,10.8562,11.1375,6.8428,17600.0,0.0,1.0
2003-11-04,11.2275,11.2331,11.2275,11.2331,6.9015,500.0,0.0,1.0
2003-11-05,10.9294,11.1488,10.9125,11.0813,6.8082,17800.0,0.0,1.0
