date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,11.3125,11.5625,11.0,11.0,11.0,45800.0,0.0,1.0
1999-08-10,11.0,11.5,10.625,11.25,11.25,74700.0,0.0,1.0
1999-08-11,11.25,11.9375,11.25,11.625,11.625,34600.0,0.0,1.0
1999-08-12,11.5,11.75,11.375,11.4375,11.4375,49700.0,0.0,1.0
1999-08-13,11.375,11.75,11.375,11.5625,11.5625,97300.0,0.0,1.0
1999-08-16,11.9375,11.9375,11.375,11.5,11.5,125800.0,0.0,1.0
1999-08-17,11.5,11.5,11.125,11.1875,11.1875,64600.0,0.0,1.0
1999-08-18,11.375,11.4375,10.75,11.0,11.0,51500.0,0.0,1.0
1999-08-19,11.0,11.4375,11.0,11.3125,11.3125,57500.0,0.0,1.0
1999-08-20,11.25,11.5,11.0,11.4375,11.4375,105700.0,0.0,1.0
1999-08-23,11.375,11.625,11.25,11.25,11.25,59900.0,0.0,1.0
1999-08-24,11.3125,11.375,10.5,11.0,11.0,46100.0,0.0,1.0
1999-08-25,10.8125,11.25,10.8125,10.9375,10.9375,89100.0,0.0,1.0
1999-08-26,10.9688,11.5,10.875,11.5,11.5,67900.0,0.0,1.0
1999-08-27,11.1875,11.25,11.0,11.1563,11.1563,33400.0,0.0,1.0
1999-08-30,11.0625,11.25,10.75,11.0625,11.0625,37400.0,0.0,1.0
1999-08-31,11.0625,11.375,10.875,11.375,11.375,27800.0,0.0,1.0
1999-09-01,11.1875,11.6875,11.1875,11.5625,11.5625,56900.0,0.0,1.0
1999-09-02,11.4375,11.5,11.0,11.5,11.5,37800.0,0.0,1.0
1999-09-03,11.5,11.625,11.375,11.375,11.375,35000.0,0.0,1.0
1999-09-07,11.4688,11.5,11.125,11.5,11.5,117600.0,0.0,1.0
1999-09-08,11.5,11.5,11.25,11.375,11.375,71500.0,0.0,1.0
1999-09-09,11.3125,12.0,11.25,11.8125,11.8125,132000.0,0.0,1.0
1999-09-10,11.875,12.5,11.8125,12.375,12.375,152900.0,0.0,1.0
1999-09-13,12.375,12.875,12.1875,12.1875,12.1875,92100.0,0.0,1.0
1999-09-14,12.125,12.875,12.125,12.4375,12.4375,90600.0,0.0,1.0
1999-09-15,12.5,12.75,12.125,12.1875,12.1875,49600.0,0.0,1.0
1999-09-16,12.0,12.125,11.5,12.0,12.0,78000.0,0.0,1.0
1999-09-17,12.0,12.375,11.875,12.0,12.0,44100.0,0.0,1.0
1999-09-20,12.0,12.125,11.625,11.875,11.875,45000.0,0.0,1.0
1999-09-21,11.4375,12.0,11.375,11.9375,11.9375,54800.0,0.0,1.0
1999-09-22,11.9375,12.1875,11.9375,12.0,12.0,44700.0,0.0,1.0
1999-09-23,12.0625,12.5625,11.8125,12.0,12.0,135900.0,0.0,1.0
1999-09-24,11.75,12.25,11.6875,11.6875,11.6875,36600.0,0.0,1.0
1999-09-27,11.75,12.125,11.75,11.9375,11.9375,65300.0,0.0,1.0
1999-09-28,11.9375,11.9375,11.0,11.5,11.5,49400.0,0.0,1.0
1999-09-29,11.4375,12.0,11.25,11.625,11.625,51700.0,0.0,1.0
1999-09-30,11.375,11.5,10.875,10.9375,10.9375,42700.0,0.0,1.0
1999-10-01,11.0,11.5,10.875,11.125,11.125,36600.0,0.0,1.0
1999-10-04,11.375,11.5,11.125,11.25,11.25,23100.0,0.0,1.0
1999-10-05,11.4375,11.875,11.375,11.875,11.875,77800.0,0.0,1.0
1999-10-06,12.0,12.9375,11.625,12.9375,12.9375,130200.0,0.0,1.0
1999-10-07,12.9375,12.9375,12.0,12.375,12.375,78700.0,0.0,1.0
1999-10-08,12.3125,12.6875,12.125,12.5625,12.5625,73800.0,0.0,1.0
1999-10-11,12.625,13.375,12.625,12.6875,12.6875,119100.0,0.0,1.0
1999-10-12,12.8125,13.0,12.5,12.5,12.5,35500.0,0.0,1.0
1999-10-13,12.375,12.5,12.1875,12.4375,12.4375,18600.0,0.0,1.0
1999-10-14,12.3125,12.4375,12.1875,12.4375,12.4375,33700.0,0.0,1.0
1999-10-15,12.3125,12.3438,11.625,12.0625,12.0625,45700.0,0.0,1.0
1999-10-18,11.875,12.0,11.1875,11.625,11.625,29300.0,0.0,1.0
1999-10-19,11.5,12.125,11.5,12.0625,12.0625,85400.0,0.0,1.0
1999-10-20,12.125,12.75,12.125,12.5625,12.5625,101700.0,0.0,1.0
1999-10-21,12.25,12.75,12.0,12.25,12.25,140400.0,0.0,1.0
1999-10-22,12.375,12.375,11.75,12.0,12.0,41100.0,0.0,1.0
1999-10-25,11.5,12.0,11.5,11.625,11.625,92900.0,0.0,1.0
1999-10-26,12.125,12.625,12.0625,12.5,12.5,158700.0,0.0,1.0
1999-10-27,12.4375,12.875,12.4375,12.625,12.625,57800.0,0.0,1.0
1999-10-28,12.5,12.75,12.4375,12.5,12.5,22900.0,0.0,1.0
1999-10-29,12.4375,12.5,12.0,12.375,12.375,70300.0,0.0,1.0
1999-11-01,12.4375,14.25,12.375,14.25,14.25,452300.0,0.0,1.0
1999-11-02,14.6875,15.25,14.4375,14.875,14.875,522400.0,0.0,1.0
1999-11-03,14.8125,14.9375,14.0625,14.25,14.25,52300.0,0.0,1.0
1999-11-04,14.25,14.625,13.5,13.625,13.625,75800.0,0.0,1.0
1999-11-05,13.9375,14.0,13.4375,13.5,13.5,116400.0,0.0,1.0
1999-11-08,13.375,14.9375,13.25,14.6875,14.6875,147100.0,0.0,1.0
1999-11-09,14.5,14.875,14.0,14.625,14.625,51000.0,0.0,1.0
1999-11-10,14.625,14.8125,14.125,14.5625,14.5625,41100.0,0.0,1.0
1999-11-11,15.0625,15.25,14.125,14.6875,14.6875,240900.0,0.0,1.0
1999-11-12,15.0,16.0,14.625,14.625,14.625,418000.0,0.0,1.0
1999-11-15,15.0,15.0,13.5,13.75,13.75,108900.0,0.0,1.0
1999-11-16,13.9375,14.125,13.625,14.0,14.0,68500.0,0.0,1.0
1999-11-17,14.0,14.0,13.125,13.5625,13.5625,91100.0,0.0,1.0
1999-11-18,13.625,14.375,13.25,14.25,14.25,74400.0,0.0,1.0
1999-11-19,14.375,14.875,14.125,14.875,14.875,127400.0,0.0,1.0
1999-11-22,14.875,15.8125,14.5,15.8125,15.8125,220200.0,0.0,1.0
1999-11-23,15.5313,16.625,15.25,16.25,16.25,272300.0,0.0,1.0
1999-11-24,15.375,16.375,15.3125,16.25,16.25,263500.0,0.0,1.0
1999-11-26,16.375,17.125,16.0,17.0,17.0,185900.0,0.0,1.0
1999-11-29,17.0,17.375,16.5,16.75,16.75,550800.0,0.0,1.0
1999-11-30,16.625,16.7188,15.625,16.125,16.125,264200.0,0.0,1.0
1999-12-01,15.625,15.75,15.125,15.6875,15.6875,66300.0,0.0,1.0
1999-12-02,15.75,16.375,15.5,16.25,16.25,133400.0,0.0,1.0
1999-12-03,16.375,16.375,15.5,15.5625,15.5625,79800.0,0.0,1.0
1999-12-06,16.0,16.125,15.5625,16.0625,16.0625,58500.0,0.0,1.0
1999-12-07,16.0,17.25,15.875,16.4375,16.4375,445200.0,0.0,1.0
1999-12-08,17.0,17.75,16.625,17.25,17.25,398200.0,0.0,1.0
