date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-08-01,25.5,25.73,25.5,25.73,22.5677,37600.0,0.0,1.0
2013-08-02,25.61,25.76,25.6,25.76,22.5941,17600.0,0.0,1.0
2013-08-05,25.55,25.57,25.417,25.43,22.3046,70300.0,0.0,1.0
2013-08-06,25.35,25.35,25.03,25.119,22.0318,19900.0,0.0,1.0
2013-08-07,25.0,25.16,24.86,24.86,21.8047,72000.0,0.0,1.0
2013-08-08,25.14,25.42,25.04,25.3,22.1906,20800.0,0.0,1.0
2013-08-09,25.43,25.54,25.26,25.52,22.3836,124900.0,0.0,1.0
2013-08-12,25.46,25.57,25.43,25.46,22.3309,30500.0,0.0,1.0
2013-08-13,25.63,25.67,25.5,25.65,22.4976,46200.0,0.0,1.0
2013-08-14,25.89,25.92,25.75,25.78,22.6116,8600.0,0.0,1.0
2013-08-15,25.52,25.52,25.19,25.43,22.3046,19600.0,0.0,1.0
2013-08-16,25.42,25.42,25.04,25.06,21.9801,30100.0,0.0,1.0
2013-08-19,24.78,24.78,24.19,24.19,21.217,18400.0,0.0,1.0
2013-08-20,24.22,24.31,24.15,24.2,21.2258,8700.0,0.0,1.0
2013-08-21,24.04,24.04,23.51,23.65,20.7434,31000.0,0.0,1.0
2013-08-22,23.94,23.94,23.81,23.81,20.8837,7900.0,0.0,1.0
2013-08-23,23.91,24.1,23.91,24.1,21.1381,2200.0,0.0,1.0
2013-08-26,24.05,24.05,23.7,23.7,20.7872,15800.0,0.0,1.0
2013-08-27,23.34,23.34,22.94,23.0,20.1733,31600.0,0.0,1.0
2013-08-28,23.06,23.2,22.9,23.19,20.3399,6200.0,0.0,1.0
2013-08-29,23.29,23.61,22.98,23.15,20.3048,4200.0,0.0,1.0
2013-08-30,23.47,23.48,23.21,23.27,20.4101,20600.0,0.0,1.0
2013-09-03,23.74,23.74,23.74,23.74,20.8223,900.0,0.0,1.0
