date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-07-25,24.79,25.03,24.75,25.03,22.1984,49500.0,0.0,1.0
2013-07-26,24.92,24.97,24.8,24.95,22.1275,14300.0,0.0,1.0
2013-07-29,24.96,25.06,24.8,24.88,22.0654,23200.0,0.0,1.0
2013-07-30,25.01,25.03,24.87,24.95,22.1275,24200.0,0.0,1.0
2013-07-31,25.23,25.48,25.23,25.36,22.4911,50300.0,0.0,1.0
2013-08-01,25.7,25.89,25.6,25.89,22.9612,90300.0,0.0,1.0
2013-08-02,25.8,25.8,25.67,25.75,22.837,14500.0,0.0,1.0
2013-08-05,25.8,25.84,25.66,25.84,22.9168,100000.0,0.0,1.0
2013-08-06,25.76,25.76,25.47,25.58,22.6862,19100.0,0.0,1.0
2013-08-07,25.38,25.41,25.3,25.37,22.5,5400.0,0.0,1.0
2013-08-08,25.63,25.64,25.45,25.6,22.704,6000.0,0.0,1.0
2013-08-09,25.51,25.55,25.45,25.49,22.6064,2200.0,0.0,1.0
2013-08-12,25.35,25.62,25.35,25.62,22.7217,7900.0,0.0,1.0
2013-08-13,25.64,25.7,25.43,25.69,22.7838,7900.0,0.0,1.0
2013-08-14,25.66,25.66,25.58,25.58,22.6862,6700.0,0.0,1.0
2013-08-15,25.55,25.55,25.01,25.06,22.225,13800.0,0.0,1.0
2013-08-16,25.03,25.06,24.96,25.04,22.2073,4900.0,0.0,1.0
2013-08-19,24.98,25.03,24.77,24.77,21.9679,5000.0,0.0,1.0
2013-08-20,24.78,25.13,24.78,25.13,22.2871,4400.0,0.0,1.0
2013-08-21,25.07,25.18,24.82,24.94,22.1186,11700.0,0.0,1.0
2013-08-22,24.95,31.92,24.92,25.26,22.4024,5000.0,0.0,1.0
2013-08-23,25.32,25.32,25.22,25.32,22.4556,4000.0,0.0,1.0
2013-08-26,25.33,25.47,25.22,25.22,22.389,5700.0,0.025,1.0
2013-08-27,25.07,25.34,24.6,24.63,21.8653,8400.0,0.0,1.0
2013-08-28,24.64,24.75,24.64,24.7,21.9274,5900.0,0.0,1.0
2013-08-29,24.64,24.97,24.64,24.84,22.0517,4400.0,0.0,1.0
2013-08-30,24.94,24.94,24.45,24.45,21.7055,7900.0,0.0,1.0
2013-09-03,25.99,25.99,24.53,24.65,21.883,3800.0,0.0,1.0
2013-09-04,24.65,24.94,24.65,24.89,22.0961,18200.0,0.0,1.0
2013-09-05,24.9,25.03,24.9,25.02,22.2115,7100.0,0.0,1.0
2013-09-06,24.72,25.09,24.68,24.93,22.1316,9100.0,0.0,1.0
2013-09-09,25.0,25.33,25.0,25.3,22.4601,8100.0,0.0,1.0
2013-09-10,25.49,25.57,25.4,25.56,22.6909,17300.0,0.0,1.0
2013-09-11,25.52,25.63,25.51,25.51,22.6465,14400.0,0.0,1.0
2013-09-12,25.62,25.62,25.42,25.42,22.5666,8500.0,0.0,1.0
2013-09-13,25.44,25.54,25.44,25.54,22.6731,1500.0,0.0,1.0
2013-09-16,25.84,25.84,25.64,25.64,22.7619,16000.0,0.0,1.0
2013-09-17,25.68,25.84,25.68,25.84,22.9395,9200.0,0.0,1.0
2013-09-18,25.7,26.16,25.64,26.09,23.1614,8400.0,0.0,1.0
2013-09-19,26.14,26.14,25.91,25.99,23.0726,48300.0,0.0,1.0
2013-09-20,25.97,25.97,25.88,25.88,22.975,5300.0,0.0,1.0
2013-09-23,25.81,25.81,25.69,25.71,22.8461,800.0,0.025,1.0
2013-09-24,25.72,26.05,25.72,25.93,23.0416,4200.0,0.0,1.0
2013-09-25,25.8,26.02,25.79,25.82,22.9439,14000.0,0.0,1.0
2013-09-26,25.93,26.06,25.83,26.0,23.1038,10800.0,0.0,1.0
2013-09-27,26.0,26.0,25.93,25.97,23.0772,11600.0,0.0,1.0
2013-09-30,25.61,26.08,25.61,26.01,23.1127,4200.0,0.0,1.0
2013-10-01,26.28,26.28,26.25,26.28,23.3526,500.0,0.0,1.0
2013-10-02,26.23,26.26,26.18,26.18,23.2638,4300.0,0.0,1.0
2013-10-03,26.21,26.21,25.76,25.99,23.0949,5100.0,0.0,1.0
2013-10-04,25.9,26.14,25.9,26.01,23.1127,4500.0,0.0,1.0
2013-10-07,25.83,25.83,25.7,25.74,22.8728,7700.0,0.0,1.0
2013-10-08,25.58,25.58,25.34,25.43,22.5973,4200.0,0.0,1.0
2013-10-09,25.29,25.41,25.15,25.3,22.4818,4100.0,0.0,1.0
2013-10-10,25.72,25.99,25.72,25.98,23.086,1300.0,0.0,1.0
2013-10-11,25.89,26.34,25.89,26.34,23.406,3900.0,0.0,1.0
2013-10-14,26.34,26.54,26.34,26.5,23.5481,5900.0,0.0,1.0
2013-10-15,26.54,26.54,26.34,26.4,23.4593,9500.0,0.0,1.0
2013-10-16,26.62,26.75,26.6,26.75,23.7703,20200.0,0.0,1.0
2013-10-17,26.67,26.9,26.67,26.9,23.9036,24600.0,0.0,1.0
2013-10-18,27.11,27.25,27.06,27.25,24.2146,12900.0,0.0,1.0
2013-10-21,27.36,27.36,27.19,27.2,24.1923,13000.0,0.025,1.0
2013-10-22,27.38,27.45,27.23,27.27,24.2546,19100.0,0.0,1.0
2013-10-23,27.15,27.29,27.08,27.25,24.2368,39600.0,0.0,1.0
2013-10-24,27.25,27.42,27.22,27.33,24.308,20400.0,0.0,1.0
2013-10-25,27.35,27.35,27.15,27.33,24.308,5200.0,0.0,1.0
2013-10-28,27.62,27.62,27.24,27.41,24.3791,4900.0,0.0,1.0
2013-10-29,27.66,27.67,27.27,27.33,24.308,7600.0,0.0,1.0
2013-10-30,27.27,27.27,26.95,27.06,24.0678,29800.0,0.0,1.0
2013-10-31,27.03,27.2,27.03,27.07,24.0767,24800.0,0.0,1.0
2013-11-01,27.04,27.18,26.69,26.96,23.9789,6900.0,0.0,1.0
2013-11-04,26.84,27.29,26.84,27.22,24.2101,20300.0,0.0,1.0
2013-11-05,27.05,27.28,26.96,27.26,24.2457,2400.0,0.0,1.0
2013-11-06,27.37,27.37,26.99,27.02,24.0322,21400.0,0.0,1.0
2013-11-07,27.08,27.17,26.61,26.61,23.6676,8600.0,0.0,1.0
2013-11-08,26.87,27.0,26.87,26.99,24.0056,13800.0,0.0,1.0
2013-11-11,26.83,27.1,26.83,27.1,24.1034,2600.0,0.0,1.0
2013-11-12,27.07,27.08,27.0,27.06,24.0678,9400.0,0.0,1.0
2013-11-13,26.99,27.35,26.99,27.35,24.3258,2100.0,0.0,1.0
2013-11-14,27.4,27.4,27.28,27.29,24.2724,4500.0,0.0,1.0
2013-11-15,27.4,27.5,27.24,27.44,24.4058,7600.0,0.0,1.0
2013-11-18,27.59,27.59,27.27,27.32,24.2991,16200.0,0.0,1.0
2013-11-19,27.5,27.5,27.17,27.37,24.3435,800.0,0.0,1.0
2013-11-20,27.39,27.46,27.14,27.26,24.2457,14500.0,0.0,1.0
2013-11-21,27.26,27.73,27.26,27.63,24.5748,8000.0,0.0,1.0
2013-11-22,27.58,27.8,27.58,27.8,24.7484,8300.0,0.025,1.0
2013-11-25,27.8,27.89,27.7,27.7,24.6594,10300.0,0.0,1.0
2013-11-26,27.85,28.06,27.8,28.06,24.9798,2900.0,0.0,1.0
2013-11-27,28.0,28.18,27.99,28.0,24.9264,4600.0,0.0,1.0
2013-11-29,28.29,28.29,28.17,28.18,25.0867,21400.0,0.0,1.0
2013-12-02,28.2,28.2,27.81,27.81,24.7573,4700.0,0.0,1.0
2013-12-03,27.86,27.86,27.53,27.56,24.5347,8400.0,0.0,1.0
2013-12-04,27.5,27.59,27.31,27.59,24.5614,1200.0,0.0,1.0
2013-12-05,27.51,27.58,27.48,27.52,24.4991,1400.0,0.0,1.0
2013-12-06,27.89,27.95,27.75,27.8,24.7484,5100.0,0.0,1.0
2013-12-09,27.9,27.9,27.74,27.79,24.7395,25500.0,0.0,1.0
2013-12-10,27.78,27.78,27.58,27.6,24.5703,4600.0,0.0,1.0
2013-12-11,27.55,27.55,27.13,27.16,24.1786,7600.0,0.0,1.0
2013-12-12,27.23,27.37,27.23,27.35,24.3478,6800.0,0.0,1.0
2013-12-13,27.3,27.4,27.22,27.35,24.3478,9100.0,0.0,1.0
2013-12-16,27.57,27.72,27.46,27.65,24.6149,7700.0,0.0,1.0
2013-12-17,27.6,27.74,27.42,27.62,24.5882,9900.0,0.0,1.0
2013-12-18,27.63,28.0,27.52,28.0,24.9264,1500.0,0.0,1.0
2013-12-19,28.01,28.01,27.93,27.95,24.8819,1100.0,0.0,1.0
2013-12-20,27.89,28.27,27.89,28.27,25.1668,8800.0,0.0,1.0
2013-12-23,28.38,28.54,28.38,28.54,25.4072,6300.0,0.0,1.0
2013-12-24,28.66,28.71,28.66,28.71,25.5962,7700.0,0.042,1.0
2013-12-26,28.76,28.76,28.72,28.72,25.6051,1000.0,0.0,1.0
2013-12-27,28.91,28.91,28.6,28.67,25.5605,7500.0,0.0,1.0
2013-12-30,28.65,28.7,28.59,28.66,25.5516,15200.0,0.0,1.0
2013-12-31,28.76,28.76,28.61,28.61,25.507,2500.0,0.0,1.0
2014-01-02,28.46,28.46,28.13,28.2,25.1415,14100.0,0.0,1.0
2014-01-03,28.23,28.41,28.23,28.26,25.195,20500.0,0.0,1.0
2014-01-06,28.39,28.39,28.1,28.1,25.0523,2600.0,0.0,1.0
2014-01-07,28.43,28.43,28.25,28.34,25.2663,6600.0,0.0,1.0
2014-01-08,28.29,28.32,28.14,28.16,25.1058,5800.0,0.0,1.0
2014-01-09,28.34,28.34,28.13,28.16,25.1058,3700.0,0.0,1.0
2014-01-10,28.16,28.29,28.15,28.28,25.2128,3700.0,0.0,1.0
2014-01-13,28.22,28.22,27.75,27.75,24.7403,4500.0,0.0,1.0
2014-01-14,27.94,28.2,27.74,28.2,25.1415,2500.0,0.0,1.0
2014-01-15,28.24,28.38,28.23,28.36,25.2841,14200.0,0.0,1.0
2014-01-16,28.24,28.37,28.24,28.36,25.2841,4200.0,0.0,1.0
2014-01-17,28.35,28.35,28.17,28.18,25.1236,10800.0,0.0,1.0
2014-01-21,28.35,28.35,28.24,28.27,25.2039,7800.0,0.0,1.0
2014-01-22,28.37,28.45,28.26,28.35,25.2752,6800.0,0.0,1.0
2014-01-23,28.17,28.23,28.08,28.19,25.1326,2900.0,0.0,1.0
2014-01-24,27.72,27.72,27.49,27.49,24.5085,3300.0,0.0,1.0
2014-01-27,27.58,27.7,27.16,27.47,24.5219,15400.0,0.035,1.0
2014-01-28,27.26,27.34,27.22,27.34,24.4058,1800.0,0.0,1.0
2014-01-29,27.18,27.32,26.96,27.02,24.1202,5400.0,0.0,1.0
2014-01-30,27.41,27.47,27.39,27.39,24.4505,2200.0,0.0,1.0
2014-01-31,26.94,27.32,26.94,27.16,24.2451,8800.0,0.0,1.0
2014-02-03,27.15,27.15,26.24,26.27,23.4507,12800.0,0.0,1.0
2014-02-04,26.35,26.48,26.26,26.31,23.4864,4800.0,0.0,1.0
2014-02-05,26.14,26.3,25.89,26.19,23.3792,6300.0,0.0,1.0
2014-02-06,26.31,26.52,26.31,26.41,23.5756,6100.0,0.0,1.0
2014-02-07,26.51,26.59,26.39,26.59,23.7363,4500.0,0.0,1.0
2014-02-10,26.48,26.54,26.38,26.54,23.6917,13300.0,0.0,1.0
2014-02-11,26.58,26.9,26.54,26.84,23.9595,3300.0,0.0,1.0
2014-02-12,26.9,26.98,26.9,26.9,24.0131,2200.0,0.0,1.0
2014-02-13,27.07,27.1,27.07,27.1,24.1916,600.0,0.0,1.0
2014-02-14,27.17,27.36,27.17,27.36,24.4237,1700.0,0.0,1.0
2014-02-18,27.34,27.52,27.27,27.52,24.5665,2100.0,0.0,1.0
2014-02-19,27.43,27.6,27.35,27.35,24.4148,3700.0,0.0,1.0
2014-02-20,27.22,27.54,27.22,27.5,24.5487,5400.0,0.0,1.0
2014-02-21,27.62,27.62,27.55,27.55,24.5933,15900.0,0.0,1.0
2014-02-24,27.6,27.79,27.6,27.78,24.8301,2100.0,0.035,1.0
2014-02-25,27.62,27.64,27.51,27.51,24.5888,10900.0,0.0,1.0
2014-02-26,27.61,27.95,27.61,27.95,24.9821,3000.0,0.0,1.0
2014-02-27,27.7,27.86,27.7,27.86,24.9017,11200.0,0.0,1.0
2014-02-28,27.9,28.1,27.89,27.89,24.9285,4600.0,0.0,1.0
2014-03-03,28.19,28.19,27.5,27.69,24.7497,5700.0,0.0,1.0
2014-03-04,28.47,28.58,28.47,28.5,25.4737,16000.0,0.0,1.0
2014-03-05,28.33,28.39,28.25,28.34,25.3307,4000.0,0.0,1.0
2014-03-06,28.45,28.45,28.43,28.43,25.4111,1200.0,0.0,1.0
2014-03-07,28.58,28.62,28.48,28.48,25.4558,2800.0,0.0,1.0
2014-03-10,28.48,28.5,28.42,28.47,25.4469,2800.0,0.0,1.0
2014-03-11,28.47,28.47,28.23,28.23,25.2324,7500.0,0.0,1.0
2014-03-12,28.15,28.16,28.15,28.15,25.1609,2600.0,0.0,1.0
2014-03-13,28.17,28.17,27.89,27.97,25.0,4100.0,0.0,1.0
2014-03-14,27.94,28.11,27.94,28.11,25.1251,900.0,0.0,1.0
2014-03-17,28.25,28.44,28.22,28.25,25.2503,5600.0,0.0,1.0
2014-03-18,28.31,28.63,28.3,28.57,25.5363,10500.0,0.0,1.0
2014-03-19,28.57,28.58,28.3,28.33,25.3217,2400.0,0.0,1.0
