date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-11-10,7.359,7.7282,7.2974,7.7282,7.7282,25100.0,0.0,1.0
2005-11-11,7.6359,7.9949,7.6359,7.9949,7.9949,5000.0,0.0,1.0
2005-11-14,7.7385,8.0462,7.7385,8.0462,8.0462,700.0,0.0,1.0
2005-11-15,7.7949,7.9385,7.7897,7.8821,7.8821,2100.0,0.0,1.0
2005-11-16,7.8821,7.8821,7.8821,7.8821,7.8821,0.0,0.0,1.0
2005-11-17,7.6051,7.8359,7.6051,7.7026,7.7026,11800.0,0.0,1.0
2005-11-18,7.7436,7.9179,7.7436,7.8103,7.8103,46200.0,0.0,1.0
2005-11-21,8.0256,8.0615,8.0256,8.0615,8.0615,1900.0,0.0,1.0
2005-11-22,8.0513,8.1385,8.0513,8.1385,8.1385,1500.0,0.0,1.0
2005-11-23,8.1744,8.2821,8.1231,8.2821,8.2821,3100.0,0.0,1.0
2005-11-25,8.2821,8.2821,8.2718,8.2718,8.2718,1100.0,0.0,1.0
2005-11-28,8.2718,8.2718,8.2718,8.2718,8.2718,0.0,0.0,1.0
2005-11-29,8.0821,8.2564,6.9692,8.2564,8.2564,43200.0,0.0,1.0
2005-11-30,8.2154,8.4,8.1026,8.3846,8.3846,24900.0,0.0,1.0
2005-12-01,8.0974,8.5795,8.0667,8.2462,8.2462,66600.0,0.0,1.0
2005-12-02,8.2513,8.5692,8.0923,8.2462,8.2462,73500.0,0.0,1.0
2005-12-05,8.2462,8.2462,8.2462,8.2462,8.2462,0.0,0.0,1.0
2005-12-06,8.1846,8.6,7.959,8.0256,8.0256,43200.0,0.0,1.0
2005-12-07,8.0513,8.2359,7.9128,8.1231,8.1231,21800.0,0.0,1.0
2005-12-08,7.9846,8.4205,7.9128,8.0462,8.0462,44600.0,0.0,1.0
2005-12-09,7.9487,7.9487,7.9487,7.9487,7.9487,100.0,0.0,1.0
2005-12-12,8.2821,8.4821,8.2154,8.2154,8.2154,46400.0,0.0,1.0
2005-12-13,8.041,8.5128,8.041,8.2974,8.2974,39000.0,0.0,1.0
2005-12-14,8.4564,8.4564,8.2821,8.2974,8.2974,2100.0,0.0,1.0
2005-12-15,8.3128,8.4462,8.0667,8.1487,8.1487,16300.0,0.0,1.0
2005-12-16,8.1282,8.3077,8.0256,8.3077,8.3077,15700.0,0.0,1.0
2005-12-19,8.1231,8.5641,8.0615,8.1949,8.1949,34300.0,0.0,1.0
2005-12-20,8.2718,8.6154,8.1795,8.3436,8.3436,12800.0,0.0,1.0
2005-12-21,8.2564,8.4615,8.0256,8.0256,8.0256,16700.0,0.0,1.0
2005-12-22,7.959,8.3538,7.9436,8.1538,8.1538,10100.0,0.0,1.0
2005-12-23,8.3692,8.4,8.0,8.1897,8.1897,8100.0,0.0,1.0
2005-12-27,8.1282,8.1282,7.8974,8.0308,8.0308,17700.0,0.0,1.0
2005-12-28,7.9077,8.3077,7.9026,7.9026,7.9026,13800.0,0.0,1.0
2005-12-29,7.9744,7.9744,7.8872,7.8872,7.8872,13400.0,0.0,1.0
2005-12-30,7.8974,7.8974,7.8974,7.8974,7.8974,100.0,0.0,1.0
2006-01-03,7.8974,7.8974,7.8974,7.8974,7.8974,0.0,0.0,1.0
2006-01-04,7.8974,7.8974,7.8974,7.8974,7.8974,0.0,0.0,1.0
2006-01-05,7.7949,7.9795,7.7949,7.9795,7.9795,1900.0,0.0,1.0
2006-01-06,8.0,8.0256,7.9385,7.9385,7.9385,3100.0,0.0,1.0
2006-01-09,7.8718,7.8769,7.8718,7.8769,7.8769,500.0,0.0,1.0
2006-01-10,7.841,7.8769,7.841,7.8769,7.8769,900.0,0.0,1.0
2006-01-11,7.8769,7.8769,7.8769,7.8769,7.8769,0.0,0.0,1.0
2006-01-12,7.8462,8.0974,7.8462,7.8564,7.8564,1100.0,0.0,1.0
2006-01-13,7.8564,7.8564,7.8564,7.8564,7.8564,0.0,0.0,1.0
2006-01-17,7.7333,7.9231,7.7333,7.9231,7.9231,1100.0,0.0,1.0
2006-01-18,7.9744,7.9744,7.9077,7.9077,7.9077,1500.0,0.0,1.0
2006-01-19,7.9077,7.9077,7.9077,7.9077,7.9077,0.0,0.0,1.0
2006-01-20,7.8359,7.8564,7.7436,7.8564,7.8564,1100.0,0.0,1.0
2006-01-23,7.8718,7.8718,7.8718,7.8718,7.8718,300.0,0.0,1.0
2006-01-24,7.8718,7.8718,7.8718,7.8718,7.8718,0.0,0.0,1.0
2006-01-25,7.8718,7.8718,7.8718,7.8718,7.8718,0.0,0.0,1.0
2006-01-26,7.8718,7.8718,7.8718,7.8718,7.8718,0.0,0.0,1.0
2006-01-27,7.9179,8.0205,7.9179,7.9949,7.9949,5200.0,0.0,1.0
2006-01-30,7.8821,7.8821,7.8821,7.8821,7.8821,700.0,0.0,1.0
2006-01-31,7.7949,7.7949,7.7949,7.7949,7.7949,1300.0,0.0,1.0
2006-02-01,8.1846,8.1846,8.1846,8.1846,8.1846,300.0,0.0,1.0
2006-02-02,7.7897,7.7949,7.6974,7.6974,7.6974,1300.0,0.0,1.0
2006-02-03,7.6974,7.6974,7.6974,7.6974,7.6974,0.0,0.0,1.0
2006-02-06,7.5128,7.6718,7.5128,7.6718,7.6718,445300.0,0.0,1.0
2006-02-07,7.6718,7.6718,7.6718,7.6718,7.6718,0.0,0.0,1.0
2006-02-08,7.6,7.6,7.359,7.4821,7.4821,3300.0,0.0,1.0
2006-02-09,7.7436,7.7436,7.4615,7.5385,7.5385,11100.0,0.0,1.0
2006-02-10,7.6154,7.6154,7.3333,7.3333,7.3333,75800.0,0.0,1.0
2006-02-13,7.3846,7.3846,7.3333,7.3333,7.3333,71500.0,0.0,1.0
2006-02-14,7.3077,7.3795,7.2308,7.3795,7.3795,4400.0,0.0,1.0
2006-02-15,7.3333,7.7231,7.3333,7.7231,7.7231,3500.0,0.0,1.0
2006-02-16,7.7231,7.7231,7.7231,7.7231,7.7231,0.0,0.0,1.0
2006-02-17,7.2513,7.4462,7.2359,7.4462,7.4462,15700.0,0.0,1.0
2006-02-21,7.4359,7.4359,7.4154,7.4154,7.4154,5400.0,0.0,1.0
2006-02-22,7.4154,7.4154,7.4154,7.4154,7.4154,1900.0,0.0,1.0
