date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2003-02-03,17.0,17.0,16.0,16.0,4.1389,3200.0,0.0,1.0
2003-02-04,16.0,16.0,15.1,15.1,3.9061,3200.0,0.0,1.0
2003-02-05,14.9,14.9,14.25,14.3,3.6991,10600.0,0.0,1.0
2003-02-06,14.15,14.25,12.55,13.0,3.3629,41200.0,0.0,1.0
2003-02-07,13.0,13.5,13.0,13.43,3.4741,9700.0,0.0,1.0
2003-02-10,13.6,13.92,13.59,13.62,3.5232,29300.0,0.0,1.0
2003-02-11,13.7,13.8,13.69,13.72,3.5491,24000.0,0.0,1.0
2003-02-12,13.72,13.76,13.4,13.75,3.5569,49300.0,0.0,1.0
2003-02-13,13.69,14.33,13.61,14.33,3.7069,23100.0,0.0,1.0
2003-02-14,14.23,14.74,13.76,14.23,3.681,23500.0,0.0,1.0
2003-02-18,14.0,14.22,13.79,13.85,3.5827,9000.0,0.0,1.0
2003-02-19,14.01,14.02,13.32,13.67,3.5362,10900.0,0.0,1.0
2003-02-20,13.5,14.25,13.5,14.1,3.6474,36800.0,0.0,1.0
2003-02-21,14.3,14.51,14.05,14.32,3.7043,29600.0,0.0,1.0
2003-02-24,14.49,14.95,14.39,14.79,3.8259,24500.0,0.0,1.0
2003-02-25,14.74,15.47,14.6,14.61,3.7793,67200.0,0.0,1.0
2003-02-26,14.7,15.1,14.1,15.0,3.8802,31700.0,0.0,1.0
2003-02-27,15.05,15.25,14.71,14.96,3.8699,17600.0,0.0,1.0
2003-02-28,14.91,14.91,14.67,14.7,3.8026,26600.0,0.0,1.0
2003-03-03,14.77,15.17,14.52,14.52,3.7561,12700.0,0.0,1.0
2003-03-04,14.87,14.87,14.51,14.61,3.7793,14500.0,0.0,1.0
2003-03-05,14.6,14.98,14.5,14.96,3.8699,36700.0,0.0,1.0
2003-03-06,14.81,14.81,14.75,14.8,3.8285,5000.0,0.0,1.0
2003-03-07,14.7,14.97,14.5,14.8,3.8285,7000.0,0.0,1.0
2003-03-10,14.6,15.0,14.6,14.9,3.8544,5200.0,0.0,1.0
2003-03-11,14.9,15.0,14.65,14.99,3.8776,7700.0,0.0,1.0
2003-03-12,14.65,14.75,14.64,14.65,3.7897,3000.0,0.0,1.0
2003-03-13,14.95,14.95,14.5,14.5,3.7509,1500.0,0.0,1.0
2003-03-14,14.5,14.53,14.3,14.42,3.7302,3900.0,0.0,1.0
2003-03-17,14.5,14.5,14.1,14.41,3.7276,3600.0,0.0,1.0
2003-03-18,14.4,14.44,14.03,14.44,3.7354,16100.0,0.0,1.0
2003-03-19,14.17,14.5,14.17,14.5,3.7509,5100.0,0.0,1.0
2003-03-20,14.5,14.5,14.25,14.25,3.6862,1900.0,0.0,1.0
2003-03-21,14.11,14.6,14.11,14.23,3.681,4600.0,0.0,1.0
