date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-12-02,75.0,88.0,55.5,56.625,54.3486,6383900.0,0.0,1.0
1999-12-03,61.25,66.25,58.0625,59.0,56.6281,1765300.0,0.0,1.0
1999-12-06,64.9375,65.0,57.625,61.0,58.5477,658100.0,0.0,1.0
1999-12-07,62.0,64.5,60.125,63.125,60.5873,479000.0,0.0,1.0
1999-12-08,63.125,63.5,58.125,59.625,57.228,703300.0,0.0,1.0
1999-12-09,61.5,61.75,55.125,57.9375,55.6083,356400.0,0.0,1.0
1999-12-10,58.0,59.0,54.75,55.375,53.1488,333700.0,0.0,1.0
1999-12-13,55.0625,55.9375,49.875,50.75,48.7098,604600.0,0.0,1.0
1999-12-14,51.4375,51.5,42.5,45.5,43.6708,281800.0,0.0,1.0
1999-12-15,43.0,50.0,42.0,42.5,40.7914,560600.0,0.0,1.0
1999-12-16,43.0,51.5,43.0,51.25,49.1897,342800.0,0.0,1.0
1999-12-17,51.6875,61.375,51.0,60.125,57.7079,593400.0,0.0,1.0
1999-12-20,61.6875,61.8125,56.0,57.75,55.4283,215900.0,0.0,1.0
1999-12-21,57.5,64.1875,55.0,63.625,61.0672,377900.0,0.0,1.0
1999-12-22,63.6875,63.875,53.5,63.375,60.8272,207800.0,0.0,1.0
1999-12-23,63.25,65.5,59.25,62.3125,59.8074,357700.0,0.0,1.0
1999-12-27,62.3125,63.8125,57.875,59.375,56.988,239700.0,0.0,1.0
1999-12-28,58.5,60.0,55.0,55.0625,52.8489,123700.0,0.0,1.0
1999-12-29,56.25,56.5,54.75,55.375,53.1488,115800.0,0.0,1.0
1999-12-30,56.25,56.5,50.25,51.5,49.4296,175400.0,0.0,1.0
1999-12-31,52.0,52.125,47.5625,50.0,47.9899,157100.0,0.0,1.0
2000-01-03,52.0,55.0,50.125,51.75,49.6696,237600.0,0.0,1.0
