date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-09,2.1406,2.1406,2.1406,2.1406,2.0481,400.0,0.0,1.0
1999-08-10,2.1875,2.2031,2.0625,2.0625,1.9733,31600.0,0.0,1.0
1999-08-11,2.125,2.1563,2.125,2.1563,2.063,6800.0,0.0,1.0
1999-08-12,2.0938,2.0938,2.0313,2.0938,2.0032,3200.0,0.0,1.0
1999-08-13,2.0938,2.0938,2.0938,2.0938,2.0032,0.0,0.0,1.0
1999-08-16,2.0625,2.0625,2.0625,2.0625,1.9733,4000.0,0.0,1.0
1999-08-17,2.0625,2.0625,2.0625,2.0625,1.9733,0.0,0.0,1.0
1999-08-18,2.0625,2.1563,2.0625,2.125,2.0331,112000.0,0.0,1.0
1999-08-19,2.0938,2.125,2.0938,2.125,2.0331,10000.0,0.0,1.0
1999-08-20,2.1563,2.1875,2.125,2.1875,2.0929,19200.0,0.0,1.0
1999-08-23,2.1875,2.1875,2.1875,2.1875,2.0929,0.0,0.0,1.0
1999-08-24,2.125,2.125,2.0703,2.0703,1.9808,100800.0,0.0,1.0
1999-08-25,2.0156,2.0938,2.0156,2.0625,1.9733,216800.0,0.0,1.0
1999-08-26,2.125,2.25,2.0625,2.0625,1.9733,8400.0,0.0,1.0
1999-08-27,2.0625,2.0781,2.0625,2.0781,1.9883,12000.0,0.0,1.0
1999-08-30,2.0781,2.0781,2.0781,2.0781,1.9883,3600.0,0.0,1.0
1999-08-31,2.1563,2.1563,2.0313,2.0313,1.9434,44800.0,0.0,1.0
1999-09-01,2.1094,2.1094,2.0313,2.0469,1.9584,6400.0,0.0,1.0
1999-09-02,1.75,1.8125,1.5938,1.75,1.6743,164400.0,0.0,1.0
1999-09-03,1.7031,1.8125,1.7031,1.7656,1.6893,188400.0,0.0,1.0
1999-09-07,1.793,1.8438,1.6719,1.6875,1.6145,98000.0,0.0,1.0
1999-09-08,1.6563,1.7734,1.6563,1.75,1.6743,114000.0,0.0,1.0
1999-09-09,1.75,1.75,1.625,1.6563,1.5846,33200.0,0.0,1.0
1999-09-10,1.6563,1.6563,1.625,1.625,1.5547,8400.0,0.0,1.0
1999-09-13,1.7188,1.7188,1.5938,1.5938,1.5248,22000.0,0.0,1.0
1999-09-14,1.625,1.7031,1.5625,1.5938,1.5248,97200.0,0.0,1.0
1999-09-15,1.625,1.625,1.5313,1.5469,1.48,54000.0,0.0,1.0
1999-09-16,1.5313,1.5313,1.4688,1.5,1.4351,67600.0,0.0,1.0
1999-09-17,1.625,1.625,1.4219,1.4375,1.3753,242400.0,0.0,1.0
1999-09-20,1.4375,1.4375,1.375,1.4375,1.3753,57200.0,0.0,1.0
1999-09-21,1.4375,1.7031,1.4219,1.5625,1.4949,122400.0,0.0,1.0
1999-09-22,1.5625,1.5625,1.4688,1.4688,1.4052,24000.0,0.0,1.0
1999-09-23,1.5156,1.5625,1.5,1.5313,1.465,88400.0,0.0,1.0
1999-09-24,1.4688,1.4688,1.4688,1.4688,1.4052,12000.0,0.0,1.0
