date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-04-17,15.19,15.317,15.19,15.28,14.7272,57400.0,0.0,1.0
2018-04-18,15.19,15.317,15.19,15.28,14.7272,6200.0,0.0,1.0
2018-04-19,15.31,15.31,15.14,15.28,14.7272,817400.0,0.0,1.0
2018-04-20,15.14,15.14,14.965,14.997,14.4544,72200.0,0.0,1.0
2018-04-23,15.03,15.03,14.83,14.85,14.3127,14200.0,0.0,1.0
2018-04-24,14.96,14.99,14.68,14.69,14.1585,9600.0,0.0,1.0
2018-04-25,14.67,14.72,14.56,14.672,14.1412,8400.0,0.0,1.0
2018-04-26,14.86,14.93,14.77,14.93,14.3898,5000.0,0.0,1.0
2018-04-27,14.99,14.99,14.82,14.82,14.2838,5100.0,0.0,1.0
2018-04-30,14.98,14.98,14.75,14.76,14.226,9900.0,0.0,1.0
2018-05-01,14.66,14.81,14.64,14.81,14.2742,12200.0,0.0,1.0
2018-05-02,14.88,14.91,14.8,14.8,14.2646,12400.0,0.0,1.0
2018-05-03,14.67,14.86,14.6,14.825,14.2886,12400.0,0.0,1.0
2018-05-04,14.851,15.027,14.851,15.027,14.4833,5200.0,0.0,1.0
2018-05-07,15.08,15.139,15.051,15.06,14.5151,13100.0,0.0,1.0
2018-05-08,15.02,15.08,15.02,15.025,14.4814,11000.0,0.0,1.0
2018-05-09,15.15,15.199,15.071,15.183,14.6337,10200.0,0.0,1.0
2018-05-10,15.44,15.44,15.27,15.381,14.8245,20600.0,0.0,1.0
2018-05-11,15.41,15.459,15.362,15.386,14.8293,9200.0,0.0,1.0
2018-05-14,15.49,15.525,15.45,15.45,14.891,33500.0,0.0,1.0
2018-05-15,15.32,15.32,15.244,15.28,14.7272,6600.0,0.0,1.0
2018-05-16,15.43,15.472,15.365,15.457,14.8978,5700.0,0.0,1.0
2018-05-17,15.48,15.54,15.381,15.407,14.8496,8600.0,0.0,1.0
2018-05-18,15.38,15.415,15.36,15.375,14.8187,11800.0,0.0,1.0
2018-05-21,15.51,15.52,15.44,15.44,14.8814,9100.0,0.0,1.0
2018-05-22,15.6,15.6,15.49,15.49,14.9296,25300.0,0.0,1.0
2018-05-23,15.35,15.38,15.25,15.38,14.8236,16900.0,0.0,1.0
2018-05-24,15.34,15.34,15.2,15.318,14.7638,12700.0,0.0,1.0
2018-05-25,15.22,15.3,15.22,15.275,14.7224,4900.0,0.0,1.0
2018-05-29,15.08,15.18,15.005,15.05,14.5055,13600.0,0.0,1.0
2018-05-30,15.17,15.21,15.125,15.182,14.6327,10400.0,0.0,1.0
2018-05-31,15.32,15.32,15.12,15.12,14.573,18000.0,0.0,1.0
2018-06-01,15.3,15.364,15.3,15.36,14.8043,8300.0,0.0,1.0
2018-06-04,15.45,15.5,15.445,15.5,14.9392,8600.0,0.0,1.0
2018-06-05,15.55,15.57,15.505,15.57,15.0067,5000.0,0.0,1.0
2018-06-06,15.7,15.73,15.59,15.71,15.1416,12300.0,0.0,1.0
2018-06-07,15.763,15.78,15.62,15.68,15.1127,12200.0,0.0,1.0
2018-06-08,15.62,15.62,15.58,15.619,15.0539,9400.0,0.0,1.0
2018-06-11,15.63,15.69,15.61,15.66,15.0934,25900.0,0.0,1.0
2018-06-12,15.66,15.66,15.543,15.56,14.9971,9000.0,0.0,1.0
2018-06-13,15.554,15.63,15.554,15.59,15.026,4600.0,0.0,1.0
2018-06-14,15.591,15.62,15.56,15.57,15.0067,11600.0,0.0,1.0
2018-06-15,15.5,15.5,15.41,15.45,14.891,12700.0,0.0,1.0
2018-06-18,15.38,15.45,15.288,15.44,14.8814,12200.0,0.0,1.0
2018-06-19,15.25,15.25,15.011,15.2,14.6501,10500.0,0.0,1.0
2018-06-20,15.24,15.25,15.18,15.23,14.679,15400.0,0.0,1.0
2018-06-21,15.26,15.26,15.0,15.0,14.4573,6900.0,0.0,1.0
2018-06-22,15.02,15.05,14.933,14.995,14.4525,13200.0,0.0,1.0
2018-06-25,14.84,14.84,14.5,14.59,14.0621,11700.0,0.0,1.0
2018-06-26,14.69,14.749,14.629,14.7,14.1682,2500.0,0.0,1.0
2018-06-27,14.74,14.81,14.58,14.59,14.0621,16300.0,0.0,1.0
2018-06-28,14.43,14.44,14.351,14.39,13.8694,2000.0,0.0,1.0
2018-06-29,14.59,14.61,14.51,14.51,13.985,5500.0,0.0,1.0
2018-07-02,14.39,14.446,14.35,14.446,13.9234,7400.0,0.0,1.0
2018-07-03,14.491,14.499,14.37,14.37,13.8501,3300.0,0.0,1.0
2018-07-05,14.579,14.579,14.56,14.56,14.0332,800.0,0.0,1.0
2018-07-06,14.6,14.73,14.6,14.7,14.1682,4400.0,0.0,1.0
2018-07-09,14.84,14.868,14.775,14.868,14.3301,5900.0,0.0,1.0
2018-07-10,14.91,14.97,14.85,14.97,14.4284,7500.0,0.0,1.0
2018-07-11,14.79,14.79,14.66,14.67,14.1393,3800.0,0.0,1.0
2018-07-12,14.8,14.841,14.71,14.827,14.2906,1400.0,0.0,1.0
